chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	561717	730355	-0.243154	-0.121779	-0.080120	-0.161129
Superscaffold1	730441	921566	0.049429	0.019959	0.014697	0.023903
Superscaffold1	921568	1282661	-0.058258	-0.022640	-0.015024	-0.027938
Superscaffold1	1282739	1533079	0.074656	0.015357	0.011393	0.042532
Superscaffold1	1533081	1900629	-0.130780	-0.047233	-0.031497	-0.089347
Superscaffold1	1900783	2238312	-0.208480	-0.078012	-0.043664	-0.159092
Superscaffold1	2238316	2452162	-0.057728	-0.028135	-0.019441	-0.036943
Superscaffold1	2452244	2683205	-0.081542	-0.047718	-0.030933	-0.051013
Superscaffold1	2683234	2827352	-0.094520	-0.078891	-0.041676	-0.056413
Superscaffold1	2827359	3068670	-0.139310	-0.125224	-0.059352	-0.081216
Superscaffold1	3068690	3361086	0.117126	0.047174	0.031824	0.059598
Superscaffold1	3361090	3735515	0.018954	0.006616	0.004151	0.010346
Superscaffold1	3735524	4175186	-0.261686	-0.082763	-0.051542	-0.164443
Superscaffold1	4176608	4493371	0.008551	0.003430	0.002237	0.013390
Superscaffold1	4493383	4848772	-0.147683	-0.075113	-0.049470	-0.096034
Superscaffold1	4849112	5293396	-0.064988	-0.018759	-0.012943	-0.045160
Superscaffold1	5293505	5710020	0.086400	0.020532	0.015451	0.051899
Superscaffold1	5710055	6148550	0.113689	0.036859	0.025763	0.067766
Superscaffold1	6148579	6622450	0.006356	0.001607	0.001171	0.005482
Superscaffold1	6622528	7053909	-0.163180	-0.053752	-0.035911	-0.107748
Superscaffold1	7054167	7415398	-0.366929	-0.162997	-0.098393	-0.271638
Superscaffold1	7415679	7840353	-0.226844	-0.068900	-0.047849	-0.146167
Superscaffold1	7840409	8553237	-0.364815	-0.132874	-0.085833	-0.263789
Superscaffold1	8553358	9656923	0.039149	0.012815	0.008632	0.024058
Superscaffold1	9657254	10616031	0.042002	0.014919	0.010223	0.030964
Superscaffold1	10616206	10947679	-0.154775	-0.054208	-0.036062	-0.104546
Superscaffold1	10951204	11326968	0.036517	0.012266	0.008400	0.025591
Superscaffold1	11326993	11637197	-0.471770	-0.179518	-0.116227	-0.365087
Superscaffold1	11637562	12105079	-0.075780	-0.019703	-0.014178	-0.053018
Superscaffold1	12105156	12407673	-0.025084	-0.010565	-0.006476	-0.014646
Superscaffold1	12407732	12805973	-0.157917	-0.044720	-0.030778	-0.099586
Superscaffold1	12805977	13290392	-0.082297	-0.022512	-0.014845	-0.049030
Superscaffold1	13290399	14088306	0.043168	0.006566	0.004640	0.032184
Superscaffold1	14088739	14710561	-0.095125	-0.022422	-0.014924	-0.068222
Superscaffold1	14711161	15066419	0.041685	0.013553	0.009354	0.026618
Superscaffold1	15066617	15482821	-0.185226	-0.035746	-0.025778	-0.135883
Superscaffold1	15482882	15865148	-0.279823	-0.066518	-0.045222	-0.206278
Superscaffold1	15865473	16215575	0.137284	0.046232	0.028911	0.092972
Superscaffold1	16215599	16630595	-0.226914	-0.058437	-0.039914	-0.145056
Superscaffold1	16630678	16953609	-0.125472	-0.058144	-0.032660	-0.064030
Superscaffold1	16953949	17368832	-0.115205	-0.045096	-0.027835	-0.076397
Superscaffold1	17368860	18097101	-0.071387	-0.022733	-0.013843	-0.054248
Superscaffold1	18097148	18385861	-0.154605	-0.115704	-0.055502	-0.089306
Superscaffold1	18385951	18970475	-0.059679	-0.012674	-0.008982	-0.041154
Superscaffold1	18970542	19161668	-0.289109	-0.174977	-0.099585	-0.171446
Superscaffold1	19161753	19578449	-0.507532	-0.298543	-0.183569	-0.380655
Superscaffold1	19578489	19869669	-0.300099	-0.109560	-0.074227	-0.216048
Superscaffold1	19869701	20285141	0.061162	0.015917	0.010505	0.036375
Superscaffold1	20285263	20974842	0.081318	0.025013	0.015110	0.051929
Superscaffold1	20974902	21350626	-0.212884	-0.072656	-0.044870	-0.153297
Superscaffold1	21350753	21745745	0.034837	0.010860	0.006813	0.030527
Superscaffold1	21745871	22166657	-0.118084	-0.036355	-0.023795	-0.075561
Superscaffold1	22166679	22776027	0.120584	0.021945	0.014921	0.083219
Superscaffold1	22776045	23296775	-0.117345	-0.026844	-0.016648	-0.093778
Superscaffold1	23297245	23737266	-0.146081	-0.040401	-0.025217	-0.109312
Superscaffold1	23737395	24160329	-0.243948	-0.074293	-0.048374	-0.165417
Superscaffold1	24160383	24529365	-0.010059	-0.003725	-0.002420	-0.008015
Superscaffold1	24529528	24809523	-0.017756	-0.007158	-0.004379	-0.013003
Superscaffold1	24809581	25269610	-0.051187	-0.014711	-0.009166	-0.036180
Superscaffold1	25269636	25658744	0.105404	0.026525	0.018250	0.058960
Superscaffold1	25658766	26036354	-0.342622	-0.129518	-0.090916	-0.233778
Superscaffold1	26036652	26398025	-0.048116	-0.012167	-0.008344	-0.031080
Superscaffold1	26398042	26951833	0.342729	0.066504	0.048222	0.253934
Superscaffold1	26951835	27460400	0.002813	0.000617	0.000372	0.006423
Superscaffold1	27461171	27823266	-0.241633	-0.088434	-0.053669	-0.166853
Superscaffold1	27823284	28024365	-0.125325	-0.075395	-0.040694	-0.056299
Superscaffold1	28024448	28334015	0.026256	0.009492	0.006317	0.018464
Superscaffold1	28334122	28770785	-0.241323	-0.071301	-0.052266	-0.140126
Superscaffold1	28770810	29211227	-0.299810	-0.083636	-0.056475	-0.222775
Superscaffold1	29211246	29505512	0.037496	0.013840	0.008745	0.022386
Superscaffold1	29505561	29870908	-0.545833	-0.243765	-0.134251	-0.420281
Superscaffold1	29870919	30266008	-0.287825	-0.110159	-0.072307	-0.191100
Superscaffold1	30266054	30939433	-0.029804	-0.007127	-0.004811	-0.019717
Superscaffold1	30939484	31477733	0.098466	0.021035	0.014418	0.077886
Superscaffold1	31477760	32221711	-0.132573	-0.025520	-0.017736	-0.087089
Superscaffold1	32221776	32608204	0.156573	0.051886	0.033229	0.093082
Superscaffold1	32608236	32965817	-0.044745	-0.013671	-0.008749	-0.030845
Superscaffold1	32965839	33405976	0.090116	0.032784	0.021613	0.059834
Superscaffold1	33406542	33599953	0.028179	0.014286	0.009288	0.013062
