chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209891	391553	-0.162099	-0.132496	-0.078661	-0.109153
Chr01	264531	485498	-0.151214	-0.087075	-0.056680	-0.095645
Chr01	391634	595271	0.010621	0.004621	0.002979	0.005887
Chr01	485586	698900	0.137797	0.058365	0.036676	0.070188
Chr01	595314	898228	-0.127059	-0.062021	-0.037240	-0.065220
Chr01	699157	1035414	-0.245651	-0.091333	-0.058647	-0.147525
Chr01	898246	1172140	-0.172173	-0.037458	-0.027553	-0.117863
Chr01	1035417	1325701	-0.117173	-0.024048	-0.017089	-0.086547
Chr01	1172145	1458545	-0.121631	-0.041721	-0.026331	-0.087501
Chr01	1325948	1538174	-0.033116	-0.015090	-0.009517	-0.024460
Chr01	1458558	1654578	-0.184744	-0.088025	-0.052695	-0.135898
Chr01	1538220	1804301	-0.414251	-0.184118	-0.104096	-0.313386
Chr01	1654619	1927460	-0.495998	-0.223422	-0.115637	-0.381650
Chr01	1804666	2090287	-0.312744	-0.143087	-0.075363	-0.233123
Chr01	1927894	2215000	-0.113337	-0.045014	-0.028227	-0.081350
Chr01	2091318	2280239	-0.067007	-0.032574	-0.020876	-0.039486
Chr01	2215070	2429583	0.021440	0.015339	0.009185	0.017262
Chr01	2280757	2503966	-0.154559	-0.119687	-0.068891	-0.092602
Chr01	2429587	2625963	-0.191393	-0.153290	-0.082983	-0.104036
Chr01	2504040	2692701	0.083237	0.058601	0.034393	0.047312
Chr01	2625985	2735090	-0.006761	-0.006072	-0.002973	-0.008052
Chr01	2692707	2813748	-0.242919	-0.257766	-0.112641	-0.148171
Chr01	2735097	2918368	-0.299612	-0.269857	-0.141590	-0.182313
Chr01	2813786	3036642	-0.346335	-0.225247	-0.127210	-0.221706
Chr01	2918504	3171918	-0.238417	-0.108765	-0.067666	-0.150752
Chr01	3036919	3322673	-0.168734	-0.062419	-0.038852	-0.106917
Chr01	3171928	3472486	-0.238526	-0.086450	-0.052678	-0.156443
Chr01	3322682	3659127	-0.243844	-0.077149	-0.050149	-0.160112
Chr01	3472639	3861866	-0.266797	-0.085278	-0.053763	-0.189473
Chr01	3659182	4025317	-0.465422	-0.196512	-0.109336	-0.345813
Chr01	3861886	4164405	-0.428435	-0.166314	-0.099836	-0.282490
Chr01	4025394	4284296	-0.210197	-0.072017	-0.046917	-0.143693
Chr01	4164493	4409078	-0.434158	-0.248964	-0.142527	-0.325118
Chr01	4284297	4484576	-0.401903	-0.333736	-0.185131	-0.263855
Chr01	4409101	4608735	-0.147346	-0.065924	-0.044909	-0.090352
Chr01	4484580	4756489	-0.244691	-0.092363	-0.060339	-0.174007
Chr01	4608737	4928286	-0.298062	-0.110310	-0.070114	-0.220945
Chr01	4756739	5139754	-0.277960	-0.078023	-0.052492	-0.197159
Chr01	4928392	5425785	-0.218172	-0.055038	-0.037767	-0.148744
Chr01	5139755	5607321	-0.122876	-0.041022	-0.028475	-0.090074
Chr01	5426397	5803253	-0.097495	-0.033778	-0.022690	-0.069700
Chr01	5607323	5941711	-0.071219	-0.025314	-0.016330	-0.045128
Chr01	5803270	6097524	0.076639	0.029634	0.018628	0.045754
Chr01	5941715	6266223	-0.078943	-0.027494	-0.017773	-0.063786
Chr01	6097539	6451956	-0.528490	-0.233539	-0.138816	-0.437087
Chr01	6266271	6872798	-0.287434	-0.080176	-0.054563	-0.234832
Chr01	6452087	7059919	-0.144156	-0.039680	-0.028051	-0.122081
Chr01	6872820	7243068	-0.424355	-0.185277	-0.119959	-0.349135
Chr01	7060093	7381169	-0.309170	-0.145247	-0.091092	-0.223827
Chr01	7243069	7500225	-0.290022	-0.142273	-0.084394	-0.202548
Chr01	7381465	7669453	-0.340846	-0.116119	-0.073021	-0.241772
Chr01	7500301	7829313	-0.524650	-0.199413	-0.118389	-0.389291
Chr01	7669492	7931851	-0.498193	-0.242151	-0.136798	-0.365948
Chr01	7829317	8073325	-0.211277	-0.087612	-0.052177	-0.151342
Chr01	7931971	8228114	-0.108829	-0.034343	-0.021885	-0.080039
Chr01	8073545	8424433	-0.333462	-0.084838	-0.057234	-0.248274
Chr01	8228125	8523433	-0.600573	-0.206189	-0.128433	-0.452187
Chr01	8424490	8647169	-0.541929	-0.339635	-0.164045	-0.369229
Chr01	8523448	8800744	-0.295885	-0.151388	-0.082036	-0.174992
Chr01	8647192	8947793	-0.090544	-0.047022	-0.027716	-0.034539
Chr01	8800814	9268411	-0.114308	-0.037750	-0.025476	-0.047075
Chr01	8947953	9417115	-0.400829	-0.123134	-0.078773	-0.275209
Chr01	9268448	9554495	-0.417906	-0.178655	-0.104461	-0.331472
Chr01	9417550	9752352	-0.182149	-0.092089	-0.054197	-0.130306
Chr01	9554501	9864652	-0.008067	-0.003725	-0.002400	-0.008675
Chr01	9752427	9979539	0.018139	0.007320	0.005248	0.013683
Chr01	9864694	10102606	-0.140864	-0.051660	-0.034871	-0.088538
Chr01	9979760	10240175	-0.113743	-0.053126	-0.031602	-0.070988
Chr01	10102661	10410207	0.103662	0.043284	0.027765	0.066051
Chr01	10240389	10907704	-0.024067	-0.008903	-0.005837	-0.019098
Chr01	10410229	11009196	-0.509103	-0.289109	-0.164243	-0.404497
Chr01	10907828	11182599	-0.546031	-0.391315	-0.201209	-0.430803
Chr01	11009256	11313375	-0.310265	-0.152570	-0.085268	-0.225332
Chr01	11182809	11478242	-0.135380	-0.049963	-0.032636	-0.094706
Chr01	11313385	11580408	0.007959	0.003056	0.002121	0.009164
Chr01	11478295	11730797	-0.047457	-0.021218	-0.013460	-0.031258
Chr01	11580415	11805463	0.005826	0.002635	0.001618	0.003924
Chr01	11730898	12060617	0.161319	0.088061	0.055048	0.087946
Chr01	11805536	12181604	-0.034110	-0.014581	-0.009494	-0.021197
Chr01	12060863	12335885	-0.571182	-0.260169	-0.141550	-0.434144
Chr01	12182523	12445567	-0.502404	-0.248144	-0.129752	-0.412154
Chr01	12335965	12634312	-0.162517	-0.074250	-0.035612	-0.113898
Chr01	12445584	12834122	-0.560593	-0.229721	-0.114190	-0.479434
Chr01	12634383	13149776	-0.767117	-0.196599	-0.122830	-0.690365
Chr01	12834288	13334784	-0.541183	-0.115162	-0.075085	-0.441340
Chr01	13149791	13558908	-0.379067	-0.105506	-0.063292	-0.287391
Chr01	13334933	13765687	-0.384759	-0.111670	-0.065763	-0.306697
Chr01	13559240	13938082	-0.221879	-0.066981	-0.039090	-0.170327
Chr01	13765938	14080880	0.133207	0.048657	0.029454	0.088260
Chr01	13938114	14203064	-0.002200	-0.001016	-0.000582	-0.002158
Chr01	14080922	14353786	-0.403152	-0.162718	-0.095507	-0.286204
Chr01	14203162	14576942	-0.397225	-0.148955	-0.082315	-0.312225
Chr01	14354150	14696540	-0.325995	-0.120915	-0.068499	-0.265910
Chr01	14577207	14831717	-0.336720	-0.101194	-0.067319	-0.271610
Chr01	14696574	14963734	-0.398101	-0.130743	-0.082527	-0.291016
