chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	216440	418712	-0.271187	-0.153765	-0.102298	-0.187134
Chr01	275716	516262	-0.224367	-0.105416	-0.071972	-0.131905
Chr01	418796	656016	-0.008012	-0.003068	-0.002062	-0.002978
Chr01	516288	872912	0.011933	0.004161	0.002671	0.008863
Chr01	656020	1030341	-0.224889	-0.072785	-0.049539	-0.140745
Chr01	873019	1170602	-0.209857	-0.044817	-0.033073	-0.144702
Chr01	1030370	1332743	-0.046304	-0.008061	-0.005922	-0.037981
Chr01	1170607	1472922	0.247679	0.059413	0.042646	0.165291
Chr01	1332802	1555029	0.080119	0.030139	0.020734	0.050934
Chr01	1472972	1688701	-0.310657	-0.134380	-0.083874	-0.236311
Chr01	1555266	1866758	-0.393500	-0.157273	-0.087890	-0.317875
Chr01	1688720	2051944	-0.403333	-0.162858	-0.086832	-0.317458
Chr01	1867496	2195588	-0.291834	-0.114627	-0.068766	-0.223913
Chr01	2051964	2268358	-0.127389	-0.053001	-0.035205	-0.085549
Chr01	2195601	2429180	-0.162386	-0.090737	-0.058001	-0.101271
Chr01	2268469	2515251	-0.094726	-0.056414	-0.036718	-0.058047
Chr01	2429187	2648592	0.034517	0.020261	0.013103	0.021570
Chr01	2515308	2713036	0.110620	0.075280	0.043867	0.059676
Chr01	2648782	2771785	-0.052690	-0.048829	-0.023703	-0.030553
Chr01	2713040	2879393	-0.212226	-0.156135	-0.087169	-0.130288
Chr01	2771814	2974292	-0.095772	-0.060699	-0.038078	-0.061047
Chr01	2879402	3157306	-0.004205	-0.001836	-0.001225	-0.001529
Chr01	2975522	3311130	-0.033281	-0.011523	-0.007614	-0.021404
Chr01	3157595	3481872	-0.151205	-0.051715	-0.033161	-0.100788
Chr01	3311704	3695137	-0.126454	-0.038390	-0.025989	-0.094153
Chr01	3481960	3907300	-0.241899	-0.082546	-0.053020	-0.195282
Chr01	3695542	4050151	-0.391104	-0.154969	-0.092415	-0.294255
Chr01	3907334	4213711	-0.153705	-0.059610	-0.037017	-0.106745
Chr01	4050210	4336291	-0.068347	-0.027203	-0.017617	-0.046295
Chr01	4213757	4462100	-0.124551	-0.059336	-0.038957	-0.074637
Chr01	4336363	4608684	-0.128275	-0.051783	-0.036387	-0.077431
Chr01	4462102	4791905	-0.272319	-0.093906	-0.062833	-0.189220
Chr01	4608735	4992869	-0.491791	-0.148776	-0.098218	-0.351585
Chr01	4792763	5214298	-0.440372	-0.102151	-0.069843	-0.303168
Chr01	4992967	5531693	-0.315770	-0.086695	-0.057148	-0.218576
Chr01	5214696	5791881	-0.136903	-0.041702	-0.028478	-0.098194
Chr01	5531855	5946822	-0.075477	-0.023777	-0.016367	-0.047246
Chr01	5791927	6144464	-0.011496	-0.003613	-0.002416	-0.006975
Chr01	5946827	6360404	-0.146214	-0.042030	-0.029168	-0.117613
Chr01	6144723	6846024	-0.048388	-0.010328	-0.007934	-0.038217
Chr01	6360585	7143486	0.274194	0.045261	0.037799	0.183688
Chr01	6847348	7328532	0.058243	0.013035	0.010696	0.040470
Chr01	7143875	7472083	-0.253926	-0.090010	-0.061782	-0.174931
Chr01	7328605	7661415	-0.338255	-0.097946	-0.066714	-0.223070
Chr01	7472150	7836235	-0.551163	-0.178290	-0.113876	-0.370754
Chr01	7661622	7985774	-0.512223	-0.215703	-0.128759	-0.390608
Chr01	7836247	8181724	-0.240891	-0.071821	-0.047815	-0.173026
