chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	586194	874274	-0.167802	-0.097249	-0.055228	-0.084539
Superscaffold1	874330	1297765	0.128628	0.068004	0.041111	0.076122
Superscaffold1	1298674	1539399	0.175187	0.063852	0.044206	0.101960
Superscaffold1	1539436	1967880	0.136217	0.052622	0.030409	0.091415
Superscaffold1	1968098	2270645	0.152534	0.068982	0.034269	0.099753
Superscaffold1	2270726	2514643	0.064202	0.043854	0.027086	0.036738
Superscaffold1	2515325	2760909	0.112276	0.072186	0.044670	0.078147
Superscaffold1	2760944	2961252	-0.056639	-0.045506	-0.021216	-0.032826
Superscaffold1	2961446	3304072	0.012935	0.007197	0.004151	0.006205
Superscaffold1	3304223	3640839	0.131209	0.055758	0.031743	0.072067
Superscaffold1	3640850	4017757	0.034255	0.017993	0.009461	0.020819
Superscaffold1	4017765	4430103	0.303278	0.153514	0.093858	0.220873
Superscaffold1	4430104	4774826	0.021515	0.014862	0.007456	0.014678
Superscaffold1	4774862	5185135	0.339856	0.161767	0.098257	0.229420
Superscaffold1	5185208	5598741	0.117189	0.039852	0.025872	0.075599
Superscaffold1	5598785	5824633	0.164949	0.117753	0.065803	0.090071
Superscaffold1	5824643	6185110	-0.052313	-0.032756	-0.019013	-0.029523
Superscaffold1	6185131	6545742	0.067969	0.028097	0.017582	0.048854
Superscaffold1	6545775	6895946	0.218978	0.108694	0.067408	0.164912
Superscaffold1	6896311	7273917	0.155616	0.072292	0.039944	0.108526
Superscaffold1	7273934	7576433	-0.011055	-0.007617	-0.003908	-0.007660
Superscaffold1	7576540	7976012	0.092292	0.045208	0.024426	0.042278
Superscaffold1	7976021	8510782	0.184990	0.136568	0.063607	0.112773
Superscaffold1	8510822	9515987	-0.023471	-0.009229	-0.005803	-0.014136
Superscaffold1	9516840	10498545	-0.011825	-0.005311	-0.003324	-0.009577
Superscaffold1	10498666	10829508	0.147918	0.074739	0.048241	0.090511
Superscaffold1	10829571	11151269	0.115392	0.059500	0.031715	0.074829
Superscaffold1	11151277	11532219	-0.040807	-0.015965	-0.010050	-0.029401
Superscaffold1	11532245	11873691	0.130858	0.062245	0.034963	0.078766
Superscaffold1	11873697	12287164	0.194812	0.072028	0.046237	0.122597
Superscaffold1	12287449	12641628	0.225015	0.115931	0.070356	0.144441
Superscaffold1	12641646	12918035	-0.272726	-0.193644	-0.086852	-0.190404
Superscaffold1	12918050	13259172	0.431580	0.206461	0.108552	0.285092
Superscaffold1	13259250	13753532	0.463369	0.230693	0.108684	0.243149
Superscaffold1	13753671	14247663	0.269797	0.104704	0.052819	0.141438
Superscaffold1	14247865	14681964	-0.067645	-0.027551	-0.015736	-0.049251
Superscaffold1	14682301	14919496	0.134369	0.070933	0.040041	0.076719
Superscaffold1	14919525	15165242	0.278104	0.132432	0.081579	0.162111
Superscaffold1	15165261	15408973	0.528434	0.315249	0.188266	0.367438
Superscaffold1	15409030	15675597	0.218718	0.119271	0.069142	0.148460
Superscaffold1	15675624	15968354	0.087452	0.043713	0.023542	0.058677
Superscaffold1	15968417	16214544	0.008033	0.004085	0.002069	0.004091
Superscaffold1	16214570	16566823	0.163898	0.071343	0.041436	0.124451
Superscaffold1	16566943	16839568	-0.085191	-0.057797	-0.032362	-0.043055
Superscaffold1	16839577	17139971	-0.048598	-0.029562	-0.014805	-0.027996
Superscaffold1	17140259	17574228	0.086028	0.033555	0.019612	0.067068
Superscaffold1	17574244	18326081	0.099307	0.039174	0.022270	0.062989
Superscaffold1	18326089	18711471	-0.194765	-0.086655	-0.048850	-0.138823
Superscaffold1	18711497	19096825	0.009920	0.004898	0.003156	0.007925
Superscaffold1	19096988	19502679	0.024130	0.011105	0.007235	0.013210
Superscaffold1	19502702	19844604	0.519326	0.202422	0.143033	0.397036
Superscaffold1	19844663	20203362	-0.039551	-0.013195	-0.008440	-0.027529
Superscaffold1	20203415	20754983	0.258260	0.086715	0.053270	0.178371
Superscaffold1	20755144	21219687	0.368804	0.177673	0.102964	0.283375
Superscaffold1	21219767	21588188	0.192844	0.084645	0.044384	0.132138
Superscaffold1	21588193	21973555	0.047651	0.024352	0.014568	0.038147
Superscaffold1	21973715	22364581	0.120164	0.039230	0.025449	0.100094
Superscaffold1	22365268	22780000	-0.629321	-0.338239	-0.193906	-0.502998
Superscaffold1	22780023	23211599	-0.034461	-0.012996	-0.007278	-0.029782
Superscaffold1	23212347	23687225	0.185846	0.054420	0.031147	0.146730
Superscaffold1	23687241	24135371	-0.011655	-0.003400	-0.002159	-0.002173
Superscaffold1	24135379	24560967	0.134972	0.034540	0.022811	0.076802
Superscaffold1	24561111	24830558	0.341214	0.178108	0.107040	0.266176
Superscaffold1	24830584	25291859	0.004061	0.001207	0.000761	0.002220
Superscaffold1	25291875	25649872	-0.162684	-0.065426	-0.038444	-0.112745
Superscaffold1	25650019	26053301	0.192892	0.077325	0.051569	0.141295
Superscaffold1	26053316	26317054	0.203577	0.107946	0.050975	0.141019
Superscaffold1	26317075	26656715	0.072627	0.034797	0.019029	0.044216
Superscaffold1	26656729	27052999	0.074893	0.022961	0.013368	0.052957
Superscaffold1	27053036	27331156	0.096925	0.040627	0.020494	0.059328
Superscaffold1	27331281	27657133	0.061076	0.023629	0.013595	0.032772
Superscaffold1	27657139	27934991	-0.191125	-0.123017	-0.064404	-0.110074
Superscaffold1	27935160	28204813	0.029667	0.013266	0.007804	0.013784
Superscaffold1	28205002	28597773	0.190657	0.069533	0.047816	0.130300
Superscaffold1	28597778	29130688	0.113312	0.031331	0.019526	0.083637
Superscaffold1	29130844	29475100	-0.094833	-0.037639	-0.023281	-0.072373
Superscaffold1	29475157	29857804	0.078863	0.029044	0.014548	0.054935
Superscaffold1	29857827	30261196	-0.036484	-0.015969	-0.009744	-0.019387
Superscaffold1	30261234	30775985	0.080858	0.040622	0.021732	0.039765
Superscaffold1	30775988	31031281	-0.249644	-0.192976	-0.096266	-0.171096
Superscaffold1	31031337	31541396	0.003241	0.000820	0.000524	-0.002024
Superscaffold1	31542076	32329351	0.192411	0.065628	0.035289	0.146542
Superscaffold1	32329439	32702989	0.368325	0.156122	0.092007	0.296846
Superscaffold1	32703672	33166260	0.116925	0.035523	0.021340	0.083812
Superscaffold1	33166411	33537771	0.081116	0.031794	0.021442	0.050824
Superscaffold1	33537793	33812276	-0.218380	-0.130782	-0.078189	-0.134322
Superscaffold1	33812280	34071363	0.037986	0.015325	0.010101	0.027134
Superscaffold1	34071422	34313701	0.520425	0.255648	0.150758	0.372775
Superscaffold1	34313736	34589372	-0.065099	-0.055152	-0.026156	-0.039507
Superscaffold1	34589404	34960232	-0.229964	-0.061847	-0.041031	-0.163233
Superscaffold1	34960827	35466968	0.271510	0.126823	0.078745	0.183337
Superscaffold1	35467021	36380944	0.119993	0.047358	0.028722	0.072878
Superscaffold1	36381272	37007920	-0.031184	-0.011406	-0.007183	-0.023265
Superscaffold1	37008301	37382671	0.149880	0.062071	0.040268	0.116578
Superscaffold1	37382690	37710484	0.358989	0.133410	0.084069	0.252801
Superscaffold1	37710637	38288545	0.004345	0.001998	0.001292	0.005342
Superscaffold1	38288720	38578532	-0.173760	-0.056148	-0.035973	-0.115014
Superscaffold1	38578627	38954389	0.267681	0.105412	0.068991	0.215380
Superscaffold1	38954428	39237055	0.372702	0.142027	0.084389	0.312791
Superscaffold1	39237075	39683566	0.512307	0.189275	0.113518	0.395552
Superscaffold1	39683567	40001337	0.432083	0.204829	0.126312	0.387814
Superscaffold1	40001850	40351062	0.074597	0.020723	0.013256	0.051581
Superscaffold1	40351063	40843227	0.023715	0.006490	0.004199	0.016065
Superscaffold1	40843648	41223753	0.148509	0.059611	0.031759	0.116887
Superscaffold1	41223798	41610140	0.188077	0.074872	0.045774	0.154067
Superscaffold1	41610171	41952543	0.113172	0.041331	0.022927	0.102802
Superscaffold1	41952548	42376913	-0.290835	-0.116473	-0.070370	-0.201830
Superscaffold1	42377189	42761769	0.525308	0.230800	0.136873	0.429893
Superscaffold1	42761785	43130494	0.078516	0.031870	0.016571	0.054840
Superscaffold1	43130606	43617092	0.231832	0.050903	0.028899	0.193244
Superscaffold1	43617127	43920066	0.174219	0.061316	0.033205	0.119555
Superscaffold1	43920116	44369438	0.388704	0.140526	0.063624	0.311285
Superscaffold1	44369695	44742299	0.193605	0.081534	0.036377	0.117009
Superscaffold1	44742300	45035421	-0.155341	-0.066580	-0.036946	-0.087788
Superscaffold1	45035450	45405041	0.294038	0.118937	0.069083	0.212531
Superscaffold1	45405137	45817162	-0.378480	-0.123702	-0.070138	-0.291527
Superscaffold1	45817191	46342242	-0.801692	-0.338528	-0.148487	-0.747445
Superscaffold1	46342818	47260575	0.273540	0.047548	0.026322	0.227463
Superscaffold1	47260576	47725154	0.764903	0.290036	0.169770	0.681257
Superscaffold1	47725298	48116311	0.635568	0.359734	0.183640	0.591969
Superscaffold1	48116926	48481650	0.657292	0.287797	0.144528	0.574462
Superscaffold1	48481771	48821524	0.516591	0.160954	0.092734	0.465656
Superscaffold1	48821547	49301265	0.304009	0.068947	0.044755	0.252223
Superscaffold1	49301271	49799299	0.207912	0.032339	0.020677	0.144791
Superscaffold1	49799492	50221375	0.761524	0.377325	0.179963	0.693689
Superscaffold1	50221572	50700315	-0.140042	-0.033783	-0.023892	-0.116084
Superscaffold1	50702971	51086813	0.204588	0.123549	0.079831	0.108208
Superscaffold1	51086830	51941265	0.135279	0.047202	0.030727	0.075932
Superscaffold2	54413	530581	-0.282752	-0.096385	-0.065921	-0.201057
Superscaffold2	530606	892936	0.174889	0.068379	0.040997	0.125597
Superscaffold2	892947	1325676	0.052781	0.020876	0.013685	0.039928
Superscaffold2	1325713	1758695	0.164527	0.066704	0.041571	0.105276
Superscaffold2	1759255	2241432	0.146561	0.045489	0.026804	0.109758
