chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	205374	381911	-0.265785	-0.362970	-0.159942	-0.138270
Chr01	261632	490286	-0.147346	-0.166911	-0.056402	-0.059322
Chr01	382685	631114	-0.151975	-0.117530	-0.048408	-0.058202
Chr01	490306	852463	-0.257655	-0.189358	-0.092145	-0.109658
Chr01	631118	1028166	-0.091991	-0.067174	-0.028953	-0.032279
Chr01	852597	1189939	-0.004421	-0.002276	-0.001228	-0.003028
Chr01	1028171	1401087	-0.139159	-0.066264	-0.041538	-0.076102
Chr01	1190094	1537711	-0.202147	-0.104801	-0.064459	-0.098647
Chr01	1401181	1653023	-0.059750	-0.030421	-0.018231	-0.025874
Chr01	1537756	1862238	0.036250	0.012291	0.008425	0.017816
Chr01	1653149	2071866	0.116536	0.039652	0.026328	0.060156
Chr01	1862329	2209649	0.213463	0.088503	0.055134	0.108534
Chr01	2071902	2285712	0.033451	0.018295	0.011662	0.017298
Chr01	2209653	2441288	0.141732	0.102410	0.061815	0.093458
Chr01	2285773	2534810	0.217501	0.165063	0.097150	0.148063
Chr01	2441343	2663800	0.074136	0.061486	0.035375	0.040515
Chr01	2534813	2738957	0.029274	0.021029	0.012110	0.014305
Chr01	2663825	2845749	0.158084	0.102770	0.060379	0.081493
Chr01	2741655	2973680	0.090658	0.067249	0.038218	0.053871
Chr01	2845842	3094511	-0.107378	-0.096710	-0.049245	-0.052472
Chr01	2973753	3247472	-0.113281	-0.076732	-0.041205	-0.050731
Chr01	3094556	3426727	0.040718	0.019615	0.011254	0.020259
Chr01	3247589	3575672	-0.184019	-0.101722	-0.058221	-0.101532
Chr01	3427106	3757322	-0.322743	-0.182324	-0.110086	-0.167847
Chr01	3575674	3871283	-0.035387	-0.021305	-0.013983	-0.016322
Chr01	3757530	3997203	0.089314	0.059712	0.038787	0.034133
Chr01	3871351	4071346	-0.000195	-0.000139	-0.000077	0.002975
Chr01	3997210	4238226	-0.019946	-0.011306	-0.005974	-0.005012
Chr01	4071356	4331112	0.140656	0.094376	0.046865	0.072498
Chr01	4238334	4438814	0.247769	0.265142	0.134859	0.129631
Chr01	4331129	4506723	0.177530	0.184887	0.110120	0.097724
Chr01	4438816	4626641	0.043325	0.042686	0.021106	0.022331
Chr01	4506726	4775844	0.115447	0.084066	0.044577	0.054194
Chr01	4626696	4997575	0.248363	0.145229	0.080697	0.144348
Chr01	4775925	5148766	0.246382	0.144581	0.082053	0.153346
Chr01	4997679	5404647	0.152701	0.092861	0.056392	0.085317
Chr01	5148780	5580064	0.179494	0.106282	0.071488	0.105987
Chr01	5407404	5725814	0.204683	0.123351	0.078778	0.108157
Chr01	5580249	5848650	0.100299	0.078856	0.037601	0.044263
Chr01	5725815	5934411	0.172394	0.175447	0.071523	0.079489
Chr01	5848658	6033897	0.199248	0.192006	0.083845	0.089143
Chr01	5934412	6147414	-0.166261	-0.115050	-0.062987	-0.076648
Chr01	6033928	6233982	-0.252969	-0.222278	-0.104705	-0.132888
Chr01	6147582	6347931	-0.025683	-0.046050	-0.010693	-0.007722
Chr01	6234214	6679301	0.132501	0.078086	0.032886	0.073772
Chr01	6348091	6948125	0.379621	0.182647	0.094043	0.274637
