chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	129218	150585	-0.225929	-0.104381	-0.060951	-0.144005
Chr01	150670	160942	-0.313500	-0.335191	-0.156158	-0.184955
Chr01	160953	183269	-0.293070	-0.273799	-0.134232	-0.165073
Chr01	183280	186360	-0.120812	-0.259608	-0.100365	-0.066481
Chr01	186482	202685	0.097105	0.101905	0.053349	0.073326
Chr01	202777	210038	0.388623	0.261759	0.163177	0.231172
Chr01	210331	217783	0.547257	0.312940	0.225871	0.402953
Chr01	217811	225928	0.323938	0.220390	0.137055	0.227623
Chr01	226087	238695	0.555257	0.307147	0.203177	0.376593
Chr01	238736	250595	0.137623	0.059157	0.046285	0.090630
Chr01	250704	257691	-0.225969	-0.090391	-0.067177	-0.202154
Chr01	258057	269547	-0.335005	-0.091225	-0.070142	-0.261828
Chr01	269655	278400	-0.233907	-0.115715	-0.072370	-0.205844
Chr01	278625	307447	-0.194646	-0.104232	-0.061671	-0.114493
Chr01	307480	319285	-0.078867	-0.069169	-0.047043	-0.044959
Chr01	319419	351556	-0.192341	-0.064628	-0.046889	-0.105001
Chr01	351622	386680	0.598331	0.308640	0.216186	0.419977
Chr01	387159	404215	-0.218519	-0.131441	-0.089829	-0.114008
Chr01	404233	426702	-0.366104	-0.064640	-0.049125	-0.175152
Chr01	427998	439730	-0.020363	-0.009595	-0.005731	-0.005815
Chr01	440198	452883	0.125040	0.036718	0.030258	0.034474
Chr01	452887	477693	-0.366645	-0.154453	-0.098430	-0.251853
Chr01	477807	491838	-0.194232	-0.102924	-0.058461	-0.150321
Chr01	491899	514509	-0.244036	-0.081312	-0.046364	-0.074294
Chr01	514610	523459	-0.233263	-0.168008	-0.112974	-0.131981
Chr01	523541	544861	-0.336329	-0.244132	-0.158172	-0.330605
Chr01	544894	561801	-0.245266	-0.136864	-0.075725	-0.184729
Chr01	561814	577502	-0.041401	-0.012944	-0.010008	-0.050247
Chr01	577590	609990	0.445784	0.152037	0.122246	0.365262
Chr01	610029	624110	0.333817	0.156084	0.119598	0.203912
Chr01	624400	635711	0.484179	0.428020	0.320394	0.363568
Chr01	635716	650176	0.536717	0.490343	0.339779	0.491491
Chr01	650206	659162	0.536299	0.320938	0.239550	0.384557
Chr01	659332	670161	0.478535	0.182413	0.159077	0.395268
Chr01	670173	711171	-0.071011	-0.047739	-0.023081	-0.033384
Chr01	711529	777592	-0.549551	-0.400790	-0.152286	-0.343134
Chr01	777601	835317	-0.045103	-0.021225	-0.013212	-0.020520
Chr01	835361	852325	-0.445796	-0.204243	-0.084394	-0.272990
Chr01	852409	869316	-0.064651	-0.046387	-0.016338	-0.044591
Chr01	869586	886364	-0.077407	-0.039628	-0.024341	-0.059346
Chr01	886461	925864	-0.099048	-0.032474	-0.019378	-0.056060
Chr01	926177	943274	0.194134	0.065023	0.044401	0.155736
Chr01	943277	957368	0.611501	0.289891	0.183204	0.304186
Chr01	957376	979999	0.377665	0.159276	0.081699	0.342981
Chr01	980025	999713	-0.510425	-0.124641	-0.082879	-0.365242
Chr01	999732	1027118	0.074153	0.009685	0.007153	0.051712
Chr01	1027212	1044503	-0.526516	-0.048012	-0.036403	-0.376282
Chr01	1044815	1076435	-0.609035	-0.138275	-0.088976	-0.513059
Chr01	1077641	1103666	0.032218	0.016811	0.009036	0.022196
Chr01	1103698	1117000	-0.874639	-1.467316	-0.441445	-0.776505
Chr01	1117102	1141476	-0.130198	-0.076227	-0.045161	-0.113966
Chr01	1141483	1154178	-0.079785	-0.017985	-0.013615	-0.058511
Chr01	1154285	1169131	0.043135	0.008032	0.006330	0.028488
Chr01	1169402	1183426	0.371434	0.074046	0.057174	0.272692
Chr01	1183433	1204870	0.432020	0.158184	0.083631	0.347007
Chr01	1206305	1237697	0.180046	0.041977	0.021640	0.151259
Chr01	1238011	1292815	0.242158	0.081845	0.036994	0.146891
Chr01	1292823	1309851	0.158959	0.069129	0.034869	0.084200
Chr01	1309911	1319858	-0.362674	-0.459607	-0.149716	-0.280399
Chr01	1319910	1336196	0.118769	0.060861	0.038071	0.098163
Chr01	1336245	1391008	0.099060	0.021432	0.011789	0.079849
Chr01	1392533	1408158	0.359709	0.098106	0.070833	0.193379
Chr01	1408159	1433607	0.016417	0.010153	0.005841	0.005051
Chr01	1433809	1451998	0.486099	0.241494	0.135986	0.379694
Chr01	1452031	1458234	-0.016764	-0.010457	-0.005262	-0.019161
Chr01	1458311	1466264	0.193607	0.112969	0.059352	0.182629
Chr01	1466339	1473690	0.249647	0.133827	0.082370	0.209094
Chr01	1473693	1484539	0.209551	0.128035	0.082783	0.197629
Chr01	1484541	1501403	0.479110	0.248759	0.161322	0.426955
Chr01	1501533	1511567	-0.018589	-0.007457	-0.004812	-0.016997
Chr01	1511593	1533548	0.165753	0.040093	0.028164	0.145309
Chr01	1533552	1539788	0.027390	0.021068	0.013366	0.004337
Chr01	1539817	1550222	0.174764	0.051384	0.038271	0.143090
Chr01	1550351	1567355	-0.229328	-0.071831	-0.041006	-0.177421
Chr01	1567356	1587324	0.069478	0.027301	0.011960	0.058471
Chr01	1587857	1617773	0.795052	0.433475	0.212182	0.745900
