chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	238913	531771	-0.038935	-0.021264	-0.013256	-0.024850
Chr01	393969	715477	0.077055	0.037269	0.024083	0.045127
Chr01	531774	1004608	0.039721	0.016551	0.010581	0.024797
Chr01	720108	1212504	0.020268	0.005687	0.003836	0.016240
Chr01	1004846	1452724	0.072531	0.021417	0.013728	0.057547
Chr01	1212543	1559756	0.191975	0.083042	0.050264	0.140755
Chr01	1452742	1703722	0.135405	0.059926	0.036031	0.104875
Chr01	1559880	1896934	-0.064048	-0.027279	-0.013611	-0.040446
Chr01	1703878	2101623	-0.101933	-0.041864	-0.020259	-0.072019
Chr01	1896939	2253162	-0.004642	-0.002039	-0.001122	-0.007062
Chr01	2101651	2435144	0.042011	0.019922	0.012479	0.029900
Chr01	2253209	2564203	-0.058700	-0.033462	-0.021432	-0.033040
Chr01	2435326	2679725	0.039111	0.023800	0.015917	0.034167
Chr01	2564204	2767256	0.155716	0.095071	0.059081	0.111877
Chr01	2679831	2884052	-0.062037	-0.044986	-0.023816	-0.040352
Chr01	2767262	3080100	-0.136495	-0.073384	-0.043521	-0.093738
Chr01	2884053	3242776	-0.066625	-0.025910	-0.016217	-0.049684
Chr01	3080105	3426796	0.002915	0.001015	0.000643	0.001112
Chr01	3243241	3645318	0.013744	0.004899	0.002972	0.007735
Chr01	3426801	3835569	0.012300	0.005129	0.002933	0.006044
Chr01	3645406	4051328	-0.017410	-0.007865	-0.004332	-0.012825
Chr01	3835672	4256477	-0.004841	-0.002029	-0.001133	-0.001045
Chr01	4051382	4396177	0.111553	0.057715	0.031336	0.083339
Chr01	4256535	4495483	0.133066	0.093835	0.050808	0.080988
Chr01	4396537	4644978	0.052018	0.027430	0.017258	0.031546
Chr01	4495497	4861837	0.145052	0.066436	0.039091	0.101419
Chr01	4644991	5059810	0.072077	0.029402	0.018506	0.055735
Chr01	4861984	5215154	-0.121087	-0.047512	-0.030571	-0.084455
Chr01	5059843	5563305	-0.045060	-0.018955	-0.012179	-0.037470
Chr01	5215160	5722323	0.033947	0.015828	0.010304	0.018370
Chr01	5563350	5869717	-0.085753	-0.047108	-0.027342	-0.053156
Chr01	5722379	6006040	-0.132669	-0.076550	-0.044023	-0.085729
Chr01	5869761	6169630	0.214956	0.102116	0.063164	0.158681
Chr01	6006069	6360104	-0.126911	-0.061736	-0.036177	-0.107053
Chr01	6169639	6675165	-0.526106	-0.264714	-0.147095	-0.471332
Chr01	6360165	6848236	0.174480	0.069453	0.048519	0.155893
Chr01	6675235	7061790	0.477196	0.164928	0.119139	0.419520
Chr01	6848247	7313122	-0.136801	-0.054818	-0.034031	-0.102134
Chr01	7061961	7469662	-0.100691	-0.051301	-0.031087	-0.072645
Chr01	7313199	7700567	0.166809	0.067598	0.038499	0.131828
Chr01	7469750	7853305	0.106731	0.039863	0.022672	0.085692
Chr01	7700966	7945850	-0.106657	-0.053120	-0.030104	-0.078640
Chr01	7853335	8070461	-0.136050	-0.079646	-0.041943	-0.093682
Chr01	7945885	8202719	0.182607	0.110498	0.062057	0.118552
Chr01	8070489	8364217	0.204466	0.084556	0.051397	0.130965
Chr01	8202744	8483396	0.098059	0.037104	0.021145	0.055354
Chr01	8364227	8594127	0.209393	0.126163	0.059950	0.128885
Chr01	8483413	8772267	0.039478	0.020451	0.011028	0.036718
Chr01	8594147	9237037	-0.106208	-0.037322	-0.024030	-0.052770
Chr01	8772286	9405757	-0.049408	-0.016665	-0.010202	-0.023215
Chr01	9237046	9598040	-0.091392	-0.042120	-0.023921	-0.076743
Chr01	9405998	9796411	-0.187565	-0.098075	-0.059104	-0.154947
Chr01	9598173	9922085	-0.083653	-0.040895	-0.026430	-0.060319
Chr01	9796413	10046895	0.205560	0.097631	0.067420	0.142353
Chr01	9922149	10186074	0.063611	0.036279	0.021599	0.042305
