chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	544488	711661	-0.074983	-0.109683	-0.055657	-0.042502
Superscaffold1	712162	867111	0.275795	0.253737	0.127672	0.162531
Superscaffold1	867217	1178895	0.033349	0.028474	0.014418	0.018646
Superscaffold1	1178902	1384548	-0.146209	-0.131560	-0.063262	-0.073277
Superscaffold1	1384714	1551301	-0.076765	-0.060300	-0.030851	-0.039516
Superscaffold1	1551463	1882032	0.258587	0.149208	0.081196	0.156105
Superscaffold1	1882150	2080661	0.093667	0.057249	0.024366	0.058298
Superscaffold1	2080694	2262307	-0.000169	-0.000119	-0.000060	-0.002003
Superscaffold1	2262402	2423047	0.108217	0.105445	0.059345	0.058083
Superscaffold1	2423720	2571373	-0.024578	-0.025263	-0.014473	-0.015056
Superscaffold1	2571404	2745465	-0.011819	-0.015022	-0.007217	-0.002971
Superscaffold1	2746237	2846763	0.193028	0.263534	0.114870	0.120434
Superscaffold1	2846771	3075150	-0.024366	-0.023486	-0.011053	-0.017331
Superscaffold1	3075155	3252497	0.018935	0.019650	0.009538	0.010675
Superscaffold1	3252504	3492313	0.163304	0.106194	0.059356	0.088887
Superscaffold1	3492365	3692682	0.124602	0.099968	0.050039	0.077337
Superscaffold1	3692701	3950116	0.216883	0.142553	0.067597	0.116013
Superscaffold1	3950232	4172024	0.077732	0.067288	0.029718	0.049090
Superscaffold1	4172094	4427287	0.228974	0.172863	0.093667	0.144005
Superscaffold1	4427512	4652915	0.296080	0.280435	0.140845	0.203653
Superscaffold1	4652919	4883041	-0.044565	-0.045307	-0.023346	-0.023582
Superscaffold1	4883052	5137380	0.199572	0.175466	0.093755	0.129686
Superscaffold1	5137392	5398420	0.326581	0.184936	0.107633	0.171785
Superscaffold1	5398555	5705082	0.057806	0.030013	0.018928	0.035191
Superscaffold1	5705329	6034122	0.223675	0.099391	0.066668	0.148860
Superscaffold1	6034128	6408405	-0.051293	-0.024186	-0.015186	-0.032220
Superscaffold1	6408449	6784529	0.067874	0.028476	0.018831	0.048461
Superscaffold1	6784593	7189917	-0.259429	-0.119959	-0.069053	-0.189362
Superscaffold1	7189936	7474771	-0.059664	-0.039608	-0.020482	-0.034437
Superscaffold1	7475936	7841404	0.010350	0.004203	0.002664	0.005926
Superscaffold1	7841585	8497895	0.046891	0.022777	0.013127	0.027698
Superscaffold1	8497903	9225240	0.046322	0.021112	0.013867	0.023522
Superscaffold1	9225319	10120283	0.090009	0.038447	0.025487	0.059634
Superscaffold1	10120473	10682209	-0.072167	-0.040392	-0.024298	-0.045599
Superscaffold1	10682231	10884256	0.093239	0.061944	0.033130	0.060570
Superscaffold1	10884327	11141858	0.077854	0.050394	0.028527	0.054178
Superscaffold1	11141974	11452236	-0.387594	-0.202287	-0.125823	-0.286462
Superscaffold1	11452990	11729426	-0.050314	-0.025974	-0.014947	-0.040377
Superscaffold1	11729595	11963172	0.027271	0.017888	0.010043	0.015453
Superscaffold1	11963216	12177615	0.130432	0.118998	0.064612	0.072639
Superscaffold1	12177659	12466539	0.069740	0.055063	0.027867	0.046648
Superscaffold1	12466607	12676468	0.011942	0.007840	0.004135	0.009029
Superscaffold1	12676600	12975138	0.025607	0.013277	0.007119	0.024598
Superscaffold1	12975227	13380281	0.429409	0.195448	0.113042	0.338982
Superscaffold1	13380352	13808706	0.485569	0.377623	0.187067	0.318382
Superscaffold1	13808721	14343349	-0.122332	-0.059463	-0.030977	-0.090989
Superscaffold1	14343389	14734895	0.040459	0.014106	0.008487	0.027332
Superscaffold1	14735024	14941667	-0.000972	-0.000599	-0.000317	-0.001482
Superscaffold1	14941671	15167975	0.287133	0.144957	0.092745	0.179531
Superscaffold1	15168049	15519157	-0.052839	-0.016287	-0.010954	-0.039314
Superscaffold1	15519159	15894255	-0.241086	-0.077104	-0.047373	-0.185912
Superscaffold1	15894293	16224888	0.114395	0.046705	0.027500	0.085843
Superscaffold1	16224935	16561740	0.170753	0.065863	0.041355	0.117200
Superscaffold1	16562254	16835447	-0.024228	-0.014884	-0.008578	-0.016342
Superscaffold1	16835456	17138872	-0.055021	-0.035645	-0.016464	-0.030044
Superscaffold1	17139136	17555964	0.023907	0.010701	0.006294	0.021579
Superscaffold1	17556029	18197908	-0.085028	-0.050708	-0.025642	-0.053604
Superscaffold1	18197928	18424441	-0.135917	-0.095639	-0.048238	-0.074100
Superscaffold1	18424474	18926538	-0.138356	-0.051596	-0.031049	-0.086897
Superscaffold1	18926621	19146875	-0.145622	-0.069268	-0.045871	-0.092442
Superscaffold1	19146902	19566887	-0.035130	-0.021646	-0.013473	-0.027120
Superscaffold1	19566888	19844592	0.110830	0.048587	0.032849	0.086163
Superscaffold1	19844604	20102384	0.116912	0.060902	0.035737	0.077103
Superscaffold1	20102412	20491124	0.133966	0.054854	0.033304	0.081037
Superscaffold1	20491137	21093579	-0.156222	-0.059992	-0.032719	-0.100159
Superscaffold1	21093591	21272531	0.274389	0.126899	0.075137	0.150595
Superscaffold1	21272564	21525739	0.258755	0.140980	0.069020	0.150903
Superscaffold1	21525890	21844124	-0.177346	-0.073842	-0.044212	-0.110295
Superscaffold1	21844300	22242413	0.235637	0.080113	0.052424	0.169079
Superscaffold1	22242506	22725227	0.398320	0.138269	0.083766	0.287725
Superscaffold1	22725692	23116662	0.542537	0.268834	0.162612	0.454578
Superscaffold1	23116690	23538850	0.126697	0.037841	0.021431	0.102450
Superscaffold1	23538867	23921525	-0.067719	-0.024976	-0.014653	-0.048915
Superscaffold1	23921530	24297640	-0.015189	-0.005470	-0.003560	-0.009399
Superscaffold1	24297655	24667736	0.170662	0.056950	0.036817	0.133661
Superscaffold1	24667752	24952651	-0.030450	-0.016570	-0.008977	-0.020455
Superscaffold1	24952846	25387851	-0.110361	-0.036744	-0.021655	-0.072644
Superscaffold1	25387868	25680992	0.171093	0.070830	0.045082	0.104576
Superscaffold1	25681042	25880198	-0.022297	-0.019084	-0.010277	-0.014910
Superscaffold1	25880201	26183018	0.103273	0.053393	0.029611	0.071282
Superscaffold1	26183095	26359952	-0.155769	-0.117905	-0.054550	-0.114889
Superscaffold1	26359987	26698715	0.028776	0.009770	0.006425	0.019328
Superscaffold1	26698741	27238254	-0.144888	-0.026370	-0.016257	-0.100891
Superscaffold1	27238476	27485455	0.084119	0.052582	0.027917	0.055412
Superscaffold1	27485519	27768589	-0.021663	-0.010596	-0.006151	-0.022638
Superscaffold1	27768629	27960375	-0.163353	-0.212223	-0.079833	-0.100796
Superscaffold1	27960381	28201667	-0.415514	-0.337802	-0.186847	-0.295479
Superscaffold1	28201692	28504840	0.171043	0.090219	0.056471	0.112996
Superscaffold1	28504858	28699989	-0.006813	-0.010995	-0.005777	-0.002420
Superscaffold1	28700031	28875517	-0.155639	-0.237619	-0.106760	-0.084349
Superscaffold1	28875524	29289389	-0.261405	-0.077723	-0.047601	-0.186068
Superscaffold1	29289390	29518359	0.281496	0.139470	0.085799	0.197490
Superscaffold1	29518410	29788346	0.348773	0.190760	0.098043	0.255709
Superscaffold1	29788477	30005992	-0.265186	-0.165140	-0.083135	-0.198037
Superscaffold1	30006073	30316184	-0.096694	-0.073324	-0.040372	-0.051137
Superscaffold1	30316190	30905742	-0.007727	-0.002572	-0.001654	-0.006594
Superscaffold1	30905758	31244902	0.014461	0.004440	0.002802	0.011397
Superscaffold1	31244924	31638282	-0.103912	-0.044545	-0.026848	-0.071458
Superscaffold1	31638461	32368868	0.237400	0.093881	0.049155	0.119945
Superscaffold1	32368882	32665716	0.471921	0.218030	0.138189	0.351053
Superscaffold1	32665789	33004469	-0.126607	-0.042593	-0.027796	-0.078297
Superscaffold1	33005171	33419747	-0.210811	-0.085003	-0.051089	-0.135481
Superscaffold1	33420024	33600367	0.297406	0.202798	0.128063	0.193721
Superscaffold1	33600589	33829395	-0.140217	-0.130781	-0.065331	-0.076519
Superscaffold1	33829506	34035278	-0.065849	-0.039905	-0.022978	-0.037254
Superscaffold1	34035286	34228878	0.145486	0.066255	0.038581	0.100741
Superscaffold1	34228909	34454782	-0.022706	-0.013499	-0.007399	-0.016311
Superscaffold1	34454828	34794779	0.042010	0.016399	0.010356	0.026084
Superscaffold1	34794803	35174527	0.309778	0.094152	0.062455	0.213688
Superscaffold1	35174583	35882748	0.166293	0.079110	0.048987	0.105121
Superscaffold1	35882772	36699960	0.056442	0.024630	0.015130	0.034535
Superscaffold1	36699980	37198567	0.136541	0.039302	0.027401	0.104828
Superscaffold1	37198604	37543698	0.131713	0.052300	0.032057	0.100542
Superscaffold1	37543792	37975249	-0.092622	-0.044000	-0.026709	-0.053494
Superscaffold1	37975443	38435597	0.026157	0.007918	0.005238	0.015626
Superscaffold1	38435612	38802061	0.108628	0.036272	0.024740	0.075204
Superscaffold1	38802064	39052106	0.001225	0.000432	0.000269	0.000549
Superscaffold1	39052108	39297901	-0.103115	-0.038510	-0.022344	-0.070031
Superscaffold1	39298005	39624808	-0.135810	-0.051674	-0.030161	-0.093521
Superscaffold1	39624817	39827576	0.161502	0.055569	0.036416	0.094801
