chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	56775	71028	0.610367	0.262334	0.215888	0.455057
Chr01	71071	78586	0.579646	0.370764	0.296980	0.420041
Chr01	78600	83447	0.657929	0.510022	0.452661	0.468699
Chr01	83463	136368	0.176676	0.102703	0.067116	0.078434
Chr01	136387	151464	-0.285693	-0.252916	-0.119982	-0.117577
Chr01	151498	154064	-0.228797	-0.696679	-0.169900	-0.101109
Chr01	154714	166800	0.036332	0.032204	0.019852	0.014718
Chr01	166811	183063	0.059467	0.098879	0.056388	0.030824
Chr01	183069	185527	0.119821	0.297673	0.162928	0.058671
Chr01	185540	189239	0.240463	0.361072	0.214668	0.102128
Chr01	189314	195864	-0.081468	-0.216532	-0.104843	-0.042153
Chr01	195880	205032	0.081073	0.095460	0.057924	0.048375
Chr01	205057	208548	-0.175924	-0.213199	-0.107573	-0.143831
Chr01	208553	210486	-0.280934	-0.611300	-0.220433	-0.175120
Chr01	210508	215299	0.152199	0.080264	0.061701	0.077095
Chr01	215319	217441	-0.355776	-0.574200	-0.258639	-0.251837
Chr01	217456	219451	-0.244268	-0.325492	-0.161409	-0.186680
Chr01	219488	221493	-0.117237	-0.142031	-0.078379	-0.080525
Chr01	221529	225915	-0.153048	-0.207863	-0.108920	-0.074666
Chr01	225928	230595	-0.216600	-0.645500	-0.183624	-0.113755
Chr01	230785	234900	-0.215005	-0.379407	-0.153761	-0.110062
Chr01	234925	238586	-0.142753	-0.218943	-0.108714	-0.104601
Chr01	238625	246001	-0.144748	-0.161108	-0.080564	-0.090320
Chr01	246091	249428	-0.106634	-0.168701	-0.075737	-0.045263
Chr01	249443	252549	-0.032790	-0.076388	-0.028704	-0.016477
Chr01	252553	255201	-0.247522	-0.632768	-0.191818	-0.129927
Chr01	255213	257627	-0.143834	-0.228535	-0.098170	-0.068859
Chr01	257644	261420	0.031029	0.032125	0.017051	0.011558
Chr01	261433	263721	-0.054051	-0.072805	-0.033524	-0.020523
