chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	248749	604838	-0.262751	-0.122344	-0.082008	-0.177549
Chr01	426702	878540	-0.111989	-0.057303	-0.036325	-0.083362
Chr01	604890	1106992	0.000074	0.000028	0.000019	0.000540
Chr01	878710	1328152	-0.163536	-0.051930	-0.034126	-0.121293
Chr01	1107081	1492130	-0.002512	-0.000987	-0.000619	0.000140
Chr01	1328194	1660429	0.081354	0.036229	0.022088	0.065846
Chr01	1492164	1858895	-0.041709	-0.016485	-0.009107	-0.028531
Chr01	1660433	2054263	-0.198861	-0.079178	-0.038718	-0.141420
Chr01	1859231	2224190	-0.125769	-0.053951	-0.028691	-0.095686
Chr01	2054450	2382940	0.022767	0.011128	0.006740	0.011733
Chr01	2224209	2520157	-0.057691	-0.033709	-0.021290	-0.031194
Chr01	2382961	2664489	-0.120333	-0.066711	-0.043706	-0.082853
Chr01	2520763	2759190	-0.095351	-0.047599	-0.029990	-0.065727
Chr01	2664494	2874359	-0.061863	-0.036084	-0.021423	-0.039463
Chr01	2759385	3076757	0.071755	0.031693	0.021376	0.046339
Chr01	2878455	3273016	0.110238	0.035041	0.024324	0.071191
Chr01	3077057	3443839	-0.043190	-0.014012	-0.008862	-0.025290
Chr01	3273058	3670217	0.008445	0.002819	0.001794	0.003154
Chr01	3443896	3870455	0.040494	0.015378	0.009517	0.025746
Chr01	3670320	4116726	-0.000353	-0.000141	-0.000084	-0.002554
Chr01	3870488	4277105	-0.076583	-0.033570	-0.019019	-0.058320
Chr01	4117550	4438609	-0.000879	-0.000519	-0.000273	0.000510
Chr01	4277172	4563090	0.115913	0.064047	0.039213	0.067644
Chr01	4438652	4719384	0.096081	0.043163	0.028126	0.061410
Chr01	4563097	4945389	0.152909	0.060563	0.038261	0.116763
Chr01	4719595	5155383	-0.061570	-0.024507	-0.015221	-0.045074
Chr01	4945394	5497444	-0.140700	-0.057040	-0.036013	-0.099715
Chr01	5155700	5639472	0.030809	0.014892	0.009532	0.022721
Chr01	5497448	5848153	0.003352	0.001725	0.001093	0.004805
Chr01	5639737	5977717	0.028832	0.015485	0.009204	0.020287
Chr01	5848319	6151536	0.245798	0.109349	0.068355	0.174383
Chr01	5978010	6321139	0.332703	0.127991	0.086487	0.268322
Chr01	6153043	6690033	0.050827	0.017691	0.012085	0.041385
Chr01	6321247	7050064	-0.069095	-0.014865	-0.011022	-0.055457
Chr01	6690230	7299279	-0.082732	-0.019778	-0.014772	-0.057417
Chr01	7050099	7460987	-0.085082	-0.037954	-0.024300	-0.057052
Chr01	7299296	7708846	0.155903	0.063727	0.036457	0.122187
Chr01	7461027	7877416	0.114207	0.042465	0.024874	0.088087
Chr01	7709078	7991668	-0.169191	-0.074420	-0.044447	-0.121795
Chr01	7877429	8120150	-0.133075	-0.074341	-0.041149	-0.091193
Chr01	7991768	8338268	0.298859	0.107573	0.070899	0.213171
Chr01	8120156	8473605	0.418182	0.156269	0.097620	0.296204
Chr01	8338279	8593097	0.256023	0.145095	0.071190	0.171143
Chr01	8473616	8774145	0.066812	0.032569	0.017814	0.055041
Chr01	8593168	9268334	-0.079441	-0.027143	-0.017853	-0.034094
Chr01	8774223	9458180	-0.032979	-0.010593	-0.006510	-0.012820
Chr01	9268411	9638360	-0.133081	-0.059371	-0.034361	-0.111089
Chr01	9458212	9839732	-0.315478	-0.166767	-0.105387	-0.247883
Chr01	9638368	9970483	-0.156495	-0.065348	-0.044043	-0.114556
Chr01	9839805	10073114	0.087240	0.037937	0.025367	0.063424
Chr01	9970516	10258839	-0.034173	-0.018515	-0.010722	-0.023813
Chr01	10073509	10414378	0.065099	0.031991	0.019051	0.036081
Chr01	10258849	10933340	0.174587	0.067875	0.043157	0.128292
