chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	249512	609525	-0.212432	-0.094356	-0.061488	-0.157035
Chr01	432173	861930	-0.321581	-0.167501	-0.100586	-0.262212
Chr01	609899	1097281	-0.143412	-0.055913	-0.036322	-0.119472
Chr01	862123	1292360	-0.234937	-0.084152	-0.053238	-0.192548
Chr01	1097282	1465757	-0.412268	-0.192301	-0.111410	-0.335742
Chr01	1292380	1591386	-0.285265	-0.140281	-0.084994	-0.232165
Chr01	1466085	1745876	-0.159534	-0.070719	-0.041448	-0.125548
Chr01	1591414	1991778	-0.298923	-0.135302	-0.063447	-0.234921
Chr01	1746995	2159527	-0.263979	-0.114509	-0.055552	-0.207342
Chr01	1992128	2271617	-0.024474	-0.010367	-0.006441	-0.019560
Chr01	2159794	2477059	0.040675	0.018976	0.012693	0.027648
Chr01	2271641	2611984	-0.117381	-0.067150	-0.042600	-0.073069
Chr01	2477063	2719252	-0.130189	-0.067180	-0.044147	-0.091786
Chr01	2612149	2803811	-0.025525	-0.012763	-0.008203	-0.014260
Chr01	2719344	2979554	0.077221	0.039782	0.025328	0.050787
Chr01	2803834	3168173	0.128247	0.046113	0.032361	0.080096
Chr01	2979556	3362427	-0.063823	-0.020478	-0.013579	-0.039118
Chr01	3168182	3567385	-0.102099	-0.030690	-0.019539	-0.072721
Chr01	3362455	3760345	-0.039827	-0.013062	-0.008265	-0.033977
Chr01	3567904	3960939	-0.019915	-0.009146	-0.005012	-0.013881
Chr01	3760355	4167367	0.077773	0.034392	0.019723	0.061848
Chr01	3960982	4305487	0.137986	0.062491	0.037549	0.102488
Chr01	4167378	4448169	0.057660	0.035948	0.018207	0.037227
Chr01	4305804	4569163	0.007999	0.004795	0.002713	0.002533
Chr01	4448432	4773082	0.106829	0.047739	0.029408	0.067282
Chr01	4569199	4945193	0.274832	0.115429	0.073000	0.213707
Chr01	4773426	5152292	0.085966	0.035912	0.023153	0.071632
Chr01	4945209	5496301	-0.170987	-0.068541	-0.042682	-0.123730
Chr01	5152299	5636187	-0.201404	-0.103024	-0.059360	-0.138322
Chr01	5496402	5836021	-0.193926	-0.112629	-0.063055	-0.125963
Chr01	5636197	5944788	-0.158948	-0.093877	-0.052315	-0.095264
Chr01	5836448	6117581	-0.024001	-0.011403	-0.006612	-0.015795
Chr01	5944821	6284072	0.036564	0.016258	0.010081	0.031211
Chr01	6117659	6601129	-0.218112	-0.109629	-0.066428	-0.180485
Chr01	6284087	6812091	0.120035	0.035980	0.025772	0.095880
Chr01	6601176	7049121	0.395079	0.092306	0.069300	0.321138
Chr01	6812153	7306163	-0.148068	-0.051648	-0.033610	-0.101959
Chr01	7049133	7461767	-0.155123	-0.072159	-0.044737	-0.108507
Chr01	7306164	7717098	0.157465	0.061252	0.035557	0.120795
Chr01	7461982	7884104	0.126720	0.044663	0.026522	0.096082
Chr01	7717494	7990207	-0.155766	-0.069285	-0.041690	-0.106745
Chr01	7884282	8107895	-0.037652	-0.023827	-0.012756	-0.025767
Chr01	7990252	8264327	0.292244	0.139780	0.084794	0.206170
Chr01	8108269	8430689	0.427132	0.173683	0.106459	0.290807
Chr01	8264433	8533032	0.309561	0.141948	0.080185	0.189043
Chr01	8430727	8658475	0.083678	0.041843	0.022260	0.050877
Chr01	8533079	8941880	0.073058	0.029909	0.018206	0.050375
Chr01	8658500	9284270	-0.053370	-0.021175	-0.013961	-0.026169
Chr01	8941909	9474362	-0.123425	-0.050848	-0.028957	-0.095357
Chr01	9284654	9657364	0.009892	0.004801	0.002672	0.010910
Chr01	9474984	9826110	-0.042812	-0.024847	-0.015504	-0.035458
