chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	215006	456806	-0.007090	-0.005018	-0.002566	-0.000022
Chr01	311342	589142	-0.167264	-0.130878	-0.057053	-0.075719
Chr01	456810	864112	-0.163485	-0.106822	-0.045760	-0.067705
Chr01	589357	1051479	-0.062611	-0.041135	-0.017744	-0.023399
Chr01	864118	1179282	0.053350	0.041322	0.019287	0.022096
Chr01	1051672	1381094	-0.078561	-0.050532	-0.029222	-0.041817
Chr01	1179287	1496081	-0.210444	-0.139022	-0.083137	-0.101164
Chr01	1381106	1632820	-0.004617	-0.002689	-0.001554	-0.001983
Chr01	1496089	1829835	0.109107	0.038204	0.025667	0.056793
Chr01	1632869	2056392	0.133019	0.044964	0.029355	0.060349
Chr01	1830942	2189005	0.296547	0.129287	0.080002	0.140623
Chr01	2056726	2277558	0.250881	0.152697	0.096300	0.141964
Chr01	2189047	2476230	0.144952	0.109481	0.062359	0.095817
Chr01	2277686	2620130	0.119964	0.084830	0.049670	0.080423
Chr01	2476274	2712410	-0.080082	-0.050890	-0.031583	-0.048806
Chr01	2620132	2790613	-0.076504	-0.048794	-0.031800	-0.046715
Chr01	2712468	2935536	0.049087	0.037856	0.022044	0.032539
Chr01	2790632	3060204	0.056096	0.050848	0.024421	0.031367
Chr01	2935545	3191016	0.012161	0.009536	0.005099	0.007544
Chr01	3060211	3403236	0.031944	0.016176	0.009484	0.017394
Chr01	3191360	3586453	-0.055533	-0.026403	-0.015062	-0.030347
Chr01	3403258	3791395	-0.102221	-0.050922	-0.032322	-0.054174
Chr01	3586466	4009224	0.051803	0.023481	0.015894	0.032204
Chr01	3791482	4166246	0.152624	0.075329	0.044897	0.095210
Chr01	4009456	4293578	0.201338	0.118446	0.061801	0.112364
Chr01	4166273	4425032	0.122528	0.079856	0.046008	0.067557
Chr01	4293665	4530503	0.047385	0.032789	0.021045	0.029568
Chr01	4425065	4677811	0.068155	0.045637	0.026168	0.040393
Chr01	4530504	4850837	0.111857	0.062794	0.037819	0.059725
Chr01	4677927	5040580	0.181703	0.106732	0.060849	0.108115
Chr01	4851351	5201822	0.237871	0.157519	0.081722	0.148662
Chr01	5040909	5597614	0.155284	0.095277	0.054899	0.094879
Chr01	5201849	5828221	0.143572	0.076474	0.042042	0.075700
Chr01	5597714	5931010	0.240456	0.137046	0.068007	0.116935
Chr01	5828242	6107635	0.118586	0.065856	0.035476	0.062697
Chr01	5931067	6227425	-0.011387	-0.006958	-0.003477	-0.002100
Chr01	6107671	6415068	0.097245	0.074449	0.024262	0.043692
Chr01	6227753	6817656	0.392716	0.254089	0.094172	0.205580
Chr01	6415302	7011795	0.488467	0.282343	0.123388	0.323237
Chr01	6817659	7217255	0.280306	0.170426	0.068003	0.181283
Chr01	7011845	7397638	-0.041467	-0.030128	-0.011396	-0.025407
Chr01	7217326	7526105	0.153309	0.111801	0.042529	0.089761
Chr01	7397650	7724754	0.308085	0.161144	0.070835	0.155509
Chr01	7526109	7913155	0.213827	0.097391	0.049342	0.102217
Chr01	7724992	8088800	0.092583	0.047994	0.026755	0.052613
Chr01	7913273	8278269	-0.018723	-0.007510	-0.005232	-0.009356
Chr01	8088908	8528151	0.051288	0.017610	0.012024	0.029800
Chr01	8278777	8734173	0.025308	0.010758	0.006651	0.012097
Chr01	8528292	9205744	-0.076197	-0.039174	-0.024269	-0.043900
Chr01	8734184	9383882	-0.020240	-0.010192	-0.006408	-0.013157
Chr01	9205792	9514674	0.099811	0.049057	0.030256	0.046073
Chr01	9383890	9654434	-0.071545	-0.047970	-0.029364	-0.029455
Chr01	9514916	9837381	-0.021475	-0.016062	-0.010511	-0.012510
Chr01	9654465	9924898	0.030976	0.021489	0.013876	0.017640
Chr01	9837487	10051555	0.027195	0.022210	0.013079	0.016499
Chr01	9925429	10236898	0.086143	0.050841	0.031657	0.055636
Chr01	10051737	10393882	0.108257	0.054686	0.036006	0.063938
Chr01	10237026	10920480	0.047255	0.025337	0.015733	0.028690
Chr01	10394108	11096164	0.079417	0.038816	0.021927	0.048725
Chr01	10920483	11296483	0.102251	0.046618	0.026628	0.052232
Chr01	11096339	11420418	-0.044408	-0.023906	-0.014342	-0.022015
Chr01	11296484	11550457	0.000451	0.000341	0.000175	-0.002199
Chr01	11420618	11716535	0.029763	0.019914	0.010596	0.016605
Chr01	11550515	11996624	0.138763	0.078302	0.048322	0.086707
Chr01	11716746	12121632	0.243105	0.159159	0.101366	0.171325
Chr01	11996652	12369582	0.133642	0.063594	0.041286	0.080423
Chr01	12121653	12711788	0.064081	0.019745	0.012132	0.036486
Chr01	12369613	13155253	0.163122	0.052935	0.026706	0.085380
Chr01	12711838	13539292	0.233140	0.076973	0.036550	0.106571
Chr01	13155320	13822143	0.088777	0.025946	0.014682	0.043382
Chr01	13539320	14035563	-0.085933	-0.028802	-0.017918	-0.044583
Chr01	13822146	14224152	-0.035948	-0.015749	-0.010252	-0.020875
Chr01	14035595	14374536	-0.388748	-0.229193	-0.126815	-0.269863
Chr01	14224225	14589949	-0.559004	-0.255924	-0.145326	-0.377480
Chr01	14374581	14755899	-0.297744	-0.118542	-0.063752	-0.167223
Chr01	14589973	14936786	0.006881	0.003048	0.001678	0.006289
Chr01	14755946	15104401	0.127773	0.049631	0.030095	0.073964
Chr01	14936830	15283909	0.087327	0.034243	0.020770	0.049570
Chr01	15104431	15530753	0.248214	0.081078	0.054812	0.157310
Chr01	15284241	15691620	0.262790	0.099978	0.061869	0.159446
Chr01	15531582	16142949	0.067411	0.037415	0.021035	0.036434
Chr01	15691647	16351907	-0.074837	-0.039324	-0.024918	-0.040766
Chr01	16142966	16512567	-0.070137	-0.038402	-0.026106	-0.043681
Chr01	16352268	16802194	0.020683	0.008931	0.006112	0.014968
Chr01	16512696	17020795	0.135584	0.051395	0.032818	0.086297
Chr01	16802368	17312228	0.084702	0.030605	0.019167	0.053474
Chr01	17020818	17477412	0.080955	0.031798	0.019199	0.052789
Chr01	17312250	17572475	0.100168	0.063953	0.031968	0.053968
Chr01	17477551	17835933	0.171768	0.093363	0.053433	0.096070
Chr01	17572639	18089026	0.188433	0.091911	0.052869	0.102731
Chr01	17836484	18323648	-0.013945	-0.007084	-0.004014	-0.008573
Chr01	18089032	18502123	-0.003992	-0.002425	-0.001188	0.000334
Chr01	18323678	18641655	0.163769	0.115621	0.047361	0.087433
Chr01	18502236	18800256	0.356829	0.171873	0.099674	0.224007
Chr01	18641664	18945180	0.287706	0.132784	0.081907	0.183387
Chr01	18800277	19127286	0.153937	0.070829	0.041552	0.095674
Chr01	18945184	19302121	0.155685	0.076832	0.045448	0.099945
Chr01	19127290	19679113	0.019432	0.005394	0.003261	0.016069
Chr01	19302159	19912266	-0.112232	-0.026146	-0.016663	-0.069290
Chr01	19679626	20121822	0.003683	0.001166	0.000750	0.002807
Chr01	19912274	20319054	0.083498	0.028945	0.018647	0.047690
Chr01	20121844	20534047	-0.037621	-0.014301	-0.009719	-0.019978
Chr01	20319164	20660500	0.132877	0.065349	0.043500	0.076558
Chr01	20534473	20856912	0.066265	0.033212	0.020126	0.037400
Chr01	20660540	21076020	-0.223376	-0.107207	-0.056303	-0.117295
Chr01	20856913	21473068	-0.175366	-0.059540	-0.031378	-0.087255
Chr01	21076022	21691470	-0.000734	-0.000178	-0.000102	-0.003623
Chr01	21473091	22084552	-0.093809	-0.020988	-0.013469	-0.062810
Chr01	21691938	22344798	-0.062456	-0.015684	-0.010426	-0.043527
Chr01	22084711	22608168	0.278634	0.106156	0.066558	0.176398
Chr01	22347616	23014087	0.267505	0.088966	0.056301	0.159387
Chr01	22608333	23211717	0.060903	0.017910	0.011323	0.035231
Chr01	23014188	23527028	0.045821	0.014423	0.009602	0.023561
Chr01	23211766	23706791	0.180556	0.067412	0.045268	0.079308
Chr01	23527136	23877615	0.258656	0.113379	0.072398	0.117149
Chr01	23706840	24033939	0.157463	0.072470	0.042750	0.083634
Chr01	23877710	24123912	0.026347	0.020875	0.009800	0.012835
Chr01	24033966	24258852	-0.051473	-0.054344	-0.025896	-0.025162
Chr01	24123916	24488947	0.109319	0.062087	0.037913	0.059484
Chr01	24258855	24705314	0.207336	0.083990	0.054743	0.109680
Chr01	24489017	24955701	-0.013321	-0.005507	-0.003166	-0.008827
Chr01	24707628	25191925	0.137650	0.043310	0.024819	0.068479
Chr01	24956629	25424809	0.313841	0.104997	0.060750	0.196499
Chr01	25191932	25648281	-0.004116	-0.002300	-0.000902	0.001290
Chr01	25424868	25846011	0.054348	0.019824	0.009629	0.050442
Chr01	25648641	26077750	0.164539	0.049080	0.031264	0.121202
Chr01	25846071	26171306	0.349234	0.173420	0.125840	0.237546
Chr01	26077784	26372720	0.490137	0.307591	0.217346	0.298479
Chr01	26171342	26594953	0.238263	0.107560	0.068259	0.123214
Chr01	26372768	26731187	0.095131	0.039386	0.025232	0.055127
Chr01	26595067	26820473	-0.007417	-0.004398	-0.002712	-0.001495
Chr01	26731286	26961391	0.027713	0.019819	0.010369	0.015614
Chr01	26820526	27166649	0.095160	0.068995	0.032900	0.051256
Chr01	26961408	27324226	0.048584	0.028078	0.016135	0.028154
Chr01	27166667	27620470	0.222480	0.136812	0.086177	0.140315
Chr01	27324229	27788271	0.315914	0.185979	0.117404	0.178119
Chr01	27620492	27946801	0.312800	0.138905	0.078169	0.161020
Chr01	27788885	28146519	0.265835	0.110779	0.063759	0.142793
Chr01	27947076	28321697	0.322439	0.139860	0.085245	0.182504
Chr01	28146520	28579805	0.340557	0.138247	0.080907	0.169647
Chr01	28321743	28780120	0.138458	0.052995	0.031627	0.059717
Chr01	28579948	29055100	0.070290	0.034764	0.019185	0.035194
Chr01	28780121	29222641	0.104672	0.048221	0.027437	0.059810
Chr01	29055203	29363070	-0.046958	-0.026996	-0.014674	-0.024320
Chr01	29222642	29505182	-0.147419	-0.127434	-0.054288	-0.069750
Chr01	29363438	29721025	-0.138699	-0.047398	-0.028150	-0.072797
Chr01	29505778	29865145	-0.134781	-0.037518	-0.024654	-0.076816
Chr01	29721055	30082178	0.076670	0.028888	0.015907	0.036766
Chr01	29865589	30226252	0.189283	0.086454	0.042461	0.092442
Chr01	30082181	30378220	0.338772	0.173096	0.101068	0.214290
Chr01	30226301	30654323	0.348174	0.164848	0.105871	0.201931
Chr01	30378222	30869656	-0.018581	-0.007559	-0.004680	-0.012620
Chr01	30654499	31140794	0.018713	0.007729	0.004823	0.014921
Chr01	30869665	31303913	0.276117	0.128386	0.075350	0.167389
Chr01	31140796	31419021	0.351790	0.197924	0.101082	0.198885
Chr01	31303974	31570698	0.189706	0.120045	0.063950	0.095718
Chr01	31419041	31679288	-0.035358	-0.024012	-0.014534	-0.019350
Chr01	31570746	31822698	0.136508	0.092026	0.048327	0.079066
Chr01	31679294	31952270	0.286502	0.156576	0.088693	0.180284
Chr01	31822791	32083623	0.145817	0.064930	0.042249	0.098597
Chr01	31952290	32271716	-0.017286	-0.006743	-0.004426	-0.005157
Chr01	32083624	32745327	0.128919	0.036950	0.023571	0.071371
Chr01	32271829	32949631	0.188775	0.058534	0.037187	0.127407
Chr01	32745362	33157921	0.249366	0.105224	0.061294	0.170267
Chr01	32949761	33294153	0.275822	0.135488	0.068728	0.170473
Chr01	33158014	33397172	0.204857	0.121073	0.061396	0.126628
Chr01	33294158	33608288	0.112351	0.055915	0.028074	0.060453
Chr01	33397552	33792985	0.092357	0.033256	0.016666	0.046234
Chr01	33608400	34049429	-0.001919	-0.000736	-0.000413	0.004061
Chr01	33793040	34239966	-0.015985	-0.006254	-0.003282	-0.000612
Chr01	34049622	34400481	0.275265	0.118322	0.057951	0.142809
Chr01	34239981	34542372	0.214389	0.111092	0.058637	0.132018
Chr01	34400550	34719039	0.121394	0.051245	0.029966	0.071886
Chr01	34542508	34857165	0.077137	0.030459	0.016708	0.042979
Chr01	34719280	35058125	0.183493	0.090839	0.041914	0.080385
Chr01	34857368	35202825	0.216407	0.149784	0.076280	0.132943
Chr01	35058165	35355483	0.201029	0.141816	0.075394	0.126654
Chr01	35203144	35505557	0.068982	0.037625	0.017270	0.032174
Chr01	35355830	35620471	-0.375733	-0.211265	-0.105172	-0.188964
Chr01	35505558	35768652	-0.263076	-0.142346	-0.084079	-0.155515
Chr01	35620495	35838358	0.107323	0.065710	0.043720	0.075154
Chr01	35768775	35910945	0.074690	0.060270	0.040315	0.045587
Chr01	35838368	36107357	-0.055147	-0.036618	-0.016403	-0.023573
Chr01	35911221	36315381	0.170477	0.065934	0.030656	0.091477
Chr01	36107367	36400589	0.177223	0.078192	0.039506	0.097216
Chr01	36315393	36573708	0.182460	0.120990	0.057033	0.100147
Chr01	36400756	36720478	0.204665	0.113749	0.060205	0.114389
Chr01	36573786	36898126	-0.023293	-0.011339	-0.005341	-0.010450
Chr01	36720504	37117981	-0.064545	-0.023530	-0.010431	-0.024388
Chr01	36898204	37336269	0.017007	0.004101	0.002243	0.003594
Chr01	37118065	37621331	0.197769	0.045977	0.022183	0.079307
Chr01	37336399	37766473	0.193569	0.080602	0.033355	0.091163
Chr01	37621553	37943699	0.058372	0.031981	0.016390	0.028557
Chr01	37766511	38193880	0.082717	0.028622	0.015848	0.033195
Chr01	37943854	38483032	0.151809	0.051654	0.031173	0.078339
Chr01	38193941	38943731	0.357230	0.089779	0.049088	0.221197
Chr01	38483122	39189372	0.270924	0.072320	0.039582	0.166725
Chr01	38943740	39463526	-0.060933	-0.014814	-0.010047	-0.049772
Chr01	39189389	40033426	0.098515	0.016632	0.009798	0.069030
Chr01	39465026	40994639	0.135946	0.015350	0.009673	0.104115
Chr01	40034345	41517562	0.226176	0.024710	0.017458	0.136773
Chr01	40994650	42039057	0.306487	0.046130	0.031637	0.141696
Chr01	41517666	42881869	0.039869	0.004379	0.003272	0.017382
Chr01	42039193	44731800	0.131597	0.014255	0.010840	0.034712
Chr01	42882903	46580142	0.150638	0.020338	0.013846	0.032480
Chr01	44734239	46985442	-0.100916	-0.022690	-0.013376	-0.025886
Chr01	46580371	47744667	0.117550	0.022219	0.012302	0.050650
Chr01	46985473	48382428	0.214446	0.035466	0.020699	0.098085
Chr01	47744714	48910902	-0.001621	-0.000323	-0.000222	-0.001349
Chr01	48383275	49237144	-0.228996	-0.037384	-0.029253	-0.123738
Chr01	48911230	49461986	-0.526431	-0.098649	-0.067874	-0.316835
Chr01	49237376	49924515	-0.163723	-0.038773	-0.022178	-0.082728
Chr01	49461991	50063984	0.104818	0.035409	0.019428	0.051146
Chr01	49924758	50221821	-0.016519	-0.011002	-0.005404	-0.004967
Chr01	50064052	50359267	0.105956	0.104864	0.044883	0.068453
Chr01	50221837	50486334	0.119475	0.106652	0.057053	0.077794
Chr01	50359309	50586886	0.378493	0.280280	0.194915	0.232271
Chr01	50486358	50666589	0.509229	0.387950	0.275315	0.317890
Chr01	50586898	50896368	0.196009	0.166261	0.071181	0.107222
Chr01	50666764	51117786	0.327895	0.142147	0.084397	0.209244
Chr01	50896646	52294736	0.363867	0.097402	0.072041	0.209658
Chr02	90164	636117	0.171197	0.082320	0.040665	0.083196
Chr02	407540	757875	0.176031	0.085513	0.043503	0.100374
Chr02	636263	912563	0.190729	0.111307	0.048447	0.103901
Chr02	757886	1171094	0.380733	0.234170	0.086989	0.252829
Chr02	912614	1342512	0.517396	0.319259	0.117624	0.372809
Chr02	1171118	1457408	0.222354	0.169137	0.068748	0.148485
Chr02	1342654	1655992	0.259981	0.180123	0.077661	0.173449
Chr02	1457434	1886322	0.398383	0.209235	0.090258	0.218065
Chr02	1656221	2077881	0.078801	0.034139	0.016315	0.035122
Chr02	1886369	2263561	0.044139	0.020397	0.010809	0.021662
Chr02	2078798	2424318	0.234362	0.092988	0.059350	0.133041
Chr02	2263774	2593335	0.152459	0.060717	0.041617	0.092907
Chr02	2424747	2815052	0.147366	0.076054	0.046021	0.091937
Chr02	2593393	3006349	0.263059	0.127689	0.075302	0.157437
Chr02	2818351	3188145	0.305430	0.177299	0.100898	0.183041
Chr02	3006387	3434873	0.199372	0.096822	0.063089	0.114299
Chr02	3188356	3689279	0.018362	0.006016	0.004036	0.008429
Chr02	3435326	3991366	0.011688	0.003824	0.002355	0.007653
Chr02	3689301	4169922	0.107198	0.038936	0.024740	0.066983
Chr02	3991383	4533625	0.176588	0.053158	0.034863	0.107218
Chr02	4170204	4680248	0.107342	0.040466	0.021584	0.063004
Chr02	4533632	4800914	0.073711	0.062840	0.026863	0.050153
Chr02	4680330	4990782	0.055579	0.042477	0.023774	0.036684
Chr02	4800952	5206978	-0.060752	-0.035388	-0.020947	-0.031188
Chr02	4990832	5390517	-0.026291	-0.011281	-0.007240	-0.012003
Chr02	5207634	5575450	0.305167	0.146530	0.084170	0.160694
Chr02	5390533	5807480	0.299173	0.134925	0.073043	0.185606
Chr02	5575451	6462210	-0.050278	-0.011491	-0.006865	-0.026455
Chr02	5808244	6780608	-0.068553	-0.014578	-0.008435	-0.034058
Chr02	6462216	7040253	0.222923	0.069943	0.039861	0.119324
Chr02	6780696	7248401	0.259770	0.089145	0.053703	0.152927
Chr02	7040328	7419139	0.060720	0.024079	0.013069	0.032014
Chr02	7248566	7707559	0.117551	0.042961	0.022648	0.053065
Chr02	7419147	8164234	0.116206	0.038502	0.021651	0.059224
Chr02	7707560	8356855	0.123574	0.049545	0.029212	0.067326
Chr02	8164335	8655637	0.131561	0.054934	0.033384	0.069276
Chr02	8356866	8869423	0.154020	0.052607	0.033930	0.088929
Chr02	8656342	9084845	0.293161	0.112209	0.066720	0.189120
Chr02	8869716	9422775	0.148164	0.069585	0.037830	0.101291
Chr02	9084994	9651451	-0.027252	-0.014753	-0.008749	-0.013101
Chr02	9422804	9805965	0.078125	0.048363	0.029188	0.056500
Chr02	9651523	10156762	0.139579	0.051439	0.032757	0.091771
Chr02	9805976	10453027	0.113879	0.036068	0.022010	0.065459
Chr02	10156824	10716799	0.062928	0.020060	0.012286	0.034349
Chr02	10453067	11023206	0.005090	0.001475	0.000964	0.001882
Chr02	10716862	11208105	0.120559	0.043216	0.028512	0.062413
Chr02	11023294	11590245	0.165818	0.055294	0.035885	0.095269
Chr02	11208116	11905266	0.151553	0.042956	0.027427	0.092655
Chr02	11590248	12294529	0.114989	0.032106	0.020724	0.064660
Chr02	11905312	12576655	-0.000704	-0.000185	-0.000124	-0.003057
Chr02	12294605	12820559	0.215360	0.065475	0.045465	0.122611
Chr02	12576702	13112151	0.247118	0.079664	0.053594	0.150279
Chr02	12820909	13365390	-0.003411	-0.001025	-0.000678	0.001033
Chr02	13112267	13584032	0.061369	0.020038	0.013693	0.034302
Chr02	13365615	13699296	0.277506	0.122621	0.081206	0.133958
Chr02	13595702	13918762	0.304171	0.184183	0.112721	0.151800
Chr02	13699347	14150061	0.115720	0.056324	0.033723	0.069313
Chr02	13918937	14339502	0.042388	0.019495	0.012132	0.025624
Chr02	14150257	14441241	0.007989	0.004607	0.003242	0.007374
Chr02	14339546	14655928	-0.051875	-0.027891	-0.019464	-0.028271
Chr02	14441408	14802320	0.226574	0.118156	0.077626	0.129667
Chr02	14655935	14891934	0.297573	0.202283	0.126146	0.172244
Chr02	14802331	15170201	0.030726	0.014825	0.010062	0.018520
Chr02	14891981	15429207	-0.088338	-0.030334	-0.020496	-0.048074
Chr02	15170244	15921078	-0.032127	-0.008168	-0.005542	-0.014631
Chr02	15429273	16424367	-0.014713	-0.002841	-0.001961	-0.004303
Chr02	15921097	16740940	0.016653	0.003908	0.002636	0.006671
Chr02	16424627	17012447	0.014316	0.004462	0.002666	0.006733
Chr02	16741092	17096405	-0.176806	-0.075253	-0.033775	-0.042695
Chr02	17012758	17304490	-0.109124	-0.073515	-0.031675	-0.025257
Chr02	17096449	17506933	0.127657	0.064062	0.038083	0.073222
Chr02	17304544	17759606	0.198643	0.075379	0.047458	0.125842
Chr02	17506966	18119402	0.161642	0.044281	0.028067	0.090811
Chr02	17759913	18516580	0.028347	0.008389	0.005076	0.011816
Chr02	18119801	18871550	-0.036289	-0.011245	-0.007008	-0.022632
Chr02	18516611	19425841	0.066223	0.012246	0.007811	0.047747
Chr02	18871693	19728757	0.288452	0.060339	0.037064	0.203616
Chr02	19425942	19928303	0.225296	0.082517	0.050103	0.140937
Chr02	19728778	20194360	-0.003676	-0.001189	-0.000777	-0.001884
Chr02	19928340	20630447	0.048632	0.010864	0.007192	0.020465
Chr02	20194385	20838844	0.217041	0.068354	0.042832	0.118041
Chr02	20631803	21220652	0.248722	0.091166	0.054134	0.171664
Chr02	20838851	21506918	0.085514	0.023715	0.014969	0.054635
Chr02	21220708	21740130	0.005158	0.001727	0.000980	0.002467
Chr02	21508241	22066969	0.093210	0.028677	0.016826	0.056927
Chr02	21740163	22479002	-0.045617	-0.009653	-0.006661	-0.022335
Chr02	22066981	22872218	-0.205516	-0.042388	-0.026598	-0.109737
Chr02	22479061	23354116	-0.239151	-0.068602	-0.032101	-0.135753
Chr02	22872532	23819685	-0.102125	-0.026163	-0.013558	-0.059009
Chr02	23354308	24200884	0.015289	0.002897	0.001862	0.006117
Chr02	23819894	24368961	0.016596	0.004523	0.002646	0.005855
Chr02	24200956	24590637	0.262042	0.111962	0.053374	0.156285
Chr02	24369112	24897365	0.236733	0.076029	0.042452	0.144523
Chr02	24590669	25125595	-0.069556	-0.022459	-0.014077	-0.039795
Chr02	24897369	25268695	-0.190247	-0.108931	-0.062246	-0.100256
Chr02	25125631	25624539	-0.035906	-0.011763	-0.008535	-0.018039
Chr02	25268823	25958713	0.184239	0.040695	0.030462	0.104675
Chr02	25624549	26064128	-0.037504	-0.012638	-0.008280	-0.022073
Chr02	25958749	26285028	-0.186073	-0.075630	-0.042164	-0.102542
Chr02	26064242	26480820	0.086231	0.026964	0.016376	0.042553
Chr02	26285075	26662793	0.340039	0.152189	0.090462	0.202764
Chr02	26481110	26908768	0.356048	0.162976	0.099754	0.207453
Chr02	26662878	27321235	0.146034	0.038662	0.025077	0.081561
Chr02	26908963	27729183	0.109699	0.024292	0.015984	0.068571
Chr02	27321246	27996555	0.074603	0.018392	0.012441	0.044179
Chr02	27729215	28584541	0.058368	0.012365	0.008099	0.033573
Chr02	27998114	28749375	0.158945	0.040085	0.025925	0.100334
Chr02	28584630	29185638	0.104810	0.032396	0.019350	0.064449
Chr02	28749461	29386952	0.139353	0.038584	0.021238	0.072447
Chr02	29185659	29664179	0.210873	0.066132	0.037659	0.103920
Chr02	29386982	30028508	0.172265	0.039754	0.026073	0.091024
Chr02	29664454	30306354	0.302296	0.064918	0.044995	0.161521
Chr02	30028524	30477613	0.282072	0.093034	0.061733	0.166529
Chr02	30306548	30867384	0.269444	0.073155	0.049668	0.180199
Chr02	30479071	31191656	0.247294	0.050725	0.035546	0.145270
Chr02	30867397	31692897	0.084405	0.014562	0.009676	0.042321
Chr02	31193285	32193067	0.057269	0.008013	0.005439	0.025680
Chr02	31694003	32627996	0.067176	0.010616	0.007116	0.032153
Chr02	32193823	32963526	0.155550	0.036148	0.022951	0.098620
Chr02	32629493	33179012	0.228048	0.090662	0.049574	0.153813
Chr02	32963535	33389800	0.160910	0.074425	0.039011	0.105558
Chr02	33179040	33657603	0.165857	0.052545	0.034670	0.101590
Chr02	33390401	33895745	0.124920	0.035727	0.024950	0.076975
Chr02	33657627	34213720	-0.056399	-0.014317	-0.009520	-0.030966
Chr02	33895985	34560589	-0.188766	-0.045419	-0.028364	-0.104091
Chr02	34215567	34678718	-0.371263	-0.141085	-0.066793	-0.216196
Chr02	34560614	34877772	-0.482986	-0.238215	-0.097405	-0.297920
Chr02	34679653	35317242	-0.044500	-0.009591	-0.006433	-0.023541
Chr02	34877803	35605164	0.238477	0.047990	0.033877	0.157068
Chr02	35317477	35843472	0.072083	0.023959	0.015950	0.041290
Chr02	35605274	35951198	-0.091827	-0.048185	-0.029005	-0.048719
Chr02	35843921	36256532	-0.084950	-0.037446	-0.021469	-0.042683
Chr02	35951436	36489602	0.066404	0.023708	0.012980	0.052186
Chr02	36256694	36793889	0.100260	0.040202	0.017352	0.076873
Chr02	36489663	37057456	-0.252504	-0.082588	-0.040328	-0.179422
Chr02	36794101	37201341	-0.303501	-0.105328	-0.057758	-0.218191
Chr02	37057468	37409185	0.050518	0.019459	0.010740	0.030247
Chr02	37201452	37853091	-0.081707	-0.018241	-0.010438	-0.059345
Chr02	37409649	38381562	0.015932	0.002764	0.001722	0.009215
Chr02	37853182	38871474	0.064685	0.011487	0.007307	0.043604
Chr02	38382677	38998087	-0.040207	-0.012923	-0.006506	-0.024149
Chr02	38871989	39419816	-0.077359	-0.031597	-0.015544	-0.044043
Chr02	38998225	40483662	-0.115636	-0.017928	-0.010848	-0.070623
Chr02	39420855	43177329	-0.013940	-0.001447	-0.000878	-0.011967
Chr02	40483985	43907076	0.060157	0.006809	0.004172	0.028365
Chr02	43177375	44996442	0.096615	0.009762	0.006575	0.055169
Chr02	43907122	45824505	0.290186	0.032564	0.020046	0.180727
Chr02	44996760	46404353	0.232362	0.033742	0.019892	0.154058
Chr02	45824583	47058478	-0.007045	-0.001047	-0.000714	-0.001902
Chr02	46404425	47380460	-0.002640	-0.000573	-0.000352	0.003230
Chr02	47059026	47612119	0.225075	0.059307	0.036219	0.149673
Chr02	47380576	47904272	0.236605	0.060190	0.039024	0.158291
