chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	54845	64483	-0.232205	-0.143742	-0.102055	-0.180320
Chr01	64502	77369	-0.053687	-0.023291	-0.018069	-0.035363
Chr01	77403	82353	-0.113174	-0.114371	-0.082300	-0.095930
Chr01	82363	131266	-0.193613	-0.232725	-0.111765	-0.110663
Chr01	131278	151053	-0.283293	-0.281690	-0.133385	-0.122838
Chr01	151075	156122	-0.242588	-0.345412	-0.178586	-0.083407
Chr01	156134	167783	-0.203741	-0.242032	-0.119731	-0.093694
Chr01	167791	183498	-0.170303	-0.358524	-0.138377	-0.069278
Chr01	183614	185772	0.276204	0.360762	0.224747	0.132485
Chr01	185786	189729	0.268629	0.308958	0.182917	0.122938
Chr01	189740	196872	0.237390	0.297684	0.209937	0.100022
Chr01	196901	205057	0.150958	0.159629	0.100741	0.074640
Chr01	205064	208586	-0.108525	-0.129051	-0.065733	-0.071500
Chr01	208589	210572	-0.201314	-0.471974	-0.180197	-0.108163
Chr01	210576	215423	0.045476	0.033884	0.022957	0.025192
Chr01	215446	217623	-0.210021	-0.366066	-0.164319	-0.126193
Chr01	217625	219815	-0.094376	-0.120754	-0.066013	-0.073958
Chr01	219911	223086	-0.015727	-0.018209	-0.010909	-0.003915
Chr01	223087	226605	-0.164858	-0.629033	-0.158285	-0.071398
Chr01	226648	231293	-0.152199	-0.735637	-0.165953	-0.060810
Chr01	231359	235652	-0.148544	-0.221815	-0.114218	-0.074003
Chr01	235657	239214	-0.297569	-0.715587	-0.256320	-0.193353
Chr01	239369	246227	-0.077688	-0.079883	-0.042615	-0.036360
Chr01	246255	249499	-0.072761	-0.140101	-0.066047	-0.027891
Chr01	249508	252194	0.001995	0.004629	0.001737	0.018727
Chr01	252457	254918	-0.091053	-0.144446	-0.066507	-0.036619
Chr01	254962	256642	-0.409028	-1.669797	-0.300993	-0.236549
Chr01	256672	258924	-0.396050	-1.328165	-0.274980	-0.283745
Chr01	258985	262217	-0.782375	-13.751770	-0.546755	-0.617776
Chr01	262219	263838	-0.657677	-11.968970	-0.493257	-0.522328
Chr01	263842	268121	-0.558928	-2.279789	-0.448615	-0.405545
Chr01	268144	270454	-0.288980	-0.720700	-0.187108	-0.162042
Chr01	270465	274617	-0.267961	-0.892746	-0.217361	-0.145274
Chr01	274628	276221	-0.119247	-0.663920	-0.084345	-0.053320
Chr01	276249	281633	-0.279984	-0.691189	-0.191579	-0.171418
Chr01	281733	298696	-0.249779	-0.426927	-0.143900	-0.174359
Chr01	298899	310197	-0.157310	-0.129870	-0.074894	-0.118051
Chr01	310256	315906	-0.038290	-0.033190	-0.024646	-0.026725
Chr01	315931	321003	0.075842	0.095979	0.045889	0.029841
Chr01	321105	335699	0.209496	0.085003	0.062640	0.081287
Chr01	336140	350245	0.137370	0.080100	0.053694	0.081478
Chr01	350441	358898	0.499691	0.260328	0.198361	0.264269
Chr01	359759	386866	0.210646	0.071428	0.050389	0.187836
Chr01	386920	393356	0.113713	0.078291	0.054643	0.050331
Chr01	393378	402311	-0.075880	-0.062753	-0.030197	-0.033966
Chr01	402326	406804	0.366779	0.487288	0.258002	0.163763
Chr01	406811	418333	0.240528	0.154239	0.072119	0.082144
Chr01	418334	426795	0.422311	0.263014	0.212731	0.288077
Chr01	426819	433966	0.246740	0.186408	0.085255	0.163682
Chr01	434154	443214	0.547451	0.399120	0.245531	0.228103
Chr01	443361	449836	0.167906	0.138678	0.091144	0.075503
Chr01	449934	455587	0.238515	0.264356	0.170875	0.147809
Chr01	455620	465993	-0.094567	-0.126461	-0.045878	-0.055154
Chr01	466002	477242	-0.259361	-0.454667	-0.135440	-0.153356
Chr01	477257	480424	-0.268720	-0.647005	-0.131160	-0.144999
Chr01	480480	487480	-0.349045	-0.262604	-0.127931	-0.197630
Chr01	487503	495717	0.191714	0.117669	0.062143	0.091380
Chr01	495726	498651	-0.132064	-0.123509	-0.055457	-0.075485
Chr01	498683	507873	-0.184820	-0.218067	-0.087643	-0.116082
Chr01	507943	515109	-0.248148	-0.557860	-0.103723	-0.087939
Chr01	515158	520283	-0.045155	-0.056232	-0.019913	-0.013548
Chr01	520531	526733	0.235046	0.185496	0.113134	0.193577
Chr01	526742	544850	0.422254	0.269904	0.116561	0.362141
Chr01	544861	561336	0.101333	0.052315	0.020819	0.053583
Chr01	561379	569598	0.264187	0.101084	0.067317	0.183781
Chr01	569622	576878	0.460174	0.207669	0.156099	0.271310
Chr01	576915	580863	0.222577	0.113110	0.083412	0.119160
Chr01	580872	604778	0.511548	0.199413	0.163533	0.447855
Chr01	604838	617151	0.511681	0.203944	0.165054	0.347806
Chr01	617252	623802	0.065100	0.071298	0.039709	0.027394
Chr01	623955	628180	-0.243680	-0.190384	-0.133249	-0.063016
Chr01	628530	633346	-0.113644	-0.063795	-0.043460	-0.031265
Chr01	633382	640354	0.297804	0.147466	0.105562	0.108439
Chr01	640405	650399	0.198964	0.093975	0.057583	0.054400
Chr01	650415	655355	0.072071	0.055658	0.032810	0.021224
Chr01	655358	659703	0.275904	0.102266	0.081924	0.141423
Chr01	659788	668742	0.257050	0.081500	0.069626	0.198588
Chr01	668988	678018	-0.105499	-0.071231	-0.045698	-0.047617
Chr01	678478	694284	-0.425161	-0.421021	-0.193195	-0.322526
Chr01	694297	710074	-0.690584	-1.270303	-0.299660	-0.486803
Chr01	710115	743064	-0.385749	-0.257090	-0.132920	-0.182669
Chr01	743879	798027	-0.361210	-0.301733	-0.111641	-0.158944
Chr01	798844	825446	0.034429	0.034767	0.018062	0.014877
Chr01	825546	836721	0.222293	0.182361	0.082631	0.147779
Chr01	836792	851956	0.135355	0.103264	0.026265	0.077512
Chr01	852177	860641	0.104153	0.249746	0.031782	0.067453
Chr01	860786	869071	-0.043894	-0.059645	-0.011934	-0.011800
Chr01	869140	876509	0.033128	0.048869	0.023563	0.006953
Chr01	876529	884529	-0.256650	-0.440276	-0.213380	-0.126289
Chr01	884549	898132	-0.069471	-0.086062	-0.040254	-0.031312
Chr01	898163	905552	0.307268	0.235282	0.120226	0.139192
Chr01	905554	920346	0.439623	0.499516	0.305677	0.313843
Chr01	920498	930663	-0.192971	-0.252619	-0.119468	-0.107923
Chr01	930669	936937	-0.835326	-2.880299	-0.417620	-0.753726
Chr01	937055	959658	0.058456	0.014853	0.009736	0.022249
Chr01	959697	970864	-0.230517	-0.299549	-0.068096	-0.109032
Chr01	971007	980246	0.396627	0.260198	0.128465	0.214636
Chr01	980260	992572	-0.239113	-0.088904	-0.049557	-0.067701
Chr01	992696	1011287	-0.473908	-0.216838	-0.093320	-0.237833
Chr01	1011682	1021223	0.081159	0.030058	0.019506	0.035569
Chr01	1021265	1030650	-0.109117	-0.048863	-0.027147	-0.040167
Chr01	1030654	1036329	-0.387100	-0.251151	-0.099370	-0.196644
Chr01	1036396	1044251	-0.430147	-0.336386	-0.125682	-0.198821
Chr01	1044254	1051361	0.094103	0.104863	0.040375	0.033886
Chr01	1051689	1064038	0.031897	0.016149	0.005844	0.012024
Chr01	1064064	1080582	-0.155189	-0.044119	-0.024073	-0.057856
Chr01	1080589	1092628	-0.385762	-0.098621	-0.070396	-0.182413
Chr01	1093068	1099612	0.259952	0.132904	0.060416	0.122109
Chr01	1099675	1105490	-0.205919	-0.170334	-0.045791	-0.091788
Chr01	1105511	1116440	0.079390	0.050864	0.025780	0.046206
Chr01	1116536	1123769	-0.308885	-0.524165	-0.079387	-0.131283
Chr01	1123820	1140625	-0.305398	-0.166183	-0.104697	-0.212464
Chr01	1140639	1147577	-0.380254	-0.142033	-0.094480	-0.191430
Chr01	1147583	1152008	-0.173022	-0.057526	-0.042105	-0.057395
Chr01	1152026	1157297	-0.261283	-0.094359	-0.067352	-0.112114
Chr01	1157323	1165278	-0.166569	-0.077667	-0.052233	-0.061715
Chr01	1165306	1169748	0.195606	0.113565	0.086528	0.069669
Chr01	1169893	1174578	0.303496	0.188724	0.124076	0.117146
Chr01	1174661	1179760	0.218339	0.118116	0.088012	0.113566
Chr01	1179790	1185886	0.279677	0.145608	0.088062	0.152675
Chr01	1185999	1197186	0.056545	0.024197	0.015418	0.034535
Chr01	1197200	1206510	-0.085166	-0.085647	-0.021085	-0.061274
Chr01	1206578	1212619	-0.145556	-0.078493	-0.030398	-0.109111
Chr01	1212620	1220706	0.031792	0.017862	0.006010	0.022466
Chr01	1221032	1256032	-0.279960	-0.270328	-0.075516	-0.137549
Chr01	1256145	1292035	-0.223213	-0.020177	-0.014650	-0.121199
Chr01	1292044	1296672	0.116990	0.049658	0.035398	0.029945
Chr01	1296784	1307811	-0.183351	-0.092233	-0.050071	-0.075888
Chr01	1307834	1314203	-0.163374	-0.076018	-0.046998	-0.094481
Chr01	1314292	1319910	-0.827946	-0.595828	-0.242755	-0.677673
Chr01	1319920	1327918	-0.207223	-0.043671	-0.032227	-0.034093
Chr01	1327942	1334399	0.138609	0.034810	0.026456	0.040917
Chr01	1334445	1366141	-0.014498	-0.008933	-0.004159	-0.007192
Chr01	1366370	1376107	-0.295445	-0.422661	-0.108651	-0.080337
Chr01	1376119	1382297	0.095220	0.100260	0.042387	0.066984
Chr01	1382303	1392533	0.297291	0.145070	0.076573	0.152685
Chr01	1392661	1406181	0.200495	0.105829	0.069149	0.161424
Chr01	1406592	1428827	-0.198660	-0.112210	-0.055925	-0.161283
Chr01	1428840	1451187	0.452998	0.222004	0.119922	0.363377
Chr01	1451192	1456491	0.383818	0.196131	0.105001	0.286346
Chr01	1456600	1461517	0.185392	0.063375	0.042439	0.092710
Chr01	1461522	1467619	0.035328	0.007983	0.004712	0.003498
Chr01	1467698	1472370	0.016662	0.006198	0.003886	-0.005667
Chr01	1472373	1479660	0.017192	0.003460	0.002440	-0.003057
