chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	558009	771980	-0.012955	-0.009786	-0.006247	-0.011032
Superscaffold1	772008	1028185	0.204075	0.142069	0.076842	0.113728
Superscaffold1	1028209	1378875	0.022491	0.008328	0.005441	0.014813
Superscaffold1	1379220	1745789	-0.002960	-0.001232	-0.000796	0.000728
Superscaffold1	1745898	2115526	0.023300	0.007557	0.004034	0.015264
Superscaffold1	2115603	2344426	0.046190	0.023746	0.013428	0.028424
Superscaffold1	2344431	2510360	0.031985	0.032606	0.017247	0.013862
Superscaffold1	2510455	2643230	0.098640	0.111642	0.054875	0.055068
Superscaffold1	2643405	2788308	-0.050474	-0.073747	-0.031889	-0.026540
Superscaffold1	2788309	2945942	-0.390066	-0.563977	-0.218080	-0.273040
Superscaffold1	2945978	3109274	0.000539	0.000789	0.000317	-0.002953
Superscaffold1	3109355	3354434	0.097482	0.081750	0.037593	0.054630
Superscaffold1	3354635	3663289	-0.173825	-0.079953	-0.044151	-0.099330
Superscaffold1	3663320	3976302	-0.017633	-0.010535	-0.005130	-0.010433
Superscaffold1	3976324	4276448	-0.124845	-0.074817	-0.041212	-0.067770
Superscaffold1	4276477	4562645	0.125312	0.071901	0.039479	0.068070
Superscaffold1	4562676	4804997	0.084863	0.086807	0.038245	0.053029
Superscaffold1	4805091	5139165	-0.023906	-0.011538	-0.007121	-0.015528
Superscaffold1	5139209	5587758	-0.199656	-0.054317	-0.036061	-0.140162
Superscaffold1	5587761	5809054	0.263314	0.147195	0.092621	0.162856
Superscaffold1	5809056	6119353	0.043101	0.021434	0.013047	0.024102
Superscaffold1	6119459	6408494	0.047838	0.022359	0.012524	0.027782
Superscaffold1	6408517	6746805	0.035929	0.018798	0.011684	0.026112
Superscaffold1	6747250	7183938	-0.017979	-0.007503	-0.004047	-0.006779
Superscaffold1	7183941	7485060	0.037530	0.021811	0.011107	0.022400
Superscaffold1	7485111	7949069	-0.062110	-0.014088	-0.009828	-0.031012
Superscaffold1	7949332	8546060	0.106567	0.055588	0.028271	0.069386
Superscaffold1	8546061	9423847	0.047417	0.023111	0.013463	0.024767
Superscaffold1	9424316	10436712	-0.058760	-0.027285	-0.016049	-0.035345
Superscaffold1	10436917	10750711	-0.061016	-0.035710	-0.021306	-0.029397
Superscaffold1	10751240	10959636	0.081505	0.052851	0.027508	0.056202
Superscaffold1	10959676	11303669	-0.170647	-0.063752	-0.038795	-0.108842
Superscaffold1	11303844	11516160	-0.488149	-0.385999	-0.205536	-0.351385
Superscaffold1	11516686	11880381	-0.033637	-0.012406	-0.007521	-0.024335
Superscaffold1	11880386	12138825	-0.078621	-0.049343	-0.030536	-0.045536
Superscaffold1	12138857	12367202	-0.096348	-0.095198	-0.040910	-0.064583
Superscaffold1	12367209	12602238	-0.028271	-0.022993	-0.012962	-0.019019
Superscaffold1	12602638	12917492	-0.076836	-0.034578	-0.017407	-0.050061
Superscaffold1	12917506	13380385	-0.094991	-0.032040	-0.018816	-0.073506
Superscaffold1	13380417	13969804	-0.105913	-0.024187	-0.014504	-0.075221
Superscaffold1	13969836	14484639	-0.049500	-0.020060	-0.011145	-0.034078
Superscaffold1	14484892	14806437	0.063991	0.028752	0.015479	0.041136
Superscaffold1	14806439	15081708	-0.166715	-0.071835	-0.046064	-0.118418
Superscaffold1	15081712	15430465	-0.212146	-0.059078	-0.039852	-0.171253
Superscaffold1	15430810	15754257	-0.222961	-0.075764	-0.043873	-0.154179
Superscaffold1	15754341	16051507	-0.000988	-0.000413	-0.000232	0.007168
Superscaffold1	16051868	16345110	-0.230617	-0.101129	-0.052323	-0.145163
Superscaffold1	16345322	16684046	-0.060485	-0.032346	-0.018210	-0.033955
Superscaffold1	16684146	16948781	-0.128548	-0.071776	-0.039495	-0.079006
Superscaffold1	16948792	17283911	0.125039	0.066978	0.037472	0.077751
Superscaffold1	17283930	17702846	0.125194	0.052911	0.028439	0.087189
Superscaffold1	17702995	18285397	-0.151270	-0.135426	-0.050436	-0.066217
Superscaffold1	18285403	18514565	-0.067962	-0.046310	-0.021267	-0.037876
Superscaffold1	18514651	18983483	-0.088608	-0.035839	-0.019978	-0.047193
Superscaffold1	18983744	19185404	-0.111487	-0.060404	-0.041043	-0.074154
Superscaffold1	19185409	19612530	0.173297	0.096625	0.064936	0.136912
Superscaffold1	19612636	19882823	-0.136381	-0.070490	-0.043480	-0.096707
Superscaffold1	19882825	20205743	0.044480	0.014798	0.009108	0.024350
Superscaffold1	20206317	20604531	0.124276	0.054875	0.030635	0.083663
Superscaffold1	20604598	21177150	-0.157201	-0.092949	-0.043047	-0.109805
Superscaffold1	21177215	21453443	0.022180	0.008789	0.004832	0.013878
Superscaffold1	21453713	21762972	-0.059969	-0.027422	-0.015059	-0.032704
Superscaffold1	21762981	22117594	0.140470	0.078779	0.041565	0.083416
Superscaffold1	22117618	22511000	0.204364	0.059496	0.037157	0.139220
Superscaffold1	22512110	22969851	0.413610	0.146035	0.084130	0.315591
Superscaffold1	22969905	23414812	0.078835	0.021529	0.012299	0.058314
Superscaffold1	23414828	23761429	-0.141244	-0.054933	-0.029009	-0.095024
Superscaffold1	23761862	24160029	-0.180976	-0.068764	-0.038520	-0.099398
Superscaffold1	24160048	24467987	-0.069087	-0.029104	-0.017740	-0.040224
Superscaffold1	24468258	24814841	0.137266	0.044283	0.028276	0.107909
Superscaffold1	24814920	25220249	-0.071145	-0.021477	-0.012771	-0.043356
Superscaffold1	25222397	25539123	-0.276990	-0.111860	-0.065400	-0.165219
Superscaffold1	25539223	25861060	-0.229519	-0.120938	-0.072702	-0.165189
Superscaffold1	25861084	26220531	-0.112863	-0.040769	-0.023492	-0.076943
Superscaffold1	26220701	26455881	-0.040806	-0.020485	-0.010440	-0.026587
Superscaffold1	26456012	26916239	-0.103743	-0.024050	-0.015374	-0.056871
Superscaffold1	26916953	27275882	-0.320322	-0.089986	-0.047439	-0.203734
Superscaffold1	27275945	27618229	-0.101544	-0.042662	-0.025274	-0.078186
Superscaffold1	27618273	27832912	-0.154333	-0.134780	-0.056775	-0.079906
Superscaffold1	27833020	28009526	-0.096526	-0.083837	-0.041923	-0.051508
Superscaffold1	28009621	28243153	0.219218	0.134925	0.075621	0.101406
Superscaffold1	28243154	28697444	-0.014090	-0.004552	-0.003117	-0.008977
Superscaffold1	28697446	29117937	-0.090688	-0.021251	-0.013901	-0.056292
Superscaffold1	29117963	29421589	0.009920	0.004542	0.002395	0.003046
