chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214638	354556	-0.254765	-0.320864	-0.173349	-0.161898
Chr01	262382	486065	-0.074120	-0.074920	-0.041849	-0.045827
Chr01	354692	630499	0.169713	0.095180	0.057633	0.085715
Chr01	486069	833575	0.180913	0.101984	0.058970	0.095911
Chr01	630623	948991	0.122535	0.101417	0.048908	0.075310
Chr01	833623	1088582	0.029514	0.019850	0.009371	0.015706
Chr01	949006	1174987	0.036817	0.021296	0.011107	0.015498
Chr01	1088595	1317095	0.006694	0.004239	0.002056	0.002091
Chr01	1174988	1458769	0.175796	0.111712	0.054848	0.094851
Chr01	1317137	1533614	0.338719	0.206780	0.117538	0.188370
Chr01	1458789	1619308	0.211575	0.124710	0.067459	0.111048
Chr01	1533641	1677946	0.167646	0.116371	0.055573	0.083906
Chr01	1619340	1789342	-0.051360	-0.058614	-0.018851	-0.027860
Chr01	1678036	1880647	-0.069032	-0.069300	-0.020391	-0.036839
Chr01	1789355	2010941	-0.079781	-0.063678	-0.021305	-0.038550
Chr01	1880720	2095749	-0.056564	-0.046323	-0.018707	-0.026183
Chr01	2010967	2188078	0.185557	0.159164	0.078924	0.090545
Chr01	2095807	2250842	-0.016916	-0.015455	-0.007520	-0.009757
Chr01	2188080	2335894	-0.079805	-0.089040	-0.044924	-0.047119
Chr01	2250883	2437809	-0.000300	-0.000326	-0.000175	0.000877
Chr01	2335897	2503966	-0.032031	-0.030943	-0.016713	-0.013562
Chr01	2437832	2605051	-0.157753	-0.178322	-0.087760	-0.084104
Chr01	2503978	2667624	-0.198246	-0.214958	-0.105079	-0.118725
Chr01	2605068	2722057	-0.134135	-0.133299	-0.067351	-0.087516
Chr01	2667625	2790456	-0.162111	-0.186303	-0.085562	-0.108029
Chr01	2722074	2878957	-0.136463	-0.153099	-0.071832	-0.077257
Chr01	2790469	2964154	-0.024763	-0.025405	-0.012586	-0.008540
Chr01	2879045	3082923	-0.207979	-0.238758	-0.110224	-0.125364
Chr01	2964161	3166435	-0.219642	-0.245038	-0.113825	-0.133902
Chr01	3082998	3281769	-0.117688	-0.086123	-0.043152	-0.069427
Chr01	3166447	3403977	-0.036800	-0.021388	-0.010876	-0.022723
Chr01	3281905	3496258	0.153721	0.104874	0.049003	0.095816
Chr01	3404017	3584919	0.494153	0.362112	0.213210	0.359300
Chr01	3496540	3688355	0.450510	0.315554	0.190080	0.325270
Chr01	3584963	3792312	0.043981	0.037184	0.016077	0.025870
Chr01	3688381	3933537	-0.024547	-0.021825	-0.008113	-0.009498
Chr01	3792324	4051601	0.041642	0.032586	0.013210	0.028362
Chr01	3933675	4179318	-0.026400	-0.021932	-0.009654	-0.017333
Chr01	4051605	4280310	-0.077105	-0.075372	-0.031227	-0.050057
Chr01	4179466	4395084	0.079484	0.083645	0.033142	0.054766
Chr01	4280595	4466168	0.155214	0.161503	0.072807	0.094294
Chr01	4395200	4530285	-0.027745	-0.028182	-0.015835	-0.014899
Chr01	4466225	4630750	0.018449	0.016511	0.008458	0.010620
Chr01	4530299	4739124	0.084809	0.073813	0.034161	0.044670
Chr01	4630778	4867079	0.120107	0.108357	0.045207	0.069481
Chr01	4739156	5021599	0.045431	0.027497	0.014395	0.032730
Chr01	4867119	5178082	-0.090373	-0.045952	-0.026417	-0.052239
Chr01	5021649	5547949	-0.003087	-0.001188	-0.000741	-0.002795
Chr01	5178125	5723150	0.013416	0.004243	0.002934	0.009828
Chr01	5553905	5858112	-0.028945	-0.012027	-0.007930	-0.020020
Chr01	5723341	6027052	-0.033216	-0.015705	-0.009303	-0.023156
Chr01	5858142	6242892	-0.054285	-0.021395	-0.013011	-0.037384
Chr01	6027131	6530977	-0.262284	-0.090125	-0.056021	-0.198871
Chr01	6242893	6826377	0.138598	0.036627	0.026055	0.120102
Chr01	6531224	7099748	0.326507	0.077803	0.058134	0.293741
Chr01	6826776	7337053	-0.196119	-0.066513	-0.041566	-0.152862
Chr01	7099855	7479590	-0.322878	-0.160417	-0.091166	-0.242974
Chr01	7337107	7616244	-0.205976	-0.109070	-0.060879	-0.153162
Chr01	7479597	7789580	-0.390857	-0.218208	-0.111637	-0.293771
Chr01	7616254	7907910	-0.354505	-0.171343	-0.099308	-0.258110
Chr01	7789589	8003399	-0.200983	-0.123320	-0.063835	-0.128077
Chr01	7908002	8120284	-0.234893	-0.154639	-0.077809	-0.144902
Chr01	8003532	8266805	-0.015732	-0.005953	-0.003438	-0.010272
Chr01	8120300	8429898	0.085443	0.027977	0.016462	0.042216
Chr01	8267053	8588537	0.091771	0.033160	0.019498	0.056072
Chr01	8429962	8665023	0.014323	0.006809	0.003655	0.009933
Chr01	8588624	8856019	-0.041650	-0.023200	-0.013126	-0.013400
Chr01	8665111	9235364	-0.063606	-0.028535	-0.017312	-0.022104
Chr01	8857635	9379545	-0.086684	-0.036494	-0.021190	-0.053500
Chr01	9235382	9558617	-0.101982	-0.043986	-0.025692	-0.085020
Chr01	9379643	9746325	-0.059309	-0.028788	-0.016576	-0.047905
Chr01	9558876	9854624	-0.007570	-0.004490	-0.002580	-0.004432
Chr01	9746334	9929919	-0.138913	-0.101584	-0.059026	-0.076207
Chr01	9854632	10014541	-0.020949	-0.015130	-0.008778	-0.007067
Chr01	9929928	10120931	0.154337	0.105438	0.061222	0.096415
Chr01	10014571	10275484	0.153205	0.095988	0.052543	0.088682
Chr01	10121013	10394578	0.147683	0.085724	0.050909	0.097729
Chr01	10275492	10519215	-0.017427	-0.008769	-0.005283	-0.011627
Chr01	10394687	10986886	-0.413425	-0.225886	-0.128297	-0.293110
Chr01	10519228	11171485	-0.633115	-0.447842	-0.239137	-0.526608
Chr01	10987081	11292870	-0.426109	-0.268405	-0.134869	-0.342085
Chr01	11171489	11391507	-0.143552	-0.075571	-0.040700	-0.096345
Chr01	11292876	11497520	-0.069842	-0.036823	-0.023276	-0.038614
Chr01	11391522	11576737	0.070945	0.045571	0.028222	0.043154
Chr01	11497657	11713026	0.135201	0.090340	0.050127	0.088579
Chr01	11576742	11801956	0.089005	0.062398	0.032816	0.061672
Chr01	11713037	12044275	-0.162204	-0.125250	-0.067740	-0.107688
Chr01	11802047	12130000	-0.118088	-0.082527	-0.047507	-0.079540
Chr01	12044670	12270882	-0.349775	-0.247123	-0.108229	-0.239846
Chr01	12130053	12397771	-0.367184	-0.231072	-0.100762	-0.269508
Chr01	12271029	12492927	-0.152109	-0.108721	-0.047338	-0.109171
Chr01	12397784	12697772	0.019799	0.010558	0.005398	0.023581
Chr01	12493199	12832113	0.176111	0.083056	0.038121	0.142553
Chr01	12697901	13140573	0.017953	0.013080	0.003752	0.019873
Chr01	12832139	13292219	-0.231697	-0.124577	-0.050264	-0.173346
Chr01	13140587	13545775	-0.591255	-0.332752	-0.161328	-0.489029
Chr01	13292430	13747807	-0.501691	-0.249847	-0.126316	-0.418778
Chr01	13545787	13907224	-0.217074	-0.082447	-0.046069	-0.153963
Chr01	13753806	14051817	-0.149408	-0.070406	-0.039967	-0.093610
Chr01	13907304	14161763	-0.043233	-0.025854	-0.013400	-0.023310
Chr01	14051873	14307393	-0.178336	-0.121454	-0.057538	-0.112519
Chr01	14162044	14394122	-0.059988	-0.038514	-0.018367	-0.035081
Chr01	14307620	14518359	-0.382347	-0.284576	-0.118851	-0.283020
Chr01	14394283	14698168	-0.544786	-0.268515	-0.145385	-0.474197
Chr01	14518524	14802981	-0.323675	-0.123244	-0.076810	-0.272999
Chr01	14698310	14950435	-0.302269	-0.124312	-0.073272	-0.226250
Chr01	14803093	15107665	-0.308089	-0.108621	-0.064781	-0.221918
