chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	644351	999489	-0.187527	-0.085327	-0.053320	-0.108490
Superscaffold1	999534	1459129	0.201253	0.057063	0.042472	0.121913
Superscaffold1	1459246	1969347	0.031161	0.010380	0.006453	0.020147
Superscaffold1	1969376	2340707	0.193293	0.076155	0.042432	0.133942
Superscaffold1	2340791	2677786	0.048802	0.020575	0.014395	0.030203
Superscaffold1	2677808	2920862	-0.030394	-0.017250	-0.009858	-0.021411
Superscaffold1	2920870	3340409	-0.014813	-0.005948	-0.003755	-0.012121
Superscaffold1	3340425	3871817	0.065088	0.019902	0.012532	0.042725
Superscaffold1	3871908	4398994	0.242501	0.105139	0.066127	0.188330
Superscaffold1	4399041	4811854	0.147858	0.069167	0.044328	0.094936
Superscaffold1	4811876	5376521	0.367143	0.115753	0.079260	0.268131
Superscaffold1	5376801	5763689	0.055237	0.020750	0.013835	0.031846
Superscaffold1	5765155	6209394	0.064616	0.029001	0.019006	0.041006
Superscaffold1	6211844	6666388	0.173720	0.061696	0.042365	0.129502
Superscaffold1	6666561	7200395	0.298394	0.105306	0.068904	0.230276
Superscaffold1	7200413	7554361	0.015559	0.006572	0.004067	0.010460
Superscaffold1	7554451	8284023	0.229003	0.074451	0.051050	0.114401
Superscaffold1	8284713	9180170	0.104215	0.038582	0.024775	0.070452
Superscaffold1	9180641	10504823	0.028497	0.008719	0.006185	0.017999
Superscaffold1	10505049	10960223	0.184566	0.066669	0.045607	0.123008
Superscaffold1	10960241	11373853	0.197478	0.066683	0.044413	0.146102
Superscaffold1	11374118	11817326	0.018175	0.006058	0.003836	0.016042
Superscaffold1	11817538	12360834	0.034543	0.009976	0.007122	0.020926
Superscaffold1	12361047	12830109	-0.009147	-0.003903	-0.002325	-0.011290
Superscaffold1	12830177	13164141	0.209438	0.096112	0.054943	0.160511
Superscaffold1	13164206	13747494	0.397177	0.172814	0.087138	0.244434
Superscaffold1	13747609	14389981	0.190230	0.057845	0.034890	0.125084
Superscaffold1	14389992	14839324	0.059252	0.021768	0.013801	0.042099
Superscaffold1	14839417	15132613	0.173869	0.072342	0.045846	0.103308
Superscaffold1	15132616	15422485	0.610089	0.296186	0.196666	0.456539
Superscaffold1	15422500	15777977	0.074395	0.032104	0.019480	0.052649
Superscaffold1	15778077	16110940	0.081246	0.036640	0.021283	0.055583
Superscaffold1	16110970	16470283	0.217178	0.084177	0.051089	0.163652
Superscaffold1	16470442	16841767	-0.083298	-0.041206	-0.024928	-0.053852
Superscaffold1	16841789	17301913	-0.085865	-0.034995	-0.021053	-0.058831
Superscaffold1	17301976	18068401	0.107874	0.033257	0.021477	0.081714
Superscaffold1	18068624	18701531	-0.096148	-0.031365	-0.019906	-0.073795
Superscaffold1	18702132	19143332	-0.250958	-0.091784	-0.061816	-0.202834
Superscaffold1	19143613	19642388	0.537866	0.261317	0.189284	0.418319
Superscaffold1	19644033	20106754	0.207905	0.053305	0.038201	0.159345
Superscaffold1	20106867	20933253	0.234105	0.060904	0.040932	0.167721
Superscaffold1	20933367	21328731	0.412108	0.175755	0.114702	0.359253
Superscaffold1	21332424	21868377	0.086236	0.029438	0.018320	0.070683
Superscaffold1	21868439	22483003	0.113272	0.030261	0.021425	0.084505
Superscaffold1	22483161	22983614	-0.597094	-0.307085	-0.170489	-0.474992
Superscaffold1	22983829	23540892	0.305798	0.087798	0.051478	0.255348
Superscaffold1	23540894	24160252	0.053421	0.013617	0.009257	0.045214
Superscaffold1	24160329	24672781	0.392656	0.103239	0.073589	0.299574
Superscaffold1	24672885	25155642	0.077371	0.024127	0.015598	0.064911
Superscaffold1	25155644	25674877	-0.104720	-0.029707	-0.019850	-0.085113
