chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	228463	497300	-0.043803	-0.022473	-0.012961	-0.028147
Chr01	340590	652125	0.257176	0.140408	0.078809	0.164270
Chr01	497305	925402	0.241449	0.140173	0.076625	0.144884
Chr01	652144	1082293	0.126728	0.049359	0.030255	0.063175
Chr01	925424	1293209	0.105147	0.030752	0.021867	0.047374
Chr01	1082454	1460796	-0.063865	-0.019041	-0.013519	-0.037164
Chr01	1293421	1563181	0.057129	0.020258	0.013853	0.026198
Chr01	1460902	1815610	0.128394	0.036884	0.026090	0.073623
Chr01	1563351	2118034	0.141784	0.038831	0.026655	0.089692
Chr01	1815680	2299585	0.140841	0.051349	0.033914	0.100556
Chr01	2118255	2512491	0.139930	0.068587	0.045725	0.120066
Chr01	2299799	2706216	0.107569	0.048920	0.034843	0.090881
Chr01	2512703	2825823	0.033985	0.014397	0.010386	0.029079
Chr01	2706296	3028756	-0.062333	-0.029055	-0.020372	-0.044325
Chr01	2825893	3274569	-0.121071	-0.051436	-0.035522	-0.100530
Chr01	3028899	3530768	-0.033870	-0.013889	-0.009047	-0.027237
Chr01	3274698	3792910	-0.146197	-0.059399	-0.039785	-0.117062
Chr01	3530847	4057691	-0.134499	-0.047502	-0.034334	-0.101934
Chr01	3792931	4264151	0.124394	0.043573	0.029142	0.104414
Chr01	4057763	4449689	0.145532	0.070838	0.043000	0.109449
Chr01	4264192	4622305	0.112888	0.058203	0.038885	0.089909
Chr01	4449815	4849518	0.098277	0.041010	0.028005	0.077991
Chr01	4622326	5093293	0.112594	0.052314	0.031512	0.081555
Chr01	4849607	5532234	0.220832	0.099694	0.064656	0.169894
Chr01	5093469	5791280	0.250151	0.098139	0.067024	0.192288
Chr01	5532379	6007454	0.141418	0.056926	0.033975	0.094599
Chr01	5791289	6191511	-0.003561	-0.001317	-0.000822	-0.006340
Chr01	6008883	6500432	0.209650	0.080845	0.041388	0.143711
Chr01	6191550	6947569	0.189716	0.077001	0.034069	0.138936
Chr01	6500697	7212842	-0.008470	-0.003292	-0.001670	-0.001189
Chr01	6947750	7481385	0.070270	0.030427	0.014908	0.053974
Chr01	7213162	7738850	0.244602	0.086165	0.043682	0.188752
Chr01	7481409	8014589	0.214701	0.066869	0.040149	0.174550
Chr01	7738992	8366357	-0.001313	-0.000470	-0.000309	0.004240
Chr01	8014644	8737639	-0.073956	-0.022566	-0.015342	-0.050524
Chr01	8366369	9224936	-0.023820	-0.006659	-0.004766	-0.018473
Chr01	8737673	9477863	0.048877	0.014954	0.010690	0.034027
Chr01	9225018	9737945	0.096438	0.034714	0.025095	0.070884
Chr01	9477911	9944142	0.028863	0.013502	0.010028	0.020961
Chr01	9737995	10177539	-0.003157	-0.001527	-0.001081	-0.001147
