chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	56846	73123	-0.211998	-0.042301	-0.036761	-0.140281
Chr01	73124	79819	-0.723396	-0.344147	-0.230461	-0.615339
Chr01	79848	123454	-0.577240	-0.273477	-0.180082	-0.405383
Chr01	123480	148762	-0.305939	-0.295842	-0.136655	-0.192871
Chr01	148875	153361	-0.455601	-0.967322	-0.246177	-0.202272
Chr01	153421	166628	-0.205421	-0.239218	-0.109614	-0.094624
Chr01	166701	183023	-0.159644	-0.259075	-0.122780	-0.064628
Chr01	183061	185717	0.262092	0.379157	0.256529	0.114100
Chr01	185719	190063	0.154498	0.298668	0.148094	0.070769
Chr01	190091	196925	0.143362	0.219559	0.138330	0.062558
Chr01	196928	205374	0.142736	0.198960	0.131347	0.060285
Chr01	205379	209071	0.022597	0.048378	0.021424	0.018271
Chr01	209072	212330	0.071215	0.142114	0.082893	0.025778
Chr01	212368	216250	0.019382	0.041530	0.021796	0.010532
Chr01	216252	218232	0.118789	0.246952	0.158261	0.058604
Chr01	218241	220426	-0.028757	-0.066016	-0.030117	-0.011812
Chr01	220433	224231	0.009222	0.012737	0.008650	0.003525
Chr01	224282	228710	-0.083290	-0.230086	-0.068415	-0.033544
Chr01	228714	233307	0.038362	0.074725	0.033207	0.017234
Chr01	233339	237321	0.071178	0.091350	0.052724	0.031885
Chr01	237381	243648	0.078887	0.101686	0.052862	0.036240
Chr01	243681	248745	-0.028555	-0.061022	-0.022950	-0.006803
Chr01	248763	251473	-0.053297	-0.123035	-0.045320	-0.010448
Chr01	251494	254436	-0.205101	-0.447175	-0.154272	-0.115478
Chr01	254441	256441	-0.270269	-0.583623	-0.168868	-0.166900
Chr01	256449	259033	-0.016296	-0.022442	-0.010998	-0.006533
Chr01	259086	262305	-0.542446	-1.640863	-0.351956	-0.320596
Chr01	262306	264030	-0.245512	-0.454758	-0.162792	-0.133503
Chr01	264039	268514	-0.382303	-0.981415	-0.279516	-0.244784
Chr01	268553	271302	-0.151230	-0.239399	-0.099174	-0.084752
Chr01	271343	275525	-0.002198	-0.002768	-0.000933	-0.007279
Chr01	275624	278124	-0.008367	-0.014042	-0.006021	0.007048
Chr01	278167	289195	-0.005992	-0.008286	-0.003826	-0.008344
Chr01	289284	308368	0.068624	0.046008	0.024026	0.039127
Chr01	308981	314789	0.220939	0.202392	0.157964	0.169116
Chr01	314852	320437	0.081013	0.158256	0.074927	0.035069
Chr01	320726	328186	-0.228351	-0.201206	-0.096197	-0.173385
Chr01	328247	338728	-0.680060	-0.438023	-0.239926	-0.253393
Chr01	338789	351225	-0.296063	-0.158759	-0.115526	-0.130882
Chr01	351257	367492	0.323445	0.155694	0.111853	0.215361
Chr01	368190	388040	0.159324	0.104342	0.067530	0.096991
Chr01	388144	394441	0.000113	0.000098	0.000075	-0.000908
Chr01	394452	403029	-0.038088	-0.054688	-0.025982	-0.015764
Chr01	403047	408365	0.168317	0.195292	0.116427	0.073336
Chr01	408541	424740	0.100851	0.046459	0.028372	0.045889
Chr01	424755	431665	0.371035	0.265308	0.173786	0.211086
Chr01	431669	439275	0.425952	0.482483	0.203069	0.210333
Chr01	439356	447280	-0.024497	-0.016071	-0.010704	-0.008498
Chr01	447359	452384	0.222676	0.310050	0.192026	0.152055
Chr01	452418	464727	0.180363	0.155194	0.099256	0.091140
Chr01	464755	473440	-0.243334	-0.453913	-0.145611	-0.132219
Chr01	473474	479422	-0.334718	-0.588812	-0.181085	-0.181179
Chr01	479427	484527	-0.149135	-0.161477	-0.064429	-0.061555
Chr01	484648	493501	-0.127333	-0.071015	-0.039736	-0.057714
Chr01	493551	498080	0.250499	0.095403	0.064742	0.096340
Chr01	498643	510617	-0.347967	-0.329928	-0.134295	-0.198148
Chr01	510678	517380	0.019815	0.014161	0.005712	0.007734
Chr01	517384	524732	0.632606	0.621454	0.288409	0.466907
Chr01	524735	530657	0.756084	0.752204	0.362498	0.655175
Chr01	530763	557955	0.448756	0.391786	0.101652	0.265289
Chr01	558073	567153	0.541398	0.252813	0.160741	0.426728
Chr01	567161	575580	0.756141	0.597732	0.384022	0.518614
Chr01	575588	578325	0.731195	0.567762	0.419011	0.547122
Chr01	578355	593835	0.798930	0.721515	0.512496	0.675500
Chr01	593948	610278	0.947304	0.554459	0.477618	0.919269
Chr01	610339	620502	0.335933	0.229830	0.153341	0.168625
Chr01	620512	626620	-0.024675	-0.012086	-0.008621	-0.001901
Chr01	626656	633179	-0.280293	-0.107071	-0.081768	-0.070569
Chr01	633182	640435	0.254828	0.118540	0.091460	0.102164
Chr01	640458	650560	0.315668	0.115284	0.081904	0.075340
Chr01	650584	656732	0.018018	0.008926	0.006289	0.004077
Chr01	656741	661612	0.217996	0.046314	0.041390	0.161193
Chr01	661621	670803	0.390288	0.172119	0.135422	0.187496
Chr01	670814	682612	-0.350331	-0.277668	-0.152031	-0.240243
Chr01	682637	699511	-0.311401	-0.330436	-0.118525	-0.205473
Chr01	699531	715135	-0.575531	-0.786249	-0.278474	-0.390322
Chr01	715168	778731	-0.319216	-0.183528	-0.091782	-0.144933
Chr01	779023	821953	-0.063130	-0.051556	-0.025580	-0.030545
Chr01	822040	835894	0.080985	0.052714	0.025910	0.059077
Chr01	835996	848969	0.173977	0.110971	0.037341	0.133186
Chr01	849021	859908	0.259852	0.265030	0.060190	0.200522
Chr01	860163	867887	0.005464	0.005137	0.001286	0.007951
Chr01	867927	874722	0.134720	0.144956	0.056193	0.043782
Chr01	874823	882490	-0.007721	-0.012138	-0.006769	-0.003795
Chr01	882509	897412	-0.249940	-0.235261	-0.111129	-0.107820
Chr01	897430	905537	-0.342119	-0.212686	-0.101467	-0.120022
Chr01	905552	925307	-0.473781	-0.389101	-0.189683	-0.309399
Chr01	925376	932518	-0.299660	-0.571827	-0.195024	-0.179903
Chr01	932537	944024	-0.392433	-0.283648	-0.122893	-0.219944
Chr01	944405	961114	0.267154	0.113779	0.070600	0.116219
Chr01	961425	971900	-0.141995	-0.142163	-0.040555	-0.101128
Chr01	971901	981302	0.254459	0.134122	0.074916	0.135964
Chr01	981305	1004033	-0.457161	-0.096973	-0.050610	-0.152531
Chr01	1004042	1014063	-0.494270	-0.357722	-0.152766	-0.177674
Chr01	1014065	1027848	0.182248	0.027072	0.020638	0.048890
Chr01	1027933	1032738	0.119261	0.058869	0.030910	0.019468
Chr01	1032742	1039214	-0.208717	-0.079837	-0.035546	-0.082356
Chr01	1039290	1046692	0.595232	0.212430	0.164186	0.108771
Chr01	1046732	1057397	0.210804	0.098258	0.036592	0.076572
Chr01	1057398	1071151	-0.104447	-0.040917	-0.019222	-0.095951
Chr01	1071183	1088595	-0.773272	-0.109262	-0.071790	-0.149236
Chr01	1088602	1098452	-0.430792	-0.149610	-0.086435	-0.244366
Chr01	1098466	1108735	-0.567016	-0.344953	-0.111529	-0.324960
Chr01	1108819	1121491	-0.499144	-0.332908	-0.113300	-0.279765
Chr01	1121495	1139054	-0.377820	-0.180103	-0.116663	-0.319457
Chr01	1139056	1146239	-0.286694	-0.122843	-0.077768	-0.209930
Chr01	1146287	1151553	-0.081919	-0.030046	-0.020748	-0.024400
Chr01	1151574	1156713	-0.703125	-0.430925	-0.226606	-0.499780
Chr01	1156823	1165127	-0.181771	-0.079825	-0.053641	-0.080229
Chr01	1165229	1169899	0.450292	0.161024	0.126377	0.127244
Chr01	1170010	1175556	0.538123	0.241168	0.167311	0.206153
Chr01	1175568	1181645	0.302630	0.113490	0.080127	0.134350
Chr01	1181726	1189133	0.316171	0.149130	0.090760	0.148700
Chr01	1189142	1202149	0.016355	0.006066	0.002863	0.012357
Chr01	1202836	1209961	-0.044978	-0.025266	-0.008935	-0.035622
Chr01	1210103	1215528	-0.081775	-0.045268	-0.014785	-0.052874
Chr01	1215579	1243107	0.170017	0.064926	0.026173	0.109575
Chr01	1250273	1276337	-0.013813	-0.008443	-0.004285	-0.002177
Chr01	1276356	1293948	-0.332664	-0.031449	-0.022487	-0.143704
Chr01	1293974	1302160	0.246475	0.047259	0.031078	0.067187
Chr01	1302336	1312886	-0.341482	-0.130913	-0.074172	-0.161943
Chr01	1312899	1318565	-0.720126	-0.565695	-0.231838	-0.485779
Chr01	1318566	1326552	-0.343742	-0.056920	-0.040847	-0.059345
Chr01	1326617	1332531	-0.265352	-0.043759	-0.032643	-0.031944
Chr01	1332584	1364860	0.143447	0.068421	0.034054	0.062175
Chr01	1365077	1375744	-0.610662	-1.158184	-0.197710	-0.332598
Chr01	1375748	1381652	0.002086	0.001150	0.000632	0.012640
Chr01	1381738	1392400	0.473391	0.239997	0.123377	0.321845
Chr01	1392512	1403748	0.406421	0.221988	0.146192	0.309991
Chr01	1405957	1428174	0.075508	0.033203	0.020314	0.038744
Chr01	1428263	1451187	0.344620	0.156054	0.085527	0.282476
Chr01	1451192	1456649	0.407809	0.166824	0.095625	0.303677
Chr01	1456653	1461710	0.351032	0.081612	0.058570	0.157779
Chr01	1461721	1468512	0.271854	0.042957	0.027624	0.103223
