chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	618469	899908	-0.454904	-0.330545	-0.168134	-0.282728
Superscaffold1	899984	1351365	-0.206584	-0.100828	-0.060658	-0.140324
Superscaffold1	1351469	1612998	-0.405955	-0.250097	-0.137895	-0.304306
Superscaffold1	1613212	2064033	0.036116	0.014001	0.007545	0.025228
Superscaffold1	2064225	2377409	-0.020300	-0.009118	-0.005261	-0.011724
Superscaffold1	2377490	2676667	-0.008258	-0.003981	-0.002646	-0.005757
Superscaffold1	2676670	2889046	-0.070741	-0.048859	-0.026337	-0.041176
Superscaffold1	2889065	3252527	-0.081083	-0.044498	-0.024886	-0.057094
Superscaffold1	3252851	3654666	0.173028	0.063593	0.038675	0.097323
Superscaffold1	3655014	4131693	0.031215	0.014556	0.007999	0.020939
Superscaffold1	4131706	4494632	0.219194	0.120952	0.074087	0.163128
Superscaffold1	4494633	4897992	0.143398	0.081144	0.046208	0.088007
Superscaffold1	4898167	5408252	0.419047	0.153590	0.101944	0.306464
Superscaffold1	5408342	5756354	-0.008678	-0.003855	-0.002434	-0.005580
Superscaffold1	5756377	6133362	0.079312	0.044009	0.027331	0.052479
Superscaffold1	6133491	6559405	0.095910	0.036992	0.024367	0.070088
Superscaffold1	6561160	7051628	0.378070	0.166107	0.101993	0.281423
Superscaffold1	7051663	7332749	-0.123443	-0.060403	-0.035082	-0.084183
Superscaffold1	7333043	7763366	0.038467	0.022490	0.012250	0.018270
Superscaffold1	7763422	8450136	0.169539	0.072745	0.041495	0.094762
Superscaffold1	8450179	9503376	-0.053053	-0.019676	-0.012747	-0.032244
Superscaffold1	9503377	10540527	-0.028941	-0.011615	-0.007524	-0.013671
Superscaffold1	10541031	10924460	0.089685	0.044489	0.026633	0.065463
Superscaffold1	10924506	11328095	0.155003	0.064690	0.039966	0.105943
Superscaffold1	11328100	11710453	0.031980	0.011088	0.007009	0.029402
Superscaffold1	11710480	12151260	0.060883	0.023065	0.015522	0.042637
Superscaffold1	12151337	12581726	0.155304	0.071312	0.043245	0.093401
Superscaffold1	12581770	12900705	-0.122162	-0.068597	-0.034754	-0.090321
Superscaffold1	12900721	13247898	0.422875	0.216590	0.113420	0.294007
Superscaffold1	13247996	13808625	0.436224	0.208653	0.102378	0.250579
Superscaffold1	13808668	14477911	-0.003788	-0.001259	-0.000709	-0.003138
Superscaffold1	14477934	14855972	0.065916	0.027430	0.016425	0.044121
Superscaffold1	14856016	15129864	0.169741	0.066490	0.042940	0.095945
Superscaffold1	15129935	15408160	0.581357	0.265714	0.178998	0.437920
Superscaffold1	15408285	15707793	0.154513	0.071232	0.043440	0.105515
Superscaffold1	15707963	16035638	0.061410	0.029929	0.016467	0.046321
Superscaffold1	16035639	16283987	0.189115	0.083047	0.047396	0.124195
Superscaffold1	16284074	16724894	0.141006	0.059931	0.037174	0.100764
Superscaffold1	16724906	17055004	-0.087196	-0.049079	-0.027462	-0.041254
Superscaffold1	17055015	17530978	0.104465	0.038280	0.023027	0.081753
Superscaffold1	17531255	18348396	0.144991	0.051761	0.030510	0.100806
Superscaffold1	18348486	18804427	-0.075199	-0.026902	-0.016656	-0.047568
Superscaffold1	18804434	19139133	0.036206	0.016733	0.011454	0.025769
Superscaffold1	19139161	19608803	0.230769	0.119011	0.078674	0.171957
Superscaffold1	19609159	19985359	0.304440	0.101142	0.069272	0.226925
Superscaffold1	19985699	20378915	0.058486	0.021324	0.014309	0.042073
Superscaffold1	20378918	21156261	0.173834	0.058569	0.033703	0.128817
Superscaffold1	21156310	21536376	0.239083	0.099897	0.055413	0.178035
Superscaffold1	21536566	21907620	0.053141	0.023659	0.014802	0.042231
Superscaffold1	21907693	22475850	-0.048887	-0.014985	-0.010116	-0.035292
Superscaffold1	22477245	22926471	-0.739367	-0.375856	-0.216847	-0.618896
Superscaffold1	22926957	23433378	0.262370	0.076917	0.045291	0.213668
Superscaffold1	23433525	23923937	0.021923	0.006698	0.004003	0.018909
Superscaffold1	23924093	24436630	-0.059051	-0.014193	-0.009799	-0.035155
Superscaffold1	24436728	24804005	0.340248	0.147582	0.090198	0.281509
Superscaffold1	24804035	25211811	0.068929	0.024472	0.014887	0.048577
Superscaffold1	25212257	25615267	-0.185231	-0.067185	-0.039978	-0.127862
Superscaffold1	25615277	26062404	0.294602	0.112631	0.078203	0.210616
Superscaffold1	26062806	26388300	-0.182796	-0.067164	-0.039591	-0.126480
Superscaffold1	26388397	26890178	-0.056925	-0.024952	-0.014513	-0.036352
Superscaffold1	26890195	27282799	0.145342	0.037627	0.022051	0.113581
Superscaffold1	27282842	27618783	0.186959	0.072999	0.045059	0.115062
Superscaffold1	27618789	27930477	-0.263108	-0.132932	-0.074344	-0.182502
Superscaffold1	27930738	28250482	0.209019	0.085906	0.052299	0.133145
Superscaffold1	28250537	28778236	0.116061	0.038669	0.028004	0.081107
Superscaffold1	28778296	29322450	-0.101424	-0.027531	-0.017160	-0.070459
Superscaffold1	29322495	29697611	0.133401	0.047021	0.029595	0.093345
Superscaffold1	29697747	30213977	-0.115431	-0.034387	-0.020073	-0.075835
Superscaffold1	30214105	30803443	-0.031341	-0.012287	-0.007145	-0.016391
Superscaffold1	30803453	31219941	-0.076295	-0.023525	-0.015335	-0.061230
Superscaffold1	31220020	31836241	0.040112	0.011499	0.007556	0.032948
Superscaffold1	31836290	32661772	0.336865	0.104506	0.064744	0.264870
Superscaffold1	32661783	33182322	0.049429	0.013615	0.008531	0.037712
Superscaffold1	33182323	33568182	0.105668	0.042838	0.028860	0.065068
Superscaffold1	33568243	33873170	-0.137387	-0.080678	-0.049087	-0.082281
Superscaffold1	33873429	34195700	0.208132	0.060174	0.040855	0.154945
Superscaffold1	34195862	34475911	-0.075985	-0.036797	-0.021638	-0.047078
Superscaffold1	34475969	34929399	-0.398435	-0.110456	-0.073024	-0.297636
Superscaffold1	34929414	35490457	0.170053	0.061800	0.040729	0.120808
Superscaffold1	35490468	36513492	0.170918	0.061998	0.039203	0.110071
Superscaffold1	36513677	37094616	0.049313	0.019440	0.012643	0.038339
Superscaffold1	37096169	37529834	0.309702	0.104552	0.069368	0.239733
Superscaffold1	37529873	38125742	0.194004	0.070998	0.045692	0.136914
Superscaffold1	38126011	38503643	-0.162434	-0.064797	-0.041026	-0.128352
Superscaffold1	38503747	38896594	0.008009	0.002456	0.001692	0.005929
Superscaffold1	38896947	39203989	0.139573	0.042745	0.027460	0.126413
Superscaffold1	39203991	39677494	0.508745	0.217916	0.128573	0.414256
Superscaffold1	39677638	40003070	0.505098	0.249182	0.153362	0.450009
Superscaffold1	40003135	40440493	0.220841	0.054007	0.036641	0.164585
Superscaffold1	40440508	40932559	-0.025724	-0.007387	-0.004684	-0.017309
Superscaffold1	40932727	41491223	0.324985	0.087803	0.054458	0.252593
Superscaffold1	41491379	41926495	0.115574	0.035088	0.022079	0.106301
Superscaffold1	41926527	42391311	-0.415297	-0.160123	-0.097393	-0.315533
Superscaffold1	42391735	42796191	0.033706	0.011103	0.006939	0.027416
Superscaffold1	42796199	43370724	0.157215	0.038377	0.022883	0.128582
Superscaffold1	43370757	43885866	0.070667	0.017114	0.010243	0.056280
Superscaffold1	43885973	44344918	0.361287	0.119287	0.060702	0.302549
Superscaffold1	44346033	44748720	0.107175	0.042690	0.020106	0.071107
Superscaffold1	44748778	45239545	0.068720	0.022150	0.014220	0.043812
Superscaffold1	45239568	45705075	0.053775	0.016956	0.009995	0.042656
Superscaffold1	45705336	46274533	-0.322437	-0.060582	-0.037373	-0.223677
Superscaffold1	46274713	47271016	0.051155	0.006968	0.004217	0.035419
Superscaffold1	47271018	47778314	0.510405	0.100079	0.066664	0.393326
Superscaffold1	47781647	48304763	0.386920	0.098744	0.062106	0.315016
Superscaffold1	48304824	48536539	0.833455	0.518280	0.252341	0.797931
Superscaffold1	48536558	48966302	0.460699	0.113268	0.071660	0.370331
Superscaffold1	48966388	49702784	-0.126470	-0.016448	-0.011776	-0.105718
Superscaffold1	49702908	50191514	0.763588	0.344624	0.166124	0.716969
Superscaffold1	50191530	50796404	-0.096932	-0.021836	-0.016339	-0.080249
Superscaffold1	50796586	51143729	0.179238	0.122169	0.073897	0.100176
Superscaffold2	237961	710279	-0.090111	-0.030013	-0.019807	-0.065875
Superscaffold2	710377	1147269	0.119026	0.040485	0.027275	0.085281
Superscaffold2	1147270	1556854	0.149991	0.071525	0.047766	0.105117
Superscaffold2	1557021	2092145	0.121532	0.040563	0.023050	0.089153
Superscaffold2	2092197	2702965	0.378409	0.123516	0.080609	0.295277
Superscaffold2	2702980	3535109	-0.134709	-0.056541	-0.035434	-0.086184
Superscaffold2	3535146	3910193	0.158763	0.069044	0.039594	0.120627
Superscaffold2	3910297	4472824	-0.011742	-0.003801	-0.002287	-0.005382
Superscaffold2	4472826	4897685	-0.009758	-0.003498	-0.002061	-0.008408
