chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	581553	785433	-0.074521	-0.032252	-0.022092	-0.035212
Superscaffold1	785467	1131005	0.069159	0.031619	0.019536	0.041803
Superscaffold1	1131858	1392709	-0.007675	-0.001854	-0.001332	-0.002243
Superscaffold1	1392719	1778155	0.094992	0.021121	0.015331	0.053099
Superscaffold1	1778219	2177606	-0.403864	-0.125746	-0.075121	-0.313462
Superscaffold1	2177710	2421686	-0.006760	-0.003007	-0.002030	-0.005757
Superscaffold1	2421695	2643230	-0.093754	-0.056690	-0.035685	-0.067880
Superscaffold1	2643578	2821116	-0.058250	-0.050333	-0.026061	-0.032617
Superscaffold1	2821259	3086114	-0.240465	-0.200256	-0.096440	-0.166193
Superscaffold1	3086120	3449961	-0.050594	-0.016841	-0.011092	-0.028846
Superscaffold1	3450466	3906564	-0.132581	-0.037308	-0.024101	-0.080933
Superscaffold1	3906662	4408014	-0.208946	-0.059222	-0.039681	-0.125051
Superscaffold1	4408208	4783019	-0.309360	-0.143907	-0.090459	-0.220131
Superscaffold1	4783028	5252200	-0.077287	-0.020006	-0.014321	-0.056083
Superscaffold1	5252206	5711990	-0.054891	-0.012565	-0.009536	-0.032536
Superscaffold1	5712117	6198480	0.021238	0.006182	0.004323	0.015914
Superscaffold1	6198724	6678278	-0.027868	-0.006174	-0.004507	-0.018645
Superscaffold1	6678399	7161627	-0.396675	-0.135474	-0.085071	-0.291593
Superscaffold1	7161916	7554451	-0.138167	-0.050162	-0.032124	-0.093375
Superscaffold1	7554474	8223328	-0.130662	-0.043228	-0.027637	-0.072904
Superscaffold1	8223482	8844249	-0.242982	-0.095298	-0.058051	-0.146290
Superscaffold1	8844259	10344318	-0.012156	-0.003137	-0.002221	0.005001
Superscaffold1	10344739	10830412	0.032665	0.011262	0.008008	0.024256
Superscaffold1	10830555	11245843	-0.123679	-0.040453	-0.026082	-0.081774
Superscaffold1	11245844	11622802	-0.503555	-0.200730	-0.126307	-0.394784
Superscaffold1	11622909	12111547	0.012393	0.003601	0.002555	0.008265
Superscaffold1	12111557	12466644	-0.019293	-0.007310	-0.004755	-0.008744
Superscaffold1	12466668	12868946	-0.265101	-0.086240	-0.055213	-0.207351
Superscaffold1	12868957	13348616	0.031501	0.008474	0.005568	0.021197
Superscaffold1	13348658	14317367	-0.014717	-0.002426	-0.001673	-0.010911
Superscaffold1	14317414	14820921	-0.014172	-0.003288	-0.002237	-0.013287
Superscaffold1	14820936	15241197	-0.156991	-0.036375	-0.026631	-0.114749
Superscaffold1	15242402	15732387	-0.261941	-0.055190	-0.037287	-0.183667
Superscaffold1	15732683	16118202	-0.166755	-0.046459	-0.030148	-0.118187
Superscaffold1	16118438	16566871	-0.207914	-0.055261	-0.036862	-0.151651
Superscaffold1	16566943	16949806	-0.159028	-0.056309	-0.036069	-0.091291
Superscaffold1	16949853	17414240	-0.109098	-0.037303	-0.023292	-0.071348
Superscaffold1	17414397	18200464	-0.235352	-0.087119	-0.050278	-0.174012
Superscaffold1	18200489	18594591	-0.199710	-0.066138	-0.041015	-0.149989
Superscaffold1	18594647	19090996	-0.047013	-0.011875	-0.008531	-0.027439
Superscaffold1	19091034	19304295	-0.265089	-0.131010	-0.082505	-0.173268
Superscaffold1	19304300	19707997	-0.545872	-0.278203	-0.176695	-0.401839
Superscaffold1	19708639	20155418	0.015653	0.003978	0.002759	0.014354
Superscaffold1	20155429	20728292	-0.047265	-0.012510	-0.007975	-0.029415
Superscaffold1	20728304	21309679	-0.102383	-0.030043	-0.018205	-0.069419
Superscaffold1	21309704	21762893	-0.263569	-0.092224	-0.056596	-0.186506
Superscaffold1	21762956	22220606	-0.034299	-0.008918	-0.006161	-0.023814
Superscaffold1	22220774	22985764	-0.233983	-0.038050	-0.025992	-0.187090
Superscaffold1	22985817	23595643	-0.054912	-0.012338	-0.007666	-0.042845
Superscaffold1	23595705	24060334	-0.411822	-0.120474	-0.078128	-0.302207
Superscaffold1	24060377	24466391	-0.268612	-0.097164	-0.058311	-0.176462
Superscaffold1	24466471	24771358	-0.043376	-0.015822	-0.009881	-0.031323
Superscaffold1	24771368	25341552	-0.113496	-0.026785	-0.017284	-0.073421
Superscaffold1	25341661	25782200	0.063435	0.014499	0.010285	0.039831
Superscaffold1	25782205	26164175	-0.511226	-0.196309	-0.125167	-0.377576
Superscaffold1	26164180	26566817	-0.127257	-0.029117	-0.019860	-0.086350
Superscaffold1	26567146	27280366	0.134608	0.022597	0.014745	0.109762
Superscaffold1	27280601	27735155	-0.193011	-0.058367	-0.037765	-0.144455
Superscaffold1	27735669	27995658	-0.316839	-0.147022	-0.085158	-0.162510
Superscaffold1	27995708	28339108	-0.001258	-0.000420	-0.000290	0.001304
Superscaffold1	28339116	28724557	0.247888	0.097630	0.063140	0.171140
