chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	550815	725640	0.229154	0.199375	0.146098	0.124116
Superscaffold1	725768	932691	0.180871	0.104095	0.069704	0.091722
Superscaffold1	933377	1295248	0.040214	0.020365	0.014623	0.019121
Superscaffold1	1295261	1552391	0.079740	0.051650	0.034774	0.053603
Superscaffold1	1552614	1902639	-0.125850	-0.067736	-0.044488	-0.064484
Superscaffold1	1902729	2278768	-0.042256	-0.017476	-0.010850	-0.022993
Superscaffold1	2278956	2513893	-0.077516	-0.055493	-0.034420	-0.049998
Superscaffold1	2513923	2718100	-0.083821	-0.058919	-0.038995	-0.049519
Superscaffold1	2718141	2941166	0.032289	0.024419	0.013212	0.017772
Superscaffold1	2941254	3199564	0.001361	0.001022	0.000622	-0.000918
Superscaffold1	3199601	3542713	0.012961	0.006578	0.004640	0.008339
Superscaffold1	3542743	3874533	0.040536	0.026241	0.015854	0.021514
Superscaffold1	3874899	4169574	-0.186506	-0.161463	-0.083873	-0.081486
Superscaffold1	4169726	4462597	0.056416	0.030932	0.020591	0.037978
Superscaffold1	4462766	4750593	-0.085621	-0.078105	-0.044090	-0.051042
Superscaffold1	4750607	5039478	-0.153369	-0.100295	-0.065594	-0.089643
Superscaffold1	5039499	5365320	-0.312262	-0.198402	-0.126934	-0.222760
Superscaffold1	5365413	5648396	-0.202018	-0.159948	-0.092231	-0.131161
Superscaffold1	5648498	5869236	-0.132775	-0.084182	-0.054080	-0.070606
Superscaffold1	5869260	6181711	-0.061645	-0.043933	-0.026703	-0.036953
Superscaffold1	6181820	6390633	0.044138	0.035110	0.021065	0.024269
Superscaffold1	6390636	6715877	-0.123490	-0.068316	-0.045342	-0.072909
Superscaffold1	6715880	7100520	-0.160009	-0.074280	-0.049964	-0.097949
Superscaffold1	7100587	7448997	-0.192989	-0.098909	-0.065105	-0.115087
Superscaffold1	7449006	7787854	-0.115220	-0.069606	-0.046457	-0.062994
Superscaffold1	7787874	8538412	-0.044130	-0.021680	-0.015432	-0.024225
Superscaffold1	8538442	9517650	-0.044254	-0.022703	-0.015749	-0.032252
Superscaffold1	9517675	10434474	0.063800	0.037603	0.024961	0.034829
Superscaffold1	10436219	10782509	-0.068858	-0.045125	-0.029921	-0.037517
Superscaffold1	10782524	11063426	-0.163543	-0.111310	-0.064980	-0.090862
Superscaffold1	11063843	11399107	-0.058346	-0.028638	-0.021277	-0.029539
Superscaffold1	11399109	11710227	-0.170102	-0.049285	-0.038948	-0.074215
Superscaffold1	11710231	11984663	-0.234917	-0.154692	-0.092299	-0.124254
Superscaffold1	11984745	12345710	-0.028432	-0.016342	-0.010732	-0.013479
Superscaffold1	12345751	12630546	0.006025	0.003730	0.002394	-0.002732
Superscaffold1	12630697	13123840	-0.034426	-0.010424	-0.007848	-0.022959
Superscaffold1	13126126	13708107	-0.262621	-0.095344	-0.066137	-0.171633
Superscaffold1	13708114	14327154	-0.138145	-0.052028	-0.035542	-0.079655
Superscaffold1	14327180	14754752	0.073809	0.027993	0.018322	0.041258
Superscaffold1	14756123	15050179	-0.045341	-0.026508	-0.016912	-0.025409
Superscaffold1	15050238	15312774	0.642519	0.365672	0.252753	0.579931
Superscaffold1	15312787	15576306	0.011170	0.006482	0.003830	0.006197
Superscaffold1	15576485	15887661	-0.160974	-0.064033	-0.040000	-0.097364
Superscaffold1	15888108	16193377	-0.116990	-0.071563	-0.038089	-0.071128
Superscaffold1	16193462	16546344	-0.247217	-0.126116	-0.074129	-0.141889
Superscaffold1	16546430	16825601	0.012249	0.011019	0.006837	0.005103
Superscaffold1	16825604	17169723	-0.020992	-0.016156	-0.010221	-0.013119
Superscaffold1	17169769	17676333	0.018668	0.006802	0.005032	0.011168
Superscaffold1	17676353	18318125	-0.045739	-0.025741	-0.016122	-0.025465
Superscaffold1	18318201	18599583	0.047213	0.030405	0.018352	0.024254
Superscaffold1	18599605	19105104	-0.051736	-0.024891	-0.017248	-0.029987
Superscaffold1	19105140	19566877	0.013068	0.006418	0.004623	0.006445
Superscaffold1	19566890	19878603	-0.261715	-0.080414	-0.064832	-0.185481
Superscaffold1	19878610	20178363	-0.148455	-0.075717	-0.049026	-0.086666
Superscaffold1	20178373	20578910	0.044125	0.023869	0.014788	0.029629
Superscaffold1	20579446	21186237	0.057709	0.029145	0.016868	0.035384
Superscaffold1	21186294	21569168	-0.312841	-0.129763	-0.080289	-0.189110
Superscaffold1	21569486	21996285	0.035199	0.016472	0.012045	0.019491
Superscaffold1	21996299	22338227	0.084145	0.036823	0.024176	0.049503
Superscaffold1	22338255	23109902	-0.000450	-0.000093	-0.000074	-0.002583
Superscaffold1	23109946	23690312	0.203191	0.057585	0.038384	0.132393
Superscaffold1	23690509	24083877	-0.187844	-0.105840	-0.064287	-0.117252
Superscaffold1	24083973	24332183	-0.363125	-0.428608	-0.205397	-0.230354
Superscaffold1	24332299	24784817	0.013988	0.004671	0.003400	0.009222
Superscaffold1	24784840	25197972	-0.003411	-0.001787	-0.001143	-0.002636
Superscaffold1	25197999	25563272	-0.157612	-0.070239	-0.045283	-0.087771
Superscaffold1	25563495	25825752	-0.171909	-0.091009	-0.063871	-0.083070
Superscaffold1	25825791	26125461	-0.082473	-0.043937	-0.030128	-0.049087
Superscaffold1	26125466	26436211	-0.150121	-0.049492	-0.034082	-0.091876
Superscaffold1	26436214	26720475	-0.609196	-0.530088	-0.251139	-0.456732
Superscaffold1	26720525	27039770	-0.477876	-0.246061	-0.126109	-0.361469
Superscaffold1	27039799	27304999	-0.031017	-0.023815	-0.009203	-0.019299
Superscaffold1	27305108	27593812	-0.159296	-0.102124	-0.055661	-0.093315
Superscaffold1	27594138	27873385	0.006208	0.003764	0.002269	0.000062
Superscaffold1	27873432	28106791	-0.127471	-0.094458	-0.053522	-0.062114
Superscaffold1	28106800	28390161	-0.133723	-0.100832	-0.059156	-0.082031
Superscaffold1	28390209	28696038	-0.297630	-0.378075	-0.202622	-0.200063
Superscaffold1	28696050	29027280	-0.173398	-0.097611	-0.052814	-0.104114
Superscaffold1	29027375	29382701	-0.372389	-0.181164	-0.116378	-0.240112
Superscaffold1	29382733	29648281	0.076074	0.044529	0.028304	0.058374
Superscaffold1	29648304	29994498	-0.183375	-0.070813	-0.043260	-0.109900
Superscaffold1	29994506	30315681	-0.128674	-0.118682	-0.071222	-0.076223
Superscaffold1	30315684	30822968	-0.223994	-0.118425	-0.075431	-0.135571
Superscaffold1	30822993	31067546	-0.713188	-0.904893	-0.375153	-0.556530
Superscaffold1	31067691	31330236	-0.066266	-0.025285	-0.016584	-0.034724
Superscaffold1	31330237	31774719	-0.322694	-0.162285	-0.104231	-0.193680
Superscaffold1	31774722	32303717	-0.025529	-0.013368	-0.009062	-0.019240
Superscaffold1	32303735	32626830	0.132203	0.062452	0.046854	0.065916
Superscaffold1	32626831	32977072	0.178519	0.084050	0.057842	0.114250
Superscaffold1	32977114	33384404	0.009348	0.004529	0.003106	0.002953
Superscaffold1	33384510	33539788	0.059740	0.034293	0.023374	0.040781
Superscaffold1	33539791	33809371	0.016242	0.012046	0.008059	0.009264
Superscaffold1	33809378	34026962	-0.166075	-0.117056	-0.074397	-0.122021
Superscaffold1	34027001	34263171	-0.225372	-0.105224	-0.071153	-0.147249
Superscaffold1	34263673	34760591	0.075189	0.021600	0.015946	0.036860
Superscaffold1	34760648	35176659	-0.266240	-0.142068	-0.095654	-0.162965
Superscaffold1	35176661	35897341	-0.194397	-0.092187	-0.061280	-0.133507
Superscaffold1	35897358	36726771	-0.036422	-0.016495	-0.011122	-0.027348
Superscaffold1	36726798	37073858	-0.371487	-0.190293	-0.122710	-0.234191
Superscaffold1	37073869	37446163	-0.137179	-0.051194	-0.038936	-0.087246
Superscaffold1	37446441	37708746	0.051053	0.025519	0.016025	0.037373
Superscaffold1	37708780	38274281	-0.035251	-0.018120	-0.012251	-0.022455
Superscaffold1	38274607	38545936	0.037405	0.011902	0.008777	0.016027
Superscaffold1	38546032	38866039	-0.147477	-0.057292	-0.042148	-0.088826
Superscaffold1	38866449	39052111	0.007383	0.003089	0.002445	0.000836
Superscaffold1	39052134	39304628	0.087245	0.034859	0.023275	0.045789
Superscaffold1	39304633	39681892	-0.127371	-0.050441	-0.032909	-0.076321
Superscaffold1	39681912	39967525	-0.465015	-0.134757	-0.099972	-0.336713
Superscaffold1	39967677	40218758	-0.044367	-0.023352	-0.016387	-0.024080
Superscaffold1	40218802	40724829	0.183953	0.062282	0.049935	0.120676
Superscaffold1	40724834	41136565	-0.476583	-0.248935	-0.157468	-0.353675
Superscaffold1	41136599	41574028	-0.412664	-0.193720	-0.118033	-0.303272
Superscaffold1	41574068	41999460	0.467682	0.165967	0.100642	0.391269
Superscaffold1	41999563	42453142	-0.456333	-0.258738	-0.148592	-0.359333
Superscaffold1	42453400	43072279	0.041920	0.012704	0.008821	0.027082
Superscaffold1	43076871	43842451	-0.197787	-0.035596	-0.025416	-0.130115
Superscaffold1	43842650	44720710	0.082162	0.015489	0.011031	0.051222
Superscaffold1	44720744	45245700	0.086400	0.034557	0.025305	0.051974
