chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	220783	506942	-0.288245	-0.163488	-0.109012	-0.232774
Chr01	336450	639900	-0.129040	-0.064081	-0.040373	-0.080996
Chr01	506989	883195	-0.223258	-0.129736	-0.071809	-0.135216
Chr01	639904	1059146	-0.102491	-0.048682	-0.029713	-0.078278
Chr01	884698	1207399	-0.115003	-0.044631	-0.028734	-0.093595
Chr01	1059180	1447724	-0.448686	-0.199392	-0.119844	-0.395196
Chr01	1207401	1549985	-0.361299	-0.177637	-0.106776	-0.294493
Chr01	1448056	1687811	-0.179185	-0.086913	-0.051690	-0.138392
Chr01	1549994	1846908	-0.127807	-0.055424	-0.028732	-0.095916
Chr01	1687828	2028886	-0.154647	-0.060205	-0.028792	-0.104314
Chr01	1846929	2161786	-0.217264	-0.082727	-0.046023	-0.148808
Chr01	2028887	2248320	-0.131268	-0.063171	-0.039859	-0.084504
Chr01	2161788	2381575	-0.058947	-0.052434	-0.028107	-0.035914
Chr01	2248329	2469411	-0.001504	-0.001501	-0.000779	-0.001770
Chr01	2381630	2542728	0.057984	0.046759	0.026450	0.033022
Chr01	2469435	2658859	0.020905	0.016625	0.009340	0.013964
Chr01	2542749	2714621	-0.007179	-0.006093	-0.003173	0.001050
Chr01	2658866	2773467	-0.074806	-0.074052	-0.035277	-0.045864
Chr01	2714623	2864838	-0.250148	-0.238800	-0.121560	-0.163274
Chr01	2773471	2952694	-0.235667	-0.221867	-0.110633	-0.138674
Chr01	2864981	3069695	-0.001956	-0.001978	-0.000865	-0.001268
Chr01	2952720	3168893	0.120066	0.081820	0.043029	0.062947
Chr01	3070138	3313366	-0.133992	-0.069258	-0.038066	-0.075825
Chr01	3168949	3463865	-0.304797	-0.139176	-0.078569	-0.203343
Chr01	3314501	3586486	0.034968	0.016685	0.010158	0.024113
Chr01	3463918	3792237	0.082785	0.042169	0.024911	0.064364
Chr01	3586542	3926260	-0.291786	-0.175202	-0.088676	-0.209643
Chr01	3792272	4064413	-0.340453	-0.268242	-0.121068	-0.227579
Chr01	3926306	4213825	-0.093728	-0.048943	-0.027555	-0.065132
Chr01	4064476	4324564	-0.088830	-0.046708	-0.026321	-0.057393
Chr01	4213934	4435103	-0.049115	-0.041308	-0.017944	-0.022741
Chr01	4324602	4495829	0.043273	0.046100	0.019614	0.022726
Chr01	4435105	4623962	-0.134931	-0.082110	-0.049128	-0.083433
Chr01	4495904	4821259	-0.112427	-0.045995	-0.027405	-0.079998
Chr01	4623966	4955506	-0.292046	-0.125294	-0.075321	-0.222214
Chr01	4821407	5196324	-0.376798	-0.125213	-0.079930	-0.275008
Chr01	4955557	5509375	-0.209250	-0.056414	-0.036312	-0.137115
Chr01	5196442	5714533	-0.221233	-0.079282	-0.050407	-0.145025
Chr01	5509426	5878235	-0.138464	-0.055981	-0.034904	-0.085095
Chr01	5714572	5994053	-0.094550	-0.044499	-0.025654	-0.056346
Chr01	5878372	6138979	-0.035282	-0.016299	-0.009323	-0.023348
Chr01	5994526	6342795	0.002911	0.001155	0.000674	0.007067
Chr01	6138980	6879774	-0.229987	-0.042568	-0.029953	-0.147778
Chr01	6344254	7118759	-0.181578	-0.035826	-0.026279	-0.145192
Chr01	6880150	7318599	-0.238097	-0.115486	-0.070877	-0.182001
Chr01	7118839	7454618	-0.434078	-0.261094	-0.148725	-0.327695
Chr01	7318610	7659449	-0.288966	-0.143906	-0.079652	-0.214351
Chr01	7454719	7837259	-0.185936	-0.078266	-0.042237	-0.132011
Chr01	7659462	7952483	-0.057208	-0.026788	-0.014687	-0.043982
Chr01	7837336	8081052	-0.043207	-0.021309	-0.011981	-0.032618
Chr01	7952514	8331739	-0.036130	-0.007711	-0.005341	-0.024509
Chr01	8081177	8532307	-0.100353	-0.020075	-0.013732	-0.075237
Chr01	8332400	8662835	-0.148624	-0.045299	-0.028063	-0.110954
Chr01	8532772	8855595	-0.096838	-0.041125	-0.024266	-0.057586
Chr01	8662962	9233703	-0.121040	-0.053294	-0.032385	-0.062367
Chr01	8855638	9407822	-0.298811	-0.117419	-0.069470	-0.204240
Chr01	9233706	9568329	-0.119086	-0.048585	-0.029291	-0.088184
Chr01	9407874	9778349	0.128694	0.060670	0.036832	0.088313
Chr01	9568449	9871728	0.033300	0.018457	0.010959	0.025746
Chr01	9778435	9975785	-0.002554	-0.001226	-0.000812	0.004532
Chr01	9871758	10070810	0.043977	0.021692	0.013792	0.033057
Chr01	9975792	10200313	0.013477	0.010270	0.005002	0.007661
Chr01	10070836	10373201	-0.167236	-0.093042	-0.050626	-0.105586
