chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55949	68926	-0.416626	-0.110364	-0.088254	-0.304011
Chr01	70189	78977	-0.541761	-0.185298	-0.138677	-0.437655
Chr01	78992	120922	-0.666217	-0.360247	-0.219170	-0.538834
Chr01	120924	138953	-0.163486	-0.156602	-0.075136	-0.093052
Chr01	139148	152930	-0.269976	-0.324452	-0.140133	-0.108347
Chr01	152941	165138	-0.296708	-0.443868	-0.189722	-0.125160
Chr01	165324	181072	-0.066676	-0.083522	-0.043403	-0.026760
Chr01	181106	184845	-0.111032	-0.295301	-0.115770	-0.050443
Chr01	184857	186847	0.064223	0.151037	0.056145	0.032069
Chr01	186873	192254	0.145135	0.195245	0.107915	0.062473
Chr01	192341	202898	0.309872	0.321278	0.232288	0.165488
Chr01	202912	206380	-0.031200	-0.023060	-0.013773	-0.066608
Chr01	206418	209601	-0.011557	-0.007840	-0.005207	-0.014211
Chr01	209609	214053	0.101959	0.057010	0.040420	0.048630
Chr01	214110	216815	-0.151214	-0.101924	-0.069339	-0.097725
Chr01	216825	218734	0.037982	0.030133	0.020178	-0.001073
Chr01	218745	220705	-0.085617	-0.077528	-0.047108	-0.065004
Chr01	220706	225090	-0.121728	-0.157453	-0.083824	-0.053608
Chr01	225109	229369	0.151886	0.147649	0.094087	0.055006
Chr01	229376	233882	0.061853	0.046197	0.030457	0.018772
Chr01	233903	238025	-0.111064	-0.103642	-0.062647	-0.050782
Chr01	238064	244470	0.024962	0.015462	0.010127	-0.003121
Chr01	244498	249249	0.142344	0.093798	0.068432	0.042573
Chr01	249266	252096	0.437879	0.267544	0.190322	0.174825
Chr01	252146	255810	-0.042912	-0.022248	-0.014160	-0.021778
Chr01	255833	269869	-0.889587	-3.009885	-0.516083	-0.700270
Chr01	269882	274530	0.012655	0.010095	0.005579	-0.006217
Chr01	274534	276249	0.105224	0.092227	0.040997	0.048369
Chr01	276251	282732	0.047080	0.036517	0.020411	0.022677
Chr01	282814	305955	0.222320	0.143988	0.084685	0.154638
Chr01	306016	311093	0.483075	0.398458	0.306824	0.380267
Chr01	311126	316719	0.075324	0.103871	0.047532	0.064922
Chr01	316781	323562	-0.024856	-0.020001	-0.010407	-0.020507
Chr01	323566	335699	-0.466617	-0.241101	-0.129893	-0.243677
Chr01	336007	350126	-0.445704	-0.162612	-0.113705	-0.130277
Chr01	350158	358318	0.350640	0.211487	0.156087	0.185279
Chr01	358432	386127	0.620116	0.192564	0.145258	0.485639
Chr01	386133	392910	0.011219	0.007274	0.004748	0.002847
Chr01	393057	402228	0.092202	0.057108	0.031347	0.022342
Chr01	402252	406146	0.359941	0.318990	0.189110	0.175227
Chr01	406348	417073	0.333650	0.170179	0.090738	0.167210
Chr01	417080	425192	0.826658	0.581867	0.517949	0.735035
Chr01	425267	431665	0.404694	0.362760	0.199299	0.283982
Chr01	431669	439047	0.626952	0.531390	0.243825	0.366587
Chr01	439120	447197	0.147903	0.070592	0.045854	0.034428
Chr01	447258	452422	0.498730	0.406047	0.262182	0.317159
Chr01	452445	464675	0.282733	0.252022	0.143718	0.175213
Chr01	464703	467409	-0.120699	-0.339403	-0.096848	-0.056687
Chr01	467524	478634	-0.196885	-0.298347	-0.090861	-0.128154
Chr01	478642	481905	-0.098531	-0.229189	-0.056084	-0.044740
Chr01	481985	488191	-0.347071	-0.207832	-0.100299	-0.196732
Chr01	488203	496303	-0.012609	-0.007922	-0.004286	0.003563
Chr01	496304	499846	0.027566	0.014960	0.008492	0.015228
