chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	261240	648651	-0.140231	-0.057039	-0.038634	-0.097239
Chr01	464133	980322	-0.114722	-0.046354	-0.030117	-0.090618
Chr01	648663	1207401	-0.089625	-0.026152	-0.017927	-0.065832
Chr01	980343	1461583	-0.052887	-0.014873	-0.009970	-0.035092
Chr01	1207428	1629162	0.214638	0.072491	0.047232	0.161236
Chr01	1461596	1854873	0.022144	0.007534	0.004521	0.021328
Chr01	1629198	2086617	-0.215985	-0.077968	-0.042037	-0.169641
Chr01	1855107	2257061	-0.128110	-0.049323	-0.028108	-0.097771
Chr01	2086883	2473241	0.009558	0.003628	0.002433	0.007483
Chr01	2257071	2616608	-0.101709	-0.048360	-0.032041	-0.070314
Chr01	2473299	2725676	-0.002471	-0.001169	-0.000774	-0.001788
Chr01	2616620	2822366	0.053213	0.023492	0.015890	0.034310
Chr01	2725831	3034350	-0.066317	-0.029204	-0.019263	-0.044196
Chr01	2822369	3237822	-0.043541	-0.014391	-0.009731	-0.029333
Chr01	3034403	3472120	-0.080728	-0.022828	-0.015078	-0.049016
Chr01	3237833	3706276	0.032744	0.009018	0.006136	0.020563
Chr01	3472141	3970749	0.092528	0.031087	0.019747	0.065338
Chr01	3706360	4208987	0.071834	0.027505	0.016277	0.056342
Chr01	3970792	4401050	0.005675	0.002288	0.001375	0.003758
Chr01	4208996	4515908	-0.062536	-0.027301	-0.017223	-0.036432
Chr01	4401215	4734318	0.126471	0.043935	0.031197	0.078482
Chr01	4516093	5016509	-0.089616	-0.029031	-0.019260	-0.066963
Chr01	4735618	5287967	-0.246883	-0.077605	-0.051079	-0.195797
Chr01	5017330	5620070	-0.092337	-0.029038	-0.020468	-0.070025
Chr01	5288095	5824400	-0.076195	-0.027912	-0.019011	-0.055721
Chr01	5620077	5953658	-0.118763	-0.059915	-0.035685	-0.079689
Chr01	5824873	6165397	0.263588	0.110380	0.072577	0.200469
Chr01	5953665	6372356	0.211249	0.075937	0.051448	0.175574
Chr01	6165589	6736344	0.020325	0.006161	0.004381	0.018091
Chr01	6372644	7031701	0.217428	0.046446	0.035916	0.169051
Chr01	6737019	7308997	-0.076586	-0.020829	-0.015045	-0.052513
Chr01	7031748	7483337	-0.171604	-0.073658	-0.046020	-0.127361
Chr01	7309398	7780221	0.013826	0.004467	0.002796	0.010366
Chr01	7483525	7918846	-0.108460	-0.035339	-0.021480	-0.086951
Chr01	7780233	8058987	-0.145015	-0.067314	-0.039530	-0.111513
Chr01	7918866	8222973	0.228550	0.116030	0.071462	0.169103
Chr01	8059007	8403758	0.455256	0.183928	0.119917	0.315405
Chr01	8222996	8521558	0.357461	0.135603	0.083448	0.235995
Chr01	8403993	8734259	0.110107	0.042788	0.026067	0.080831
Chr01	8521567	9260229	-0.008870	-0.002638	-0.001793	-0.005882
Chr01	8734418	9473138	-0.027109	-0.008292	-0.005248	-0.020109
Chr01	9260309	9674552	-0.168009	-0.073945	-0.043091	-0.144000
Chr01	9473139	9874695	-0.198888	-0.093235	-0.061742	-0.156747
Chr01	9674659	10012611	0.032637	0.012788	0.008938	0.020369
Chr01	9874771	10183340	0.070942	0.031398	0.020527	0.051950
Chr01	10012743	10393873	0.084363	0.033054	0.021683	0.056717
Chr01	10183418	10895459	0.060212	0.020363	0.013321	0.042304
Chr01	10394108	11092545	-0.180043	-0.067602	-0.041846	-0.136228
Chr01	10895489	11290895	-0.282558	-0.123937	-0.072825	-0.228661
Chr01	11092754	11471604	-0.034097	-0.013723	-0.008796	-0.021168
Chr01	11291006	11686233	0.246893	0.082836	0.058919	0.209395
Chr01	11471616	12042406	0.210178	0.072022	0.048881	0.167850
Chr01	11686393	12222197	0.225929	0.091674	0.057331	0.173078
Chr01	12042714	12383928	-0.042584	-0.020224	-0.010623	-0.025648
Chr01	12222467	12517131	-0.284280	-0.156345	-0.070079	-0.202010
Chr01	12383969	12709167	-0.052225	-0.027422	-0.013168	-0.041106
Chr01	12517141	12890825	-0.134428	-0.078208	-0.028497	-0.110582
Chr01	12709197	13207592	-0.340013	-0.169660	-0.062847	-0.252620
