chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	533501	695515	-0.377529	-0.270806	-0.159456	-0.254833
Superscaffold1	695534	851183	0.211474	0.120326	0.073886	0.138092
Superscaffold1	851201	1159496	-0.000284	-0.000153	-0.000083	-0.000063
Superscaffold1	1159546	1435303	-0.037975	-0.009718	-0.006897	-0.017443
Superscaffold1	1435320	1792199	0.036083	0.010546	0.007155	0.023314
Superscaffold1	1792256	2171407	-0.209965	-0.082007	-0.044669	-0.166056
Superscaffold1	2171450	2410298	-0.016915	-0.009004	-0.005768	-0.013911
Superscaffold1	2410366	2624193	0.044856	0.027013	0.017405	0.025977
Superscaffold1	2624221	2803524	-0.213069	-0.171599	-0.089969	-0.139337
Superscaffold1	2803626	3046423	-0.240238	-0.180300	-0.090226	-0.152865
Superscaffold1	3046646	3395232	-0.092117	-0.034758	-0.021891	-0.048773
Superscaffold1	3395399	3794618	-0.134973	-0.047561	-0.028636	-0.082421
Superscaffold1	3794741	4254275	-0.237530	-0.075771	-0.048163	-0.158633
Superscaffold1	4254311	4652667	-0.298925	-0.119692	-0.077119	-0.209607
Superscaffold1	4652670	5097737	-0.015819	-0.005662	-0.003931	-0.006032
Superscaffold1	5097810	5617481	-0.283330	-0.058338	-0.042440	-0.180625
Superscaffold1	5617516	5992167	0.305187	0.110969	0.076272	0.194305
Superscaffold1	5992205	6491528	-0.097157	-0.026983	-0.018475	-0.066083
Superscaffold1	6491556	6894225	-0.152737	-0.050190	-0.033435	-0.102810
Superscaffold1	6895170	7328470	-0.367807	-0.146201	-0.086866	-0.248511
Superscaffold1	7328725	7782398	-0.207667	-0.078889	-0.049924	-0.142131
Superscaffold1	7782424	8523205	-0.199039	-0.073255	-0.044642	-0.130491
Superscaffold1	8523326	9611227	-0.047888	-0.015638	-0.010353	-0.022330
Superscaffold1	9611248	10659627	0.029185	0.009985	0.006792	0.025897
Superscaffold1	10659722	10999070	-0.111273	-0.040236	-0.026100	-0.067838
Superscaffold1	10999109	11403252	-0.140479	-0.048117	-0.032670	-0.109659
Superscaffold1	11403264	11765400	-0.433489	-0.178886	-0.104196	-0.333792
Superscaffold1	11765411	12132512	0.124031	0.051163	0.034146	0.090953
Superscaffold1	12132818	12481206	-0.017764	-0.008051	-0.004879	-0.008415
Superscaffold1	12481224	12861058	-0.113871	-0.039168	-0.024429	-0.078815
Superscaffold1	12861063	13342609	0.014659	0.004039	0.002576	0.011857
Superscaffold1	13342641	14243639	-0.107279	-0.019369	-0.012915	-0.081099
Superscaffold1	14243645	14792657	0.001563	0.000390	0.000257	0.002557
Superscaffold1	14793385	15122698	-0.079196	-0.030426	-0.020059	-0.055486
