chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	522127	628704	0.065455	0.067202	0.044652	0.027408
Superscaffold1	628719	767234	-0.070249	-0.048358	-0.034594	-0.025816
Superscaffold1	767246	938200	0.199139	0.134075	0.082409	0.090896
Superscaffold1	938270	1245655	-0.007203	-0.004164	-0.002799	-0.002758
Superscaffold1	1245682	1417633	-0.032683	-0.026015	-0.015229	-0.014028
Superscaffold1	1417640	1610618	0.132705	0.109818	0.068061	0.053663
Superscaffold1	1610679	1900002	-0.193554	-0.095241	-0.061681	-0.087809
Superscaffold1	1900029	2256336	0.029951	0.012304	0.007260	0.013611
Superscaffold1	2256384	2444691	-0.031208	-0.021362	-0.013983	-0.014299
Superscaffold1	2444692	2616582	-0.057486	-0.052322	-0.029526	-0.031714
Superscaffold1	2616583	2780294	0.073975	0.090557	0.048492	0.038193
Superscaffold1	2780334	2973040	0.005721	0.004863	0.002229	0.001684
Superscaffold1	2973049	3174657	-0.052149	-0.053629	-0.030487	-0.028283
Superscaffold1	3174703	3460856	0.088679	0.062596	0.038427	0.041957
Superscaffold1	3460870	3750316	-0.013772	-0.008691	-0.005605	-0.007206
Superscaffold1	3750319	4015455	-0.042481	-0.031685	-0.016489	-0.017031
Superscaffold1	4015487	4327554	0.114583	0.076913	0.046813	0.055725
Superscaffold1	4327708	4544353	-0.092461	-0.065554	-0.039938	-0.037238
Superscaffold1	4544399	4808423	0.034168	0.034585	0.017220	0.019532
Superscaffold1	4808429	5064790	-0.140515	-0.091477	-0.058636	-0.073359
Superscaffold1	5064810	5337583	-0.197081	-0.158769	-0.088892	-0.125389
Superscaffold1	5337670	5598785	-0.229904	-0.205865	-0.111346	-0.136585
Superscaffold1	5598821	5774244	-0.056037	-0.050636	-0.030203	-0.029766
Superscaffold1	5774248	6101164	-0.135277	-0.080106	-0.050729	-0.077494
Superscaffold1	6101173	6349251	0.015193	0.009392	0.005641	0.006403
Superscaffold1	6349258	6627259	-0.133811	-0.091155	-0.055867	-0.077821
Superscaffold1	6627423	6858326	-0.245018	-0.131998	-0.086444	-0.120683
Superscaffold1	6858544	7177669	-0.038092	-0.025324	-0.014686	-0.013523
Superscaffold1	7178684	7464069	-0.068295	-0.037781	-0.023926	-0.036503
Superscaffold1	7464131	7787854	-0.182638	-0.119928	-0.073748	-0.081539
Superscaffold1	7787874	8526596	0.004033	0.001926	0.001333	0.000118
Superscaffold1	8526672	9390117	-0.077424	-0.050718	-0.031391	-0.045405
Superscaffold1	9391365	10149694	0.095882	0.062012	0.039247	0.049086
Superscaffold1	10150887	10677548	-0.013589	-0.009692	-0.005859	-0.010045
Superscaffold1	10677584	10880524	-0.036586	-0.025423	-0.015103	-0.016046
Superscaffold1	10880545	11144056	-0.015709	-0.009363	-0.006283	-0.005175
Superscaffold1	11144131	11534531	-0.030567	-0.009893	-0.007900	-0.023502
Superscaffold1	11534533	11801853	-0.148952	-0.076634	-0.045600	-0.046513
Superscaffold1	11801982	11992539	-0.155838	-0.123502	-0.078728	-0.075221
Superscaffold1	11992612	12304156	-0.043897	-0.029980	-0.017721	-0.020471
Superscaffold1	12304375	12522530	0.104199	0.113191	0.064040	0.055809
Superscaffold1	12522531	12838249	-0.022315	-0.014353	-0.008612	-0.013307
Superscaffold1	12838282	13287251	-0.146886	-0.052477	-0.037186	-0.075450
Superscaffold1	13290463	13801015	-0.249093	-0.099621	-0.067904	-0.135420
Superscaffold1	13801203	14384730	-0.180741	-0.060716	-0.039804	-0.094271
Superscaffold1	14384846	14772148	0.074253	0.034956	0.021667	0.040067
Superscaffold1	14772177	15043767	-0.003881	-0.002607	-0.001547	-0.001320
Superscaffold1	15043962	15313839	0.653831	0.351881	0.241257	0.554039
Superscaffold1	15313897	15548727	0.116644	0.077232	0.043466	0.068375
Superscaffold1	15548802	15851308	-0.192808	-0.081113	-0.048565	-0.104202
Superscaffold1	15851309	16111236	-0.225626	-0.142937	-0.074207	-0.127998
Superscaffold1	16111255	16433257	-0.371178	-0.171434	-0.102447	-0.227034
Superscaffold1	16433291	16716000	0.042880	0.037513	0.020865	0.019013
Superscaffold1	16716149	17013643	-0.034562	-0.025170	-0.016357	-0.015796
Superscaffold1	17013824	17341928	0.143454	0.098237	0.062154	0.072999
Superscaffold1	17341931	18011377	-0.007708	-0.002988	-0.001965	-0.001892
Superscaffold1	18014718	18358792	-0.081510	-0.081928	-0.042847	-0.034361
Superscaffold1	18358821	18601315	0.009659	0.006692	0.003787	0.004481
Superscaffold1	18601382	18986293	-0.145035	-0.087270	-0.055547	-0.065582
Superscaffold1	18986306	19155508	0.128674	0.097372	0.067631	0.060403
Superscaffold1	19155527	19600482	-0.146411	-0.063103	-0.044731	-0.072575
Superscaffold1	19600570	19881299	-0.238701	-0.090535	-0.069861	-0.141071
Superscaffold1	19881305	20151058	-0.091014	-0.052342	-0.032808	-0.051053
Superscaffold1	20151059	20498829	0.040851	0.025448	0.015389	0.027101
Superscaffold1	20499129	21159279	-0.020396	-0.009614	-0.005165	-0.012332
Superscaffold1	21159507	21510090	-0.065976	-0.026794	-0.017149	-0.038109
Superscaffold1	21510097	21812626	0.059224	0.032098	0.020286	0.031825
Superscaffold1	21812690	22208738	0.129059	0.065807	0.042779	0.070383
Superscaffold1	22208770	22806964	0.039395	0.008423	0.006506	0.018842
Superscaffold1	22807125	23463998	0.230515	0.056456	0.038278	0.129534
Superscaffold1	23464105	23848204	0.062268	0.027336	0.017555	0.035970
Superscaffold1	23848374	24168230	-0.384690	-0.320461	-0.165896	-0.229713
Superscaffold1	24168453	24449352	-0.124649	-0.119197	-0.064661	-0.069630
Superscaffold1	24449607	24833814	-0.027156	-0.009451	-0.006786	-0.016318
Superscaffold1	24833942	25268287	-0.053790	-0.023569	-0.014463	-0.029478
Superscaffold1	25268456	25595469	-0.067141	-0.032111	-0.020541	-0.032908
Superscaffold1	25595470	25826091	-0.142905	-0.091786	-0.060360	-0.062028
Superscaffold1	25826140	26072566	-0.060798	-0.058275	-0.037141	-0.028984
Superscaffold1	26072745	26289630	-0.275755	-0.184144	-0.095875	-0.153213
Superscaffold1	26289759	26644109	-0.306321	-0.170872	-0.101596	-0.168465
Superscaffold1	26644193	26911907	-0.672673	-0.713345	-0.288724	-0.507709
Superscaffold1	26912096	27212856	-0.224680	-0.100259	-0.050695	-0.162551
Superscaffold1	27212907	27438155	-0.284121	-0.295334	-0.107199	-0.152513
Superscaffold1	27438185	27765101	0.140293	0.068495	0.043152	0.070921
Superscaffold1	27765221	27990797	-0.120120	-0.094285	-0.052040	-0.056449
Superscaffold1	27991543	28201531	0.219546	0.168707	0.095711	0.115896
Superscaffold1	28201537	28439583	0.010401	0.007675	0.004675	0.006159
Superscaffold1	28439631	28714421	-0.381794	-0.498705	-0.270338	-0.267098
Superscaffold1	28714525	29055064	-0.257124	-0.136168	-0.068333	-0.126210
Superscaffold1	29055211	29372756	-0.362349	-0.185682	-0.122443	-0.207392
Superscaffold1	29372769	29673946	-0.108264	-0.063685	-0.035777	-0.071775
Superscaffold1	29673949	29998862	-0.115406	-0.049598	-0.029532	-0.066373
Superscaffold1	29998908	30313610	-0.016838	-0.015264	-0.009049	-0.009846
Superscaffold1	30313642	30837991	-0.153342	-0.073997	-0.046875	-0.084418
Superscaffold1	30838112	31132557	-0.664077	-0.484653	-0.253631	-0.509267
Superscaffold1	31132599	31551972	-0.008844	-0.003471	-0.002316	-0.005782
Superscaffold1	31551975	31867148	-0.278616	-0.160367	-0.098413	-0.170692
Superscaffold1	31867161	32333637	-0.048850	-0.026000	-0.017285	-0.029297
Superscaffold1	32333679	32682153	0.262447	0.117042	0.080533	0.129272
Superscaffold1	32682208	33095705	-0.034270	-0.016217	-0.011380	-0.024572
Superscaffold1	33095837	33433370	0.236163	0.103703	0.073986	0.136397
Superscaffold1	33435072	33578351	0.086760	0.050480	0.033851	0.048104
Superscaffold1	33578356	33833701	0.063462	0.049979	0.031288	0.030935
Superscaffold1	33833722	34030333	-0.207576	-0.149823	-0.091178	-0.130189
Superscaffold1	34030392	34314827	-0.139614	-0.054977	-0.039206	-0.103784
Superscaffold1	34314833	34763284	0.057682	0.017458	0.012685	0.027705
Superscaffold1	34763586	35207986	-0.319952	-0.138664	-0.096752	-0.202707
Superscaffold1	35208062	36031346	0.035893	0.014656	0.009576	0.020155
Superscaffold1	36031354	36826736	-0.192711	-0.086567	-0.053293	-0.102905
Superscaffold1	36826745	37148709	-0.276348	-0.151711	-0.098993	-0.158861
Superscaffold1	37148757	37483429	-0.155054	-0.055475	-0.041744	-0.094389
Superscaffold1	37483712	37739676	0.076199	0.046117	0.026477	0.050884
Superscaffold1	37739832	38215941	-0.054838	-0.039172	-0.024158	-0.030155
Superscaffold1	38216025	38519791	0.098177	0.027045	0.019910	0.047926
Superscaffold1	38519968	38870173	-0.261367	-0.082758	-0.061480	-0.158547
Superscaffold1	38870175	39052949	0.129166	0.059224	0.046597	0.060202
Superscaffold1	39052989	39294317	0.037297	0.015243	0.009891	0.015701
Superscaffold1	39294357	39672481	-0.082097	-0.029271	-0.018849	-0.044319
Superscaffold1	39672510	39928970	-0.475872	-0.158352	-0.114326	-0.306644
Superscaffold1	39929025	40209480	-0.064487	-0.026980	-0.019499	-0.034962
