chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	557997	715976	-0.163874	-0.115431	-0.071740	-0.104329
Superscaffold1	715988	900149	0.049747	0.025829	0.016640	0.027641
Superscaffold1	900199	1239656	-0.101826	-0.050561	-0.031069	-0.052864
Superscaffold1	1239731	1466858	0.023028	0.006863	0.004763	0.015709
Superscaffold1	1466971	1823238	-0.121543	-0.042815	-0.028681	-0.073788
Superscaffold1	1823300	2176007	-0.397694	-0.141767	-0.078303	-0.293815
Superscaffold1	2176087	2395246	-0.035834	-0.018936	-0.012440	-0.025551
Superscaffold1	2395248	2578025	-0.052073	-0.035530	-0.021998	-0.032500
Superscaffold1	2578033	2771513	-0.019879	-0.020058	-0.010677	-0.010741
Superscaffold1	2771555	2944354	-0.213333	-0.224450	-0.096460	-0.120654
Superscaffold1	2944708	3190259	0.098002	0.060481	0.036693	0.057099
Superscaffold1	3190515	3536773	0.046715	0.017053	0.011168	0.026443
Superscaffold1	3536783	3966429	-0.168747	-0.050482	-0.031212	-0.104168
Superscaffold1	3966452	4340795	-0.074805	-0.034476	-0.020558	-0.037067
Superscaffold1	4340805	4667065	-0.267865	-0.119409	-0.074480	-0.180514
Superscaffold1	4667368	5062739	0.024001	0.009805	0.006794	0.019076
Superscaffold1	5062771	5509159	-0.193039	-0.046290	-0.032711	-0.117396
Superscaffold1	5509311	5837281	0.104980	0.039123	0.026175	0.064243
Superscaffold1	5837283	6292099	0.117148	0.035440	0.023784	0.072040
Superscaffold1	6292137	6659328	-0.041667	-0.012641	-0.008991	-0.024910
Superscaffold1	6659376	7089844	-0.369957	-0.146864	-0.087469	-0.243091
Superscaffold1	7089845	7449681	-0.221734	-0.087469	-0.054491	-0.153819
Superscaffold1	7449693	7871615	-0.259575	-0.091397	-0.060736	-0.169504
Superscaffold1	7871718	8531975	-0.345505	-0.152607	-0.088148	-0.229584
Superscaffold1	8531994	9473868	-0.043051	-0.017253	-0.011047	-0.023741
Superscaffold1	9474006	10540615	0.086718	0.030323	0.019984	0.061564
Superscaffold1	10540709	10846855	-0.178992	-0.068552	-0.047184	-0.120001
Superscaffold1	10846922	11165349	0.044366	0.018252	0.011306	0.027695
Superscaffold1	11166818	11503965	-0.543821	-0.261604	-0.161722	-0.437327
Superscaffold1	11504091	11933711	-0.032428	-0.009512	-0.006005	-0.023054
Superscaffold1	11933781	12212927	-0.042167	-0.021997	-0.013276	-0.025027
Superscaffold1	12212940	12497594	0.144871	0.082844	0.048674	0.080968
Superscaffold1	12497622	12833703	-0.079990	-0.027239	-0.017163	-0.060555
Superscaffold1	12833737	13103257	-0.002795	-0.001251	-0.000692	-0.002048
Superscaffold1	13103261	13857518	-0.019046	-0.003130	-0.002128	-0.010431
Superscaffold1	13859310	14528415	-0.071425	-0.016417	-0.010777	-0.049052
Superscaffold1	14528474	14872506	0.139136	0.045603	0.029197	0.089123
Superscaffold1	14872555	15284607	-0.087314	-0.020781	-0.014993	-0.072256
Superscaffold1	15285027	15660087	-0.235532	-0.058029	-0.037951	-0.159517
Superscaffold1	15660154	16009456	-0.216243	-0.068314	-0.042202	-0.156625
Superscaffold1	16009458	16386398	-0.079448	-0.022989	-0.014596	-0.056012
Superscaffold1	16386399	16719649	-0.035320	-0.012791	-0.008338	-0.017250
Superscaffold1	16719650	17078672	0.156781	0.061919	0.035264	0.087163
Superscaffold1	17078781	17542917	-0.115501	-0.040727	-0.025112	-0.080434
Superscaffold1	17542928	18228587	-0.102929	-0.050349	-0.026547	-0.059533
Superscaffold1	18228650	18531319	0.051728	0.019445	0.011635	0.029097
Superscaffold1	18534450	19007463	-0.123571	-0.033803	-0.022753	-0.074508
Superscaffold1	19007537	19194188	-0.078831	-0.038550	-0.024077	-0.041623
Superscaffold1	19194190	19611084	-0.529638	-0.331440	-0.203678	-0.400316
Superscaffold1	19611104	19922141	-0.195796	-0.076106	-0.049266	-0.138820
Superscaffold1	19922168	20315961	0.046839	0.012626	0.008297	0.028823
Superscaffold1	20316090	21010045	-0.041898	-0.013727	-0.007792	-0.027758
Superscaffold1	21010109	21349592	-0.149648	-0.048437	-0.030290	-0.104274
Superscaffold1	21349593	21719868	-0.055421	-0.020869	-0.011860	-0.033018
Superscaffold1	21720073	22138162	-0.072057	-0.022003	-0.014370	-0.043835
Superscaffold1	22138242	22709365	0.001453	0.000317	0.000209	0.001773
Superscaffold1	22709383	23236368	-0.171662	-0.036530	-0.022612	-0.141301
Superscaffold1	23236503	23685624	-0.127811	-0.033827	-0.020906	-0.097500
Superscaffold1	23685720	24027637	-0.346495	-0.131640	-0.079603	-0.245893
Superscaffold1	24027665	24456786	-0.069547	-0.022470	-0.014675	-0.040677
Superscaffold1	24456787	24711887	-0.010347	-0.004229	-0.002576	-0.006546
Superscaffold1	24712123	25122746	-0.113212	-0.038532	-0.023044	-0.081592
Superscaffold1	25122778	25545905	-0.011383	-0.003404	-0.002131	-0.011962
Superscaffold1	25546004	25903299	-0.270524	-0.089916	-0.063774	-0.189715
Superscaffold1	25903306	26315489	-0.144967	-0.040225	-0.027363	-0.086698
Superscaffold1	26315512	26893118	0.105740	0.018627	0.013517	0.069856
Superscaffold1	26893141	27327742	0.121387	0.027535	0.016901	0.095098
Superscaffold1	27327752	27772569	-0.048501	-0.014838	-0.009560	-0.037530
Superscaffold1	27773110	27964924	-0.375996	-0.360958	-0.151416	-0.197972
Superscaffold1	27965107	28211233	-0.111588	-0.050420	-0.029545	-0.064501
Superscaffold1	28211257	28677726	0.097054	0.029951	0.021213	0.064658
Superscaffold1	28677814	29024656	-0.308768	-0.126180	-0.080021	-0.214917
Superscaffold1	29024663	29420876	-0.170091	-0.042459	-0.029020	-0.115535
Superscaffold1	29420930	29778100	-0.182497	-0.080421	-0.044976	-0.132898
Superscaffold1	29778273	30068564	-0.598276	-0.352235	-0.193151	-0.465890
Superscaffold1	30068572	30758639	-0.112117	-0.034347	-0.021461	-0.057692
Superscaffold1	30758658	31232534	0.078736	0.016840	0.011768	0.062492
Superscaffold1	31232568	31864917	-0.156571	-0.028328	-0.020141	-0.098074
Superscaffold1	31865098	32391286	0.117012	0.049310	0.027427	0.074092
Superscaffold1	32391362	32844750	0.096611	0.027543	0.017721	0.062594
Superscaffold1	32846231	33289072	-0.064875	-0.019649	-0.012830	-0.042672
Superscaffold1	33289117	33535217	-0.057636	-0.035026	-0.021060	-0.035097
Superscaffold1	33535237	33806673	-0.082151	-0.045715	-0.026580	-0.043263
Superscaffold1	33806681	34051272	-0.197195	-0.076116	-0.051233	-0.102344
Superscaffold1	34051323	34277713	-0.202654	-0.070058	-0.044731	-0.139115
Superscaffold1	34277729	34695418	-0.109589	-0.034107	-0.021878	-0.077650
Superscaffold1	34695549	35261548	-0.062380	-0.011356	-0.008116	-0.044950
Superscaffold1	35261559	35985143	-0.077292	-0.032098	-0.018930	-0.044967
Superscaffold1	35985212	36995623	0.049276	0.009358	0.006474	0.031533
Superscaffold1	36995706	37319627	-0.350822	-0.124359	-0.080984	-0.242229
Superscaffold1	37319693	37560417	-0.090242	-0.037643	-0.022469	-0.057960
Superscaffold1	37560419	38131980	-0.020370	-0.007273	-0.004702	-0.012194
Superscaffold1	38132161	38491942	0.037517	0.012339	0.007884	0.033469
Superscaffold1	38491972	38903593	-0.115951	-0.023641	-0.017654	-0.087617
Superscaffold1	38903608	39187692	0.025071	0.008399	0.005480	0.026025
Superscaffold1	39187868	39636646	-0.365965	-0.096655	-0.061943	-0.288236
Superscaffold1	39636665	39965862	-0.125673	-0.034718	-0.023510	-0.095363
Superscaffold1	39965912	40388857	0.052002	0.010097	0.007158	0.038591
Superscaffold1	40389359	40850433	0.215581	0.058079	0.040005	0.129915
Superscaffold1	40850444	41493869	0.014894	0.002417	0.001530	0.012400
Superscaffold1	41494010	41993134	-0.043993	-0.006878	-0.004830	-0.034531
Superscaffold1	41995084	42781286	0.082631	0.007502	0.005915	0.062538
Superscaffold1	42781633	43540460	0.048577	0.006128	0.004036	0.036871
Superscaffold1	43541007	44013840	-0.011258	-0.002470	-0.001641	-0.023929
Superscaffold1	44013841	44902644	-0.315902	-0.043508	-0.028481	-0.269299
Superscaffold1	44902812	45702643	-0.028924	-0.003014	-0.002348	-0.016712
Superscaffold1	45702653	46896650	-0.053714	-0.004985	-0.003803	-0.037602
Superscaffold1	46896703	48020309	-0.184986	-0.014448	-0.011632	-0.137261
Superscaffold1	48020384	48530917	0.504870	0.103528	0.067706	0.436086
Superscaffold1	48531005	49127941	0.215459	0.030292	0.021860	0.140333
Superscaffold1	49127944	49679436	-0.160936	-0.020133	-0.014447	-0.090547
Superscaffold1	49679437	50032541	-0.431302	-0.131513	-0.069732	-0.257349
Superscaffold1	50032551	50330375	-0.391542	-0.186367	-0.105386	-0.348543
Superscaffold1	50330506	50970367	0.015899	0.002957	0.002312	0.010165
Superscaffold1	50970387	51456074	0.111651	0.066300	0.036309	0.060914
Superscaffold2	276192	644177	0.229443	0.076453	0.052346	0.123561
Superscaffold2	644210	1011650	0.163062	0.048175	0.033160	0.102770
Superscaffold2	1012046	1451231	-0.027739	-0.005999	-0.004464	-0.016461
Superscaffold2	1451376	1957030	-0.074692	-0.013915	-0.010172	-0.048090
Superscaffold2	1957086	2317868	-0.082161	-0.037936	-0.022341	-0.059384
Superscaffold2	2317955	2824609	0.168733	0.064213	0.039552	0.115337
Superscaffold2	2824611	3517836	-0.186793	-0.099391	-0.055503	-0.114067
Superscaffold2	3517854	3822008	-0.158453	-0.083453	-0.046198	-0.113364
Superscaffold2	3823877	4279281	-0.053970	-0.018103	-0.010808	-0.032823
Superscaffold2	4279336	4711862	-0.116610	-0.033863	-0.020018	-0.081941
Superscaffold2	4711954	5043730	-0.399354	-0.131939	-0.088667	-0.315286
Superscaffold2	5045110	5482366	0.117341	0.039079	0.027103	0.087773
Superscaffold2	5482373	5932264	-0.231995	-0.105937	-0.049863	-0.164617
Superscaffold2	5932286	6397613	0.341174	0.102065	0.069731	0.235278
Superscaffold2	6397702	6967137	-0.177633	-0.040374	-0.026379	-0.144561
Superscaffold2	6967138	7723838	-0.166709	-0.027909	-0.018962	-0.112826
Superscaffold2	7723963	8304266	0.019583	0.004121	0.002770	0.013235
Superscaffold2	8304573	9103223	-0.054010	-0.008771	-0.006278	-0.036834
Superscaffold2	9103775	9720987	-0.164791	-0.039429	-0.026468	-0.118127
Superscaffold2	9721161	10145432	0.099272	0.024622	0.016218	0.075589
Superscaffold2	10145459	10622563	0.005348	0.001651	0.001002	0.002904
Superscaffold2	10622791	11209557	-0.124871	-0.024313	-0.016669	-0.090074
Superscaffold2	11209812	11692018	-0.173943	-0.038011	-0.025543	-0.123224
Superscaffold2	11692028	12776470	0.052312	0.018276	0.010278	0.040531
Superscaffold2	12776497	13284345	-0.267992	-0.094027	-0.058440	-0.209166
Superscaffold2	13284395	13716403	-0.271455	-0.078085	-0.048558	-0.216809
Superscaffold2	13716596	14150560	0.259605	0.077507	0.052207	0.190524
Superscaffold2	14150578	14689113	-0.010589	-0.002374	-0.001498	-0.007829
Superscaffold2	14689171	15030933	0.032772	0.014054	0.008576	0.019045
Superscaffold2	15031023	16255917	-0.053691	-0.013301	-0.008215	-0.030046
Superscaffold2	16256390	16686287	0.128771	0.048153	0.029649	0.080091
Superscaffold2	16686421	17127624	-0.060323	-0.013461	-0.008990	-0.030306
Superscaffold2	17127737	17820426	-0.168247	-0.033451	-0.022351	-0.124290
Superscaffold2	17820924	18287378	0.004668	0.001255	0.000749	0.000836
Superscaffold2	18287423	18799098	-0.305862	-0.068219	-0.041500	-0.248161
Superscaffold2	18799100	19298351	-0.007560	-0.001637	-0.001037	-0.001222
Superscaffold2	19298698	19670524	-0.000508	-0.000410	-0.000213	-0.009564
Superscaffold2	19670530	19916538	-0.004314	-0.003227	-0.001853	-0.000313
Superscaffold2	19916560	20337162	-0.051181	-0.012902	-0.007195	-0.037480
Superscaffold2	20337314	20804312	-0.013338	-0.003733	-0.002371	-0.007031
Superscaffold2	20804314	21280963	0.246976	0.064408	0.044115	0.186901
Superscaffold2	21281112	21840862	-0.389611	-0.088399	-0.057783	-0.334442
Superscaffold2	21841000	22321146	0.014566	0.003146	0.002046	0.013611
Superscaffold2	22321308	22667343	-0.221007	-0.110642	-0.057523	-0.128676
Superscaffold2	22667426	22943655	-0.123109	-0.097838	-0.045961	-0.068072
Superscaffold2	22943704	23337749	-0.403306	-0.123016	-0.079018	-0.326401
Superscaffold2	23337968	23835052	-0.252158	-0.057370	-0.036893	-0.176087
Superscaffold2	23835594	24222284	0.003536	0.001029	0.000585	0.005111
Superscaffold2	24222526	24511994	0.120153	0.037430	0.023441	0.086736
Superscaffold2	24512054	25001562	0.117221	0.033385	0.020671	0.093064
Superscaffold2	25001585	25489439	0.289482	0.088640	0.054221	0.220763
Superscaffold2	25489595	25860538	0.291194	0.098708	0.063715	0.204735
Superscaffold2	25860542	26354084	-0.187254	-0.037708	-0.025210	-0.146853
Superscaffold2	26354134	26855688	-0.124810	-0.029553	-0.020477	-0.099612
Superscaffold2	26855863	27298003	-0.301747	-0.087857	-0.056576	-0.218904
Superscaffold2	27298025	27665299	-0.044231	-0.010680	-0.007701	-0.033090
Superscaffold2	27665322	28831275	-0.097646	-0.022557	-0.015395	-0.066755
Superscaffold2	28831506	29188950	0.466893	0.136089	0.080925	0.315612
Superscaffold2	29189015	29540789	-0.074400	-0.025843	-0.016443	-0.048390
Superscaffold2	29540832	30116675	0.065299	0.015345	0.010435	0.044955
Superscaffold2	30117310	30649152	-0.040085	-0.007381	-0.004867	-0.028647
Superscaffold2	30649167	31104951	0.055591	0.012546	0.008321	0.038063
Superscaffold2	31104957	31494153	-0.280234	-0.085249	-0.053300	-0.202442
Superscaffold2	31494170	31909102	-0.127501	-0.037741	-0.022773	-0.095718
Superscaffold2	31909876	32744795	-0.041482	-0.007436	-0.004978	-0.027576
Superscaffold2	32747758	33250238	0.053736	0.009517	0.006255	0.035287
Superscaffold2	33250315	33850415	-0.140440	-0.025862	-0.017576	-0.102591
Superscaffold2	33850481	34316032	-0.142503	-0.039649	-0.025602	-0.115372
Superscaffold2	34318174	34813626	0.043219	0.009312	0.006309	0.033828
Superscaffold2	34813844	35259000	-0.372581	-0.093817	-0.057779	-0.299958
Superscaffold2	35259055	35962259	-0.108657	-0.022691	-0.014259	-0.079373
Superscaffold2	35962271	36517982	-0.266383	-0.066515	-0.043116	-0.208794
Superscaffold2	36518034	36939340	-0.010017	-0.002805	-0.001790	-0.008885
Superscaffold2	36939370	37236573	-0.180145	-0.061057	-0.039583	-0.126422
Superscaffold2	37236865	37613789	0.049337	0.011891	0.007985	0.029144
Superscaffold2	37614006	38395252	-0.110165	-0.022829	-0.014721	-0.085036
Superscaffold2	38395276	38738960	0.189265	0.058394	0.036215	0.140555
Superscaffold2	38739314	38992408	0.093585	0.038941	0.024919	0.067290
Superscaffold2	38992517	39353946	-0.279417	-0.095489	-0.051027	-0.207576
Superscaffold2	39354050	39783665	-0.196443	-0.046849	-0.031685	-0.121994
Superscaffold2	39784581	40139691	-0.319569	-0.138993	-0.078956	-0.180886
Superscaffold2	40139762	40457220	0.034382	0.007633	0.004979	0.024666
Superscaffold2	40457227	40853517	0.029665	0.005696	0.003892	0.019525
Superscaffold2	40853519	41094757	0.568922	0.278461	0.185849	0.517685
Superscaffold2	41094854	41358768	0.367499	0.165997	0.108880	0.279856
Superscaffold2	41358788	41746780	0.114995	0.031932	0.021671	0.092534
Superscaffold2	41746821	42201007	-0.037512	-0.006693	-0.004412	-0.019016
Superscaffold2	42201060	42748849	-0.074234	-0.010042	-0.007041	-0.059991
Superscaffold2	42748904	43015071	0.569961	0.124737	0.097908	0.474785
Superscaffold2	43015102	43248592	0.517508	0.175598	0.122640	0.435083
Superscaffold2	43248595	43728215	0.036857	0.006702	0.004285	0.020122
Superscaffold2	43728227	44304741	0.634110	0.150343	0.093168	0.584536
Superscaffold2	44305024	45020023	0.417899	0.080325	0.049016	0.380895
Superscaffold2	45020503	45605363	-0.135495	-0.028583	-0.017417	-0.124561
Superscaffold2	45605966	46373285	-0.133182	-0.019472	-0.012185	-0.111823
Superscaffold2	46373331	46883881	0.225657	0.039849	0.026223	0.202447
Superscaffold2	46883886	47657090	0.022372	0.002517	0.001757	0.016810
Superscaffold2	47657236	48413045	-0.323042	-0.048176	-0.033011	-0.286462
Superscaffold2	48413218	48978901	-0.010028	-0.001298	-0.000906	-0.005325
Superscaffold2	48979000	49590393	-0.175489	-0.028590	-0.019133	-0.128757
Superscaffold2	49590437	50195802	-0.169138	-0.027741	-0.017903	-0.125625
Superscaffold2	50196906	50590136	-0.367035	-0.127232	-0.074341	-0.288181
Superscaffold2	50590366	51074675	-0.235554	-0.076691	-0.043731	-0.171924
Superscaffold2	51074686	51372157	-0.575487	-0.229137	-0.127849	-0.481733
Superscaffold2	51372205	51810603	0.139573	0.023233	0.016682	0.108855
Superscaffold2	51810636	52049726	-0.409700	-0.128935	-0.084336	-0.342304
Superscaffold2	52049728	52355591	-0.516304	-0.216732	-0.129817	-0.454403
Superscaffold2	52355634	52645628	-0.191748	-0.045784	-0.031289	-0.118263
Superscaffold2	52645667	52814464	0.310485	0.204257	0.104993	0.208815
Superscaffold2	52814502	53039871	-0.082338	-0.038352	-0.023769	-0.046087
Superscaffold2	53039941	53830370	-0.103059	-0.024092	-0.016828	-0.050990
Superscaffold2	53830632	54132175	-0.515492	-0.231406	-0.127089	-0.377596
Superscaffold2	54132411	54957756	-0.106332	-0.021448	-0.014774	-0.065156
Superscaffold2	54958478	55313362	-0.077686	-0.023795	-0.016918	-0.051817
Superscaffold2	55313430	55741306	-0.177195	-0.071166	-0.048604	-0.110860
Superscaffold2	55741338	56119754	-0.491279	-0.206363	-0.115466	-0.389734
Superscaffold2	56119990	56619713	-0.081963	-0.016000	-0.010979	-0.061992
Superscaffold2	56619741	56918753	-0.064074	-0.024432	-0.014533	-0.042593
Superscaffold2	56918762	57343468	-0.412832	-0.192617	-0.104658	-0.341438
Superscaffold2	57343472	57664992	-0.535906	-0.223848	-0.124355	-0.397323
Superscaffold2	57665064	58391231	0.028519	0.005378	0.003889	0.013465
Superscaffold2	58391297	58851100	-0.104686	-0.024045	-0.016663	-0.084212
Superscaffold2	58851121	59263852	0.327747	0.076768	0.051838	0.271820
Superscaffold2	59263904	59730713	-0.423602	-0.112586	-0.067896	-0.327213
Superscaffold2	59731044	60244915	-0.324693	-0.066230	-0.044702	-0.258301
Superscaffold2	60245015	60571334	0.410866	0.156860	0.097784	0.322950
Superscaffold2	60571367	60871472	0.040382	0.011530	0.007735	0.025849
Superscaffold2	60871479	61272030	-0.226831	-0.164847	-0.079959	-0.136807
Superscaffold2	61272103	62335994	-0.034960	-0.010141	-0.006721	-0.024996
Superscaffold2	62336034	62915264	-0.121893	-0.033965	-0.022275	-0.086224
Superscaffold2	62915422	63171877	0.396874	0.146843	0.096000	0.288740
Superscaffold2	63171934	63582469	0.127718	0.036726	0.024406	0.088963
Superscaffold2	63582485	64066794	-0.130840	-0.056101	-0.034555	-0.089057
Superscaffold2	64066803	64342535	-0.086660	-0.029243	-0.017532	-0.058726
Superscaffold2	64342536	64605347	-0.034762	-0.017377	-0.011186	-0.018926
Superscaffold2	64605534	65318808	-0.372942	-0.302814	-0.143825	-0.243757
Superscaffold2	65319382	65915517	-0.209392	-0.056520	-0.035132	-0.174418
Superscaffold2	65915539	66364916	-0.224536	-0.060813	-0.037960	-0.149297
Superscaffold2	66364968	66698778	0.318309	0.109821	0.058614	0.250812
Superscaffold2	66699026	67248984	0.052467	0.013813	0.007896	0.043934
Superscaffold2	67249055	67631800	-0.093752	-0.026707	-0.017559	-0.057046
Superscaffold2	67631812	68067981	0.095437	0.024067	0.015672	0.072696
Superscaffold2	68067984	68450698	0.377098	0.133609	0.077426	0.327649
Superscaffold2	68450815	68826406	0.209933	0.065818	0.042018	0.163799
Superscaffold2	68826494	69366823	-0.182975	-0.045340	-0.029081	-0.130523
Superscaffold2	69366853	69630210	-0.161101	-0.061230	-0.037363	-0.095156
Superscaffold2	69630292	69941072	0.523314	0.232099	0.171006	0.412984
Superscaffold2	69941075	70341322	-0.256606	-0.086978	-0.054642	-0.188674
Superscaffold2	70341385	71072234	0.048648	0.013506	0.008783	0.026621
Superscaffold2	71072393	71421786	-0.055708	-0.013326	-0.009029	-0.036640
Superscaffold2	71421793	71854056	-0.115109	-0.031537	-0.020463	-0.083334
Superscaffold2	71854066	72179137	-0.428474	-0.176517	-0.113144	-0.298854
Superscaffold2	72179567	72495957	0.248077	0.105417	0.064416	0.179872
Superscaffold2	72496054	72787056	0.047261	0.020597	0.013217	0.031729
Superscaffold2	72787107	73092938	-0.212542	-0.109494	-0.063909	-0.114004
Superscaffold2	73092942	73480241	0.007914	0.002371	0.001626	0.007558
Superscaffold2	73480259	73759890	0.364889	0.177262	0.104314	0.250967
Superscaffold2	73760000	73988379	-0.156968	-0.091287	-0.056510	-0.104298
Superscaffold2	73988500	74410786	-0.091193	-0.021807	-0.013807	-0.057457
Superscaffold2	74410826	74663444	-0.140341	-0.055668	-0.034971	-0.087183
Superscaffold2	74663470	75128733	0.152910	0.043063	0.027823	0.098131
Superscaffold2	75128965	75347134	-0.286457	-0.213504	-0.092675	-0.179749
Superscaffold2	75347194	75635675	-0.155358	-0.099052	-0.047556	-0.086502
Superscaffold2	75638129	76353388	-0.145261	-0.032289	-0.024217	-0.079892
Superscaffold2	76353421	76811361	-0.102378	-0.022670	-0.015851	-0.066108
Superscaffold2	76811382	77225031	-0.038374	-0.011352	-0.007283	-0.023213
Superscaffold2	77225365	77649095	-0.070575	-0.017167	-0.012281	-0.048430
Superscaffold2	77649173	77881999	-0.271570	-0.169984	-0.090515	-0.176804
Superscaffold2	77882022	78219225	-0.095220	-0.030002	-0.022347	-0.060371
Superscaffold2	78219302	78492575	-0.064755	-0.022606	-0.015143	-0.038431
Superscaffold2	78492814	78819700	-0.139034	-0.067015	-0.037241	-0.093965
Superscaffold2	78820125	79351033	0.066145	0.014721	0.010049	0.046920
Superscaffold2	79353369	80221153	0.006644	0.003027	0.001690	0.003633
Superscaffold2	80221229	80717046	0.010103	0.002669	0.001869	0.011410
Superscaffold2	80717047	81343806	-0.206659	-0.056406	-0.037529	-0.146233
Superscaffold2	81343866	81875053	-0.118527	-0.034653	-0.021931	-0.080354
Superscaffold2	81875068	82330524	-0.247735	-0.071758	-0.044045	-0.184093
Superscaffold2	82331220	83104417	-0.335293	-0.093070	-0.056838	-0.235918
Superscaffold2	83106997	83510372	-0.148635	-0.041000	-0.027303	-0.100782
Superscaffold2	83510385	83978987	-0.065652	-0.013839	-0.009865	-0.039438
Superscaffold2	83979044	84394880	0.270672	0.080383	0.054623	0.215743
Superscaffold2	84395159	84773920	0.260532	0.077131	0.051056	0.212291
Superscaffold2	84773952	85143793	-0.352270	-0.082893	-0.055783	-0.290476
