chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	67154	130027	-0.857278	-0.567343	-0.261378	-0.751099
Chr01	130381	148903	0.480248	0.223798	0.133423	0.335050
Chr01	148904	153261	-0.032626	-0.024361	-0.008632	-0.024053
Chr01	153300	166509	-0.575280	-0.604184	-0.211640	-0.408254
Chr01	166523	182477	-0.451983	-0.477744	-0.234413	-0.321516
Chr01	182642	185500	-0.562551	-0.738532	-0.360441	-0.368546
Chr01	185520	189085	-0.569378	-0.651514	-0.314919	-0.405835
Chr01	189094	193974	-0.512793	-0.595041	-0.272212	-0.401904
Chr01	194025	203575	-0.142798	-0.122363	-0.072508	-0.098715
Chr01	203582	206418	0.291821	0.217914	0.137892	0.138137
Chr01	206426	209309	0.080119	0.075340	0.041397	0.043760
Chr01	209313	212486	0.229761	0.192232	0.125533	0.111641
Chr01	212524	216189	0.287342	0.231337	0.163534	0.188374
Chr01	216204	218001	0.176329	0.175026	0.099112	0.074254
Chr01	218042	220002	0.190369	0.217373	0.120418	0.094406
Chr01	220008	223890	0.095452	0.091800	0.059874	0.044585
Chr01	223935	227712	0.116750	0.105253	0.070161	0.066219
Chr01	227738	231953	0.081792	0.074755	0.050002	0.029644
Chr01	231954	236574	-0.052455	-0.046733	-0.027311	-0.027350
Chr01	236597	239725	0.187534	0.150821	0.106025	0.121777
Chr01	239770	246627	0.196041	0.122423	0.077683	0.131763
Chr01	246644	249775	-0.176946	-0.163098	-0.079837	-0.093383
Chr01	249783	252632	-0.249568	-0.312058	-0.137067	-0.152685
Chr01	252656	254803	-0.480182	-0.563681	-0.238358	-0.341627
Chr01	254812	256956	-0.492886	-0.753053	-0.262203	-0.337811
Chr01	256957	261117	-0.640082	-0.946921	-0.362090	-0.410978
Chr01	261125	262965	-0.272777	-0.185631	-0.104110	-0.158785
Chr01	263005	264823	-0.312490	-0.165838	-0.110510	-0.165766
Chr01	264834	270501	-0.642745	-0.441077	-0.247312	-0.496291
Chr01	270502	275335	-0.544803	-0.382393	-0.192098	-0.397251
Chr01	275342	276813	-0.245231	-0.189048	-0.102885	-0.152301
Chr01	276820	286668	-0.316387	-0.212258	-0.129552	-0.191683
Chr01	286778	307342	-0.139051	-0.061525	-0.035327	-0.070303
Chr01	307374	313087	0.297795	0.239836	0.189651	0.221107
Chr01	313095	318401	0.064187	0.053118	0.030833	0.030023
Chr01	318436	326432	-0.050673	-0.037457	-0.021127	-0.032183
Chr01	326442	338853	0.012564	0.004861	0.003296	0.010017
Chr01	339254	350232	0.144011	0.056597	0.042550	0.087292
Chr01	350242	355566	-0.200821	-0.322415	-0.132786	-0.118005
Chr01	355605	384162	-0.584392	-0.569999	-0.277469	-0.485587
Chr01	384170	388901	0.189214	0.114241	0.086394	0.108368
Chr01	389007	393788	0.205497	0.150399	0.103012	0.130771
Chr01	393799	401614	-0.272653	-0.184443	-0.105937	-0.160477
Chr01	401712	404887	-0.252259	-0.292519	-0.147613	-0.123271
Chr01	404890	424755	-0.289095	-0.073957	-0.056294	-0.072775
Chr01	424768	430089	0.210183	0.131580	0.080215	0.100947
Chr01	430191	435164	-0.017345	-0.015195	-0.007008	0.002456
Chr01	435187	444565	-0.143991	-0.035435	-0.026154	-0.030309
Chr01	444612	450298	0.013856	0.008188	0.005892	0.006767
Chr01	450366	456960	-0.005358	-0.003428	-0.002480	0.003461
Chr01	457016	465886	-0.375727	-0.258591	-0.176671	-0.231262
Chr01	465890	476991	-0.410908	-0.324476	-0.205561	-0.300691
Chr01	477002	480064	-0.046260	-0.032716	-0.025283	-0.015454
Chr01	480081	485497	-0.213841	-0.182721	-0.123798	-0.132323
Chr01	485498	492128	-0.141722	-0.124619	-0.059001	-0.094522
Chr01	492416	497317	-0.467621	-0.312465	-0.169433	-0.331745
Chr01	497333	507508	-0.319194	-0.192506	-0.118501	-0.171765
Chr01	507545	514964	-0.241396	-0.165387	-0.084421	-0.091805
Chr01	514968	519328	-0.303195	-0.231366	-0.114593	-0.086196
Chr01	519364	525165	-0.076981	-0.048585	-0.035813	-0.018161
Chr01	525259	529882	-0.109611	-0.056325	-0.040369	-0.026674
Chr01	529885	544921	-0.544155	-0.362806	-0.120386	-0.184946
Chr01	544945	557572	-0.401815	-0.235478	-0.087509	-0.136765
Chr01	557645	568596	0.034626	0.008367	0.006044	0.017207
Chr01	568723	576137	0.525924	0.184766	0.153306	0.298385
Chr01	576149	579679	-0.245091	-0.113801	-0.071510	-0.111662
Chr01	579681	596778	0.494720	0.191685	0.154378	0.257775
Chr01	596819	611154	0.562165	0.157479	0.130556	0.250274
Chr01	611168	623553	0.168681	0.065793	0.050822	0.062867
Chr01	623570	629782	-0.312187	-0.123357	-0.090140	-0.064260
Chr01	629858	637576	0.189149	0.063532	0.049108	0.047361
Chr01	637844	649456	0.366533	0.126039	0.092650	0.095203
Chr01	649461	654408	0.110130	0.045578	0.037319	0.021297
Chr01	654595	658136	0.354562	0.181014	0.139373	0.131012
Chr01	658144	663380	0.370143	0.114258	0.091529	0.217927
Chr01	663675	676037	-0.328146	-0.124074	-0.086516	-0.180190
Chr01	676178	685235	-0.429746	-0.247396	-0.143558	-0.309448
Chr01	685401	711171	-0.815603	-0.593218	-0.245242	-0.576806
Chr01	711483	738844	-0.644746	-0.424690	-0.218700	-0.456890
Chr01	738947	793914	-0.501866	-0.358048	-0.167805	-0.345206
Chr01	793955	822627	-0.409441	-0.176160	-0.121433	-0.225345
Chr01	822751	836909	-0.535656	-0.168194	-0.104454	-0.270915
Chr01	836983	848345	-0.804274	-0.261310	-0.144758	-0.703637
Chr01	848477	856914	-0.666941	-0.342155	-0.135657	-0.592280
Chr01	857015	864463	-0.349086	-0.161591	-0.084079	-0.288451
Chr01	864492	872320	-0.043953	-0.025459	-0.011309	-0.020702
Chr01	872464	882027	-0.589868	-0.179739	-0.118556	-0.338129
Chr01	882036	897879	-0.017044	-0.010052	-0.006157	0.000378
Chr01	897901	904975	-0.519628	-0.274676	-0.155298	-0.320416
Chr01	905537	925233	-0.176234	-0.120765	-0.076641	-0.137718
Chr01	925242	931667	-0.223542	-0.114209	-0.087637	-0.154950
Chr01	931680	941802	-0.448485	-0.180786	-0.139426	-0.373589
Chr01	941911	967675	-0.598884	-0.139272	-0.094582	-0.224775
Chr01	967833	976473	-0.234329	-0.221001	-0.070137	-0.149737
Chr01	976855	985081	-0.497061	-0.157895	-0.109475	-0.158064
Chr01	985121	997248	-0.165446	-0.065721	-0.042284	-0.104727
Chr01	997270	1010479	-0.228691	-0.066624	-0.041343	-0.075642
Chr01	1010533	1022296	-0.050088	-0.010030	-0.007892	-0.014258
Chr01	1022311	1030895	-0.122944	-0.039898	-0.026536	-0.028247
Chr01	1030910	1040809	-0.194196	-0.024700	-0.020656	-0.053315
Chr01	1040871	1048157	-0.447237	-3.135874	-0.315074	-0.166355
Chr01	1048393	1057500	-0.560710	-0.163376	-0.090922	-0.141791
Chr01	1057510	1069856	-0.826911	-0.303352	-0.168842	-0.440314
Chr01	1070236	1084234	-0.687552	-0.168705	-0.107916	-0.196463
Chr01	1084419	1096606	-0.808730	-0.168156	-0.114145	-0.350312
Chr01	1096632	1101917	-0.301090	-0.181915	-0.090839	-0.084974
Chr01	1103517	1133418	0.098413	0.015003	0.011572	0.041850
Chr01	1133562	1142106	0.136112	0.046512	0.035925	0.075225
Chr01	1142117	1147599	0.026471	0.005899	0.004838	0.027642
Chr01	1147605	1154738	0.018251	0.003748	0.002828	0.011168
Chr01	1154760	1164605	0.064758	0.016021	0.011815	0.045382
Chr01	1164608	1168841	0.332106	0.111580	0.086649	0.084564
Chr01	1168846	1173996	0.341099	0.119239	0.083887	0.138647
Chr01	1174009	1179480	0.485993	0.155250	0.119877	0.215238
Chr01	1179483	1185068	0.150136	0.049862	0.033793	0.074183
Chr01	1185083	1197249	-0.453908	-0.133743	-0.084320	-0.130775
Chr01	1197262	1203800	-0.271143	-0.195754	-0.061857	-0.171241
Chr01	1203816	1210950	-0.142575	-0.092860	-0.033411	-0.052170
Chr01	1211041	1216424	-0.426911	-0.628365	-0.132754	-0.172414
Chr01	1216457	1255732	0.202777	0.082229	0.042929	0.102299
Chr01	1255765	1278252	-0.349123	-0.142771	-0.089090	-0.197472
Chr01	1278253	1289827	-0.019829	-0.004297	-0.002680	-0.006482
Chr01	1289969	1296105	0.138181	0.033634	0.023499	0.025320
Chr01	1296157	1303566	-0.015690	-0.004722	-0.002888	-0.007973
Chr01	1303646	1313277	-0.168191	-0.052778	-0.033019	-0.075393
Chr01	1313300	1318665	-0.920333	-1.226536	-0.293119	-0.513761
Chr01	1318899	1326161	-0.379845	-0.085066	-0.055851	-0.133488
Chr01	1326269	1331812	-0.287614	-0.078215	-0.053117	-0.068339
Chr01	1331861	1357928	-0.239206	-0.076062	-0.050545	-0.082808
Chr01	1358352	1374060	-0.504176	-0.324452	-0.204786	-0.356560
Chr01	1374157	1380963	0.037703	0.019742	0.014431	0.010484
Chr01	1381003	1386869	-0.273344	-0.236129	-0.136391	-0.093144
Chr01	1386878	1393456	-0.259171	-0.153140	-0.088473	-0.071621
Chr01	1393814	1402322	0.000054	0.000018	0.000013	0.003062
Chr01	1402427	1415647	-0.088316	-0.029051	-0.021898	-0.043086
Chr01	1415673	1448181	0.064806	0.033146	0.018988	0.042101
Chr01	1448202	1452549	0.266378	0.138437	0.082343	0.114894
Chr01	1452575	1455927	0.003198	0.002835	0.001101	0.000819
Chr01	1455941	1459921	0.018899	0.010963	0.006159	0.005375
Chr01	1459922	1464712	-0.146385	-0.156345	-0.053379	-0.051318
Chr01	1464713	1468928	-0.050027	-0.054234	-0.020321	-0.018418
Chr01	1468936	1473046	0.042069	0.029494	0.015655	0.010003
Chr01	1473059	1480172	-0.193637	-0.088530	-0.051150	-0.073723
Chr01	1480194	1488058	-0.711864	-0.598530	-0.254691	-0.440589
Chr01	1488106	1494546	-0.178248	-0.075784	-0.041145	-0.077070
Chr01	1494611	1503053	0.206147	0.074413	0.051172	0.082313
Chr01	1503187	1509881	-0.381423	-0.221622	-0.119615	-0.204057
Chr01	1509883	1517356	-0.193094	-0.074497	-0.044372	-0.102006
Chr01	1517390	1524485	-0.057698	-0.023436	-0.016131	-0.028406
Chr01	1524502	1534882	-0.067521	-0.039120	-0.023445	-0.034397
Chr01	1534924	1537991	-0.225325	-0.223593	-0.121000	-0.153254
Chr01	1538000	1542003	-0.119583	-0.095486	-0.058764	-0.062349
Chr01	1542034	1545624	-0.226783	-0.190507	-0.096989	-0.097501
Chr01	1545644	1552235	-0.299945	-0.113615	-0.071598	-0.101460
Chr01	1552403	1557857	0.177058	0.089643	0.054376	0.099965
Chr01	1557997	1565799	0.455556	0.247996	0.131718	0.386888
Chr01	1565885	1575366	0.431673	0.250436	0.114187	0.420203
Chr01	1575389	1590903	-0.341319	-0.124705	-0.065512	-0.341128
Chr01	1591288	1626998	-0.742874	-0.323311	-0.180029	-0.702888
Chr01	1627078	1638653	-0.679231	-0.448498	-0.222888	-0.598455
Chr01	1638666	1647692	0.139782	0.064133	0.032100	0.116607
Chr01	1647735	1660807	0.334665	0.136421	0.082269	0.287563
Chr01	1660981	1672968	0.011638	0.004992	0.003143	-0.005118
Chr01	1672972	1684946	-0.678483	-0.367734	-0.225038	-0.638961
Chr01	1685000	1688517	-0.321980	-0.409375	-0.193327	-0.200085
Chr01	1688549	1690784	-0.432743	-0.557114	-0.264272	-0.240941
Chr01	1690793	1696405	-0.870516	-0.921205	-0.322967	-0.744772
Chr01	1696458	1723491	-0.431111	-0.153514	-0.086528	-0.343384
Chr01	1723820	1747008	-0.944930	-0.463790	-0.238840	-0.916837
Chr01	1747010	1800467	-0.111948	-0.016418	-0.010704	-0.090549
Chr01	1800524	1825317	0.344046	0.102304	0.050021	0.299877
Chr01	1825318	1841964	-0.273898	-0.141719	-0.065324	-0.222440
Chr01	1841976	1851070	-0.011389	-0.006223	-0.003627	-0.006046
Chr01	1851099	1864780	-0.085476	-0.030168	-0.014317	-0.038782
Chr01	1864787	1881298	-0.232064	-0.052664	-0.027563	-0.132615
Chr01	1881349	1896047	-0.577524	-0.275651	-0.130841	-0.453764
Chr01	1896069	1902276	-0.887326	-1.430186	-0.364133	-0.823794
Chr01	1902306	1919390	-0.755806	-0.423280	-0.203194	-0.651258
Chr01	1920022	1972180	0.228988	0.040326	0.032384	0.078574
Chr01	1972211	1987806	-0.860738	-0.507964	-0.206594	-0.644408
Chr01	1987889	1996020	-0.549781	-0.329420	-0.140167	-0.433416
Chr01	1996030	2005975	0.133810	0.075984	0.043044	0.098167
Chr01	2006000	2016640	-0.605233	-0.251196	-0.126182	-0.427889
Chr01	2017102	2036931	-0.399389	-0.069532	-0.049516	-0.324942
Chr01	2037053	2047091	-0.362544	-0.176593	-0.124500	-0.305176
Chr01	2047097	2061242	-0.085762	-0.022033	-0.017198	-0.085583
Chr01	2061270	2080653	0.444746	0.164572	0.105784	0.260744
Chr01	2080677	2093320	-0.001609	-0.000737	-0.000487	0.013151
Chr01	2093510	2099623	-0.005538	-0.001896	-0.001192	-0.008093
Chr01	2099640	2118945	0.196710	0.041953	0.027510	0.106360
Chr01	2118953	2154414	-0.197305	-0.049285	-0.036874	-0.182657
Chr01	2154419	2170352	-0.243599	-0.081948	-0.059174	-0.134467
Chr01	2170353	2181981	-0.331058	-0.123212	-0.094491	-0.284551
Chr01	2181983	2188861	-0.023860	-0.006326	-0.005189	-0.013314
Chr01	2188923	2204798	-0.290980	-0.078709	-0.062658	-0.206680
Chr01	2204832	2211569	-0.470260	-0.305168	-0.198346	-0.386141
Chr01	2212109	2220341	-0.037143	-0.013449	-0.008872	-0.025965
Chr01	2220351	2226180	0.510369	0.256095	0.179363	0.222451
Chr01	2226465	2231354	0.008910	0.007626	0.004150	0.007870
Chr01	2231396	2237089	0.197723	0.152814	0.094131	0.077473
Chr01	2237143	2247125	-0.061657	-0.032517	-0.021461	-0.037881
Chr01	2247204	2254105	-0.666555	-0.530346	-0.259489	-0.464238
Chr01	2254150	2260204	-0.224133	-0.111178	-0.075059	-0.098739
Chr01	2260308	2265399	0.007365	0.004470	0.003157	-0.001127
Chr01	2265461	2273077	0.359596	0.172715	0.137480	0.164091
Chr01	2273095	2286973	0.291047	0.076501	0.065990	0.165019
Chr01	2287014	2299799	0.232005	0.165066	0.100396	0.232219
Chr01	2299911	2317224	0.061846	0.037274	0.021947	0.028513
Chr01	2317241	2360193	-0.528897	-0.676677	-0.239693	-0.400384
Chr01	2360413	2376889	-0.396919	-0.415432	-0.188929	-0.251239
Chr01	2376969	2395558	0.176467	0.118049	0.066885	0.110022
Chr01	2395562	2413645	0.231765	0.110528	0.077974	0.160216
Chr01	2413704	2420996	-0.084044	-0.070927	-0.044012	-0.049131
Chr01	2421020	2427375	0.049117	0.036334	0.025321	0.038763
Chr01	2427392	2431537	0.167536	0.085299	0.058966	0.080325
Chr01	2431587	2437129	-0.139057	-0.091429	-0.055383	-0.044946
Chr01	2437148	2446375	0.207065	0.104528	0.068377	0.133990
Chr01	2446626	2467169	0.014290	0.006986	0.004665	0.020695
Chr01	2467291	2472853	0.195223	0.150563	0.091719	0.143925
Chr01	2472875	2477397	0.183842	0.167341	0.098026	0.128263
Chr01	2477470	2494289	0.033824	0.010680	0.007370	0.029948
Chr01	2494300	2499195	-0.009541	-0.008513	-0.004957	-0.004133
Chr01	2499210	2505725	-0.028043	-0.018819	-0.012403	-0.018098
Chr01	2505729	2514441	0.199744	0.140484	0.094490	0.152970
Chr01	2514735	2531233	-0.563077	-0.310502	-0.164478	-0.347468
Chr01	2531278	2539217	0.045057	0.038903	0.026935	0.019978
Chr01	2539309	2565134	-0.208228	-0.176350	-0.110912	-0.122254
Chr01	2565187	2593654	-0.317549	-0.277212	-0.129117	-0.168410
Chr01	2593698	2605535	-0.415920	-0.685011	-0.108887	-0.122617
Chr01	2605565	2615773	-0.447880	-0.683661	-0.211204	-0.207205
