chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	522586	622124	-0.056624	-0.053072	-0.035881	-0.025388
Superscaffold1	622137	763170	-0.098580	-0.065347	-0.046987	-0.032970
Superscaffold1	763179	900786	0.102966	0.074972	0.044619	0.042777
Superscaffold1	900810	1235752	-0.039959	-0.019156	-0.013548	-0.016862
Superscaffold1	1235778	1392394	-0.109573	-0.087814	-0.051092	-0.040533
Superscaffold1	1392395	1590005	0.139186	0.104192	0.066572	0.061663
Superscaffold1	1590281	1885594	-0.301040	-0.179698	-0.106395	-0.144604
Superscaffold1	1885796	2215467	0.046519	0.021350	0.012057	0.021880
Superscaffold1	2215515	2410331	-0.103205	-0.076791	-0.047983	-0.048506
Superscaffold1	2410364	2603231	-0.002290	-0.001691	-0.001044	-0.002204
Superscaffold1	2603298	2779233	0.000088	0.000096	0.000053	-0.000743
Superscaffold1	2779273	2943414	0.009985	0.013204	0.004888	0.004445
Superscaffold1	2943476	3107416	-0.055990	-0.066189	-0.033791	-0.028479
Superscaffold1	3107420	3341147	0.053463	0.044899	0.025066	0.022841
Superscaffold1	3341314	3649586	-0.022025	-0.012289	-0.008347	-0.010662
Superscaffold1	3649588	3965486	0.066953	0.051485	0.028063	0.033022
Superscaffold1	3965493	4257607	-0.110189	-0.077759	-0.044437	-0.052225
Superscaffold1	4257617	4511048	-0.135161	-0.083448	-0.052971	-0.066586
Superscaffold1	4511082	4784622	0.022179	0.021272	0.011330	0.013505
Superscaffold1	4785014	5025162	-0.080733	-0.057457	-0.036282	-0.041565
Superscaffold1	5026626	5294906	-0.148289	-0.113468	-0.066449	-0.089828
Superscaffold1	5295039	5572906	-0.222342	-0.171845	-0.099427	-0.126658
Superscaffold1	5573086	5755004	-0.140640	-0.132479	-0.078120	-0.083266
Superscaffold1	5755007	6046198	-0.092897	-0.054207	-0.035018	-0.054412
Superscaffold1	6046240	6313653	-0.030518	-0.018734	-0.011309	-0.014880
Superscaffold1	6313659	6522335	-0.178072	-0.134845	-0.081222	-0.100294
Superscaffold1	6522392	6788114	-0.157143	-0.086663	-0.056825	-0.083909
Superscaffold1	6788118	7159060	-0.114778	-0.055202	-0.034619	-0.050978
Superscaffold1	7159507	7449198	-0.093398	-0.052245	-0.033374	-0.053734
Superscaffold1	7449199	7767238	-0.133545	-0.112526	-0.063684	-0.061724
Superscaffold1	7767262	8435601	-0.005866	-0.003241	-0.002227	-0.003152
Superscaffold1	8436789	9001940	0.076836	0.058473	0.036373	0.044080
Superscaffold1	9001954	9838097	-0.024895	-0.016249	-0.010309	-0.016554
Superscaffold1	9838101	10570433	-0.006982	-0.004988	-0.002987	-0.006241
Superscaffold1	10570570	10786961	-0.056595	-0.046715	-0.028878	-0.025235
