chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	129745	152732	-0.065290	-0.027153	-0.019700	-0.032947
Chr01	152930	168987	-0.034065	-0.021405	-0.015050	-0.018529
Chr01	180686	185679	-0.078946	-0.074795	-0.050063	-0.038513
Chr01	185717	196841	-0.092286	-0.084899	-0.057797	-0.049881
Chr01	196851	209502	-0.115496	-0.049219	-0.040226	-0.062871
Chr01	209531	217360	-0.046360	-0.017288	-0.015234	-0.020564
Chr01	217426	225600	-0.014747	-0.007246	-0.005951	-0.010176
Chr01	225688	240984	0.275818	0.084492	0.069278	0.139049
Chr01	241244	252632	-0.036085	-0.017304	-0.014212	-0.016490
Chr01	252868	260657	-0.391457	-0.196769	-0.138972	-0.341920
Chr01	260749	269869	-0.605004	-0.343894	-0.206479	-0.452994
Chr01	270206	283835	-0.090840	-0.051129	-0.031012	-0.058397
Chr01	283907	311508	-0.030497	-0.015916	-0.010555	-0.021207
Chr01	311527	325197	0.045129	0.040300	0.029839	0.017850
Chr01	325216	335919	-0.059877	-0.029373	-0.018030	-0.040553
Chr01	335945	356750	-0.145846	-0.078311	-0.049886	-0.074025
Chr01	356772	393057	0.227705	0.096156	0.072050	0.156030
Chr01	393239	411727	0.025732	0.009754	0.006913	0.011026
Chr01	412049	430202	0.379414	0.092029	0.072411	0.207743
Chr01	430206	445350	-0.054170	-0.017410	-0.011756	-0.012052
Chr01	445557	459610	0.126996	0.048243	0.037566	0.061397
Chr01	463646	479003	-0.376337	-0.219238	-0.122859	-0.283528
Chr01	479018	494443	0.019632	0.009348	0.005545	0.013262
Chr01	494861	515832	-0.151955	-0.037120	-0.023382	-0.044820
Chr01	516105	527282	-0.589316	-0.450142	-0.267503	-0.499554
Chr01	527355	552048	-0.666441	-0.473552	-0.223530	-0.615823
Chr01	552049	572692	-0.014381	-0.004475	-0.003147	-0.024427
Chr01	572716	596954	0.091166	0.032241	0.024612	0.041448
Chr01	596969	617400	0.704257	0.357556	0.290534	0.549198
Chr01	617409	632063	0.335921	0.206963	0.152778	0.240943
Chr01	632096	642002	0.456329	0.403814	0.318516	0.383695
Chr01	642072	657465	0.204002	0.172831	0.106652	0.159133
Chr01	657564	670798	0.120669	0.022043	0.019246	0.084179
Chr01	670814	720674	-0.166647	-0.089839	-0.046926	-0.082792
Chr01	722796	817815	-0.064384	-0.024952	-0.015079	-0.041904
Chr01	817982	844496	-0.061457	-0.026829	-0.014470	-0.025853
Chr01	844863	861862	-0.485014	-0.329342	-0.105909	-0.287415
Chr01	861930	878953	0.604748	0.293960	0.154277	0.307886
Chr01	879202	899448	0.478538	0.195356	0.143902	0.271175
Chr01	899640	934094	0.008347	0.002597	0.001573	0.009651
Chr01	934759	954705	0.473980	0.142223	0.095793	0.194133
Chr01	954722	977834	0.395411	0.163507	0.082194	0.313699
Chr01	977838	1002571	-0.401865	-0.078658	-0.054804	-0.304975
Chr01	1002607	1028836	0.149158	0.018495	0.014122	0.100122
