chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	160550	268049	-0.011234	-0.016042	-0.006521	-0.003798
Chr01	220733	351575	-0.049979	-0.064238	-0.026624	-0.022241
Chr01	268079	446569	0.057050	0.051388	0.025542	0.021515
Chr01	351622	518627	0.129346	0.144162	0.042532	0.040657
Chr01	446590	610540	0.087100	0.109659	0.034210	0.033675
Chr01	518637	712555	-0.067985	-0.071762	-0.029540	-0.021795
Chr01	610555	882529	-0.077172	-0.089641	-0.027676	-0.020772
Chr01	712592	981160	0.130761	0.128520	0.043931	0.040645
Chr01	882545	1071965	0.159564	0.109255	0.050832	0.047011
Chr01	981188	1176407	0.035874	0.020089	0.010891	0.008038
Chr01	1072110	1318155	-0.051416	-0.025567	-0.015103	-0.022599
Chr01	1176539	1452248	-0.128391	-0.065945	-0.038944	-0.049591
Chr01	1318191	1534882	-0.086811	-0.045274	-0.026724	-0.038060
Chr01	1452267	1587378	0.110165	0.060856	0.036613	0.042814
Chr01	1534899	1690645	0.168115	0.094199	0.057486	0.058820
Chr01	1587857	1884710	0.024377	0.008241	0.005460	0.008254
Chr01	1690697	2047046	0.087313	0.029444	0.018248	0.032976
Chr01	1884838	2155603	0.271151	0.150846	0.082531	0.105234
Chr01	2047050	2229876	0.264283	0.183060	0.105375	0.129431
Chr01	2155689	2287394	0.102034	0.096839	0.050097	0.051113
Chr01	2229887	2435251	0.078860	0.081628	0.040027	0.045571
Chr01	2287875	2500663	0.095601	0.092319	0.046454	0.055920
Chr01	2435330	2601856	0.049273	0.063396	0.028926	0.024184
Chr01	2500687	2668894	0.054966	0.058612	0.030563	0.024562
Chr01	2601858	2718521	-0.123515	-0.131883	-0.068930	-0.055010
Chr01	2668957	2772379	-0.066332	-0.073113	-0.039062	-0.029913
Chr01	2718541	2846267	0.086316	0.081632	0.046262	0.053817
Chr01	2772421	2944829	0.019969	0.020327	0.010154	0.015516
Chr01	2846268	3040736	-0.184815	-0.205904	-0.092750	-0.085766
Chr01	2944872	3128047	-0.140356	-0.160698	-0.076691	-0.063917
Chr01	3041439	3238363	-0.011710	-0.011089	-0.005322	-0.002592
Chr01	3128059	3344306	-0.071695	-0.053236	-0.024121	-0.021285
Chr01	3238489	3475557	0.040041	0.026065	0.013067	0.014278
Chr01	3344317	3587608	-0.217482	-0.160571	-0.080736	-0.084213
Chr01	3475873	3709821	-0.314833	-0.247044	-0.129088	-0.128023
Chr01	3587645	3850770	0.007369	0.004656	0.003026	0.002087
Chr01	3710038	3959557	0.081648	0.051127	0.032520	0.020315
Chr01	3850905	4047472	-0.026665	-0.018656	-0.010658	-0.004403
