chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	558306	740147	-0.339980	-0.190630	-0.123151	-0.224731
Superscaffold1	740178	918137	0.162594	0.090824	0.063712	0.066839
Superscaffold1	918921	1255567	0.257048	0.179437	0.104605	0.142492
Superscaffold1	1255571	1450424	0.091334	0.051185	0.032115	0.040369
Superscaffold1	1450468	1807102	0.311669	0.123305	0.082174	0.159831
Superscaffold1	1807104	1997119	0.049669	0.029669	0.013561	0.026928
Superscaffold1	1997306	2205688	0.224556	0.133392	0.063657	0.140154
Superscaffold1	2205740	2387470	0.093502	0.062944	0.038926	0.051490
Superscaffold1	2387486	2543542	-0.101549	-0.096932	-0.056495	-0.060630
Superscaffold1	2543546	2709907	0.090068	0.081437	0.043483	0.060059
Superscaffold1	2710283	2839761	0.189293	0.195536	0.099011	0.123538
Superscaffold1	2839787	3070762	0.071214	0.062077	0.030167	0.043955
Superscaffold1	3070844	3252011	0.237887	0.195681	0.114105	0.136327
Superscaffold1	3252050	3513052	0.149046	0.079848	0.048032	0.075636
Superscaffold1	3513144	3745893	0.215179	0.174460	0.086746	0.127933
Superscaffold1	3745897	3978077	0.200823	0.131197	0.065247	0.111272
Superscaffold1	3978158	4258509	0.273145	0.187156	0.104940	0.179574
Superscaffold1	4258523	4511828	0.071682	0.050992	0.026705	0.046976
Superscaffold1	4512163	4803494	0.240646	0.180967	0.104261	0.154008
Superscaffold1	4803501	5046089	0.171425	0.125581	0.075095	0.098979
Superscaffold1	5046108	5293253	0.440713	0.342657	0.180128	0.282060
Superscaffold1	5293271	5614927	0.178373	0.080577	0.051787	0.104255
Superscaffold1	5615561	5985345	0.181389	0.067082	0.047769	0.122045
Superscaffold1	5985447	6401718	-0.189461	-0.076511	-0.051158	-0.122435
Superscaffold1	6401720	6786892	0.139700	0.058100	0.040038	0.095797
Superscaffold1	6786937	7197153	-0.217380	-0.087386	-0.054772	-0.138950
Superscaffold1	7197206	7518489	-0.195794	-0.097646	-0.056155	-0.136238
Superscaffold1	7518490	7913632	0.089838	0.036654	0.022597	0.056275
Superscaffold1	7913740	8566267	0.160544	0.058146	0.039439	0.104491
Superscaffold1	8566608	9600051	0.071622	0.029893	0.019678	0.043611
Superscaffold1	9600492	10490993	0.003555	0.001549	0.001050	0.002361
Superscaffold1	10492206	10774892	0.021424	0.009293	0.006261	0.013274
Superscaffold1	10775119	11045078	0.078863	0.047756	0.026015	0.058763
Superscaffold1	11045079	11352166	-0.078633	-0.033359	-0.022352	-0.054944
Superscaffold1	11352238	11644362	-0.313674	-0.142169	-0.087247	-0.253245
Superscaffold1	11644563	11948103	0.221550	0.093223	0.061481	0.129702
Superscaffold1	11948312	12190332	0.162965	0.104055	0.065045	0.100524
Superscaffold1	12190967	12474481	0.136230	0.099725	0.054512	0.085278
Superscaffold1	12474553	12830801	0.074302	0.032605	0.019231	0.043556
Superscaffold1	12830804	13248743	-0.010463	-0.003617	-0.002407	-0.004390
Superscaffold1	13248992	13693886	0.623054	0.479201	0.236239	0.462584
Superscaffold1	13694227	14175761	0.009972	0.004261	0.002434	0.006769
Superscaffold1	14175809	14673732	-0.087485	-0.028492	-0.017588	-0.062916
Superscaffold1	14673804	14928984	0.096293	0.038638	0.024545	0.054436
Superscaffold1	14929013	15167028	0.133164	0.050249	0.033979	0.083076
Superscaffold1	15167056	15530061	-0.057904	-0.015407	-0.010851	-0.045153
Superscaffold1	15530077	15918389	-0.155537	-0.045764	-0.029249	-0.117923
Superscaffold1	15918440	16289373	0.185424	0.056098	0.037788	0.148703
Superscaffold1	16289377	16647960	0.010642	0.005098	0.003058	0.004560
Superscaffold1	16647961	16948780	-0.199441	-0.106916	-0.061274	-0.111659
Superscaffold1	16948900	17292713	0.150823	0.079741	0.046474	0.086082
Superscaffold1	17292752	17841647	-0.116169	-0.045048	-0.026779	-0.094912
Superscaffold1	17842396	18303343	-0.248652	-0.246909	-0.099392	-0.136573
Superscaffold1	18303380	18604428	-0.115673	-0.043535	-0.027275	-0.071770
Superscaffold1	18604484	19085004	-0.257253	-0.108820	-0.068906	-0.169536
Superscaffold1	19085307	19263381	-0.063924	-0.036256	-0.022151	-0.044375
Superscaffold1	19263475	19715727	0.104669	0.044454	0.031356	0.076983
Superscaffold1	19715746	19976589	-0.011331	-0.005681	-0.003443	-0.006024
Superscaffold1	19976778	20317528	0.210260	0.086959	0.054586	0.127947
Superscaffold1	20317562	20991329	0.248757	0.094621	0.056258	0.163684
Superscaffold1	20991331	21234986	0.164163	0.066386	0.040679	0.096509
Superscaffold1	21235027	21478813	0.326709	0.193149	0.098277	0.231593
Superscaffold1	21478815	21779227	0.127868	0.059704	0.035810	0.089500
Superscaffold1	21779491	22203983	0.147365	0.049603	0.033432	0.107642
Superscaffold1	22204000	22729134	0.392359	0.119247	0.075126	0.279082
Superscaffold1	22730482	23113611	0.518372	0.257437	0.156360	0.446147
Superscaffold1	23113651	23537821	0.171292	0.050921	0.029656	0.142362
Superscaffold1	23537833	23925888	0.040398	0.014513	0.008737	0.028449
Superscaffold1	23925896	24363617	-0.139722	-0.037782	-0.026954	-0.090552
Superscaffold1	24365285	24704341	0.167727	0.059169	0.039315	0.133011
