chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	125719	151667	-0.477069	-0.258680	-0.132689	-0.299361
Chr01	151716	167980	-0.319263	-0.254151	-0.131316	-0.190027
Chr01	168034	185214	0.059025	0.050829	0.034845	0.030223
Chr01	185237	195237	0.239769	0.175618	0.119741	0.105416
Chr01	195295	209159	0.293310	0.156573	0.107539	0.156343
Chr01	209182	216867	0.376784	0.216425	0.158100	0.268765
Chr01	216874	223890	0.313890	0.213627	0.137676	0.211933
Chr01	224378	238149	0.243949	0.092875	0.059907	0.171088
Chr01	238207	250709	-0.011264	-0.004833	-0.003611	-0.018277
Chr01	250803	257691	-0.424083	-0.254946	-0.158843	-0.384835
Chr01	257951	269547	-0.579405	-0.268587	-0.166471	-0.501476
Chr01	269663	280896	-0.195127	-0.104067	-0.062734	-0.160343
Chr01	281217	311341	-0.072074	-0.033725	-0.020531	-0.029235
Chr01	311342	326414	-0.045267	-0.043741	-0.028007	-0.031217
Chr01	326442	359593	0.388777	0.125509	0.099982	0.213711
Chr01	359759	396599	0.688409	0.342085	0.250995	0.510341
Chr01	396819	418712	0.464395	0.152072	0.102776	0.194960
Chr01	418796	432531	0.244034	0.069476	0.052514	0.167787
Chr01	432703	447366	-0.104098	-0.029068	-0.019759	-0.023564
Chr01	447904	464953	0.348582	0.127453	0.091619	0.186476
Chr01	464982	480258	-0.720848	-0.389197	-0.207027	-0.573666
Chr01	480327	506929	-0.238001	-0.063148	-0.038247	-0.168280
Chr01	507167	518767	-0.240036	-0.089329	-0.052274	-0.092406
Chr01	518831	530818	-0.589472	-0.482995	-0.298163	-0.585913
Chr01	530908	555212	-0.683393	-0.491256	-0.204458	-0.589476
Chr01	556379	574626	-0.077378	-0.027487	-0.018394	-0.074338
Chr01	574653	596769	-0.110740	-0.042404	-0.029996	-0.104765
Chr01	596778	617319	0.511504	0.251975	0.191217	0.369788
Chr01	617387	632063	0.562664	0.293312	0.222832	0.398527
Chr01	632096	641893	0.562471	0.469386	0.366662	0.468340
Chr01	641969	657946	0.297602	0.191889	0.138952	0.228404
Chr01	657973	670700	0.184486	0.042729	0.035996	0.142908
Chr01	670798	713460	-0.209577	-0.117159	-0.059110	-0.132753
Chr01	713479	804354	-0.473379	-0.244138	-0.113247	-0.305331
Chr01	804444	840838	-0.207553	-0.105124	-0.057433	-0.148687
Chr01	840860	856209	-0.494655	-0.223023	-0.090885	-0.358283
Chr01	856225	871886	0.246970	0.132178	0.064080	0.231988
Chr01	872112	894349	-0.140031	-0.070868	-0.045548	-0.084000
Chr01	894497	929666	-0.276846	-0.090137	-0.056338	-0.193689
Chr01	930663	948515	-0.186560	-0.055707	-0.033502	-0.079595
Chr01	948552	968968	0.550291	0.270829	0.149526	0.381875
Chr01	969009	994928	0.017859	0.005137	0.003360	0.011322
Chr01	995015	1016505	-0.269823	-0.073893	-0.045108	-0.212756
Chr01	1017058	1034322	-0.202280	-0.018336	-0.015600	-0.217619
Chr01	1034345	1062770	-0.537294	-0.082009	-0.052008	-0.405984
Chr01	1062931	1098697	-0.349619	-0.152569	-0.081929	-0.298684
Chr01	1098775	1111320	-0.464546	-0.512786	-0.221606	-0.466013
Chr01	1111546	1133689	-0.577460	-0.717968	-0.274165	-0.465786
Chr01	1133713	1151830	0.246918	0.057820	0.043697	0.251854
Chr01	1151913	1166969	0.007076	0.001397	0.001106	-0.005569
Chr01	1167142	1179925	0.394538	0.061037	0.051148	0.248821
Chr01	1179935	1202030	0.464488	0.158195	0.093574	0.364599
Chr01	1202113	1238729	0.045918	0.008248	0.004482	0.019610
Chr01	1238804	1293061	0.085577	0.027159	0.012058	0.060101
Chr01	1293094	1313363	0.281772	0.105248	0.062933	0.167960
Chr01	1313429	1327465	-0.487848	-0.485531	-0.186193	-0.409447
Chr01	1327474	1369902	0.094778	0.042129	0.023620	0.081810
Chr01	1370020	1392976	0.047696	0.015841	0.007349	0.041407
Chr01	1393213	1408588	0.531645	0.125532	0.094752	0.259614
Chr01	1408821	1435907	-0.056022	-0.032347	-0.015786	-0.040616
Chr01	1436098	1452974	0.418915	0.239160	0.134393	0.353618
Chr01	1452991	1459255	0.020490	0.014854	0.007137	0.013913
Chr01	1459279	1467271	0.196313	0.130371	0.064885	0.186052
Chr01	1467272	1474887	0.323787	0.181219	0.110581	0.274297
Chr01	1474945	1486602	0.168080	0.088964	0.060135	0.154759
Chr01	1486731	1503826	0.504319	0.250857	0.159529	0.444188
Chr01	1504023	1513529	0.122844	0.047089	0.032344	0.102083
Chr01	1513861	1535915	0.077256	0.020099	0.013827	0.080038
Chr01	1535933	1541135	-0.082810	-0.063135	-0.034552	-0.051688
Chr01	1541628	1556288	0.219727	0.076860	0.050665	0.192456
Chr01	1556615	1574635	-0.523384	-0.181370	-0.088008	-0.404318
Chr01	1574640	1593581	0.679751	0.371428	0.178188	0.642462
Chr01	1593645	1631017	0.116031	0.047731	0.024274	0.110438
Chr01	1631052	1646041	-0.306814	-0.153174	-0.082574	-0.265994
Chr01	1646087	1660656	-0.172013	-0.079843	-0.044497	-0.163486
Chr01	1660754	1672808	0.574839	0.201174	0.143948	0.427307
Chr01	1672825	1685570	0.036327	0.013606	0.008208	0.054139
Chr01	1685589	1689506	-0.284177	-0.362234	-0.165805	-0.184078
Chr01	1689513	1693243	-0.485105	-1.193259	-0.280547	-0.316594
Chr01	1693585	1708671	0.038849	0.023193	0.006418	0.002712
Chr01	1708896	1741046	-0.236441	-0.066723	-0.034860	-0.198966
Chr01	1741047	1785025	-0.304586	-0.105790	-0.051417	-0.216454
Chr01	1785157	1799681	-0.312944	-0.118727	-0.058983	-0.208219
Chr01	1799797	1813861	0.330429	0.119931	0.056537	0.315977
Chr01	1813885	1831908	-0.223413	-0.112503	-0.042361	-0.141815
Chr01	1831993	1857775	0.451325	0.188001	0.094328	0.460082
Chr01	1858181	1871245	-0.383788	-0.175076	-0.069553	-0.289261
Chr01	1871314	1886522	-0.570364	-0.398031	-0.137601	-0.460519
Chr01	1886640	1897058	-0.605677	-0.412314	-0.121665	-0.498286
Chr01	1897081	1918110	-0.531169	-0.189654	-0.081762	-0.453199
Chr01	1918227	1989093	-0.359504	-0.189538	-0.057594	-0.297659
Chr01	1989184	2001678	0.368901	0.149569	0.069077	0.222866
Chr01	2001708	2010105	-0.029336	-0.013136	-0.005956	0.010551
Chr01	2010438	2028938	-0.466465	-0.246151	-0.109497	-0.367937
Chr01	2028949	2043092	-0.001824	-0.000861	-0.000509	-0.005394
Chr01	2043255	2054263	-0.001923	-0.000937	-0.000567	-0.001859
Chr01	2054450	2069711	0.132988	0.066046	0.037818	0.065424
Chr01	2069891	2091585	0.338230	0.088755	0.060758	0.256264
Chr01	2091595	2111028	-0.337972	-0.213076	-0.062626	-0.235732
Chr01	2111094	2130577	0.218987	0.065518	0.044030	0.153610
Chr01	2130586	2155208	-0.276771	-0.151856	-0.088241	-0.179377
Chr01	2155352	2180352	-0.101172	-0.033414	-0.021112	-0.046192
Chr01	2180354	2190030	0.304544	0.088559	0.067022	0.282752
Chr01	2190053	2210638	-0.303902	-0.145100	-0.087259	-0.233589
Chr01	2210639	2221354	-0.256381	-0.168385	-0.093291	-0.234681
Chr01	2221381	2229543	0.479556	0.329034	0.206900	0.287895
Chr01	2229745	2238330	0.061098	0.036517	0.021864	0.048768
Chr01	2238331	2252548	-0.063070	-0.032789	-0.020548	-0.041055
Chr01	2252578	2257573	-0.044452	-0.075557	-0.034359	-0.020177
Chr01	2257677	2263628	0.024512	0.027761	0.016783	0.009876
Chr01	2263664	2271769	0.391564	0.221389	0.182773	0.239463
Chr01	2271782	2277905	0.526645	0.177896	0.155242	0.217639
Chr01	2278105	2308701	-0.050509	-0.013225	-0.008841	-0.041574
Chr01	2308803	2374111	0.153150	0.050929	0.029831	0.094613
Chr01	2375641	2396303	-0.014904	-0.007016	-0.004220	0.003875
Chr01	2396404	2420701	0.399207	0.152131	0.114699	0.332031
Chr01	2420724	2436704	0.302002	0.116006	0.086167	0.273406
Chr01	2436763	2446881	0.156776	0.071360	0.049685	0.110657
Chr01	2446955	2470410	0.259402	0.153903	0.098101	0.194297
Chr01	2470461	2478991	0.399038	0.185635	0.133973	0.308381
Chr01	2479124	2494260	-0.126142	-0.093026	-0.054629	-0.100788
Chr01	2494283	2499268	0.446116	0.406767	0.279485	0.324558
Chr01	2499281	2505701	-0.120101	-0.072201	-0.048235	-0.086803
Chr01	2505725	2521125	0.075163	0.043868	0.028748	0.053885
Chr01	2522115	2537073	-0.294686	-0.156427	-0.082247	-0.155508
Chr01	2537109	2567762	0.035594	0.015069	0.008393	0.031694
Chr01	2567858	2598029	-0.516073	-0.681592	-0.268588	-0.351837
Chr01	2598085	2603754	-0.292684	-0.349917	-0.158197	-0.163759
Chr01	2603764	2610643	-0.466072	-0.946941	-0.367154	-0.378414
Chr01	2610954	2615946	-0.512703	-0.600053	-0.263392	-0.373444
Chr01	2615957	2620410	0.117181	0.099335	0.053423	0.093316
Chr01	2620435	2630387	-0.034099	-0.026037	-0.014418	-0.011362
Chr01	2630900	2644808	0.359919	0.144558	0.100537	0.289358
Chr01	2644870	2661177	0.104346	0.043061	0.028072	0.087219
Chr01	2661212	2669999	0.318660	0.105794	0.091302	0.311003
Chr01	2670022	2682161	0.248500	0.095892	0.074631	0.209868
Chr01	2682512	2692069	0.152123	0.088418	0.060296	0.097161
Chr01	2692665	2703207	0.108896	0.066845	0.040627	0.082818
Chr01	2703450	2714088	0.285460	0.116564	0.052351	0.194518
Chr01	2714092	2721017	0.584880	0.250807	0.142219	0.509155
Chr01	2721030	2729512	0.007218	0.003607	0.001702	-0.014769
Chr01	2729737	2736338	0.222942	0.131715	0.077470	0.134407
Chr01	2736415	2746790	0.008153	0.007831	0.003313	0.008375
Chr01	2746860	2754348	-0.105320	-0.095609	-0.050431	-0.050937
Chr01	2754555	2766135	-0.098314	-0.063031	-0.039344	-0.060694
Chr01	2766289	2775578	-0.241011	-0.125820	-0.068386	-0.119192
Chr01	2775594	2785258	-0.142638	-0.084305	-0.053031	-0.057230
Chr01	2785274	2793102	-0.285028	-0.441601	-0.177884	-0.154845
Chr01	2793141	2798635	-0.183531	-0.230899	-0.121971	-0.096251
Chr01	2798709	2807782	-0.310914	-0.366235	-0.171735	-0.179367
Chr01	2807802	2814769	0.133278	0.120957	0.074835	0.061902
Chr01	2814809	2828250	-0.210814	-0.093208	-0.055935	-0.129094
Chr01	2828702	2848183	-0.315203	-0.209498	-0.124898	-0.247821
Chr01	2848432	2870464	-0.221191	-0.107610	-0.063638	-0.100544
Chr01	2870496	2891215	0.006045	0.002568	0.001515	0.025247
Chr01	2891240	2915587	0.098320	0.032241	0.019249	0.035441
Chr01	2915646	2935940	-0.013882	-0.006020	-0.003613	-0.008691
Chr01	2937114	2955953	0.137854	0.047131	0.031693	0.148007
Chr01	2956006	2979151	0.636941	0.283562	0.190555	0.507409
Chr01	2979196	3017310	0.004435	0.001988	0.000862	0.007315
Chr01	3018379	3030987	-0.247399	-0.136461	-0.051064	-0.169269
Chr01	3031056	3050654	-0.653405	-0.384009	-0.190506	-0.529462
Chr01	3051408	3072573	-0.264756	-0.124211	-0.080081	-0.235788
Chr01	3072601	3083811	-0.179545	-0.084022	-0.053834	-0.124749
Chr01	3083970	3094101	0.050854	0.028711	0.018092	0.029809
Chr01	3094122	3104421	-0.012295	-0.009040	-0.004986	-0.004463
Chr01	3105663	3128129	0.623272	0.231171	0.160609	0.557068
Chr01	3128356	3154135	-0.111638	-0.024843	-0.016400	-0.070379
Chr01	3154714	3165396	-0.129519	-0.074097	-0.043849	-0.047719
Chr01	3165525	3172168	-0.088037	-0.067204	-0.030957	-0.041343
Chr01	3172249	3183880	-0.263650	-0.234440	-0.108445	-0.173549
Chr01	3183947	3206004	-0.375472	-0.093090	-0.053211	-0.283674
Chr01	3206078	3243241	-0.300218	-0.061602	-0.037028	-0.258925
Chr01	3243652	3269975	-0.066031	-0.029300	-0.016474	-0.026953
Chr01	3270082	3284341	-0.074864	-0.036520	-0.022863	-0.039358
Chr01	3284449	3299882	-0.268613	-0.075741	-0.045359	-0.195800
Chr01	3299886	3323552	-0.218876	-0.084905	-0.040568	-0.115805
Chr01	3323557	3340456	0.112835	0.037386	0.023033	0.070158
Chr01	3340484	3364943	-0.233575	-0.108780	-0.056886	-0.141819
Chr01	3365016	3383266	0.257325	0.077003	0.039871	0.177988
Chr01	3383480	3402196	0.426919	0.100917	0.067948	0.323642
Chr01	3402223	3413530	-0.076849	-0.032959	-0.019902	-0.023466
Chr01	3413536	3426741	0.072104	0.055040	0.032227	0.060672
Chr01	3426764	3442052	0.490209	0.348947	0.106648	0.440052
Chr01	3442063	3449813	0.174089	0.084352	0.043513	0.085854
Chr01	3449814	3479549	0.071449	0.019546	0.009264	0.060163
Chr01	3479738	3525216	-0.264867	-0.064788	-0.034435	-0.197292
Chr01	3525345	3534852	0.067282	0.020172	0.013862	0.024973
Chr01	3535063	3577913	-0.104103	-0.026370	-0.013695	-0.107453
Chr01	3578056	3588547	-0.319703	-0.165378	-0.082830	-0.208001
Chr01	3588575	3612120	0.160106	0.063252	0.041627	0.145251
Chr01	3612145	3645849	-0.080885	-0.027953	-0.014037	-0.037236
Chr01	3646892	3674871	-0.336192	-0.097846	-0.062228	-0.312402
Chr01	3674878	3723262	-0.225987	-0.044844	-0.027899	-0.205139
Chr01	3723328	3759225	-0.052777	-0.043722	-0.013456	-0.032948
Chr01	3759243	3777405	0.614760	0.403961	0.162191	0.570228
Chr01	3777538	3790012	0.028152	0.011438	0.007002	0.021136
Chr01	3790074	3795609	-0.445310	-0.579721	-0.202916	-0.287450
Chr01	3795623	3819629	-0.438640	-0.195855	-0.129056	-0.272618
Chr01	3819641	3838647	-0.667942	-0.462651	-0.268903	-0.525673
Chr01	3838810	3857031	0.467593	0.181355	0.088613	0.422964
Chr01	3857064	3875428	-0.652741	-0.316858	-0.133069	-0.612210
Chr01	3875633	3922918	-0.516367	-0.285727	-0.104823	-0.495837
Chr01	3922935	3944525	-0.016338	-0.004708	-0.002554	-0.015277
Chr01	3944608	3977310	0.286917	0.094314	0.048686	0.288340
Chr01	3977823	4000823	-0.413288	-0.257885	-0.131263	-0.273746
Chr01	4000908	4017102	-0.503054	-0.551351	-0.258702	-0.373054
Chr01	4017556	4037710	0.092175	0.021427	0.016540	0.068286
Chr01	4037741	4066526	-0.196773	-0.030123	-0.022904	-0.167284
Chr01	4066735	4118490	0.422037	0.072410	0.050996	0.395851
Chr01	4118507	4140991	0.116948	0.050078	0.029056	0.113635
Chr01	4141040	4166704	0.024892	0.019547	0.007397	0.032605
Chr01	4166856	4179117	0.485820	0.365413	0.103578	0.370666
Chr01	4179211	4204105	0.273610	0.108184	0.055642	0.222601
