chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60116	73679	-0.807078	-0.323750	-0.207243	-0.662623
Chr01	73733	79848	-0.889883	-0.745277	-0.370850	-0.749607
Chr01	79850	123480	-0.840779	-0.741888	-0.319044	-0.695084
Chr01	123543	148467	0.051214	0.039900	0.015399	0.026480
Chr01	148481	152732	0.202341	0.318937	0.079449	0.058308
Chr01	152758	161154	-0.101793	-0.203239	-0.059193	-0.037837
Chr01	161167	168920	-0.576429	-0.962967	-0.303871	-0.317886
Chr01	168925	184579	-0.084541	-0.155725	-0.083611	-0.035836
Chr01	184584	188503	-0.030773	-0.079934	-0.038785	-0.011785
Chr01	188504	195290	-0.144862	-0.458855	-0.165390	-0.066624
Chr01	195295	204605	-0.133965	-0.181544	-0.106548	-0.062366
Chr01	204693	208368	-0.057183	-0.076451	-0.041218	-0.016173
Chr01	208406	210460	0.032895	0.049040	0.030100	0.008263
Chr01	210475	215490	0.028171	0.033966	0.023100	0.016366
Chr01	215573	217656	0.109924	0.165880	0.106979	0.034329
Chr01	217668	220083	0.031211	0.058361	0.032676	0.009603
Chr01	220085	224133	-0.022678	-0.034023	-0.021210	-0.008933
Chr01	224175	228833	-0.056880	-0.107168	-0.053021	-0.017811
Chr01	228854	233786	0.054410	0.082267	0.052112	0.018155
Chr01	233848	238227	-0.101390	-0.280372	-0.110416	-0.054886
Chr01	238245	244823	-0.062047	-0.105061	-0.044714	-0.039944
Chr01	245055	249417	-0.023459	-0.028831	-0.016435	-0.004636
Chr01	249443	252632	-0.050731	-0.068548	-0.036986	-0.022479
Chr01	252656	255418	-0.343832	-0.598862	-0.233064	-0.152071
Chr01	255424	258080	-0.384126	-0.672140	-0.253391	-0.201729
Chr01	258108	261350	-0.549393	-1.275504	-0.361080	-0.304156
Chr01	261352	263142	-0.206895	-0.478999	-0.145692	-0.082259
Chr01	263154	264790	-0.377638	-0.739370	-0.268446	-0.193575
Chr01	264797	270088	-0.491346	-0.499539	-0.258788	-0.355172
Chr01	270089	274649	-0.201727	-0.255072	-0.116728	-0.101548
Chr01	274672	276537	-0.206894	-0.344297	-0.115754	-0.108029
Chr01	276539	284490	-0.400578	-0.776239	-0.248715	-0.240440
Chr01	286066	307079	-0.322523	-0.270175	-0.116419	-0.153569
Chr01	307183	312516	0.084933	0.074165	0.055961	0.065296
Chr01	312581	318358	-0.104345	-0.191151	-0.076719	-0.043891
