chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	65662	73163	0.910074	0.288364	0.269951	0.600274
Chr01	73192	138722	-0.087072	-0.045499	-0.023048	-0.051840
Chr01	138851	152689	-0.525016	-0.456543	-0.195616	-0.320621
Chr01	152699	166383	-0.253819	-0.193273	-0.120851	-0.173021
Chr01	166509	184037	-0.055135	-0.032560	-0.024208	-0.017115
Chr01	184056	188411	0.339046	0.292034	0.194808	0.177834
Chr01	188503	196772	0.145597	0.120003	0.091048	0.061698
Chr01	196774	206228	-0.228937	-0.161556	-0.108382	-0.144608
Chr01	206295	210475	-0.141897	-0.119259	-0.079046	-0.088994
Chr01	210523	216365	-0.330596	-0.207786	-0.146608	-0.206263
Chr01	216433	219176	-0.233893	-0.226763	-0.145307	-0.172259
Chr01	219223	223890	-0.214111	-0.217860	-0.137215	-0.128379
Chr01	223935	230785	-0.165725	-0.198148	-0.120272	-0.115013
Chr01	230822	237311	-0.067743	-0.066057	-0.042871	-0.032235
Chr01	237312	245643	-0.148509	-0.105920	-0.072375	-0.093893
Chr01	245672	251431	-0.130301	-0.145589	-0.095118	-0.077388
Chr01	251473	255758	-0.660705	-0.754977	-0.387722	-0.578858
Chr01	255767	258775	-0.556923	-0.361832	-0.229230	-0.417546
Chr01	258809	262426	-0.875920	-1.648548	-0.544820	-0.717177
Chr01	262437	264669	-0.702644	-0.571185	-0.324636	-0.522713
Chr01	264691	270170	-0.787025	-1.089389	-0.450540	-0.661983
Chr01	270206	276219	-0.290892	-0.266317	-0.161597	-0.187743
Chr01	276220	286849	-0.382465	-0.549713	-0.249138	-0.244900
Chr01	286897	309750	-0.190841	-0.122320	-0.066303	-0.100289
Chr01	309756	316315	0.287709	0.293049	0.188664	0.193718
Chr01	316316	326414	0.274420	0.228181	0.120331	0.159858
Chr01	326453	344717	0.113533	0.087957	0.050618	0.049432
Chr01	344764	352497	-0.082648	-0.131410	-0.069864	-0.034185
Chr01	352606	370078	0.833892	0.480599	0.340780	0.605581
Chr01	370123	389055	0.231861	0.156672	0.109580	0.138481
Chr01	389058	397263	0.228100	0.194885	0.136522	0.139306
Chr01	397337	405665	0.266350	0.274280	0.156990	0.141578
Chr01	405825	419496	0.603861	0.240086	0.160343	0.336211
Chr01	419498	429688	0.491773	0.297254	0.206798	0.342716
Chr01	429706	442146	0.637534	0.349512	0.216224	0.403182
Chr01	443199	459717	0.534601	0.176053	0.139946	0.364758
Chr01	463716	478441	-0.160459	-0.085946	-0.047834	-0.117041
Chr01	478460	487436	-0.378208	-0.238887	-0.128645	-0.291068
Chr01	487570	498859	-0.124026	-0.048332	-0.029676	-0.079678
