chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60092	73539	-0.431137	-0.082742	-0.068604	-0.294380
Chr01	73584	79603	-0.800659	-0.444639	-0.264239	-0.644893
Chr01	79605	121258	-0.715080	-0.307664	-0.192007	-0.579884
Chr01	121260	148753	-0.381162	-0.141840	-0.068202	-0.229035
Chr01	148762	153581	-0.497417	-0.432670	-0.114439	-0.257744
Chr01	153626	166770	-0.461599	-0.452547	-0.167471	-0.181975
Chr01	166780	183061	-0.245210	-0.178491	-0.115897	-0.113450
Chr01	183069	185904	0.196653	0.175143	0.130227	0.101256
Chr01	185963	191474	0.013225	0.014144	0.008491	-0.002594
Chr01	191556	203077	-0.233184	-0.242564	-0.145877	-0.108792
Chr01	203094	206606	0.167052	0.154043	0.093579	0.073175
Chr01	206622	209627	0.081528	0.089350	0.051922	0.031819
Chr01	209652	213991	0.274984	0.250661	0.165829	0.148853
Chr01	214053	216885	0.114449	0.115485	0.070784	0.062520
Chr01	216887	219176	0.166105	0.203693	0.118908	0.057966
Chr01	219223	221880	0.031969	0.048661	0.024303	0.019665
Chr01	221949	226427	0.142544	0.098171	0.069523	0.060787
Chr01	226545	231881	0.269217	0.153471	0.111928	0.086195
Chr01	231913	236891	-0.085876	-0.096234	-0.054581	-0.034683
Chr01	236923	241981	-0.223711	-0.219776	-0.123248	-0.147469
Chr01	243050	248537	-0.158183	-0.100530	-0.066561	-0.047948
Chr01	248582	251445	0.116246	0.087311	0.059779	0.039797
Chr01	251471	254465	-0.189856	-0.150563	-0.087458	-0.085798
Chr01	254500	256776	-0.395389	-0.531170	-0.217026	-0.223945
Chr01	256817	260700	-0.508836	-0.695325	-0.292194	-0.303239
Chr01	260715	262585	-0.545329	-1.362677	-0.310412	-0.322254
Chr01	262592	264374	-0.224190	-0.229139	-0.108871	-0.108644
Chr01	264384	269410	-0.771909	-0.943355	-0.402644	-0.636090
Chr01	269429	274337	-0.128780	-0.075651	-0.048644	-0.068295
Chr01	274367	276516	-0.049500	-0.034248	-0.016565	-0.010299
Chr01	276518	286449	-0.184710	-0.147044	-0.077097	-0.098639
Chr01	286481	307374	-0.271898	-0.124652	-0.072457	-0.149295
Chr01	307385	312944	0.506076	0.429691	0.321719	0.398834
Chr01	312965	318542	-0.116355	-0.191169	-0.070537	-0.070595
Chr01	318613	326414	-0.330937	-0.368953	-0.159831	-0.230414
Chr01	326432	337204	-0.465267	-0.242205	-0.149441	-0.155497
Chr01	337265	350519	-0.458126	-0.231103	-0.156068	-0.192115
Chr01	350582	356509	-0.327547	-0.372643	-0.219442	-0.156104
Chr01	356580	384954	-0.569670	-0.282438	-0.190582	-0.378426
Chr01	385062	390996	-0.140417	-0.064210	-0.048852	-0.064613
Chr01	391031	397154	-0.198288	-0.167273	-0.114866	-0.078151
Chr01	397158	403390	0.033268	0.028519	0.021247	0.009118
Chr01	403391	409261	-0.099400	-0.101228	-0.053506	-0.034895
Chr01	409273	425300	-0.128156	-0.047064	-0.032810	-0.045666
Chr01	425321	432157	-0.035784	-0.027798	-0.014366	-0.011653
Chr01	432173	438772	0.308567	0.211742	0.109684	0.136915
Chr01	438777	447268	-0.518881	-0.099227	-0.079113	-0.076281
Chr01	447280	452863	-0.117800	-0.073702	-0.049796	-0.053146
Chr01	452883	464779	-0.371739	-0.241210	-0.162600	-0.196660
Chr01	464844	473356	-0.249038	-0.230639	-0.143403	-0.157788
Chr01	473399	478699	-0.047014	-0.040129	-0.028228	-0.032297
Chr01	478728	481895	-0.113119	-0.111262	-0.073131	-0.060713
Chr01	481905	487974	-0.506502	-0.404856	-0.212615	-0.334559
Chr01	488066	496225	-0.291688	-0.213780	-0.111506	-0.152503
Chr01	496253	500735	-0.375218	-0.181387	-0.113294	-0.249617
Chr01	500794	511729	-0.348589	-0.353439	-0.166986	-0.170476
Chr01	511764	516619	-0.314866	-0.313652	-0.138233	-0.111932
Chr01	516622	522525	-0.150797	-0.149878	-0.072943	-0.035646
Chr01	522546	526768	-0.042716	-0.043546	-0.029330	-0.009350
Chr01	526822	532195	-0.171545	-0.108713	-0.058185	-0.050781
Chr01	532276	550867	-0.584332	-1.289096	-0.172768	-0.220216
Chr01	550964	561703	-0.565678	-0.360515	-0.136659	-0.204224
Chr01	561760	574247	-0.714019	-0.387843	-0.180134	-0.287342
Chr01	574343	577983	-0.367268	-0.100378	-0.074315	-0.053311
Chr01	578017	589067	-0.646995	-0.192859	-0.141486	-0.209438
Chr01	589142	610446	0.054353	0.013076	0.010702	0.019058
Chr01	610451	620021	-0.146962	-0.105138	-0.070239	-0.038130
Chr01	620025	626539	0.109615	0.065530	0.039895	0.046371
Chr01	626555	632223	-0.415827	-0.227288	-0.140009	-0.126335
Chr01	632307	641019	0.320940	0.108553	0.079675	0.077053
Chr01	641064	650560	-0.012378	-0.007667	-0.004098	0.003971
Chr01	650584	655819	-0.034789	-0.015223	-0.010597	-0.008543
Chr01	655822	660103	0.477893	0.263624	0.179524	0.279988
Chr01	660154	669931	0.732288	0.276764	0.241819	0.546790
Chr01	669996	680488	0.004598	0.002591	0.001667	0.032503
Chr01	680493	698556	-0.531483	-0.311022	-0.159584	-0.268860
Chr01	698598	720108	-0.698740	-0.553724	-0.241165	-0.509397
Chr01	720559	781339	-0.397728	-0.124418	-0.086700	-0.172487
Chr01	793498	822362	-0.063705	-0.030163	-0.020436	-0.026853
Chr01	822446	836146	-0.313087	-0.101069	-0.065611	-0.095282
Chr01	836198	847371	-0.713138	-0.204793	-0.117823	-0.314581
Chr01	847605	855115	-0.834192	-0.404892	-0.152001	-0.353024
Chr01	855131	863602	-0.002814	-0.001380	-0.000746	0.003524
Chr01	863690	870562	-0.315108	-0.180546	-0.088797	-0.075052
Chr01	870672	880901	-0.512286	-0.147323	-0.101686	-0.187960
Chr01	880934	896062	-0.356312	-0.245110	-0.137215	-0.161210
Chr01	896185	903703	-0.280151	-0.157682	-0.096403	-0.106007
