chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556628	704485	0.012384	0.013206	0.007690	0.007564
Superscaffold1	704507	853392	0.082742	0.049165	0.028451	0.049016
Superscaffold1	853405	1159886	-0.046351	-0.029352	-0.015596	-0.025045
Superscaffold1	1159991	1385011	0.009041	0.004525	0.002666	0.006991
Superscaffold1	1385033	1625040	-0.044472	-0.015373	-0.010021	-0.026822
Superscaffold1	1625149	2009787	-0.326422	-0.131994	-0.074876	-0.226504
Superscaffold1	2009835	2286518	-0.170465	-0.073153	-0.042319	-0.121849
Superscaffold1	2286597	2518776	-0.139168	-0.081126	-0.052294	-0.085269
Superscaffold1	2518855	2712459	0.004111	0.003132	0.001841	0.005379
Superscaffold1	2712641	2850688	-0.128591	-0.138831	-0.066898	-0.073423
Superscaffold1	2850738	3086146	-0.200757	-0.171032	-0.086061	-0.113606
Superscaffold1	3086372	3398402	0.082489	0.038711	0.023410	0.046068
Superscaffold1	3398441	3740358	-0.122580	-0.046379	-0.028059	-0.068420
Superscaffold1	3740403	4152446	-0.303780	-0.112304	-0.065525	-0.195230
Superscaffold1	4152488	4461371	0.123571	0.047096	0.029950	0.088960
Superscaffold1	4461520	4786554	-0.317225	-0.204983	-0.121497	-0.215554
Superscaffold1	4786972	5206685	-0.056841	-0.018284	-0.012402	-0.033183
Superscaffold1	5206689	5647131	-0.234101	-0.053795	-0.038466	-0.134632
Superscaffold1	5647132	5986110	0.323679	0.116871	0.082908	0.197932
Superscaffold1	5986121	6404165	0.102897	0.029418	0.020033	0.071246
Superscaffold1	6404172	6765291	-0.117874	-0.048731	-0.032291	-0.074836
Superscaffold1	6765433	7214007	-0.401349	-0.145286	-0.088024	-0.267097
Superscaffold1	7214015	7561121	-0.144281	-0.061411	-0.038287	-0.099822
Superscaffold1	7561212	8039061	-0.019463	-0.007236	-0.004695	-0.009186
Superscaffold1	8039066	8566200	-0.228280	-0.118057	-0.064202	-0.127882
Superscaffold1	8566218	9705908	0.025440	0.007990	0.005449	0.015887
Superscaffold1	9706031	10652017	-0.040035	-0.015756	-0.010399	-0.021880
Superscaffold1	10657094	10957276	-0.118880	-0.049396	-0.030714	-0.072046
Superscaffold1	10957284	11262070	-0.049463	-0.018648	-0.012192	-0.037607
Superscaffold1	11262103	11578069	-0.357381	-0.180976	-0.111467	-0.262641
Superscaffold1	11578144	11981463	-0.045314	-0.014398	-0.009271	-0.033918
Superscaffold1	11981466	12298490	0.032040	0.015549	0.009218	0.022707
Superscaffold1	12298538	12555467	0.119514	0.072563	0.045159	0.069764
Superscaffold1	12555518	12884055	-0.221935	-0.083965	-0.050151	-0.163858
Superscaffold1	12884058	13268339	0.154858	0.056300	0.032714	0.117230
Superscaffold1	13268351	13992571	-0.034457	-0.005894	-0.004019	-0.022724
