chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	217553	415249	-0.387948	-0.277590	-0.169431	-0.275032
Chr01	271422	524735	-0.191815	-0.123105	-0.074637	-0.130150
Chr01	415263	653686	-0.050919	-0.028863	-0.017464	-0.032046
Chr01	524737	856225	-0.160056	-0.103365	-0.055551	-0.095618
Chr01	653705	976590	-0.178678	-0.146495	-0.071373	-0.110342
Chr01	856236	1101917	-0.159333	-0.104682	-0.054086	-0.091225
Chr01	977182	1177933	-0.309726	-0.202684	-0.102402	-0.170907
Chr01	1101926	1310247	-0.370572	-0.264942	-0.125231	-0.214519
Chr01	1177996	1451023	-0.215676	-0.146414	-0.069871	-0.132618
Chr01	1310450	1517354	-0.215505	-0.160549	-0.080706	-0.145734
Chr01	1451040	1594137	-0.193692	-0.136262	-0.071311	-0.123494
Chr01	1517356	1669605	0.142399	0.094475	0.047077	0.078938
Chr01	1594266	1741140	0.090185	0.085961	0.033657	0.055963
Chr01	1669663	1865603	-0.028831	-0.026870	-0.009129	-0.016412
Chr01	1741203	1993271	-0.176261	-0.151720	-0.047421	-0.104150
Chr01	1865653	2069891	-0.214208	-0.171856	-0.064222	-0.112670
Chr01	1993273	2173317	0.020590	0.015368	0.007556	0.011027
Chr01	2070209	2236608	0.004521	0.003711	0.001866	0.001667
Chr01	2173367	2293416	-0.009963	-0.010026	-0.005335	-0.006730
Chr01	2236660	2428733	-0.102194	-0.107139	-0.056142	-0.065200
Chr01	2293438	2496317	-0.125826	-0.122202	-0.060945	-0.080152
Chr01	2428756	2592573	-0.192673	-0.235087	-0.106943	-0.114606
Chr01	2496331	2653642	-0.220628	-0.298788	-0.130537	-0.126054
Chr01	2592750	2708569	-0.100184	-0.099196	-0.052598	-0.055318
Chr01	2653651	2751748	0.054046	0.051410	0.027619	0.036116
Chr01	2708590	2821294	-0.043391	-0.048673	-0.023079	-0.024773
Chr01	2751764	2920063	-0.084557	-0.085226	-0.042704	-0.046286
Chr01	2821399	3015958	0.095353	0.094683	0.048639	0.054528
Chr01	2920097	3091397	0.080495	0.088232	0.045060	0.047929
Chr01	3016183	3176123	0.079325	0.083616	0.041001	0.047428
Chr01	3092599	3284044	0.015330	0.010836	0.005649	0.010902
Chr01	3176128	3398439	0.047216	0.028708	0.014657	0.031543
Chr01	3284101	3490673	0.144147	0.107546	0.048757	0.092935
Chr01	3398568	3589243	0.326360	0.214824	0.124607	0.236180
Chr01	3490777	3691957	0.340778	0.196166	0.122352	0.231323
Chr01	3589270	3792312	0.048029	0.036720	0.016976	0.028104
Chr01	3692055	3896237	0.009696	0.011152	0.003722	0.007853
Chr01	3792324	4016779	-0.007882	-0.008713	-0.002778	-0.001751
Chr01	3896239	4120972	-0.151339	-0.134752	-0.056868	-0.088829
Chr01	4016955	4243990	-0.168012	-0.143601	-0.065519	-0.111351
Chr01	4121459	4328675	-0.045943	-0.044054	-0.019641	-0.028715
Chr01	4244141	4440693	0.018133	0.017874	0.007902	0.014790
Chr01	4328716	4502066	-0.026608	-0.022606	-0.011104	-0.013437
Chr01	4440748	4615837	0.041671	0.028483	0.017537	0.021028
Chr01	4502067	4696803	0.038707	0.028191	0.015023	0.016922
Chr01	4615887	4822960	0.247539	0.251440	0.097816	0.145883
Chr01	4696874	4948381	0.223910	0.149135	0.077708	0.140393
Chr01	4823080	5112437	-0.089643	-0.042716	-0.025031	-0.052714
Chr01	4948657	5297651	-0.129957	-0.049521	-0.030880	-0.080897
Chr01	5112634	5622633	0.009991	0.003971	0.002603	0.007004
Chr01	5297658	5812956	-0.047054	-0.019217	-0.012095	-0.029873
Chr01	5622686	5958763	-0.097138	-0.039255	-0.024235	-0.059957
Chr01	5813134	6165171	-0.148819	-0.058855	-0.035044	-0.101056
Chr01	5958787	6380309	-0.208912	-0.064073	-0.041712	-0.148255
Chr01	6165314	6872831	0.063196	0.011357	0.008755	0.041313
Chr01	6380515	7139752	0.030438	0.005902	0.004512	0.024423
Chr01	6873039	7337429	-0.174623	-0.067722	-0.042136	-0.127402
Chr01	7139769	7480636	-0.145631	-0.074214	-0.043898	-0.101821
Chr01	7337467	7616280	-0.191279	-0.088134	-0.055103	-0.113426
Chr01	7480706	7786864	-0.381389	-0.187373	-0.105990	-0.234455
Chr01	7616288	7904849	-0.297143	-0.139279	-0.082813	-0.216434
Chr01	7787136	8003399	-0.198214	-0.113127	-0.061247	-0.136958
Chr01	7904936	8135951	-0.236647	-0.130757	-0.070968	-0.151996
Chr01	8003532	8341207	0.101568	0.027537	0.018664	0.065273
Chr01	8135987	8491487	0.256730	0.078633	0.050075	0.177322
Chr01	8341219	8638173	0.279307	0.126143	0.072591	0.196210
Chr01	8491579	8771535	0.226942	0.106606	0.063015	0.148152
Chr01	8638183	8949677	0.034346	0.016901	0.010056	0.017610
Chr01	8771554	9236152	-0.138395	-0.082396	-0.045559	-0.077280
Chr01	8949707	9342356	-0.030280	-0.021019	-0.010865	-0.016232
Chr01	9236236	9530309	-0.098689	-0.044967	-0.026155	-0.081587
Chr01	9342400	9693933	-0.038694	-0.017901	-0.010542	-0.031683
Chr01	9530539	9839640	0.136218	0.085914	0.049342	0.083078
Chr01	9694298	9910226	-0.001633	-0.001043	-0.000656	-0.000405
Chr01	9839649	9989008	0.017538	0.010510	0.006709	0.013537
Chr01	9910261	10071150	0.106412	0.070248	0.042526	0.071497
Chr01	9989040	10209840	0.028942	0.021627	0.011073	0.010349
Chr01	10071229	10348981	0.151822	0.089743	0.051296	0.087136
Chr01	10209863	10470146	0.081441	0.042332	0.025919	0.058015
Chr01	10349168	10946972	-0.186988	-0.091961	-0.056056	-0.125851
Chr01	10470165	11067478	-0.543943	-0.365839	-0.208187	-0.439120
Chr01	10947084	11228877	-0.505033	-0.389572	-0.186139	-0.411268
Chr01	11067558	11340502	-0.053299	-0.028310	-0.014930	-0.035593
Chr01	11228916	11442986	0.053398	0.026116	0.016414	0.034949
Chr01	11340554	11518781	0.112585	0.073988	0.045901	0.067947
Chr01	11443084	11597126	0.141805	0.126682	0.070498	0.082131
Chr01	11518816	11732002	0.332039	0.273078	0.146344	0.216307
Chr01	11597164	11804535	0.378300	0.321901	0.167416	0.253234
Chr01	11732014	12040530	0.058618	0.051821	0.028294	0.033295
Chr01	11804621	12125695	0.075294	0.056959	0.033019	0.047429
Chr01	12040614	12257020	-0.211263	-0.148636	-0.066630	-0.141630
Chr01	12125748	12394473	-0.358614	-0.223170	-0.096875	-0.261923
Chr01	12257061	12486679	-0.155371	-0.109223	-0.047820	-0.109378
Chr01	12394507	12664714	0.005090	0.002743	0.001362	0.011290
Chr01	12486718	12821783	0.071247	0.030130	0.014454	0.059798
Chr01	12664719	13120465	0.032330	0.018479	0.006039	0.030649
Chr01	12822001	13285884	-0.062167	-0.030230	-0.012268	-0.039487
Chr01	13120472	13529852	-0.148853	-0.069616	-0.037592	-0.112376
Chr01	13285896	13724878	-0.222488	-0.097875	-0.054090	-0.172332
Chr01	13530066	13858864	-0.313150	-0.121686	-0.067069	-0.227600
Chr01	13724902	14023805	-0.310569	-0.164107	-0.083487	-0.220995
Chr01	13858868	14142323	-0.209326	-0.126132	-0.063686	-0.132820
Chr01	14023936	14261679	-0.257510	-0.163073	-0.081938	-0.152023
Chr01	14142384	14354111	-0.091826	-0.050377	-0.026620	-0.054937
Chr01	14261700	14471463	-0.171507	-0.090275	-0.047105	-0.109832
Chr01	14354150	14639296	-0.519517	-0.251692	-0.137020	-0.434864
Chr01	14471471	14763552	-0.353178	-0.147090	-0.089867	-0.311358
Chr01	14639340	14912595	-0.171631	-0.066902	-0.041210	-0.130154
Chr01	14763918	15075065	-0.328454	-0.106882	-0.064239	-0.236098
Chr01	14913070	15236839	-0.233347	-0.079189	-0.045694	-0.177687
Chr01	15075100	15416245	-0.393849	-0.167834	-0.087648	-0.332504
Chr01	15236943	15572329	-0.479565	-0.210554	-0.109356	-0.386853
Chr01	15416278	15703974	-0.361004	-0.179938	-0.091834	-0.247041
Chr01	15572336	16101415	-0.084746	-0.037183	-0.022764	-0.053862
Chr01	15703989	16267949	0.079937	0.036246	0.021982	0.052642
Chr01	16101465	16389314	-0.073919	-0.049165	-0.023296	-0.043389
Chr01	16267968	16529164	-0.039680	-0.022818	-0.012390	-0.021074
Chr01	16389317	16672190	-0.084126	-0.042328	-0.022595	-0.060573
Chr01	16529165	16868345	-0.111157	-0.049176	-0.026763	-0.090870
Chr01	16672214	17038966	-0.103834	-0.039574	-0.024136	-0.082174
