chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55612	62031	0.020367	0.011293	0.009435	0.013852
Chr01	62049	77194	0.262810	0.079781	0.069908	0.192190
Chr01	77208	82079	-0.167663	-0.180073	-0.119056	-0.121994
Chr01	82114	131130	-0.390376	-0.369879	-0.178549	-0.284574
Chr01	131155	150791	-0.630642	-0.644690	-0.240627	-0.389700
Chr01	150812	153484	-0.546078	-1.472264	-0.321538	-0.315421
Chr01	153505	165638	-0.484537	-1.050452	-0.284789	-0.255018
Chr01	165683	181106	-0.380988	-1.043204	-0.288073	-0.235153
Chr01	181118	184972	0.110803	0.232494	0.135465	0.053241
Chr01	184979	188644	0.098970	0.278375	0.097637	0.045542
Chr01	188648	194091	0.040415	0.095721	0.046717	0.026240
Chr01	194096	204291	0.057956	0.106520	0.059038	0.036210
Chr01	204313	208142	-0.181943	-0.800528	-0.183221	-0.096099
Chr01	208151	210115	-0.025414	-0.147681	-0.047919	-0.013812
Chr01	210144	214862	-0.068166	-0.153345	-0.063685	-0.035468
Chr01	214891	217167	-0.145040	-0.673413	-0.212532	-0.085356
Chr01	217200	219231	-0.051898	-0.172962	-0.065238	-0.035746
Chr01	219288	221411	-0.078161	-0.248876	-0.093361	-0.040045
Chr01	221424	225811	-0.253464	-0.871684	-0.229199	-0.127952
Chr01	225848	230477	-0.179878	-1.699934	-0.183382	-0.084990
Chr01	230487	234388	-0.082128	-0.301229	-0.086368	-0.035971
Chr01	234394	238428	-0.389224	-1.454264	-0.397845	-0.237421
Chr01	238449	245055	-0.144026	-0.381685	-0.111014	-0.081120
Chr01	245294	249316	-0.148845	-0.432629	-0.129460	-0.061836
Chr01	249320	251785	-0.225818	-1.117009	-0.223574	-0.100433
Chr01	251794	254449	-0.251193	-1.027515	-0.235530	-0.131992
Chr01	254459	256357	-0.214463	-1.099122	-0.183108	-0.094635
Chr01	256421	258876	0.007367	0.012302	0.005735	0.014414
Chr01	258905	262233	-0.542998	-9.611027	-0.423026	-0.285290
Chr01	262242	264050	-0.262429	-0.695931	-0.197361	-0.131036
Chr01	264062	268433	-0.366280	-1.302491	-0.316187	-0.213024
Chr01	268437	270502	0.064880	0.119352	0.049461	0.035248
Chr01	270512	274718	-0.258006	-0.777809	-0.199612	-0.151125
Chr01	274747	276348	-0.232621	-1.184806	-0.151763	-0.118670
Chr01	276395	282814	-0.302290	-1.044406	-0.215834	-0.184944
Chr01	282968	303455	0.017065	0.018652	0.008087	0.012848
Chr01	303488	310959	-0.045925	-0.042429	-0.027851	-0.038631
Chr01	311004	316949	0.021165	0.021039	0.017824	0.013417
Chr01	316980	326164	-0.001976	-0.002118	-0.001270	-0.003315
Chr01	326171	340590	0.315682	0.154732	0.107327	0.116233
Chr01	340605	351870	0.147488	0.125370	0.083941	0.104978
Chr01	351876	369906	0.393831	0.169899	0.121769	0.289862
Chr01	370078	388590	0.212259	0.140126	0.096580	0.122237
Chr01	388818	394452	0.067765	0.092692	0.055948	0.034103
Chr01	394456	402834	-0.018956	-0.034256	-0.012870	-0.013232
Chr01	402904	407736	0.160890	0.422672	0.139985	0.082706
Chr01	407870	418712	0.385151	0.255477	0.126917	0.154353
Chr01	418717	426346	0.714569	0.576612	0.468284	0.555217
Chr01	426388	432589	0.350360	0.381964	0.181246	0.236902
Chr01	432605	438983	0.630872	0.686881	0.288722	0.422116
Chr01	438984	443122	-0.049889	-0.124560	-0.025610	-0.019087
Chr01	443136	448026	-0.082874	-0.293734	-0.067688	-0.022958
Chr01	448029	452560	0.239778	0.360939	0.209438	0.148688
Chr01	452745	464613	0.215317	0.212463	0.116184	0.133096
Chr01	464640	467017	-0.212341	-1.100000	-0.186771	-0.117517
Chr01	467064	477728	-0.073017	-0.120178	-0.042084	-0.031176
Chr01	477773	480321	-0.090623	-0.262117	-0.053657	-0.041737
Chr01	480325	484795	-0.168175	-0.195275	-0.079567	-0.096941
Chr01	484818	490554	0.229399	0.169508	0.084594	0.128494
Chr01	491218	497187	0.267092	0.185918	0.106001	0.117409
Chr01	497190	507397	-0.051112	-0.047472	-0.023738	-0.024716
Chr01	507454	515158	-0.038842	-0.090228	-0.018608	-0.012270
Chr01	515166	521115	0.197164	0.301316	0.082900	0.089152
Chr01	521134	527946	0.575661	0.557579	0.269468	0.467237
Chr01	528015	548001	0.646291	0.797170	0.198446	0.523712
Chr01	548087	561634	0.510695	0.340076	0.149874	0.317879
