chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	597527	902331	-0.272105	-0.182707	-0.097066	-0.147573
Superscaffold1	902335	1356976	-0.027389	-0.013701	-0.008335	-0.018453
Superscaffold1	1357096	1743507	-0.092284	-0.047217	-0.028513	-0.066030
Superscaffold1	1743540	2131920	0.115019	0.043447	0.022674	0.083551
Superscaffold1	2132497	2422240	0.034761	0.018321	0.011392	0.020507
Superscaffold1	2422280	2707688	-0.015277	-0.008388	-0.005517	-0.006687
Superscaffold1	2707769	2946150	0.046481	0.029122	0.016247	0.026371
Superscaffold1	2946223	3337347	0.005495	0.002559	0.001567	-0.000425
Superscaffold1	3337353	3769370	0.117756	0.043639	0.025838	0.071252
Superscaffold1	3769374	4195259	-0.025067	-0.012026	-0.006911	-0.019740
Superscaffold1	4195511	4573212	0.255211	0.143603	0.088737	0.202919
Superscaffold1	4573279	5006993	0.177478	0.088001	0.053289	0.107676
Superscaffold1	5007188	5539973	0.286067	0.097530	0.062925	0.199985
Superscaffold1	5540248	5826779	0.116434	0.057696	0.036444	0.067310
Superscaffold1	5826788	6267736	0.058925	0.027752	0.017556	0.039472
Superscaffold1	6267969	6659446	0.147474	0.062829	0.041114	0.108484
Superscaffold1	6659563	7161755	0.366363	0.152701	0.090385	0.281739
Superscaffold1	7161795	7470932	-0.049057	-0.027828	-0.015616	-0.033109
Superscaffold1	7471109	7865382	0.113163	0.051818	0.032164	0.059579
Superscaffold1	7866165	8502557	0.160332	0.085690	0.046357	0.083785
Superscaffold1	8502577	9682317	0.040469	0.014562	0.009664	0.025499
Superscaffold1	9682941	10606473	0.044819	0.018688	0.012612	0.027543
Superscaffold1	10606515	10970160	0.053378	0.026911	0.015722	0.039192
Superscaffold1	10970168	11342769	0.091663	0.036696	0.022565	0.062805
Superscaffold1	11342772	11732922	-0.030543	-0.011202	-0.006927	-0.021703
Superscaffold1	11732954	12199652	0.068227	0.025627	0.016764	0.043647
Superscaffold1	12200857	12594191	0.198648	0.097149	0.060558	0.132584
Superscaffold1	12594218	12934673	-0.212133	-0.120899	-0.061159	-0.157028
Superscaffold1	12934684	13344300	0.475512	0.224320	0.118934	0.327376
Superscaffold1	13344325	13856573	0.413820	0.192435	0.089688	0.230437
Superscaffold1	13856956	14502620	0.072909	0.023280	0.014176	0.048846
Superscaffold1	14502725	14860588	0.170229	0.073623	0.043945	0.107419
Superscaffold1	14860596	15136763	0.194084	0.091267	0.054421	0.115687
Superscaffold1	15136786	15408399	0.545410	0.301380	0.186857	0.396648
Superscaffold1	15408409	15715891	0.222932	0.108429	0.064892	0.152041
Superscaffold1	15715929	16044417	0.024016	0.011471	0.006346	0.019159
Superscaffold1	16044435	16283901	0.224539	0.111378	0.060414	0.152229
Superscaffold1	16283987	16716185	0.131802	0.053765	0.033279	0.092182
Superscaffold1	16716315	17041102	-0.141992	-0.094112	-0.048711	-0.073071
Superscaffold1	17043750	17510288	0.125203	0.049340	0.028987	0.105022
Superscaffold1	17510295	18305455	0.260401	0.094435	0.052815	0.168429
Superscaffold1	18305524	18711885	-0.056820	-0.023476	-0.014245	-0.040248
Superscaffold1	18711965	19123475	-0.029665	-0.012546	-0.008420	-0.023237
Superscaffold1	19124139	19590215	0.082414	0.036415	0.024225	0.054475
Superscaffold1	19590232	19990686	0.300447	0.091393	0.064404	0.227390
Superscaffold1	19990948	20461706	0.066216	0.022039	0.014818	0.047043
Superscaffold1	20461717	21194971	0.304527	0.101214	0.061220	0.229491
Superscaffold1	21194980	21584964	0.383200	0.168535	0.095272	0.289723
Superscaffold1	21585043	21999647	0.054734	0.024049	0.015370	0.043409
Superscaffold1	21999912	22535821	0.168613	0.049445	0.032938	0.142619
Superscaffold1	22535856	22984488	-0.684625	-0.338291	-0.192709	-0.576076
Superscaffold1	22984495	23501921	0.342253	0.099403	0.057098	0.274566
Superscaffold1	23502103	23979138	-0.036441	-0.012299	-0.007484	-0.031015
Superscaffold1	23979220	24472768	0.166335	0.041368	0.027438	0.105756
Superscaffold1	24472788	24819381	0.344499	0.161614	0.096367	0.282260
Superscaffold1	24819558	25284443	0.047671	0.015377	0.009549	0.035853
Superscaffold1	25285172	25686219	-0.023807	-0.008828	-0.005392	-0.021007
Superscaffold1	25686231	26078662	0.169372	0.069556	0.045999	0.124385
Superscaffold1	26078771	26379489	0.230993	0.116430	0.055163	0.162361
Superscaffold1	26379598	26816417	-0.049319	-0.025871	-0.013650	-0.031514
Superscaffold1	26816427	27273820	0.206509	0.052458	0.031083	0.145898
Superscaffold1	27273826	27601817	0.125475	0.055163	0.031782	0.073980
Superscaffold1	27601836	27909833	-0.187641	-0.094023	-0.051811	-0.129305
Superscaffold1	27909862	28212780	0.080976	0.036670	0.021098	0.048670
Superscaffold1	28213082	28693481	0.151894	0.051885	0.036461	0.105666
Superscaffold1	28693532	29260355	-0.033803	-0.010065	-0.006121	-0.018864
Superscaffold1	29260421	29642753	0.034371	0.012157	0.007954	0.022645
Superscaffold1	29642868	30089941	-0.050544	-0.015880	-0.008434	-0.032263
Superscaffold1	30089976	30717944	-0.046404	-0.021841	-0.012908	-0.027320
Superscaffold1	30717963	31083020	-0.076027	-0.028771	-0.018347	-0.046260
Superscaffold1	31083316	31632503	0.067237	0.018258	0.011324	0.052906
Superscaffold1	31633118	32468851	0.150275	0.054115	0.031048	0.111954
Superscaffold1	32468893	32951936	0.231317	0.071758	0.045576	0.164994
Superscaffold1	32952055	33450293	0.059676	0.018644	0.011940	0.045758
Superscaffold1	33450371	33760370	0.024548	0.013578	0.008420	0.019575
Superscaffold1	33760394	34028652	0.111299	0.051108	0.033551	0.068921
Superscaffold1	34028871	34290096	0.454991	0.188834	0.117361	0.342252
Superscaffold1	34290142	34600612	-0.038495	-0.028115	-0.014221	-0.025592
Superscaffold1	34600691	35020514	-0.067600	-0.017853	-0.011415	-0.050464
Superscaffold1	35020517	35649047	0.332706	0.153281	0.102821	0.221514
Superscaffold1	35649060	36689922	0.154930	0.056952	0.035934	0.095307
Superscaffold1	36689977	37164464	0.082952	0.031990	0.021675	0.066517
Superscaffold1	37164763	37603937	0.388942	0.126851	0.083198	0.293589
Superscaffold1	37604024	38202889	0.366188	0.147448	0.099509	0.254949
Superscaffold1	38202908	38555311	-0.083818	-0.032498	-0.020174	-0.059005
Superscaffold1	38555337	38961616	0.358812	0.118155	0.081145	0.296317
Superscaffold1	38962149	39264817	0.464764	0.186935	0.110460	0.384625
Superscaffold1	39264823	39744523	0.464803	0.180130	0.109803	0.379029
Superscaffold1	39744524	40079769	0.537006	0.232442	0.149312	0.475997
Superscaffold1	40079867	40566456	0.033176	0.008216	0.005402	0.022613
Superscaffold1	40566471	41100945	0.158146	0.048861	0.029375	0.117589
Superscaffold1	41101515	41592335	0.228557	0.076875	0.047247	0.186004
Superscaffold1	41592546	41965479	0.046915	0.017923	0.010131	0.042282
Superscaffold1	41965581	42452505	-0.136495	-0.049747	-0.029993	-0.096945
Superscaffold1	42452536	42830599	0.297955	0.137051	0.078827	0.235036
Superscaffold1	42830619	43393749	0.240717	0.060702	0.035864	0.198497
Superscaffold1	43393757	43835696	0.131801	0.036306	0.019381	0.106653
Superscaffold1	43835781	44037494	0.236693	0.106785	0.051740	0.167381
Superscaffold1	44037873	44746109	0.411710	0.128640	0.061369	0.317876
Superscaffold1	44746112	45187724	-0.330199	-0.164509	-0.090192	-0.253345
Superscaffold1	45187787	45625488	-0.066757	-0.031199	-0.016166	-0.049381
Superscaffold1	45625509	45972462	-0.621377	-0.264382	-0.129222	-0.530841
Superscaffold1	45972495	47001939	0.007405	0.001221	0.000658	0.009616
Superscaffold1	47002105	47598314	0.686882	0.275933	0.155625	0.603686
Superscaffold1	47598343	48060814	0.701538	0.323218	0.160946	0.668946
Superscaffold1	48061586	48469140	0.531835	0.207820	0.110413	0.459047
Superscaffold1	48469201	48820948	0.584615	0.176131	0.102840	0.528066
Superscaffold1	48820956	49350464	0.244836	0.054561	0.033573	0.198022
Superscaffold1	49350469	49909742	0.228964	0.039394	0.023193	0.170383
Superscaffold1	49909921	50289801	0.562518	0.312933	0.156418	0.525088
Superscaffold1	50290301	50969683	0.212268	0.044956	0.034255	0.143980
Superscaffold1	50969689	51474439	0.145726	0.062715	0.041193	0.084508
Superscaffold2	423904	884260	0.104743	0.032754	0.021446	0.077326
Superscaffold2	884454	1347252	0.129800	0.048260	0.032650	0.100123
Superscaffold2	1349569	1897816	0.046713	0.013993	0.009121	0.033501
Superscaffold2	1897885	2416314	0.239135	0.071588	0.046207	0.194898
Superscaffold2	2416324	3385923	0.206969	0.070492	0.046456	0.133648
Superscaffold2	3387095	3691203	-0.199547	-0.113682	-0.062409	-0.144072
Superscaffold2	3691504	4241817	0.107522	0.037658	0.021907	0.088608
Superscaffold2	4241856	4752965	0.033235	0.011116	0.006361	0.026793
Superscaffold2	4753060	5257267	-0.149114	-0.057593	-0.037268	-0.094192
Superscaffold2	5257457	5735597	0.051154	0.018322	0.011018	0.039877
Superscaffold2	5735611	6313276	0.265129	0.116419	0.064251	0.190604
Superscaffold2	6314058	6903599	0.226104	0.073075	0.043627	0.178046
Superscaffold2	6905167	7402062	0.722558	0.338290	0.204698	0.594483
Superscaffold2	7402064	7835211	0.298509	0.107077	0.064183	0.210353
Superscaffold2	7836096	8375021	0.123688	0.038977	0.024359	0.086016
Superscaffold2	8375286	9158019	0.028544	0.007128	0.004730	0.019587
Superscaffold2	9158125	9744061	0.317954	0.128560	0.077381	0.242667
Superscaffold2	9744175	10183133	0.122798	0.042605	0.026637	0.084119
Superscaffold2	10183429	10613837	0.197989	0.094905	0.053447	0.115218
Superscaffold2	10614251	11104996	0.010277	0.003497	0.002068	0.012995
Superscaffold2	11105007	11660934	0.100057	0.031585	0.019139	0.072874
Superscaffold2	11661142	12779115	0.196187	0.069398	0.038694	0.137943
Superscaffold2	12779317	13286648	0.088782	0.032868	0.019246	0.062651
Superscaffold2	13286668	13763190	0.316278	0.125111	0.063921	0.244570
Superscaffold2	13763213	14250291	0.139205	0.044012	0.025826	0.101418
Superscaffold2	14250392	14894999	-0.015543	-0.003877	-0.002330	-0.009378
Superscaffold2	14895003	15383386	0.047894	0.019145	0.010402	0.033484
Superscaffold2	15383502	16562234	0.039849	0.013843	0.008596	0.031698
Superscaffold2	16562272	17001908	-0.115941	-0.048017	-0.028361	-0.072946
Superscaffold2	17002186	17647056	0.424651	0.140453	0.088523	0.344454
Superscaffold2	17647074	18133706	0.199029	0.067354	0.036800	0.136454
Superscaffold2	18133709	18479638	0.447448	0.216905	0.114389	0.375565
Superscaffold2	18479679	19016723	0.511593	0.177557	0.093704	0.393440
Superscaffold2	19016755	19507911	0.132172	0.056103	0.028124	0.089680
Superscaffold2	19507929	20037763	0.075263	0.032036	0.015989	0.054923
Superscaffold2	20037792	20358818	0.093830	0.033753	0.016996	0.077164
Superscaffold2	20358830	20784848	0.297402	0.157960	0.090749	0.196616
Superscaffold2	20784969	21231357	0.009036	0.003998	0.002380	0.008453
Superscaffold2	21231359	21676991	0.626544	0.261216	0.150871	0.566095
Superscaffold2	21677040	22058654	0.742249	0.343673	0.218470	0.679257
Superscaffold2	22058697	22529240	0.280318	0.126225	0.073709	0.222771
Superscaffold2	22529249	22908305	-0.110749	-0.053069	-0.030830	-0.066061
Superscaffold2	22908369	23388162	0.442882	0.147063	0.086596	0.375459
Superscaffold2	23388192	23835953	0.115905	0.035846	0.021736	0.094253
Superscaffold2	23836099	24232951	0.381329	0.151808	0.082829	0.300291
Superscaffold2	24233196	24444069	-0.012620	-0.006561	-0.003736	-0.006226
Superscaffold2	24444378	24824964	0.374544	0.136103	0.076552	0.306495
Superscaffold2	24825081	25333300	0.485030	0.217356	0.118514	0.365998
Superscaffold2	25333483	25657831	0.094096	0.046351	0.026144	0.072927
Superscaffold2	25658856	26065010	0.382377	0.143001	0.082423	0.279021
Superscaffold2	26065028	26382870	0.636747	0.351663	0.212756	0.596939
Superscaffold2	26382902	26817685	0.256165	0.078290	0.052819	0.215810
Superscaffold2	26817829	27216211	0.362440	0.142485	0.083837	0.272661
Superscaffold2	27216521	27569480	0.097916	0.041648	0.025189	0.071226
Superscaffold2	27569542	28564057	-0.231339	-0.068819	-0.046709	-0.178389
Superscaffold2	28564410	29026786	0.077919	0.021986	0.013325	0.046819
Superscaffold2	29026894	29391420	0.098516	0.030173	0.018335	0.070149
Superscaffold2	29391487	29770869	-0.110231	-0.037632	-0.022822	-0.081866
Superscaffold2	29770893	30240051	0.375734	0.142774	0.083307	0.314563
Superscaffold2	30240064	30709614	0.278450	0.122066	0.066726	0.224497
Superscaffold2	30709657	31118363	0.459373	0.181486	0.111651	0.381760
Superscaffold2	31118447	31510589	0.283183	0.097973	0.058290	0.214598
Superscaffold2	31510599	31860295	0.287414	0.121812	0.066673	0.211687
Superscaffold2	31860477	32450589	-0.093926	-0.047873	-0.025821	-0.057029
Superscaffold2	32450641	32852301	-0.050013	-0.018468	-0.010573	-0.034182
Superscaffold2	32852465	33320593	0.186345	0.059181	0.033582	0.128842
Superscaffold2	33320626	33732955	0.206875	0.086624	0.047700	0.162925
Superscaffold2	33732983	34240136	0.092113	0.028871	0.017986	0.068262
Superscaffold2	34240147	34809498	0.156916	0.040492	0.024795	0.128093
Superscaffold2	34809501	35173845	0.723948	0.347368	0.198887	0.628442
Superscaffold2	35174046	35609625	0.127430	0.050806	0.028417	0.108052
Superscaffold2	35609862	36286769	0.166352	0.048346	0.031536	0.115382
Superscaffold2	36293423	36619292	0.498939	0.203470	0.122572	0.418835
Superscaffold2	36619318	36987752	0.006803	0.002701	0.001740	0.004790
Superscaffold2	36987807	37417800	0.341923	0.123933	0.075756	0.265601
Superscaffold2	37417830	37744644	0.174880	0.060694	0.037420	0.119467
Superscaffold2	37744736	38387600	0.388412	0.136996	0.076412	0.312137
Superscaffold2	38387652	38817141	-0.016976	-0.004821	-0.002674	-0.012674
Superscaffold2	38817307	39190592	0.147490	0.052992	0.030458	0.113421
Superscaffold2	39190800	39675780	0.192951	0.051896	0.031192	0.162442
Superscaffold2	39675799	40056724	0.150365	0.060090	0.036056	0.103927
Superscaffold2	40057023	40386324	0.207004	0.061785	0.038237	0.155359
Superscaffold2	40386333	40724794	0.218941	0.045854	0.029653	0.114992
Superscaffold2	40731689	41020988	0.045857	0.022489	0.012704	0.036768
Superscaffold2	41021082	41205352	-0.017948	-0.008026	-0.004666	-0.014524
Superscaffold2	41205361	41661372	0.018151	0.004854	0.003316	0.010712
Superscaffold2	41661406	42140890	0.205203	0.065574	0.037538	0.183375
Superscaffold2	42141062	42465694	0.512533	0.227470	0.122230	0.429486
Superscaffold2	42465759	42882136	-0.176941	-0.047309	-0.031009	-0.140371
Superscaffold2	42882223	43231159	0.225082	0.143146	0.080569	0.168714
Superscaffold2	43232777	43631692	0.130837	0.055917	0.031085	0.113933
Superscaffold2	43631873	44029798	0.728264	0.441882	0.233952	0.638738
Superscaffold2	44029833	44275887	0.094248	0.071773	0.035954	0.069053
Superscaffold2	44275910	44664312	0.803460	0.481659	0.226351	0.738540
Superscaffold2	44664813	45186810	0.863420	0.395231	0.222304	0.831343
Superscaffold2	45186938	45678775	0.797383	0.369291	0.182367	0.752746
Superscaffold2	45679113	46228906	0.817134	0.414479	0.214199	0.753624
Superscaffold2	46229098	46630255	0.748415	0.255969	0.160433	0.699650
Superscaffold2	46630487	47010115	0.757388	0.365669	0.193819	0.715770
Superscaffold2	47010133	47528842	0.396524	0.130674	0.071795	0.337726
Superscaffold2	47528908	48070501	0.489306	0.229049	0.116888	0.404223
Superscaffold2	48070650	48405603	-0.043331	-0.020905	-0.009421	-0.032427
Superscaffold2	48405681	48645244	0.693130	0.514988	0.243154	0.609641
Superscaffold2	48645273	48937427	0.740047	0.532664	0.330701	0.603891
Superscaffold2	48937876	49260634	0.572250	0.265885	0.138518	0.511433
Superscaffold2	49260654	49611085	-0.029617	-0.013999	-0.007497	-0.020097
Superscaffold2	49611441	50029452	0.028423	0.010012	0.004920	0.014681
Superscaffold2	50029547	50412516	0.248206	0.096241	0.060479	0.193289
Superscaffold2	50413191	50773741	-0.047240	-0.019284	-0.010188	-0.034334
