chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	666612	1109586	-0.023067	-0.009486	-0.006164	-0.011705
Superscaffold1	1109857	1500992	0.313921	0.092133	0.065779	0.205756
Superscaffold1	1501036	2034114	0.190514	0.064990	0.039233	0.138261
Superscaffold1	2034122	2390716	0.032473	0.011314	0.006836	0.027337
Superscaffold1	2390774	2704593	-0.071017	-0.031699	-0.021105	-0.047955
Superscaffold1	2704612	3001478	-0.104361	-0.059521	-0.033118	-0.069635
Superscaffold1	3001509	3488442	-0.000962	-0.000315	-0.000208	-0.000466
Superscaffold1	3488446	3977222	0.080535	0.031098	0.019015	0.052868
Superscaffold1	3977319	4489510	0.138151	0.054450	0.035819	0.102412
Superscaffold1	4489531	4981625	0.229549	0.091285	0.060070	0.159811
Superscaffold1	4981719	5601280	0.206023	0.057950	0.040034	0.144760
Superscaffold1	5601288	5951381	0.101801	0.045453	0.030007	0.065997
Superscaffold1	5951470	6420143	0.016527	0.005498	0.003817	0.012895
Superscaffold1	6420323	6933945	0.201957	0.068833	0.046837	0.152450
Superscaffold1	6933952	7331661	-0.005605	-0.002429	-0.001415	-0.000756
Superscaffold1	7331686	7786214	0.141568	0.068831	0.041327	0.081048
Superscaffold1	7786823	8502457	0.234397	0.100297	0.058382	0.127972
Superscaffold1	8502488	9842968	0.029133	0.008788	0.006110	0.029145
Superscaffold1	9842969	10759025	0.113156	0.037125	0.025957	0.078392
Superscaffold1	10759056	11164029	0.176987	0.071288	0.043915	0.123222
Superscaffold1	11164052	11622592	-0.029676	-0.009610	-0.006224	-0.026161
Superscaffold1	11623604	12180703	0.059226	0.017422	0.012332	0.037459
Superscaffold1	12180870	12666544	0.207231	0.086917	0.054080	0.149500
Superscaffold1	12666635	13056804	-0.023668	-0.010688	-0.005781	-0.015161
Superscaffold1	13056807	13722709	0.503725	0.187914	0.105831	0.326040
Superscaffold1	13722716	14377658	0.203066	0.067202	0.040225	0.141752
Superscaffold1	14378217	14856684	0.095662	0.031637	0.020109	0.066303
Superscaffold1	14856710	15166357	0.275464	0.101209	0.067498	0.167324
Superscaffold1	15166454	15506064	0.505815	0.256282	0.160536	0.365015
Superscaffold1	15506164	15852854	0.133775	0.053689	0.032773	0.105856
Superscaffold1	15852878	16218927	0.118428	0.045112	0.027548	0.084032
Superscaffold1	16218937	16701858	0.163940	0.055581	0.036523	0.127934
Superscaffold1	16701965	17104272	-0.173696	-0.077660	-0.047229	-0.102702
Superscaffold1	17105171	17737906	0.166281	0.052303	0.033384	0.131799
Superscaffold1	17737933	18449505	0.038921	0.014248	0.008094	0.030532
Superscaffold1	18450325	19019602	0.065404	0.022305	0.014991	0.052931
Superscaffold1	19020422	19552956	-0.189179	-0.066057	-0.046614	-0.154214
Superscaffold1	19553141	19976512	0.404496	0.118549	0.085510	0.310473
Superscaffold1	19976778	20554947	0.133299	0.033905	0.023709	0.098591
Superscaffold1	20554965	21263107	0.282734	0.095280	0.058746	0.219676
Superscaffold1	21263112	21774438	0.025601	0.009246	0.005593	0.017945
Superscaffold1	21774493	22338416	0.204098	0.056574	0.039265	0.163421
