chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	185527	286432	-0.182451	-0.391310	-0.132459	-0.086134
Chr01	232649	385823	-0.209022	-0.272941	-0.120243	-0.095322
Chr01	286449	477048	-0.149383	-0.203107	-0.070360	-0.057218
Chr01	385868	561379	-0.023131	-0.031059	-0.009386	-0.004659
Chr01	477050	661084	-0.194083	-0.228801	-0.086638	-0.075077
Chr01	561402	869846	-0.270659	-0.284938	-0.103915	-0.094266
Chr01	661130	995121	0.018450	0.016388	0.006069	0.007643
Chr01	869883	1152494	0.001621	0.001124	0.000511	-0.000949
Chr01	995252	1315662	-0.132863	-0.075276	-0.041462	-0.048943
Chr01	1152572	1462589	-0.240905	-0.160246	-0.088111	-0.094123
Chr01	1315665	1559688	-0.201955	-0.150315	-0.077339	-0.084486
Chr01	1462699	1680153	0.014375	0.007556	0.004527	0.008608
Chr01	1559701	1854738	0.148580	0.052535	0.036385	0.059868
Chr01	1680463	2046447	0.184797	0.065814	0.042407	0.081274
Chr01	1854817	2157860	0.247642	0.128101	0.070226	0.104370
Chr01	2046676	2235546	0.246446	0.177226	0.098339	0.124205
Chr01	2158062	2313964	0.144304	0.118324	0.063735	0.079544
Chr01	2235664	2447586	0.144183	0.130715	0.068283	0.083387
Chr01	2313971	2536972	0.156420	0.132044	0.071485	0.093624
Chr01	2447796	2646743	0.027310	0.025964	0.013360	0.012676
Chr01	2536982	2711072	-0.140023	-0.123277	-0.068655	-0.069172
Chr01	2646758	2763910	-0.161615	-0.127672	-0.078521	-0.082894
Chr01	2711081	2842181	0.142049	0.117068	0.067821	0.074826
Chr01	2763926	2923405	0.184686	0.185778	0.088733	0.087073
Chr01	2842294	2983513	-0.105194	-0.140985	-0.060293	-0.042413
Chr01	2923430	3082674	-0.040750	-0.048304	-0.020417	-0.014528
Chr01	2983947	3176418	-0.029306	-0.029965	-0.013378	-0.008930
Chr01	3082680	3339436	-0.028983	-0.019777	-0.009688	-0.010570
Chr01	3176423	3485023	0.083200	0.047375	0.023638	0.031745
Chr01	3339646	3613240	-0.339045	-0.213457	-0.120509	-0.181806
Chr01	3485106	3782113	-0.358832	-0.221910	-0.134272	-0.198909
Chr01	3613304	3930324	0.020713	0.011801	0.007134	0.006243
Chr01	3782124	4039815	0.042760	0.025022	0.015125	0.018475
Chr01	3930330	4145357	0.062556	0.046857	0.023176	0.039618
Chr01	4043194	4268158	0.128855	0.088366	0.038785	0.056156
Chr01	4145388	4355519	0.148049	0.106658	0.053580	0.054828
Chr01	4268192	4433163	0.081875	0.079986	0.045685	0.032439
Chr01	4355524	4491068	-0.014638	-0.015388	-0.008454	-0.010937
Chr01	4433227	4588557	-0.037822	-0.045484	-0.021539	-0.019524
Chr01	4491069	4678257	0.004546	0.005132	0.002189	0.003827
Chr01	4588620	4826964	-0.005379	-0.003616	-0.001941	0.001340
Chr01	4678343	4945394	0.054642	0.035675	0.017832	0.028852
Chr01	4826973	5084001	0.133234	0.129593	0.054037	0.065996
Chr01	4945411	5201120	0.204796	0.169478	0.089206	0.102292
Chr01	5084019	5503846	0.171090	0.113362	0.064822	0.086494
Chr01	5201225	5623288	-0.004977	-0.003479	-0.001986	-0.002569
Chr01	5504013	5779761	0.117580	0.082989	0.042634	0.045854
Chr01	5623292	5898283	0.227301	0.159982	0.068849	0.100331
Chr01	5779832	5996174	0.137607	0.109335	0.047784	0.060924
Chr01	5898539	6110532	-0.036163	-0.025918	-0.013019	-0.014391
Chr01	5996196	6219206	-0.135107	-0.117851	-0.046460	-0.046963
Chr01	6110665	6319493	0.107177	0.144589	0.031185	0.035556
Chr01	6219207	6648534	0.336563	0.206993	0.069094	0.119077
Chr01	6319500	6876185	0.221681	0.127950	0.052534	0.129301
Chr01	6648704	6976586	0.273123	0.183643	0.079862	0.169561
Chr01	6876247	7126598	0.308148	0.221589	0.091018	0.190356
Chr01	6976619	7311374	0.002842	0.002617	0.000878	-0.002028
Chr01	7126604	7420414	-0.046427	-0.038061	-0.014204	-0.023603
Chr01	7311398	7527307	0.308125	0.249971	0.082587	0.159142
Chr01	7420625	7661301	0.273197	0.211967	0.068468	0.100316
Chr01	7527314	7832049	0.181851	0.095967	0.043647	0.068348
Chr01	7661746	7951159	0.226415	0.128473	0.063508	0.121228
Chr01	7832051	8077321	0.050416	0.034065	0.018246	0.022589
Chr01	7951225	8252820	-0.115031	-0.066221	-0.040167	-0.056770
Chr01	8077341	8491910	-0.115079	-0.056475	-0.032836	-0.053255
Chr01	8252827	8656111	-0.028436	-0.014189	-0.007420	-0.008052
Chr01	8492062	8824481	0.010505	0.005944	0.003376	0.008915
Chr01	8656137	9194019	-0.093175	-0.069275	-0.036227	-0.045132
Chr01	8824603	9349843	-0.005102	-0.003851	-0.002037	-0.007822
Chr01	9194091	9513296	0.167367	0.083424	0.051083	0.063610
Chr01	9349884	9615547	0.060665	0.038645	0.023467	0.021839
Chr01	9513307	9793333	0.080085	0.077567	0.046229	0.036950
Chr01	9615554	9873551	0.079985	0.068247	0.039892	0.046293
Chr01	9793405	9965780	0.082566	0.078562	0.045159	0.040691
Chr01	9873555	10041828	0.007318	0.007117	0.003925	0.003464
Chr01	9966526	10149065	-0.014387	-0.010957	-0.006187	-0.005441
Chr01	10041878	10293806	0.140948	0.093859	0.055205	0.074984
Chr01	10149123	10391646	0.151434	0.102772	0.062667	0.064535
Chr01	10293841	10514312	0.086799	0.051433	0.029436	0.036439
Chr01	10391702	10987075	0.092443	0.053980	0.029454	0.038855
Chr01	10514384	11102600	0.106193	0.071603	0.034532	0.032397
Chr01	10987081	11253487	0.127121	0.075024	0.037743	0.036042
Chr01	11102641	11371126	0.045462	0.025856	0.015072	0.016979
Chr01	11253553	11475792	0.052897	0.046647	0.022450	0.021627
Chr01	11371263	11571904	0.178500	0.175992	0.075620	0.089605
Chr01	11475961	11732708	0.125411	0.086073	0.044624	0.061458
Chr01	11571907	11868184	0.028192	0.018036	0.010202	0.015409
Chr01	11732869	12070845	0.108197	0.090949	0.049424	0.071169
Chr01	11870381	12158841	0.067689	0.059079	0.032737	0.047867
Chr01	12070846	12394756	0.066719	0.027668	0.017687	0.028977
Chr01	12158965	12656737	0.099802	0.026222	0.017528	0.037785
Chr01	12394847	12864320	-0.200177	-0.081171	-0.040332	-0.080836
Chr01	12656764	13261826	-0.128817	-0.062464	-0.025030	-0.054083
Chr01	12864523	13538695	0.210203	0.091250	0.038228	0.077183
Chr01	13261880	13765900	0.153219	0.058429	0.028189	0.047849
Chr01	13538722	13907104	0.038015	0.014258	0.007967	0.012990
Chr01	13765948	14048027	-0.074111	-0.042379	-0.023024	-0.032545
Chr01	13907134	14155973	-0.023737	-0.014866	-0.009052	-0.011730
Chr01	14048062	14316359	-0.211260	-0.130724	-0.068280	-0.100506
Chr01	14156064	14451360	-0.566902	-0.349310	-0.165340	-0.337993
Chr01	14316615	14639792	-0.535974	-0.244370	-0.138420	-0.294287
Chr01	14451427	14760948	-0.309521	-0.139333	-0.072869	-0.135832
Chr01	14639966	14897074	0.059059	0.030986	0.016146	0.029526
Chr01	14761525	15002941	0.245970	0.120654	0.070315	0.102797
Chr01	14897250	15117653	0.109759	0.065953	0.032332	0.046407
Chr01	15003153	15232004	0.156711	0.072587	0.044383	0.074865
Chr01	15117659	15419109	0.260165	0.096937	0.062540	0.117585
Chr01	15232446	15564745	0.302071	0.128438	0.075411	0.152903
Chr01	15419158	15681881	0.168918	0.100190	0.054321	0.085835
Chr01	15564919	16063575	0.034371	0.020551	0.012537	0.016310
Chr01	15681894	16244887	0.032238	0.019136	0.012117	0.016747
Chr01	16063603	16376039	-0.065186	-0.044804	-0.024756	-0.023814
Chr01	16244905	16474398	-0.164042	-0.124869	-0.070176	-0.057728
Chr01	16376136	16637347	-0.033969	-0.021837	-0.012551	-0.012778
Chr01	16474416	16877619	0.095294	0.042875	0.025655	0.045506
Chr01	16637406	17028682	0.164503	0.087890	0.048785	0.087258
Chr01	16877898	17271785	0.115519	0.048592	0.029205	0.058922
Chr01	17028712	17452838	0.068289	0.024873	0.014892	0.039489
Chr01	17271789	17506552	0.174707	0.110091	0.053200	0.065039
Chr01	17452875	17573096	-0.012442	-0.012002	-0.005367	-0.001317
Chr01	17506579	17780226	0.018764	0.014408	0.007226	0.008117
Chr01	17573110	17956310	0.187250	0.123965	0.064465	0.083934
Chr01	17780432	18154539	0.149967	0.097504	0.047562	0.058868
Chr01	17956479	18274058	0.017948	0.011595	0.006148	0.004909
Chr01	18154570	18424738	0.018020	0.013236	0.006390	0.010363
Chr01	18274353	18569709	0.106851	0.073277	0.033162	0.056156
Chr01	18424795	18702713	0.153054	0.090559	0.044630	0.081544
Chr01	18569828	18825733	0.328354	0.150965	0.093015	0.192509
Chr01	18703028	18945161	0.270392	0.139790	0.085145	0.143513
Chr01	18825872	19058211	0.171091	0.104475	0.056450	0.076398
Chr01	18945165	19250386	0.254380	0.120101	0.068297	0.120043
Chr01	19058264	19330380	0.135784	0.081528	0.042597	0.067581
Chr01	19250496	19645979	-0.015596	-0.004446	-0.002587	-0.006603
Chr01	19330381	19826558	-0.016545	-0.004140	-0.002444	-0.008233
Chr01	19646300	19946114	-0.016175	-0.006132	-0.003846	-0.007437
Chr01	19826649	20125827	0.059234	0.021507	0.013805	0.028868
Chr01	19946305	20304694	0.240817	0.098136	0.059462	0.100459
Chr01	20125857	20421522	0.198280	0.111129	0.066408	0.081183
Chr01	20304803	20573032	-0.007231	-0.004198	-0.002508	-0.005113
Chr01	20421719	20673138	-0.018116	-0.010606	-0.006440	-0.007247
Chr01	20573224	20851481	0.037707	0.018425	0.010559	0.014640
Chr01	20673141	20981969	-0.116585	-0.066441	-0.030884	-0.049424
Chr01	20851508	21242998	-0.146125	-0.071500	-0.031594	-0.052452
Chr01	20982077	21620401	0.044308	0.010959	0.005792	0.016739
Chr01	21243000	21810513	-0.124578	-0.025558	-0.014694	-0.059313
Chr01	21620521	22089444	-0.198987	-0.045602	-0.028810	-0.108334
Chr01	21810629	22238122	-0.013004	-0.004266	-0.002674	-0.008915
Chr01	22089462	22497235	0.130874	0.056888	0.033214	0.060630
Chr01	22238388	22839327	0.355538	0.138758	0.080450	0.174400
Chr01	22497656	23070882	0.335824	0.106605	0.064253	0.148748
Chr01	22839330	23207055	0.024896	0.009269	0.005512	0.009553
Chr01	23070946	23438500	0.051023	0.022444	0.013758	0.018920
Chr01	23207060	23679485	0.234739	0.084750	0.056279	0.111238
Chr01	23438631	23846415	0.180601	0.078054	0.048619	0.089282
Chr01	23679499	23917019	0.123042	0.077336	0.042419	0.048704
Chr01	23846504	24068848	0.178854	0.159640	0.067699	0.075331
Chr01	23917034	24191689	0.105653	0.109493	0.037772	0.045160
Chr01	24068872	24328631	0.106346	0.141401	0.043407	0.041856
Chr01	24191723	24499386	0.149882	0.084455	0.046238	0.059802
Chr01	24328632	24641439	0.235163	0.102123	0.064371	0.093267
Chr01	24499394	24887809	0.012042	0.006311	0.003337	0.002100
Chr01	24641819	25057775	-0.035714	-0.013810	-0.006720	-0.015265
Chr01	24888249	25231616	0.216653	0.082980	0.040599	0.077144
Chr01	25057777	25414640	0.085769	0.049383	0.022598	0.035470
Chr01	25231662	25620479	-0.139483	-0.085973	-0.031750	-0.085172
Chr01	25415388	25787905	0.035957	0.016042	0.007046	0.035897
Chr01	25620488	25876563	0.397596	0.127800	0.080027	0.239693
Chr01	25787921	26064389	0.265466	0.115049	0.079051	0.147726
Chr01	25876580	26146088	0.392981	0.250238	0.167318	0.228896
Chr01	26064404	26302844	0.626524	0.423271	0.325258	0.337125
Chr01	26146106	26433735	0.285587	0.192367	0.112310	0.133493
Chr01	26302857	26600075	0.052956	0.025685	0.015275	0.023793
Chr01	26433913	26709621	0.021318	0.009994	0.005988	0.010413
Chr01	26600185	26785306	-0.132215	-0.104980	-0.051675	-0.048585
Chr01	26709700	26852685	-0.101570	-0.093410	-0.049494	-0.035640
Chr01	26785368	26956583	0.123660	0.132945	0.052718	0.045689
Chr01	26852711	27095908	0.092788	0.093808	0.034479	0.044165
Chr01	26956605	27199454	-0.111356	-0.083127	-0.041740	-0.049452
Chr01	27096705	27303494	-0.076025	-0.051883	-0.029187	-0.033898
Chr01	27199692	27558993	0.231077	0.186160	0.106085	0.122001
Chr01	27303505	27726941	0.381342	0.319757	0.195073	0.225629
Chr01	27559261	27852919	0.287133	0.126336	0.076856	0.129304
Chr01	27726946	27968859	0.175316	0.076432	0.040880	0.073060
Chr01	27852925	28131461	0.103102	0.072884	0.034950	0.044302
Chr01	27968915	28279643	0.177079	0.087316	0.049073	0.077249
Chr01	28131541	28412020	0.236346	0.114698	0.066557	0.128595
Chr01	28279675	28602380	0.148915	0.072862	0.038951	0.051892
Chr01	28412314	28737498	0.009450	0.004865	0.002537	0.003106
Chr01	28602525	28927284	-0.001580	-0.001326	-0.000613	-0.002676
Chr01	28737500	29056846	0.109089	0.110239	0.044233	0.040430
Chr01	28927305	29172866	-0.015839	-0.011074	-0.005266	-0.005287
Chr01	29056940	29302542	0.019293	0.012258	0.005956	0.007084
Chr01	29173558	29381649	0.083047	0.060914	0.024905	0.021584
Chr01	29302787	29548851	-0.063108	-0.072875	-0.018114	-0.014329
Chr01	29381656	29705618	0.080438	0.054818	0.020224	0.032770
Chr01	29548863	29798845	0.056295	0.029750	0.013758	0.019073
Chr01	29705649	29939787	0.141705	0.058683	0.035461	0.045456
Chr01	29798906	30122765	0.213188	0.084063	0.042546	0.076125
Chr01	29939797	30236996	0.165183	0.087451	0.035401	0.062884
Chr01	30122916	30358102	0.355004	0.206904	0.111503	0.187100
Chr01	30237002	30486978	0.314200	0.170782	0.109619	0.158543
Chr01	30358103	30681630	0.010097	0.004877	0.003022	0.002664
Chr01	30487220	30835499	-0.133306	-0.065386	-0.040692	-0.070558
Chr01	30681730	31043897	0.005760	0.002746	0.001751	0.002319
Chr01	30835555	31198874	0.153756	0.074719	0.043420	0.069761
Chr01	31044035	31289015	0.217106	0.151673	0.072528	0.100073
Chr01	31198886	31378426	0.344667	0.288446	0.114610	0.178591
Chr01	31289069	31488001	0.206267	0.168777	0.074321	0.114114
Chr01	31378453	31580467	0.047775	0.039654	0.022813	0.023175
Chr01	31488076	31658261	-0.007300	-0.006847	-0.003620	-0.001229
Chr01	31580723	31740007	0.036371	0.041375	0.020694	0.017407
Chr01	31658274	31829746	0.229875	0.199092	0.090206	0.119907
Chr01	31740055	31908973	0.155008	0.106636	0.047165	0.069950
Chr01	31829772	32035809	0.044863	0.022528	0.012972	0.020578
Chr01	31908984	32192096	0.121592	0.065130	0.035163	0.060049
Chr01	32035842	32494123	0.153778	0.079665	0.040491	0.059672
Chr01	32192130	32801943	0.011855	0.004021	0.002135	0.002185
Chr01	32494184	32949761	-0.110100	-0.046609	-0.024116	-0.052216
Chr01	32801955	33087277	0.092634	0.052879	0.025333	0.044618
Chr01	32949769	33224868	0.170259	0.101880	0.041889	0.066648
Chr01	33087674	33315347	0.161489	0.101991	0.043396	0.080414
Chr01	33224869	33430879	0.157504	0.105590	0.047574	0.075969
Chr01	33315362	33616641	-0.114300	-0.061437	-0.028562	-0.069251
Chr01	33430906	33770839	0.010100	0.005019	0.002108	0.002231
Chr01	33616711	33917960	0.144141	0.088838	0.032334	0.047071
Chr01	33770931	34086429	0.027265	0.016816	0.006464	0.012549
Chr01	33919172	34299676	0.179345	0.083619	0.036136	0.070581
Chr01	34086773	34416428	0.456982	0.222357	0.106211	0.231953
Chr01	34300008	34551884	0.349967	0.190669	0.095282	0.199616
Chr01	34416718	34693993	0.118695	0.052575	0.030251	0.069239
Chr01	34552312	34827698	0.173702	0.073107	0.039266	0.066581
Chr01	34694015	34881959	0.061219	0.042325	0.015447	0.012905
Chr01	34828374	35058373	0.220423	0.157697	0.060564	0.057730
Chr01	34882119	35144251	0.304028	0.253070	0.112940	0.158374
Chr01	35058388	35263560	0.175455	0.181294	0.086966	0.094121
Chr01	35144849	35407818	0.192773	0.130753	0.055180	0.065877
Chr01	35263568	35510380	-0.008823	-0.006093	-0.002166	0.000500
Chr01	35407885	35610897	-0.380413	-0.262867	-0.110852	-0.138021
Chr01	35510382	35694554	-0.237300	-0.156232	-0.081300	-0.107233
Chr01	35610899	35787679	-0.012710	-0.009847	-0.005573	-0.005788
Chr01	35694583	35838028	0.136549	0.112056	0.071139	0.069820
Chr01	35787680	35889594	0.005076	0.006034	0.003547	0.004347
Chr01	35838029	35947955	-0.108653	-0.215358	-0.081521	-0.041454
Chr01	35889730	36084765	0.202855	0.181960	0.066731	0.084713
Chr01	35947995	36214789	0.361389	0.219973	0.088668	0.159796
Chr01	36084840	36290403	0.370131	0.250668	0.106143	0.128604
Chr01	36214802	36380801	0.267388	0.176062	0.078922	0.093538
Chr01	36290411	36442356	0.116649	0.101715	0.043261	0.051301
Chr01	36380820	36620882	0.250046	0.185219	0.087904	0.122912
Chr01	36448083	36712163	0.134933	0.087775	0.046289	0.078067
Chr01	36621587	36810337	0.017924	0.012758	0.006037	0.011659
Chr01	36712178	36971134	-0.020366	-0.009586	-0.004146	-0.007062
Chr01	36810353	37111172	-0.095639	-0.035097	-0.015775	-0.027011
Chr01	36971190	37231366	0.067645	0.020013	0.010823	0.017825
Chr01	37111245	37422827	0.115541	0.026538	0.014509	0.032403
Chr01	37231659	37589141	0.143770	0.035274	0.014906	0.022946
Chr01	37423101	37713917	0.197496	0.105126	0.035309	0.042715
Chr01	37589260	37840276	0.090915	0.068363	0.026857	0.033922
Chr01	37714016	37986906	0.010338	0.006661	0.002780	0.003765
Chr01	37840277	38171502	0.131829	0.058362	0.026231	0.034429
Chr01	37986993	38315380	0.099165	0.039806	0.022194	0.030333
Chr01	38171660	38491789	0.137779	0.063924	0.037007	0.055825
Chr01	38315809	38793139	0.462678	0.143289	0.072234	0.254454
Chr01	38491792	39157582	0.409553	0.105115	0.055353	0.213918
Chr01	38793142	39227793	0.093827	0.038364	0.023085	0.045573
Chr01	39157623	39541431	-0.135030	-0.029215	-0.018802	-0.088787
Chr01	39227962	40020851	0.048517	0.008485	0.004633	0.029783
Chr01	39541592	40801915	0.222939	0.034392	0.018443	0.127521
Chr01	40021408	41464975	0.109512	0.011813	0.007370	0.048890
Chr01	40802072	41634194	0.474809	0.081856	0.051225	0.166749
Chr01	41464976	42261126	0.285273	0.051300	0.033983	0.098678
Chr01	41634645	43827838	-0.076534	-0.008732	-0.005848	-0.021059
Chr01	42261162	45792049	0.031857	0.003104	0.002149	0.004463
Chr01	43827922	46647438	0.047811	0.005221	0.003464	0.007898
Chr01	45792065	47405249	0.011452	0.001517	0.000886	0.005179
Chr01	46647701	47738927	0.114955	0.017670	0.010264	0.042335
Chr01	47405547	48162303	0.176919	0.037528	0.021408	0.067417
Chr01	47739033	48653451	0.016095	0.004296	0.002701	0.004292
Chr01	48162310	49026781	-0.128550	-0.031518	-0.021065	-0.039017
Chr01	48653468	49172997	-0.109984	-0.024791	-0.016166	-0.017040
Chr01	49026943	49256520	-0.176520	-0.030629	-0.024732	-0.012803
Chr01	49173002	49408088	-0.497641	-0.162410	-0.099871	-0.095289
Chr01	49256537	49492498	-0.544631	-0.291194	-0.136577	-0.271110
Chr01	49408192	49601236	-0.170849	-0.116034	-0.053367	-0.070658
Chr01	49492653	49885843	0.137317	0.073074	0.034309	0.058167
Chr01	49601250	49983886	-0.000537	-0.000306	-0.000125	0.000178
Chr01	49886200	50067787	0.038676	0.034759	0.015068	0.012869
Chr01	49983894	50161033	0.121886	0.131195	0.055165	0.052351
Chr01	50067809	50261505	0.152870	0.206516	0.077947	0.060167
Chr01	50161145	50380554	0.109359	0.131330	0.053203	0.053932
Chr01	50261742	50495105	0.164080	0.163028	0.080995	0.101514
Chr01	50380651	50589316	0.414676	0.355140	0.240823	0.255865
Chr01	50495117	50663638	0.524618	0.463168	0.315965	0.332800
Chr01	50589366	50790908	0.259010	0.281565	0.127159	0.150779
Chr01	50663640	51035539	0.036453	0.032743	0.012443	0.018794
Chr01	50791066	51113499	0.421890	0.254496	0.150462	0.264735
Chr01	51035555	51463866	0.632230	0.307108	0.238532	0.441834
Chr01	51113734	51904245	0.430636	0.191587	0.146141	0.209191
Chr01	51463971	52352112	0.186407	0.097587	0.060812	0.054183
Chr02	13323	481898	0.234637	0.155537	0.063726	0.059121
Chr02	269081	623437	0.245479	0.176526	0.075689	0.103289
Chr02	481952	724374	0.200362	0.124622	0.058772	0.113116
Chr02	623478	843833	0.242040	0.135470	0.060001	0.115993
Chr02	724546	961745	0.370325	0.235202	0.086440	0.206214
Chr02	844273	1162605	0.433229	0.244642	0.093674	0.255635
Chr02	961752	1304875	0.445544	0.242435	0.094410	0.233710
Chr02	1162628	1395872	0.347533	0.317234	0.102693	0.194054
Chr02	1304892	1495541	0.270699	0.312754	0.100910	0.162611
Chr02	1395948	1687522	0.372464	0.255943	0.103814	0.235128
Chr02	1495724	1898228	0.317619	0.157155	0.065305	0.145911
Chr02	1689323	2120466	-0.017154	-0.007858	-0.003248	-0.006928
Chr02	1898943	2254499	0.127066	0.069793	0.032884	0.059144
Chr02	2120559	2369285	0.255025	0.124417	0.071292	0.096137
Chr02	2254536	2512858	0.174246	0.078520	0.045777	0.060841
Chr02	2369771	2634886	0.110536	0.073743	0.039544	0.049819
Chr02	2513315	2774836	0.217515	0.156390	0.091253	0.119224
Chr02	2635522	2917428	0.288607	0.212018	0.109502	0.155919
Chr02	2774837	3050558	0.359608	0.245543	0.125852	0.176927
Chr02	2917499	3190543	0.332129	0.251390	0.140246	0.176429
Chr02	3050561	3389548	0.302366	0.227538	0.134873	0.168870
Chr02	3190560	3530145	0.272010	0.156871	0.097393	0.125739
Chr02	3389587	3726332	0.054966	0.024167	0.013665	0.020565
Chr02	3530148	4010658	0.096752	0.035848	0.020092	0.044321
Chr02	3726443	4155583	0.157385	0.063492	0.037716	0.081247
Chr02	4010685	4453394	0.129372	0.051079	0.030528	0.053669
Chr02	4155884	4581844	0.184571	0.071956	0.038345	0.081281
Chr02	4453397	4740725	0.335440	0.191881	0.092114	0.200371
Chr02	4581920	4829390	0.574916	0.477878	0.240602	0.421208
Chr02	4740997	4983687	0.508331	0.448829	0.244883	0.328358
Chr02	4829460	5134393	0.096655	0.075280	0.039556	0.046550
