chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	618560	911731	-0.054161	-0.035329	-0.020633	-0.027364
Superscaffold1	911780	1374226	0.142061	0.056309	0.037839	0.088884
Superscaffold1	1374456	1799583	0.245970	0.089855	0.061444	0.157050
Superscaffold1	1799599	2156115	0.116184	0.046281	0.022466	0.077567
Superscaffold1	2156162	2433177	0.020613	0.011145	0.006947	0.009886
Superscaffold1	2433209	2729025	0.067339	0.035225	0.023302	0.045909
Superscaffold1	2729517	2984004	-0.110696	-0.064542	-0.035599	-0.066157
Superscaffold1	2984199	3428363	0.136255	0.055766	0.035002	0.087477
Superscaffold1	3428402	3866494	0.088037	0.035346	0.020405	0.054458
Superscaffold1	3866829	4316483	0.066719	0.030049	0.018449	0.052421
Superscaffold1	4316534	4679211	0.123198	0.068870	0.038835	0.085269
Superscaffold1	4679309	5166868	0.290617	0.126903	0.083567	0.187861
Superscaffold1	5167238	5647368	0.108754	0.036148	0.023556	0.072218
Superscaffold1	5647412	5951381	0.168852	0.083435	0.054828	0.103365
Superscaffold1	5951470	6368484	0.152096	0.068468	0.043678	0.105806
Superscaffold1	6368498	6781770	0.054418	0.023137	0.015339	0.042687
Superscaffold1	6781924	7260016	0.331605	0.123460	0.076689	0.237264
Superscaffold1	7260037	7581632	-0.038070	-0.022810	-0.012056	-0.025100
Superscaffold1	7581663	7994298	0.191978	0.102776	0.057234	0.097272
Superscaffold1	7994770	8568239	0.184835	0.106529	0.057618	0.113132
Superscaffold1	8568317	9854821	0.103434	0.036205	0.025033	0.067697
Superscaffold1	9854906	10707998	0.137430	0.054041	0.036206	0.088021
Superscaffold1	10708001	11097939	0.129234	0.057585	0.034217	0.085272
Superscaffold1	11097940	11490533	0.049447	0.019845	0.012519	0.043140
Superscaffold1	11490651	11925963	0.129578	0.045749	0.028793	0.085505
Superscaffold1	11926169	12366728	0.096954	0.036899	0.023571	0.068711
Superscaffold1	12366934	12784201	-0.056295	-0.028197	-0.015933	-0.042057
Superscaffold1	12784938	13086297	0.265186	0.131850	0.072304	0.189758
Superscaffold1	13086489	13660271	0.394063	0.172119	0.085457	0.235945
Superscaffold1	13660312	14244633	0.294510	0.103705	0.057413	0.169297
Superscaffold1	14244685	14757159	0.063409	0.022526	0.013932	0.045478
Superscaffold1	14757180	15049417	0.138474	0.073798	0.042061	0.071945
Superscaffold1	15049428	15323516	0.439374	0.188918	0.126569	0.311382
Superscaffold1	15323522	15604894	0.290473	0.142331	0.087989	0.204962
Superscaffold1	15605009	15930656	0.250237	0.113925	0.064327	0.178583
Superscaffold1	15930657	16208614	0.124267	0.070449	0.037363	0.079283
Superscaffold1	16208631	16629230	0.219282	0.091328	0.054304	0.168572
Superscaffold1	16629271	16949382	-0.044460	-0.025679	-0.014844	-0.021302
Superscaffold1	16949473	17408880	0.214914	0.080897	0.050201	0.162416
Superscaffold1	17408883	18240544	0.077676	0.027444	0.016511	0.051032
Superscaffold1	18240586	18645619	-0.174653	-0.071170	-0.043010	-0.126165
Superscaffold1	18645988	19117362	0.072285	0.029253	0.020037	0.050775
Superscaffold1	19117367	19581539	0.265599	0.128844	0.087833	0.193934
Superscaffold1	19581583	19955770	0.411293	0.140457	0.098208	0.324702
Superscaffold1	19955886	20377952	0.222801	0.073633	0.050348	0.158857
Superscaffold1	20377958	21166877	0.234553	0.076053	0.046226	0.176152
Superscaffold1	21167131	21565074	0.166849	0.061277	0.035376	0.120674
Superscaffold1	21565244	21996274	0.061463	0.026003	0.016969	0.046806
Superscaffold1	21996285	22518872	-0.012979	-0.003904	-0.002589	-0.008531
Superscaffold1	22518941	22979952	-0.666307	-0.322439	-0.186198	-0.563743
Superscaffold1	22980019	23501358	0.340779	0.099813	0.057209	0.275321
Superscaffold1	23501397	23990397	-0.021082	-0.006940	-0.004260	-0.018454
Superscaffold1	23990399	24498569	0.323583	0.082979	0.054487	0.214695
Superscaffold1	24498720	24826892	0.334867	0.156530	0.094970	0.269934
Superscaffold1	24827302	25353823	0.119893	0.036697	0.022819	0.091502
Superscaffold1	25353842	25730061	0.020011	0.008233	0.005217	0.006350
Superscaffold1	25730078	26160112	0.046910	0.017458	0.011305	0.032103
Superscaffold1	26160238	26454509	0.419112	0.212064	0.112121	0.300882
Superscaffold1	26454581	26945498	0.143673	0.053572	0.031933	0.101852
Superscaffold1	26945654	27332983	0.037935	0.009930	0.005639	0.031974
Superscaffold1	27333156	27757908	0.179463	0.062129	0.037969	0.120556
Superscaffold1	27758032	27998226	-0.252777	-0.220127	-0.101018	-0.141319
Superscaffold1	27998235	28375234	0.203090	0.071138	0.046022	0.137762
Superscaffold1	28375631	29020497	0.260089	0.083027	0.054807	0.182868
Superscaffold1	29020746	29434631	-0.029213	-0.008208	-0.005569	-0.024430
Superscaffold1	29434899	29894860	0.102402	0.033797	0.018390	0.076406
Superscaffold1	29895454	30309904	-0.030314	-0.012890	-0.008207	-0.016171
Superscaffold1	30309920	30934062	0.120714	0.043316	0.027600	0.071502
Superscaffold1	30934133	31567020	0.003436	0.000833	0.000550	0.000909
Superscaffold1	31567190	32370494	0.354608	0.111706	0.067005	0.279333
