chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	219815	508184	-0.127738	-0.080866	-0.053940	-0.095260
Chr01	328369	634367	0.285749	0.159277	0.098356	0.198437
Chr01	509025	906445	0.159602	0.093189	0.053087	0.108807
Chr01	634441	1098080	0.069032	0.028004	0.018212	0.047388
Chr01	906509	1294907	0.005872	0.002017	0.001301	0.007884
Chr01	1098409	1501423	-0.165217	-0.063843	-0.040148	-0.142145
Chr01	1294914	1647735	-0.235275	-0.099569	-0.062199	-0.186399
Chr01	1501426	1810985	-0.181211	-0.072317	-0.040878	-0.130243
Chr01	1648166	2010734	-0.130056	-0.049807	-0.025480	-0.094146
Chr01	1811138	2141690	-0.202778	-0.081506	-0.043898	-0.150581
Chr01	2010826	2242090	-0.107531	-0.051254	-0.031618	-0.072989
Chr01	2142431	2381063	-0.066097	-0.049232	-0.027329	-0.040272
Chr01	2242148	2484076	-0.006011	-0.005113	-0.002839	-0.001495
Chr01	2381064	2603234	-0.056889	-0.044983	-0.025647	-0.024616
Chr01	2484094	2681984	-0.112832	-0.087170	-0.050531	-0.060810
Chr01	2603362	2732480	-0.027201	-0.021949	-0.011252	-0.015343
Chr01	2681985	2813738	-0.205984	-0.190120	-0.093895	-0.139008
Chr01	2732484	2934084	-0.284123	-0.244679	-0.131519	-0.176342
Chr01	2813739	3078664	-0.192610	-0.128071	-0.070237	-0.093462
Chr01	2934104	3258636	-0.124963	-0.051827	-0.031065	-0.064209
Chr01	3078902	3425290	-0.164374	-0.066952	-0.040442	-0.107390
Chr01	3258638	3556405	0.057850	0.027762	0.017251	0.043087
Chr01	3425323	3781445	0.220735	0.105715	0.065409	0.173190
Chr01	3556422	3935153	-0.131836	-0.074955	-0.040654	-0.098097
Chr01	3781541	4071365	-0.210740	-0.145023	-0.072721	-0.136845
Chr01	3935710	4254887	-0.052395	-0.026452	-0.015145	-0.037598
Chr01	4071408	4364852	-0.033892	-0.017384	-0.009632	-0.020388
