chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	645260	1042769	-0.119077	-0.047638	-0.031203	-0.066419
Superscaffold1	1042801	1479799	0.174805	0.054580	0.038560	0.112316
Superscaffold1	1479921	2062548	0.071005	0.021231	0.013102	0.052279
Superscaffold1	2063615	2418301	0.061594	0.021105	0.013630	0.041962
Superscaffold1	2418336	2717646	-0.095917	-0.040106	-0.027591	-0.060578
Superscaffold1	2717766	3038913	0.062228	0.026058	0.017156	0.037606
Superscaffold1	3038966	3539684	0.099770	0.029803	0.020423	0.061214
Superscaffold1	3539786	4018708	0.035218	0.012614	0.007769	0.021706
Superscaffold1	4018732	4515694	0.255634	0.106014	0.070682	0.188346
Superscaffold1	4515710	5102094	0.241306	0.077859	0.055150	0.147246
Superscaffold1	5102305	5676585	0.115044	0.029389	0.020667	0.080059
Superscaffold1	5676621	6096386	0.132283	0.057299	0.038344	0.083956
Superscaffold1	6096689	6566449	0.186496	0.064991	0.044700	0.136115
Superscaffold1	6566487	7154737	0.222358	0.072105	0.047746	0.173564
Superscaffold1	7154740	7497589	-0.035168	-0.014943	-0.009476	-0.025531
Superscaffold1	7498147	7982803	0.263321	0.102868	0.065681	0.146749
Superscaffold1	7983033	9090167	0.065596	0.022960	0.015150	0.046211
Superscaffold1	9094103	10458445	0.018282	0.005172	0.003667	0.014918
Superscaffold1	10461120	10906840	0.021587	0.007969	0.005261	0.013051
Superscaffold1	10906867	11363949	0.024076	0.007854	0.005220	0.012110
Superscaffold1	11364185	11809506	-0.074536	-0.026188	-0.016245	-0.052617
Superscaffold1	11809507	12351919	0.202300	0.061249	0.043033	0.151665
Superscaffold1	12352393	12795441	0.156885	0.066200	0.040580	0.108690
Superscaffold1	12795569	13156776	0.220005	0.095227	0.055570	0.172679
Superscaffold1	13156800	13780329	0.485795	0.183713	0.101011	0.291683
Superscaffold1	13780496	14550490	0.037520	0.010500	0.006550	0.030095
Superscaffold1	14550638	14928456	0.142847	0.046099	0.030388	0.087557
Superscaffold1	14928469	15247214	0.509329	0.178744	0.131954	0.360860
Superscaffold1	15247741	15575445	0.366125	0.159529	0.103972	0.267807
Superscaffold1	15575789	15963258	0.193673	0.075779	0.046334	0.141785
Superscaffold1	15963287	16328209	0.151753	0.046341	0.030050	0.114248
Superscaffold1	16328349	16812522	-0.043606	-0.017993	-0.011558	-0.030225
Superscaffold1	16812541	17266424	0.012201	0.004537	0.002875	0.009792
Superscaffold1	17266467	18034721	0.128656	0.039752	0.025869	0.096758
Superscaffold1	18034949	18598807	0.014387	0.005110	0.003063	0.007017
Superscaffold1	18598926	19117070	0.130697	0.043400	0.031948	0.095500
Superscaffold1	19117104	19593964	0.360664	0.159927	0.112926	0.272891
Superscaffold1	19593993	20031666	0.317599	0.089756	0.064237	0.239053
Superscaffold1	20031959	20754983	0.042374	0.010442	0.007257	0.028843
Superscaffold1	20755144	21278004	0.393884	0.164177	0.104628	0.318744
Superscaffold1	21278094	21784210	0.044247	0.016422	0.009824	0.035202
Superscaffold1	21784239	22339627	0.149322	0.043893	0.029927	0.119276
Superscaffold1	22339655	22896121	-0.609938	-0.254605	-0.160595	-0.513770
Superscaffold1	22897790	23479853	0.284522	0.074786	0.045313	0.229609
Superscaffold1	23479952	23996794	0.056017	0.017982	0.011391	0.045495
Superscaffold1	23996797	24648557	0.121246	0.025248	0.018177	0.087574
Superscaffold1	24648597	25037213	0.306546	0.122271	0.080373	0.249028
Superscaffold1	25037227	25557979	-0.034861	-0.009856	-0.006364	-0.029615
Superscaffold1	25558027	26030540	0.324712	0.106366	0.076950	0.244693
Superscaffold1	26030790	26398042	0.158776	0.062256	0.033918	0.110348
Superscaffold1	26398094	26939014	0.181841	0.067326	0.041360	0.132459
Superscaffold1	26939080	27415399	0.225791	0.051683	0.031601	0.128604
Superscaffold1	27428556	27817262	0.064503	0.022557	0.014116	0.038968
Superscaffold1	27817302	28097975	-0.180011	-0.080188	-0.048360	-0.106323
Superscaffold1	28098064	28680268	0.254505	0.072279	0.051004	0.174275
Superscaffold1	28680271	29295611	0.040745	0.011041	0.007164	0.030245
Superscaffold1	29295658	29743864	0.001316	0.000365	0.000243	-0.004064
Superscaffold1	29744261	30271829	0.035879	0.010485	0.006575	0.025018
Superscaffold1	30271836	30932970	0.138939	0.044746	0.029548	0.082370
Superscaffold1	30932974	31583764	0.040350	0.009934	0.006648	0.028343
Superscaffold1	31583845	32468612	0.160178	0.043945	0.029127	0.129302
Superscaffold1	32468751	33028485	0.278921	0.073166	0.049997	0.224827
Superscaffold1	33028561	33539980	0.100594	0.032497	0.021867	0.075383
Superscaffold1	33540058	33864525	0.024607	0.012761	0.008264	0.015710
Superscaffold1	33864669	34211876	0.267961	0.081265	0.055779	0.197653
Superscaffold1	34211879	34535596	0.073822	0.034265	0.020862	0.047644
Superscaffold1	34535708	35109379	-0.112155	-0.026083	-0.017966	-0.087438
Superscaffold1	35109388	35897817	0.377522	0.143733	0.100862	0.264821
Superscaffold1	35897868	36940963	0.057504	0.017512	0.011483	0.040688
Superscaffold1	36940981	37381042	0.161335	0.055509	0.038106	0.135275
Superscaffold1	37381063	37866115	0.267217	0.074550	0.052007	0.193860
Superscaffold1	37866124	38458481	-0.032339	-0.011657	-0.007918	-0.022791
Superscaffold1	38458506	38900955	0.155229	0.039118	0.028710	0.113366
Superscaffold1	38900993	39230840	0.542140	0.191817	0.121420	0.481285
Superscaffold1	39230887	39746070	0.530503	0.192551	0.124599	0.441861
Superscaffold1	39746073	40103668	0.547029	0.216256	0.143691	0.477754
Superscaffold1	40103710	40725302	0.109517	0.023573	0.015879	0.080805
Superscaffold1	40725382	41297981	0.270881	0.074131	0.046641	0.209901
Superscaffold1	41298002	41801215	0.131936	0.034885	0.023219	0.117584
Superscaffold1	41801293	42280286	-0.138604	-0.049789	-0.030217	-0.119581
Superscaffold1	42280417	42765805	0.338870	0.130930	0.081000	0.277608
Superscaffold1	42765867	43355415	0.112088	0.026976	0.016727	0.089136
Superscaffold1	43355483	43873034	0.214070	0.054937	0.031698	0.167534
Superscaffold1	43873051	44380961	0.437403	0.154650	0.078600	0.387330
Superscaffold1	44381020	44778481	-0.144798	-0.068226	-0.031741	-0.105534
Superscaffold1	44778509	45238960	-0.116836	-0.044899	-0.028089	-0.085576
Superscaffold1	45239015	45768062	0.091922	0.028895	0.016561	0.072394
Superscaffold1	45768153	46387286	-0.508331	-0.148258	-0.074360	-0.412062
Superscaffold1	46387967	47370153	0.389944	0.077672	0.041227	0.309000
Superscaffold1	47370287	47908669	0.786730	0.291277	0.156272	0.716434
Superscaffold1	47908947	48382283	0.557497	0.202029	0.120557	0.492442
Superscaffold1	48382298	48770642	0.813107	0.339051	0.190520	0.762757
Superscaffold1	48770675	49370453	0.319641	0.063660	0.040405	0.269936
Superscaffold1	49370806	50046276	0.436763	0.086377	0.050386	0.371891
Superscaffold1	50046348	50526944	0.456420	0.153229	0.098677	0.427632
Superscaffold1	50527135	51042459	0.056550	0.020415	0.014476	0.037046
Superscaffold2	243229	764163	0.031975	0.009354	0.006383	0.022495
Superscaffold2	764164	1264400	0.156965	0.047880	0.034150	0.114960
Superscaffold2	1264408	1864264	0.194486	0.048877	0.034462	0.136135
Superscaffold2	1864617	2451292	0.243813	0.064221	0.042820	0.201296
Superscaffold2	2451488	3473516	-0.142533	-0.040348	-0.027774	-0.100206
Superscaffold2	3473650	3946579	0.109543	0.038931	0.024286	0.088933
Superscaffold2	3946588	4620527	0.036535	0.009631	0.006229	0.032709
Superscaffold2	4620545	5248248	-0.081865	-0.023044	-0.015313	-0.059854
Superscaffold2	5248399	5921730	0.201529	0.058478	0.036569	0.150199
Superscaffold2	5921739	6522029	0.110524	0.028440	0.020169	0.080695
Superscaffold2	6522038	7377895	0.352010	0.085703	0.053829	0.274677
Superscaffold2	7377981	7882228	0.270939	0.074257	0.049719	0.212963
Superscaffold2	7882751	8500852	0.095688	0.021778	0.014967	0.064016
Superscaffold2	8500863	9415000	0.218363	0.054123	0.037919	0.165324
Superscaffold2	9415016	9959030	0.218509	0.071102	0.044649	0.166657
Superscaffold2	9959454	10467669	0.187145	0.055956	0.035954	0.128157
Superscaffold2	10468448	11031554	0.015990	0.004303	0.002771	0.012779
Superscaffold2	11031593	11675876	0.072904	0.018230	0.012228	0.054666
Superscaffold2	11675903	12903073	0.055312	0.015083	0.009514	0.043956
Superscaffold2	12903349	13472517	0.196219	0.059895	0.037427	0.156728
Superscaffold2	13472553	14088266	0.275279	0.085592	0.053432	0.233416
Superscaffold2	14089574	14815577	0.041936	0.008192	0.005590	0.030623
Superscaffold2	14815690	15521766	0.208055	0.061636	0.039268	0.162388
Superscaffold2	15521812	16638002	0.275940	0.079877	0.055700	0.188631
Superscaffold2	16638015	17322286	0.027263	0.006702	0.004744	0.014672
Superscaffold2	17322424	17928731	0.312528	0.077603	0.051137	0.261700
Superscaffold2	17929422	18456990	0.414383	0.131567	0.081510	0.354429
Superscaffold2	18457066	19054997	0.499749	0.151770	0.092069	0.426138
Superscaffold2	19055116	19845225	0.058218	0.014420	0.008768	0.051115
Superscaffold2	19845294	20259128	0.117097	0.038091	0.022855	0.085875
Superscaffold2	20259135	20665169	0.175183	0.064260	0.037083	0.134870
Superscaffold2	20665189	21196865	0.212290	0.075420	0.051096	0.140066
Superscaffold2	21198181	21697151	0.503962	0.186538	0.114481	0.475171
Superscaffold2	21697207	22217631	0.485650	0.163461	0.113169	0.440624
Superscaffold2	22217647	22860555	-0.120457	-0.030558	-0.021018	-0.082781
Superscaffold2	22860577	23508109	0.292767	0.069866	0.045702	0.238444
Superscaffold2	23508127	23984719	0.276549	0.095825	0.057289	0.232129
Superscaffold2	23985032	24364111	0.578126	0.214661	0.138895	0.465809
Superscaffold2	24364221	24904590	0.020201	0.005026	0.003208	0.015989
Superscaffold2	24904689	25477433	0.457226	0.156094	0.096507	0.379701
Superscaffold2	25477447	25857833	-0.170016	-0.077043	-0.045292	-0.126218
Superscaffold2	25857894	26308137	0.593295	0.167231	0.113116	0.515761
Superscaffold2	26308162	26851373	0.128641	0.033773	0.023801	0.111283
Superscaffold2	26851574	27333870	0.178771	0.048347	0.031155	0.131403
Superscaffold2	27333897	27720851	-0.127453	-0.048548	-0.032558	-0.108274
Superscaffold2	27720859	28892712	0.121658	0.027764	0.018369	0.071949
Superscaffold2	28892869	29214034	0.064189	0.017767	0.011227	0.047292
Superscaffold2	29214071	29660543	0.009372	0.002817	0.001898	0.006806
Superscaffold2	29660594	30229516	0.412864	0.138194	0.084460	0.345106
Superscaffold2	30229784	30794251	0.539871	0.191430	0.120856	0.463973
Superscaffold2	30794470	31279929	0.404957	0.123774	0.082398	0.322367
Superscaffold2	31280270	31737792	0.263962	0.076601	0.049192	0.213210
Superscaffold2	31737806	32451332	0.075603	0.025669	0.015513	0.052846
Superscaffold2	32451449	32958284	-0.073573	-0.022600	-0.013548	-0.048153
Superscaffold2	32958324	33569812	0.219121	0.063047	0.040439	0.180902
Superscaffold2	33569841	34214864	0.152049	0.038025	0.024867	0.119589
Superscaffold2	34215192	34837539	0.276014	0.073895	0.045337	0.234097
Superscaffold2	34837570	35204797	0.698898	0.335362	0.192404	0.622139
Superscaffold2	35204805	35663976	0.125358	0.049127	0.027446	0.110092
Superscaffold2	35664073	36418346	0.355855	0.118434	0.074085	0.280606
Superscaffold2	36418367	36807282	0.402837	0.146387	0.095069	0.328340
Superscaffold2	36807372	37234378	0.310926	0.097128	0.068389	0.241499
Superscaffold2	37234379	37652382	0.274021	0.084244	0.053459	0.207568
Superscaffold2	37652430	38291230	0.345108	0.124203	0.072977	0.274787
Superscaffold2	38292131	38860506	0.406948	0.101107	0.064729	0.328677
Superscaffold2	38860569	39314396	0.165247	0.052773	0.029165	0.136706
