chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	62270	71094	0.866538	0.399472	0.328779	0.584520
Chr01	71153	130449	-0.045746	-0.038348	-0.012638	-0.023212
Chr01	130460	149860	-0.414860	-0.310885	-0.135898	-0.286307
Chr01	149897	153990	-0.576972	-0.901962	-0.303477	-0.414611
Chr01	154064	166383	-0.274540	-0.325258	-0.167411	-0.190215
Chr01	166501	183232	-0.241896	-0.235063	-0.145281	-0.132629
Chr01	183261	185795	-0.066017	-0.235568	-0.092884	-0.030970
Chr01	185806	189729	-0.040086	-0.080983	-0.039095	-0.020290
Chr01	189740	200749	-0.057713	-0.096599	-0.052077	-0.029458
Chr01	200803	207581	-0.187732	-0.246383	-0.137127	-0.133595
Chr01	207587	210791	-0.071680	-0.109436	-0.059572	-0.050983
Chr01	210803	216455	-0.202623	-0.213394	-0.136903	-0.123960
Chr01	216563	219113	-0.077607	-0.123517	-0.073474	-0.064802
Chr01	219146	223116	-0.149753	-0.240693	-0.138364	-0.085818
Chr01	223236	229511	0.060166	0.085605	0.056148	0.041099
Chr01	229845	235643	0.048029	0.061004	0.037506	0.023526
Chr01	235657	240303	-0.345162	-0.527815	-0.255141	-0.220708
Chr01	240393	248896	-0.226232	-0.246934	-0.154045	-0.143184
Chr01	248999	253714	-0.159019	-0.216241	-0.130611	-0.107637
Chr01	253745	256642	-0.310748	-0.444306	-0.230646	-0.261089
Chr01	256643	260768	-0.219429	-0.357551	-0.177634	-0.151029
Chr01	260772	263021	-0.569793	-0.810726	-0.382313	-0.357227
Chr01	263038	265045	-0.521204	-0.789233	-0.357295	-0.360397
Chr01	265062	270570	-0.450705	-0.569342	-0.282369	-0.330431
Chr01	270645	275930	-0.418774	-0.631641	-0.288239	-0.310976
Chr01	275970	282081	-0.304566	-0.556079	-0.224882	-0.173101
Chr01	282213	299437	-0.276554	-0.337955	-0.139939	-0.139860
Chr01	301819	311847	0.099943	0.092463	0.059516	0.070321
Chr01	311926	319425	0.169072	0.175635	0.093443	0.071192
Chr01	319447	336182	0.072454	0.052536	0.030049	0.038403
Chr01	336195	350246	-0.034549	-0.041294	-0.020361	-0.011043
Chr01	350282	356292	0.144659	0.203821	0.104769	0.072715
Chr01	356333	383650	0.762519	0.450623	0.313990	0.577077
Chr01	383718	390849	0.285175	0.276774	0.206052	0.161493
Chr01	390877	400482	-0.024009	-0.029687	-0.018851	-0.013653
Chr01	400498	406780	0.090877	0.140495	0.076507	0.051138
Chr01	406811	419442	0.527582	0.187340	0.125638	0.271680
Chr01	419496	429686	0.326444	0.178297	0.122191	0.198285
Chr01	429706	438547	0.473489	0.515394	0.238053	0.295223
Chr01	438999	453893	0.346624	0.115489	0.092022	0.215091
Chr01	453984	476295	-0.108983	-0.048869	-0.031410	-0.081333
Chr01	476296	480798	-0.072637	-0.053301	-0.030196	-0.054250
Chr01	480854	496169	-0.390792	-0.165777	-0.099082	-0.237488
Chr01	496192	508184	-0.386408	-0.163023	-0.102041	-0.261000
Chr01	508785	520580	-0.081117	-0.055800	-0.028000	-0.090180
Chr01	520681	530201	0.366008	0.176714	0.127407	0.334613
Chr01	530307	557539	0.196867	0.094159	0.033711	0.139716
Chr01	557572	574366	0.290595	0.098678	0.069326	0.209157
Chr01	574374	577862	0.497075	0.185526	0.154036	0.412768
Chr01	577863	594773	0.594524	0.252776	0.202882	0.538407
Chr01	595071	610726	0.858418	0.352371	0.310350	0.729832
Chr01	610812	626208	0.381956	0.193189	0.134122	0.237153
Chr01	626294	639801	0.111286	0.059151	0.040250	0.077854
Chr01	639900	654229	0.320491	0.128868	0.080725	0.106181
Chr01	654331	660503	0.124060	0.073023	0.050992	0.074638
Chr01	660521	672884	0.346685	0.146731	0.118556	0.295395
Chr01	672935	700994	-0.048716	-0.037800	-0.016702	-0.021365
Chr01	701176	751488	-0.516604	-0.324227	-0.170272	-0.334465
Chr01	757466	801927	-0.189809	-0.185195	-0.068763	-0.119383
Chr01	801948	834993	-0.001232	-0.000475	-0.000330	0.003938
Chr01	835013	843558	-0.405223	-0.216479	-0.094513	-0.330061
Chr01	843659	853620	-0.480031	-0.303279	-0.097901	-0.407899
Chr01	853634	866070	-0.329742	-0.341282	-0.120681	-0.258362
Chr01	866169	880806	0.057501	0.054232	0.025442	0.026471
Chr01	880842	903600	-0.027652	-0.011065	-0.006650	-0.015009
Chr01	903819	925660	-0.072382	-0.018470	-0.014872	-0.052075
Chr01	925673	932674	-0.322647	-0.191042	-0.126882	-0.215670
Chr01	932676	942074	-0.435549	-0.374093	-0.186227	-0.281566
Chr01	942102	961112	0.178496	0.054803	0.037145	0.161075
Chr01	961136	989312	0.104134	0.036008	0.018470	0.082177
Chr01	989353	1012749	-0.349453	-0.083954	-0.047243	-0.156060
Chr01	1013154	1022400	0.367805	0.069798	0.054602	0.157686
Chr01	1022431	1031341	-0.126895	-0.014134	-0.012161	-0.044054
Chr01	1031344	1048994	-0.064042	-0.015275	-0.008971	-0.026303
Chr01	1049131	1065970	-0.544637	-0.078771	-0.050033	-0.280651
Chr01	1065978	1096593	-0.784708	-0.132565	-0.089445	-0.639812
Chr01	1096606	1114018	-0.566072	-0.192628	-0.099568	-0.482768
Chr01	1114231	1136110	-0.384996	-0.145180	-0.084512	-0.274359
Chr01	1136168	1145783	-0.210006	-0.080465	-0.053552	-0.135826
Chr01	1145846	1153064	-0.138442	-0.042198	-0.031775	-0.105784
Chr01	1153098	1164493	-0.297789	-0.088371	-0.062282	-0.266417
Chr01	1164568	1174236	0.676714	0.237889	0.185830	0.679789
Chr01	1174438	1186296	0.595481	0.236029	0.153417	0.408449
Chr01	1186740	1204339	-0.110367	-0.054298	-0.023212	-0.093356
Chr01	1204866	1215789	-0.140035	-0.061313	-0.021775	-0.105834
Chr01	1215912	1264745	0.326946	0.121246	0.064029	0.317729
Chr01	1264828	1288585	-0.464009	-0.064132	-0.038532	-0.330870
Chr01	1289153	1303475	0.209520	0.043414	0.032967	0.113642
Chr01	1303513	1320262	-0.596115	-0.413766	-0.187739	-0.527134
Chr01	1320422	1350160	0.170692	0.036047	0.026467	0.149761
Chr01	1350196	1375068	-0.666843	-0.299905	-0.174176	-0.458303
Chr01	1375096	1386319	-0.530738	-0.331605	-0.187837	-0.276023
Chr01	1386329	1403748	-0.509214	-0.251330	-0.157998	-0.448978
Chr01	1405957	1418537	-0.570149	-0.315641	-0.204673	-0.464546
Chr01	1418609	1447039	-0.170952	-0.178630	-0.071115	-0.129662
Chr01	1447081	1455547	0.472488	0.212320	0.127143	0.392741
Chr01	1455605	1466597	0.796317	0.391341	0.209862	0.772746
Chr01	1466828	1475471	0.671994	0.411274	0.250753	0.569978
Chr01	1475546	1499370	-0.078208	-0.011998	-0.008335	-0.071966
Chr01	1499561	1510393	-0.277723	-0.274002	-0.103704	-0.212792
Chr01	1511171	1520620	-0.205009	-0.112869	-0.057108	-0.124649
Chr01	1520788	1535867	-0.086687	-0.038498	-0.021655	-0.042370
Chr01	1535892	1539641	-0.139628	-0.213824	-0.090147	-0.062581
Chr01	1539655	1543565	-0.143943	-0.232742	-0.096714	-0.069884
Chr01	1543657	1550222	0.076112	0.068260	0.036713	0.037200
Chr01	1550462	1561701	-0.483573	-0.362151	-0.145850	-0.293602
Chr01	1561707	1573507	-0.722840	-1.045168	-0.245857	-0.594585
Chr01	1573579	1591548	-0.334643	-0.126805	-0.057966	-0.302772
Chr01	1591646	1630408	-0.214364	-0.066144	-0.032601	-0.218296
Chr01	1630428	1641625	-0.251614	-0.110885	-0.062694	-0.189813
Chr01	1641665	1650827	-0.792243	-0.920526	-0.278490	-0.738832
Chr01	1650828	1663540	0.359617	0.170813	0.103899	0.340589
Chr01	1664498	1672591	0.618055	0.205884	0.157129	0.524444
Chr01	1672605	1680784	0.467492	0.266748	0.174086	0.383005
Chr01	1680833	1687066	-0.329394	-0.162567	-0.087149	-0.173760
Chr01	1687073	1689331	-0.192929	-0.299807	-0.128494	-0.092277
Chr01	1689347	1690865	-0.337489	-0.714624	-0.243174	-0.157563
Chr01	1690866	1696039	-0.745412	-1.500845	-0.224067	-0.472288
Chr01	1696126	1710741	-0.106439	-0.062410	-0.023890	-0.062639
Chr01	1711211	1736562	-0.516355	-0.103100	-0.056653	-0.382734
Chr01	1736655	1781858	0.003566	0.001171	0.000538	-0.003506
Chr01	1782131	1791806	-0.007379	-0.001638	-0.001001	-0.015747
Chr01	1791841	1803259	0.107642	0.049544	0.020004	0.100737
Chr01	1803267	1813039	0.475222	0.248412	0.118049	0.459009
Chr01	1813145	1826392	0.176001	0.118723	0.033631	0.111570
Chr01	1826418	1842623	0.011837	0.005214	0.002501	0.007239
Chr01	1842690	1848992	0.609101	0.522854	0.295520	0.477516
Chr01	1849034	1866956	0.164408	0.045925	0.020095	0.147844
Chr01	1867504	1887311	-0.780788	-0.292032	-0.126926	-0.654883
Chr01	1887502	1900413	-0.259610	-0.116140	-0.047134	-0.237496
Chr01	1900463	1917241	-0.496856	-0.177776	-0.076460	-0.361195
Chr01	1917547	1934573	0.022564	0.013031	0.008775	0.010895
Chr01	1937633	1971979	-0.069635	-0.029479	-0.019357	-0.031616
Chr01	1972071	1979819	-0.364088	-0.363050	-0.078417	-0.134409
Chr01	1979883	1989189	-0.498509	-0.611522	-0.105111	-0.189183
Chr01	1989374	1994983	-0.113658	-0.156130	-0.027846	-0.047081
Chr01	1995277	2003345	0.617177	0.357961	0.178867	0.370144
Chr01	2003378	2009140	-0.014312	-0.007270	-0.002971	-0.007986
Chr01	2009237	2019360	0.278711	0.103741	0.054831	0.161212
Chr01	2019386	2029592	0.088282	0.036046	0.023916	0.072954
Chr01	2029811	2036931	-0.019278	-0.021083	-0.009142	-0.010750
Chr01	2037045	2045123	-0.308102	-0.225213	-0.120475	-0.218206
Chr01	2045152	2052705	-0.090343	-0.036981	-0.025184	-0.056887
Chr01	2052749	2064544	-0.065210	-0.026288	-0.016390	-0.051047
Chr01	2065144	2079272	-0.134014	-0.092696	-0.051865	-0.114091
Chr01	2079274	2089201	-0.365191	-0.246869	-0.137779	-0.258268
Chr01	2089227	2096524	-0.536803	-0.164858	-0.131552	-0.428971
Chr01	2096547	2102251	-0.383621	-0.105772	-0.082901	-0.361196
Chr01	2102362	2110065	-0.812162	-2.165258	-0.294175	-0.653687
Chr01	2110101	2119063	-0.062081	-0.051498	-0.022559	-0.037913
Chr01	2119416	2132526	0.126813	0.050416	0.027487	0.060167
Chr01	2132648	2155723	-0.084362	-0.031491	-0.022333	-0.061665
Chr01	2155845	2165809	-0.165197	-0.108208	-0.067549	-0.063334
Chr01	2165810	2175765	-0.118314	-0.084076	-0.056710	-0.078558
Chr01	2175767	2185347	0.379820	0.162715	0.128894	0.183268
Chr01	2185387	2201867	0.240795	0.099517	0.050526	0.060862
Chr01	2201891	2208747	-0.003106	-0.002621	-0.001590	-0.001255
Chr01	2208764	2212653	-0.256212	-0.325510	-0.158946	-0.154489
Chr01	2212683	2218275	0.069928	0.059806	0.030302	0.030539
