chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	548687	738167	-0.204989	-0.168757	-0.096500	-0.126685
Superscaffold1	738365	910548	-0.057413	-0.041952	-0.021747	-0.038424
Superscaffold1	910554	1240193	-0.208088	-0.156035	-0.083100	-0.143310
Superscaffold1	1240253	1437174	-0.450802	-0.344855	-0.169264	-0.277931
Superscaffold1	1437215	1730379	-0.393899	-0.287919	-0.145527	-0.267300
Superscaffold1	1730381	1904207	0.271385	0.176219	0.090514	0.142445
Superscaffold1	1904274	2126603	0.053880	0.030137	0.013316	0.038542
Superscaffold1	2126641	2308372	0.172698	0.123381	0.069477	0.093616
Superscaffold1	2308380	2451713	0.097626	0.086214	0.050720	0.050448
Superscaffold1	2451755	2615308	-0.013045	-0.014258	-0.007532	-0.006555
Superscaffold1	2615318	2776567	0.016021	0.017638	0.009506	0.008886
Superscaffold1	2776637	2943586	0.158134	0.181670	0.073899	0.098757
Superscaffold1	2943815	3161130	0.106885	0.086867	0.050135	0.062350
Superscaffold1	3161131	3345646	0.220894	0.179456	0.099068	0.128239
Superscaffold1	3345894	3592052	0.070313	0.040838	0.022530	0.044285
Superscaffold1	3592068	3803283	0.270623	0.186586	0.096853	0.154899
Superscaffold1	3803445	4003360	0.134341	0.121662	0.053209	0.069415
Superscaffold1	4003362	4305945	0.170768	0.128807	0.068380	0.110348
Superscaffold1	4306047	4516175	0.176515	0.137148	0.071607	0.116102
Superscaffold1	4516311	4807099	0.136594	0.099257	0.055240	0.088823
Superscaffold1	4807157	5040920	0.187756	0.145155	0.086022	0.110321
Superscaffold1	5040926	5282250	0.478590	0.376702	0.197014	0.304784
Superscaffold1	5282349	5599504	0.044785	0.022509	0.014026	0.025162
Superscaffold1	5599579	5906493	0.112301	0.050162	0.032838	0.078107
Superscaffold1	5906748	6304964	0.164810	0.078258	0.049630	0.109389
Superscaffold1	6305034	6653187	0.101354	0.047558	0.031565	0.071957
Superscaffold1	6653222	7025526	-0.119994	-0.057649	-0.035873	-0.075045
Superscaffold1	7025538	7321541	-0.231050	-0.107235	-0.063628	-0.158705
Superscaffold1	7321551	7738145	0.060071	0.028072	0.017137	0.031813
Superscaffold1	7738798	8349670	0.169245	0.082409	0.047180	0.101378
Superscaffold1	8349682	8770633	0.069971	0.032428	0.018989	0.040888
Superscaffold1	8770643	9687907	0.122590	0.061414	0.038940	0.074582
Superscaffold1	9688230	10497607	0.087078	0.042307	0.027599	0.059681
Superscaffold1	10497634	10760158	0.030982	0.016420	0.010532	0.014103
Superscaffold1	10760169	10996733	-0.011988	-0.007992	-0.004279	-0.002586
Superscaffold1	10996738	11257020	0.083296	0.042864	0.026035	0.055326
Superscaffold1	11257021	11512502	-0.203958	-0.157582	-0.095499	-0.156042
Superscaffold1	11512547	11747535	0.317999	0.201536	0.103574	0.216032
Superscaffold1	11747585	11957257	0.104116	0.087181	0.045187	0.062314
Superscaffold1	11957305	12165117	0.207096	0.172025	0.099660	0.116642
Superscaffold1	12165204	12465672	0.025979	0.018132	0.009335	0.016788
Superscaffold1	12465760	12706615	-0.014576	-0.008636	-0.004699	-0.008252
Superscaffold1	12706630	12996135	-0.037652	-0.017323	-0.009403	-0.028989
Superscaffold1	12996150	13392251	0.555118	0.261079	0.150971	0.433218
Superscaffold1	13392291	13808844	0.559463	0.442754	0.232113	0.390157
Superscaffold1	13808862	14343310	-0.107202	-0.051707	-0.027053	-0.076833
Superscaffold1	14343349	14749024	0.004230	0.001412	0.000872	0.002151
Superscaffold1	14749074	14942167	-0.028626	-0.018630	-0.009696	-0.015280
Superscaffold1	14942227	15168363	0.298202	0.151881	0.098394	0.187708
Superscaffold1	15168433	15528179	-0.113526	-0.033427	-0.022715	-0.082499
Superscaffold1	15528219	15888142	-0.097815	-0.032163	-0.019756	-0.074952
Superscaffold1	15888148	16260885	0.065040	0.023380	0.014176	0.052511
Superscaffold1	16261295	16576101	0.204895	0.089307	0.055565	0.137416
Superscaffold1	16576158	16882138	0.107363	0.046206	0.028128	0.055452
Superscaffold1	16882197	17186511	0.095765	0.054361	0.031282	0.048935
Superscaffold1	17186550	17611898	-0.020482	-0.008217	-0.004929	-0.018906
Superscaffold1	17612007	18243399	-0.031523	-0.019915	-0.010555	-0.015508
Superscaffold1	18243451	18495635	-0.095084	-0.053551	-0.029552	-0.054738
Superscaffold1	18495705	18972132	-0.092845	-0.032923	-0.020723	-0.055026
Superscaffold1	18972151	19150730	0.015292	0.009321	0.006121	0.008111
Superscaffold1	19150792	19554910	0.337082	0.229125	0.149690	0.239027
Superscaffold1	19555092	19819998	0.353713	0.166460	0.113134	0.268509
Superscaffold1	19820037	20057919	-0.124535	-0.066107	-0.039134	-0.081985
Superscaffold1	20058058	20444385	0.337109	0.155558	0.096009	0.232403
Superscaffold1	20444390	21076423	-0.069671	-0.022402	-0.012927	-0.039068
Superscaffold1	21076433	21267855	0.221985	0.099162	0.060271	0.115243
Superscaffold1	21267892	21502934	0.348074	0.220018	0.106279	0.223561
Superscaffold1	21502937	21790801	0.022427	0.010183	0.005959	0.014836
Superscaffold1	21790835	22209892	0.136440	0.044839	0.030150	0.098081
Superscaffold1	22209929	22759555	0.460989	0.129952	0.085542	0.337464
Superscaffold1	22759650	23121631	0.520916	0.268143	0.161656	0.449285
Superscaffold1	23121643	23574049	0.153238	0.042369	0.024993	0.127299
Superscaffold1	23578239	23954104	-0.046915	-0.017154	-0.010695	-0.030733
Superscaffold1	23954111	24411088	-0.130506	-0.032372	-0.023216	-0.079747
Superscaffold1	24411212	24711252	0.219522	0.082930	0.053630	0.179898
Superscaffold1	24711289	25111393	0.009441	0.003455	0.002009	0.006797
Superscaffold1	25111619	25441544	-0.126507	-0.056226	-0.032800	-0.076065
Superscaffold1	25441584	25777564	0.064967	0.021932	0.014752	0.037477
Superscaffold1	25777567	25921685	0.149712	0.210854	0.107542	0.089251
Superscaffold1	25921748	26284965	0.024478	0.009074	0.005988	0.014239
Superscaffold1	26284979	26627240	0.191933	0.049076	0.035465	0.116137
Superscaffold1	26627252	27208385	-0.061458	-0.011096	-0.007000	-0.039075
Superscaffold1	27208415	27457441	-0.168442	-0.102485	-0.054037	-0.117560
Superscaffold1	27457458	27736824	0.103916	0.046983	0.028367	0.063271
Superscaffold1	27736863	27930472	-0.203215	-0.235883	-0.096977	-0.124289
Superscaffold1	27930476	28170008	-0.345378	-0.236902	-0.139209	-0.234465
Superscaffold1	28170020	28434812	0.072111	0.038307	0.024165	0.051888
Superscaffold1	28434840	28697341	0.075149	0.090954	0.055034	0.041802
Superscaffold1	28697342	28845946	-0.068800	-0.068625	-0.037710	-0.034103
Superscaffold1	28845989	29298181	-0.226129	-0.060054	-0.038825	-0.157856
Superscaffold1	29298719	29626082	0.021262	0.008258	0.005328	0.011953
Superscaffold1	29626185	29924744	-0.223716	-0.085786	-0.045440	-0.171023
Superscaffold1	29924796	30211115	-0.049469	-0.034000	-0.022313	-0.026249
Superscaffold1	30211123	30772420	-0.003058	-0.001074	-0.000689	-0.003852
Superscaffold1	30772641	31158344	0.202294	0.062957	0.042966	0.127007
Superscaffold1	31158947	31598306	0.033306	0.009125	0.005926	0.025783
Superscaffold1	31598324	32340990	-0.058963	-0.018797	-0.011377	-0.035515
Superscaffold1	32340996	32644993	0.441777	0.202025	0.130981	0.302613
Superscaffold1	32645064	32977610	-0.056093	-0.021600	-0.013165	-0.037145
Superscaffold1	32977663	33384977	-0.105955	-0.036945	-0.023715	-0.068480
Superscaffold1	33384982	33563560	0.292982	0.177395	0.118025	0.182872
Superscaffold1	33563580	33805911	0.049111	0.041620	0.022031	0.025577
Superscaffold1	33805916	34014371	-0.000921	-0.000498	-0.000320	-0.001649
Superscaffold1	34014466	34191237	0.107465	0.056980	0.030909	0.074355
Superscaffold1	34191301	34379980	0.048488	0.027771	0.015747	0.025163
Superscaffold1	34380011	34727827	-0.044386	-0.021214	-0.012635	-0.032033
Superscaffold1	34727965	35176659	0.239191	0.060709	0.043073	0.171297
Superscaffold1	35176661	35893819	0.201158	0.090701	0.057704	0.132382
Superscaffold1	35893860	36688992	0.082889	0.032075	0.020878	0.046141
Superscaffold1	36689074	37214386	0.078748	0.022370	0.015380	0.062814
Superscaffold1	37214406	37536109	0.167834	0.066371	0.041219	0.123333
Superscaffold1	37536181	37848910	-0.037756	-0.018630	-0.011364	-0.027097
Superscaffold1	37848927	38394671	0.402892	0.171234	0.112933	0.302094
Superscaffold1	38394809	38713084	0.052363	0.019591	0.012307	0.040973
Superscaffold1	38713095	39001479	0.083506	0.026054	0.017638	0.057059
Superscaffold1	39001522	39204967	0.076729	0.033674	0.019395	0.056013
Superscaffold1	39204978	39556860	0.070960	0.023790	0.013888	0.042545
Superscaffold1	39556891	39746179	-0.092485	-0.029529	-0.020895	-0.048298
Superscaffold1	39746213	39930718	0.314725	0.120768	0.069528	0.217616
Superscaffold1	39930889	40203837	0.189871	0.045384	0.032644	0.102797
Superscaffold1	40203842	40558453	0.314398	0.091013	0.060171	0.188980
Superscaffold1	40558554	40964706	0.197872	0.051148	0.034229	0.116883
Superscaffold1	40964969	41406674	0.112406	0.032960	0.018738	0.070811
Superscaffold1	41406691	41800584	0.499509	0.199256	0.128238	0.427029
Superscaffold1	41800684	42237983	-0.234012	-0.100869	-0.057755	-0.211750
Superscaffold1	42238227	42593139	0.169065	0.082925	0.045603	0.119131
Superscaffold1	42593151	43057137	0.364362	0.129872	0.085862	0.303866
Superscaffold1	43057296	43364391	0.773899	0.377767	0.207952	0.707397
Superscaffold1	43364470	43693751	0.488407	0.218131	0.111281	0.401989
Superscaffold1	43693836	43938226	0.089814	0.034820	0.020928	0.071535
Superscaffold1	43938262	44467187	-0.061134	-0.021275	-0.012014	-0.055390
Superscaffold1	44467240	44730342	-0.374667	-0.289914	-0.128398	-0.254860
Superscaffold1	44730358	45139493	0.311914	0.092668	0.061720	0.192500
Superscaffold1	45139945	45557725	0.489646	0.301035	0.158215	0.401780
Superscaffold1	45557812	45854450	0.360146	0.123622	0.078373	0.255871
Superscaffold1	45854495	46556643	0.649675	0.142968	0.071516	0.511194
Superscaffold1	46556709	46949437	0.689298	0.183299	0.111210	0.568599
Superscaffold1	46949449	47438425	0.456795	0.131708	0.080031	0.365555
Superscaffold1	47438440	47827474	0.774350	0.207284	0.133285	0.698901
Superscaffold1	47827592	48057459	0.355159	0.197401	0.108243	0.273365
Superscaffold1	48057673	48362824	0.514627	0.289409	0.155422	0.273313
Superscaffold1	48362830	48514697	0.827643	0.513715	0.236596	0.742034
Superscaffold1	48514821	48737695	0.315598	0.235051	0.107461	0.241091
Superscaffold1	48737712	49189596	-0.220835	-0.069279	-0.043434	-0.142931
Superscaffold1	49189630	49650685	0.100070	0.021568	0.014067	0.041163
Superscaffold1	49650708	50002040	0.304802	0.180287	0.077891	0.192253
Superscaffold1	50002252	50141429	0.654168	0.689323	0.256891	0.632458
Superscaffold1	50141430	50391648	0.593372	0.327265	0.208026	0.413423
Superscaffold1	50391652	50689609	0.117371	0.086989	0.053867	0.069176
Superscaffold1	50689823	50996868	0.237132	0.227692	0.145213	0.134459
Superscaffold1	50996916	51309146	0.004405	0.005162	0.002527	0.003429
Superscaffold2	116907	474093	0.352340	0.202143	0.127478	0.241544
Superscaffold2	475073	765859	-0.074374	-0.041392	-0.022633	-0.048713
Superscaffold2	765884	1145420	0.035212	0.013099	0.008775	0.025912
Superscaffold2	1145429	1560352	-0.004383	-0.001613	-0.001121	-0.005530
Superscaffold2	1560374	1937151	0.161184	0.050436	0.031155	0.096758
Superscaffold2	1937156	2217714	0.094404	0.045371	0.025860	0.060971
Superscaffold2	2217721	2473138	0.212357	0.110143	0.062847	0.132710
Superscaffold2	2473148	3222167	0.148355	0.075621	0.047266	0.087241
Superscaffold2	3222188	3604647	-0.222896	-0.138609	-0.077113	-0.134852
Superscaffold2	3604666	3961961	0.123187	0.050311	0.027961	0.084832
Superscaffold2	3962024	4392732	0.133163	0.054771	0.031743	0.093299
Superscaffold2	4392766	4819178	-0.068766	-0.020943	-0.012465	-0.049057
Superscaffold2	4819189	5045769	-0.028924	-0.019280	-0.010539	-0.015906
Superscaffold2	5045821	5430279	-0.027352	-0.010436	-0.006723	-0.017227
Superscaffold2	5430523	5881643	0.128284	0.049552	0.024983	0.083896
Superscaffold2	5881727	6283114	0.519839	0.219006	0.156596	0.413502
Superscaffold2	6284504	6798072	0.027155	0.007753	0.004632	0.019246
Superscaffold2	6798104	7364235	0.353033	0.155214	0.088069	0.291636
Superscaffold2	7364319	7714409	-0.060924	-0.017822	-0.011969	-0.040713
Superscaffold2	7715088	8125339	-0.019377	-0.005977	-0.003988	-0.018816
Superscaffold2	8126683	8811574	0.034138	0.008032	0.005666	0.021318
Superscaffold2	8811982	9410517	0.035872	0.010749	0.006976	0.023789
Superscaffold2	9410518	9935260	0.102235	0.026195	0.016740	0.067526
Superscaffold2	9935442	10332831	-0.011350	-0.003850	-0.002393	-0.005584
Superscaffold2	10332876	10680056	0.023257	0.010986	0.006852	0.020906
Superscaffold2	10680069	11229005	-0.060114	-0.013832	-0.009107	-0.041936
Superscaffold2	11229081	11583801	0.046146	0.017645	0.010129	0.028479
Superscaffold2	11583820	12391794	0.175216	0.062837	0.036344	0.117308
Superscaffold2	12391814	12982484	0.040593	0.018942	0.010400	0.031534
Superscaffold2	12982557	13376813	0.186379	0.076941	0.046990	0.135326
Superscaffold2	13376927	13770194	-0.010299	-0.003482	-0.001985	-0.009963
Superscaffold2	13770209	14144565	0.445723	0.156716	0.110335	0.340425
Superscaffold2	14144633	14562675	0.193391	0.069092	0.041981	0.148390
Superscaffold2	14562888	15027044	0.252172	0.078711	0.051632	0.193151
Superscaffold2	15027052	15839963	0.054394	0.020321	0.011998	0.034062
Superscaffold2	15840831	16467305	0.079971	0.041084	0.024230	0.050686
Superscaffold2	16467414	16750355	0.120709	0.049962	0.034357	0.054797
Superscaffold2	16750517	17249893	-0.002191	-0.000599	-0.000396	-0.000614
Superscaffold2	17249898	17673267	-0.179817	-0.080357	-0.047666	-0.143384
Superscaffold2	17673298	18059156	0.195951	0.065798	0.038605	0.141144
Superscaffold2	18059170	18474978	-0.063746	-0.018936	-0.010877	-0.052190
Superscaffold2	18475006	19064420	-0.058118	-0.015930	-0.009552	-0.046739
Superscaffold2	19065066	19372850	0.335735	0.134601	0.077687	0.225083
Superscaffold2	19372915	19730153	0.006941	0.003959	0.002389	-0.004100
Superscaffold2	19730189	20045022	-0.168503	-0.079390	-0.049666	-0.105420
Superscaffold2	20045224	20597537	-0.018358	-0.003825	-0.002237	-0.017531
Superscaffold2	20597595	21008355	-0.026114	-0.010988	-0.007552	-0.028386
Superscaffold2	21008362	21336436	0.232153	0.077599	0.049345	0.188380
Superscaffold2	21336868	21909034	0.147527	0.033472	0.022059	0.130731
Superscaffold2	21909163	22321054	0.177667	0.056357	0.035473	0.123479
Superscaffold2	22321057	22729014	0.026283	0.008870	0.005398	0.022278
Superscaffold2	22729145	23038219	0.217321	0.091029	0.066878	0.129778
Superscaffold2	23038255	23442812	0.069925	0.019891	0.012429	0.055591
Superscaffold2	23442843	23782034	0.019674	0.006672	0.003906	0.010906
Superscaffold2	23782035	24195486	0.160751	0.049559	0.027918	0.130194
Superscaffold2	24195828	24463755	0.179656	0.061068	0.037846	0.127329
Superscaffold2	24463762	24882082	0.022109	0.006004	0.003797	0.014564
Superscaffold2	24882119	25340254	0.521285	0.213372	0.130409	0.411991
Superscaffold2	25340303	25865845	0.067007	0.014844	0.009719	0.049867
Superscaffold2	25865855	26364981	-0.001301	-0.000286	-0.000192	-0.002005
Superscaffold2	26365006	26831516	-0.150592	-0.042370	-0.027110	-0.111174
Superscaffold2	26831881	27180921	-0.111191	-0.046944	-0.028165	-0.085678
Superscaffold2	27180928	27555657	0.132092	0.044026	0.029056	0.092692
Superscaffold2	27555790	28169565	0.170051	0.055710	0.040178	0.107368
Superscaffold2	28169568	28888806	0.173122	0.055731	0.034402	0.123605
Superscaffold2	28888997	29115502	0.085270	0.034399	0.018845	0.055351
Superscaffold2	29115526	29485757	-0.113854	-0.036253	-0.021521	-0.083789
Superscaffold2	29485822	30007966	-0.071819	-0.019853	-0.013693	-0.050614
Superscaffold2	30008077	30410724	-0.112394	-0.032178	-0.019799	-0.084257
Superscaffold2	30411265	30939877	0.262697	0.062620	0.041120	0.180165
Superscaffold2	30939879	31279094	0.142210	0.056708	0.036433	0.119806
Superscaffold2	31279198	31676227	0.241401	0.068641	0.044509	0.192515
Superscaffold2	31676326	32280800	0.246986	0.101288	0.060530	0.185197
Superscaffold2	32281381	32745956	-0.006452	-0.001566	-0.001001	-0.002869
Superscaffold2	32746473	33116005	0.077436	0.021544	0.014094	0.053165
Superscaffold2	33116012	33699880	0.175402	0.037227	0.024200	0.129771
Superscaffold2	33700297	34288055	-0.038853	-0.008528	-0.005942	-0.030921
Superscaffold2	34288064	34594173	0.164082	0.080757	0.044937	0.112379
Superscaffold2	34594209	34922907	0.577207	0.275527	0.148704	0.462599
Superscaffold2	34922977	35162080	0.780379	0.582384	0.301294	0.705980
Superscaffold2	35162258	35606268	0.264265	0.096184	0.054022	0.220451
Superscaffold2	35606424	36392684	-0.092978	-0.020500	-0.013500	-0.075961
Superscaffold2	36392869	36704767	0.246017	0.082719	0.053826	0.194546
Superscaffold2	36704836	36995197	-0.048000	-0.022630	-0.014198	-0.032375
Superscaffold2	36995281	37391366	-0.101285	-0.035061	-0.021547	-0.068109
Superscaffold2	37391368	37731971	0.072413	0.026956	0.016449	0.056165
Superscaffold2	37732162	38296528	0.200587	0.074823	0.042666	0.157370
Superscaffold2	38296821	38725270	0.387513	0.146143	0.088955	0.351800
Superscaffold2	38725302	38956681	0.171998	0.072283	0.048492	0.137590
Superscaffold2	38956706	39323878	0.022848	0.007924	0.004252	0.021615
Superscaffold2	39323892	39718902	0.035001	0.012413	0.007993	0.020964
Superscaffold2	39719354	40099421	0.179787	0.076756	0.046741	0.120861
Superscaffold2	40099764	40403517	0.222588	0.053040	0.033679	0.157448
Superscaffold2	40403523	40662156	0.316738	0.082426	0.047789	0.179917
Superscaffold2	40662207	41010967	-0.002321	-0.000827	-0.000497	-0.002781
Superscaffold2	41010971	41157540	0.704862	0.370267	0.251898	0.629716
Superscaffold2	41157595	41519063	-0.119059	-0.043152	-0.027191	-0.099012
Superscaffold2	41519673	41904526	0.336655	0.090598	0.061382	0.306929
Superscaffold2	41904566	42406627	-0.070377	-0.015339	-0.009533	-0.051698
Superscaffold2	42406818	42943896	0.064252	0.010748	0.007779	0.055149
Superscaffold2	42944672	43256517	0.143708	0.053047	0.034200	0.113642
Superscaffold2	43256542	43723403	0.004632	0.000991	0.000624	0.002676
Superscaffold2	43723411	44276523	0.581339	0.134731	0.079450	0.516846
Superscaffold2	44276562	44733347	0.129129	0.031388	0.018409	0.114206
Superscaffold2	44733482	45499934	-0.097781	-0.017679	-0.010737	-0.090399
Superscaffold2	45499994	46228463	-0.012194	-0.002484	-0.001456	-0.006081
Superscaffold2	46228539	46699377	0.145123	0.027095	0.016581	0.123545
Superscaffold2	46699513	47425296	0.074793	0.011830	0.007350	0.066031
Superscaffold2	47425811	48305514	0.231610	0.031745	0.020888	0.201196
Superscaffold2	48305554	48667774	0.253543	0.065574	0.038118	0.203656
Superscaffold2	48667961	49134417	0.202747	0.037613	0.025610	0.112503
Superscaffold2	49135990	49567907	-0.041555	-0.011798	-0.006885	-0.026225
Superscaffold2	49567949	49882548	0.238513	0.092041	0.042499	0.164355
