chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	566661	806309	0.153637	0.094685	0.061257	0.094363
Superscaffold1	806335	1134995	0.153500	0.089235	0.056097	0.080284
Superscaffold1	1135014	1459129	0.058611	0.017333	0.012029	0.038466
Superscaffold1	1459342	1894282	-0.170933	-0.073256	-0.042741	-0.114773
Superscaffold1	1894570	2229164	0.168722	0.056986	0.030202	0.121481
Superscaffold1	2229183	2433892	0.101964	0.057682	0.036024	0.058483
Superscaffold1	2433908	2593126	0.161918	0.156753	0.088240	0.096227
Superscaffold1	2593184	2766839	0.029484	0.030884	0.015861	0.015304
Superscaffold1	2766883	2918316	-0.241078	-0.300053	-0.129907	-0.158326
Superscaffold1	2918325	3107137	-0.123025	-0.125312	-0.062192	-0.067476
Superscaffold1	3107165	3452092	0.028220	0.013689	0.007741	0.017744
Superscaffold1	3452547	3753475	-0.049730	-0.022923	-0.013228	-0.025324
Superscaffold1	3753640	4145646	-0.189738	-0.094790	-0.050278	-0.123773
Superscaffold1	4145677	4462917	0.227309	0.124434	0.072846	0.135125
Superscaffold1	4462963	4749009	0.172883	0.122704	0.065780	0.101558
Superscaffold1	4749021	5047882	-0.027264	-0.014934	-0.009204	-0.017184
Superscaffold1	5047893	5500089	-0.016553	-0.004627	-0.003117	-0.013861
Superscaffold1	5500102	5797336	0.162415	0.069167	0.046825	0.105682
Superscaffold1	5797339	6133362	0.036962	0.017838	0.011022	0.021462
Superscaffold1	6133364	6428892	0.124946	0.051773	0.031882	0.073030
Superscaffold1	6428900	6797578	-0.034236	-0.016025	-0.010065	-0.023024
Superscaffold1	6797730	7253566	0.089354	0.033574	0.018991	0.062688
Superscaffold1	7253571	7609893	0.074607	0.037703	0.021280	0.048457
Superscaffold1	7609940	8411207	0.113658	0.026822	0.017978	0.071387
Superscaffold1	8411245	8853414	0.058157	0.027684	0.015322	0.026013
Superscaffold1	8853415	9917334	0.108917	0.048647	0.029929	0.065139
Superscaffold1	9917346	10664311	-0.093616	-0.050238	-0.028479	-0.060119
Superscaffold1	10664318	10851555	0.059795	0.032173	0.019450	0.034826
Superscaffold1	10851557	11138378	-0.117533	-0.056276	-0.031610	-0.067405
Superscaffold1	11138496	11470027	-0.418784	-0.198923	-0.118995	-0.314651
Superscaffold1	11470075	11854183	-0.150363	-0.056176	-0.034583	-0.109272
Superscaffold1	11854282	12128992	-0.125006	-0.066556	-0.043349	-0.075397
Superscaffold1	12129295	12412998	0.044270	0.037696	0.018541	0.024168
Superscaffold1	12414399	12668529	0.032163	0.016440	0.009626	0.015500
Superscaffold1	12668613	12986296	-0.041509	-0.019348	-0.009898	-0.026334
Superscaffold1	12986368	13644742	-0.127336	-0.031982	-0.019680	-0.101081
Superscaffold1	13644807	14199662	-0.021674	-0.006732	-0.003887	-0.011803
Superscaffold1	14201425	14651891	-0.058425	-0.020773	-0.012350	-0.043613
Superscaffold1	14652026	14928046	0.183160	0.079110	0.047370	0.122692
Superscaffold1	14928241	15388232	-0.230491	-0.059747	-0.041659	-0.187814
Superscaffold1	15388286	15740298	-0.185475	-0.053424	-0.033792	-0.125644
Superscaffold1	15740321	16066458	-0.060791	-0.024885	-0.014036	-0.034023
Superscaffold1	16066477	16411217	-0.193200	-0.068129	-0.039752	-0.127178
Superscaffold1	16411264	16716218	-0.042275	-0.023536	-0.013394	-0.025036
Superscaffold1	16716312	17055222	-0.088529	-0.038706	-0.024959	-0.060062
Superscaffold1	17055250	17417550	0.209701	0.097297	0.052504	0.140366
Superscaffold1	17417557	18083519	-0.008638	-0.003652	-0.001944	-0.007310
Superscaffold1	18083676	18373992	-0.125170	-0.121816	-0.052210	-0.057985
Superscaffold1	18374044	18825783	-0.091851	-0.038132	-0.021390	-0.048708
Superscaffold1	18826174	19134838	-0.229884	-0.105865	-0.067689	-0.159721
Superscaffold1	19134875	19578796	-0.110279	-0.054353	-0.035417	-0.085310
Superscaffold1	19578954	19860997	0.048953	0.023618	0.015611	0.041726
Superscaffold1	19861132	20179066	-0.044135	-0.014985	-0.009239	-0.025607
Superscaffold1	20180804	20594654	0.213283	0.090568	0.052803	0.150122
