chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209566	392160	0.058650	0.038388	0.025638	0.035426
Chr01	264030	485498	0.030138	0.016138	0.010938	0.018708
Chr01	392178	596898	0.056578	0.028747	0.017666	0.034689
Chr01	485586	694162	0.115637	0.064388	0.037123	0.072246
Chr01	596954	892992	-0.196411	-0.103675	-0.061211	-0.125351
Chr01	694214	1031675	-0.151251	-0.062231	-0.040088	-0.101515
Chr01	893058	1161573	-0.096882	-0.030182	-0.020870	-0.070157
Chr01	1031699	1294004	-0.271356	-0.088565	-0.058039	-0.211505
Chr01	1161811	1412619	-0.360264	-0.145508	-0.090050	-0.272981
Chr01	1294025	1507786	-0.303141	-0.146041	-0.089635	-0.223132
Chr01	1412999	1581421	-0.202268	-0.124030	-0.074150	-0.141335
Chr01	1507991	1689898	-0.207807	-0.121477	-0.070622	-0.153773
Chr01	1581507	1855053	-0.355092	-0.168935	-0.088445	-0.276564
Chr01	1689903	2026460	-0.462842	-0.222417	-0.108710	-0.365831
Chr01	1855085	2170110	-0.318636	-0.140524	-0.077623	-0.244154
Chr01	2027013	2248067	-0.114767	-0.044224	-0.029699	-0.078473
Chr01	2170126	2378957	-0.171578	-0.095885	-0.062039	-0.108033
Chr01	2248082	2474577	-0.121614	-0.087048	-0.052931	-0.065445
Chr01	2379024	2578226	-0.130346	-0.098211	-0.058450	-0.069145
Chr01	2474590	2664334	-0.054947	-0.044958	-0.024405	-0.027803
Chr01	2578292	2720576	0.011396	0.008853	0.004638	0.008912
Chr01	2664336	2791673	-0.147346	-0.121051	-0.061850	-0.084682
Chr01	2720600	2903557	-0.248185	-0.192352	-0.107256	-0.150899
Chr01	2791681	3008642	-0.032211	-0.020883	-0.013206	-0.020570
Chr01	2903558	3163450	0.112748	0.044848	0.031570	0.067195
Chr01	3008661	3296424	-0.096854	-0.033366	-0.022325	-0.057975
Chr01	3163468	3450095	-0.265035	-0.106607	-0.063308	-0.172120
Chr01	3296466	3609658	-0.092881	-0.032750	-0.021624	-0.072040
Chr01	3450227	3829377	-0.084936	-0.027712	-0.018552	-0.070503
Chr01	3609730	3973015	-0.410682	-0.183389	-0.100895	-0.307430
Chr01	3830340	4078748	-0.363241	-0.167884	-0.095664	-0.247774
Chr01	3973082	4245264	-0.176124	-0.051752	-0.035042	-0.111452
Chr01	4079229	4355519	-0.337661	-0.139076	-0.087069	-0.232192
