chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	639829	866463	0.048662	0.023887	0.016935	0.025500
Superscaffold1	866507	1284932	0.017773	0.008155	0.006053	0.009123
Superscaffold1	1284942	1510741	0.022242	0.017320	0.011074	0.012311
Superscaffold1	1510755	1902134	-0.137763	-0.062757	-0.044193	-0.079358
Superscaffold1	1902158	2307147	-0.089038	-0.034727	-0.022114	-0.053204
Superscaffold1	2307149	2561402	0.017416	0.010541	0.007053	0.008516
Superscaffold1	2561820	2802496	0.073282	0.051025	0.033264	0.044147
Superscaffold1	2802530	3084130	-0.020747	-0.015798	-0.008435	-0.013236
Superscaffold1	3084163	3340243	0.097605	0.069820	0.041787	0.049390
Superscaffold1	3340305	3740590	0.018658	0.009879	0.006828	0.012055
Superscaffold1	3740622	4145747	-0.048893	-0.025941	-0.015868	-0.029691
Superscaffold1	4145751	4470697	-0.136845	-0.082871	-0.053065	-0.075089
Superscaffold1	4470720	4812651	-0.047519	-0.031008	-0.019856	-0.030786
Superscaffold1	4812730	5151059	-0.131405	-0.085440	-0.056276	-0.083029
Superscaffold1	5151168	5477460	-0.253488	-0.177325	-0.108040	-0.180033
Superscaffold1	5477952	5726743	-0.152977	-0.116598	-0.073629	-0.102495
Superscaffold1	5726775	6102631	-0.230366	-0.115624	-0.079113	-0.147665
Superscaffold1	6102649	6397440	-0.145222	-0.072226	-0.048302	-0.095864
Superscaffold1	6397444	6739619	-0.230942	-0.106626	-0.074417	-0.162666
Superscaffold1	6739720	7198270	-0.180588	-0.064180	-0.044903	-0.121937
Superscaffold1	7198321	7591650	-0.203695	-0.093560	-0.065369	-0.144486
Superscaffold1	7591675	8292558	0.124853	0.070886	0.049598	0.076095
Superscaffold1	8292774	9257718	0.015687	0.006259	0.004681	0.009296
Superscaffold1	9258163	10399550	-0.020888	-0.009509	-0.006782	-0.019762
Superscaffold1	10399559	10801049	-0.094398	-0.056033	-0.040091	-0.065469
Superscaffold1	10801080	11151026	-0.098407	-0.042343	-0.030004	-0.072370
Superscaffold1	11151126	11592655	-0.071905	-0.022329	-0.017685	-0.050544
Superscaffold1	11592657	11952006	-0.267807	-0.136377	-0.089774	-0.154298
Superscaffold1	11952010	12352186	-0.028231	-0.013032	-0.009329	-0.017125
Superscaffold1	12352269	12780123	0.121326	0.055646	0.039879	0.073321
Superscaffold1	12780265	13360825	-0.139223	-0.037244	-0.028571	-0.089591
Superscaffold1	13360884	13977591	-0.293814	-0.086360	-0.061135	-0.186165
Superscaffold1	13977793	14604649	-0.020480	-0.007635	-0.005279	-0.017499
Superscaffold1	14604813	15006742	0.083277	0.033109	0.022923	0.054716
Superscaffold1	15006773	15276964	0.600796	0.376665	0.257547	0.520224
Superscaffold1	15276968	15573058	0.124592	0.067493	0.041121	0.089676
Superscaffold1	15573085	15921881	-0.165696	-0.062961	-0.040646	-0.108911
Superscaffold1	15921937	16251745	-0.227043	-0.125531	-0.067358	-0.142053
Superscaffold1	16251849	16671065	-0.214459	-0.101160	-0.063349	-0.130491
Superscaffold1	16671101	17049752	-0.034694	-0.016751	-0.011860	-0.020608
Superscaffold1	17049773	17541204	-0.017257	-0.007281	-0.005300	-0.011272
Superscaffold1	17541258	18305620	-0.105197	-0.048585	-0.032464	-0.067955
Superscaffold1	18305638	18647306	-0.039796	-0.019924	-0.012754	-0.026778
Superscaffold1	18647430	19132171	-0.084767	-0.036040	-0.026639	-0.049783
Superscaffold1	19132179	19609323	-0.078070	-0.030369	-0.023526	-0.058471
Superscaffold1	19609325	19936952	-0.216389	-0.075296	-0.058632	-0.131256
Superscaffold1	19936963	20294431	-0.241492	-0.107620	-0.073663	-0.166381
Superscaffold1	20294539	21003037	-0.132648	-0.060789	-0.036959	-0.091904
Superscaffold1	21006209	21374269	-0.069268	-0.025492	-0.017360	-0.052638
Superscaffold1	21374576	21816034	-0.093924	-0.039510	-0.026513	-0.056720
Superscaffold1	21816042	22207855	-0.078170	-0.051317	-0.032481	-0.047446
Superscaffold1	22207871	22708729	-0.135602	-0.055075	-0.038356	-0.074428
Superscaffold1	22708961	23417284	0.154354	0.037940	0.026783	0.102659
Superscaffold1	23417411	23934340	-0.030672	-0.010627	-0.007522	-0.022268
Superscaffold1	23934350	24289084	-0.398799	-0.345630	-0.183054	-0.312792
Superscaffold1	24289098	24771589	0.025311	0.008394	0.006287	0.018839
Superscaffold1	24771897	25220324	-0.003666	-0.001509	-0.001035	-0.002282
Superscaffold1	25223157	25671120	-0.195613	-0.071047	-0.050480	-0.138871
Superscaffold1	25672754	25927031	-0.127164	-0.068033	-0.051602	-0.080240
Superscaffold1	25927146	26276862	-0.157443	-0.066391	-0.042796	-0.108921
Superscaffold1	26276964	26663516	-0.396396	-0.182952	-0.118113	-0.293705
Superscaffold1	26663524	27038926	-0.572995	-0.282051	-0.155398	-0.486876
Superscaffold1	27038965	27316401	-0.032594	-0.023029	-0.009610	-0.021583
Superscaffold1	27316404	27652687	-0.350527	-0.213431	-0.117797	-0.229446
Superscaffold1	27652725	27955204	-0.046121	-0.035755	-0.021334	-0.029113
Superscaffold1	27955248	28201089	-0.052713	-0.044862	-0.025634	-0.037791
Superscaffold1	28201091	28506662	0.038859	0.031362	0.018687	0.025396
Superscaffold1	28506711	28819956	-0.170155	-0.156614	-0.091014	-0.101630
Superscaffold1	28819960	29156692	-0.270664	-0.178555	-0.089410	-0.175323
Superscaffold1	29156899	29507752	-0.169793	-0.076821	-0.049341	-0.104843
Superscaffold1	29508780	29866379	0.332784	0.161983	0.100166	0.195588
Superscaffold1	29866380	30216256	-0.133030	-0.093645	-0.059235	-0.091360
Superscaffold1	30216360	30788801	-0.110789	-0.058120	-0.034661	-0.060320
Superscaffold1	30789076	31065198	-0.714207	-0.775098	-0.368798	-0.597486
Superscaffold1	31065242	31527829	-0.162610	-0.054547	-0.036971	-0.101501
Superscaffold1	31527854	31906386	-0.211253	-0.096870	-0.067503	-0.152731
Superscaffold1	31906444	32510128	-0.145712	-0.061433	-0.042768	-0.082955
Superscaffold1	32510143	32895568	0.364079	0.171647	0.121846	0.260165
Superscaffold1	32895631	33387850	-0.173377	-0.070067	-0.049310	-0.118071
Superscaffold1	33387876	33581019	-0.080392	-0.040317	-0.028467	-0.057079
Superscaffold1	33581023	33901562	-0.033889	-0.020745	-0.014258	-0.022000
Superscaffold1	33901594	34152677	-0.285855	-0.131887	-0.085892	-0.192900
Superscaffold1	34152745	34483925	-0.083495	-0.039307	-0.028116	-0.049048
Superscaffold1	34484051	34957116	-0.170279	-0.072911	-0.050185	-0.118410
Superscaffold1	34957151	35618657	-0.289536	-0.154479	-0.099058	-0.207544
Superscaffold1	35618827	36631439	-0.127265	-0.053092	-0.035882	-0.089683
Superscaffold1	36632188	37064960	-0.346877	-0.158389	-0.109579	-0.250394
Superscaffold1	37065019	37415400	-0.184581	-0.084196	-0.060768	-0.104708
Superscaffold1	37415484	37659877	-0.023195	-0.011589	-0.007015	-0.013823
Superscaffold1	37659896	38280665	-0.087633	-0.044804	-0.029654	-0.056291
Superscaffold1	38280684	38559601	-0.171999	-0.063484	-0.045048	-0.100679
Superscaffold1	38559651	38917798	-0.253682	-0.086272	-0.065823	-0.171131
Superscaffold1	38917860	39187614	0.009672	0.003291	0.002483	0.003262
Superscaffold1	39187692	39624808	0.077352	0.027618	0.018147	0.049660
Superscaffold1	39624817	39941767	-0.335395	-0.086158	-0.065218	-0.252288
Superscaffold1	39941776	40209668	-0.045103	-0.021309	-0.015122	-0.024766
Superscaffold1	40209670	40715890	0.040326	0.015133	0.011170	0.021080
Superscaffold1	40716514	41145157	-0.558920	-0.322125	-0.194091	-0.448958
Superscaffold1	41145413	41605502	-0.282199	-0.133625	-0.080977	-0.196465
Superscaffold1	41605504	42041615	0.163122	0.060665	0.036272	0.145881
Superscaffold1	42041619	42680889	-0.235952	-0.076366	-0.051770	-0.185222
Superscaffold1	42681206	43431714	0.093853	0.020603	0.015026	0.065393
Superscaffold1	43431782	44177215	-0.453594	-0.103157	-0.071983	-0.318134
Superscaffold1	44177351	44964115	0.115871	0.032300	0.022346	0.070030
Superscaffold1	44964136	45629948	0.109149	0.049582	0.037188	0.073767
Superscaffold1	45629953	46688979	-0.227754	-0.049890	-0.038411	-0.118598
Superscaffold1	46691807	47997221	0.025672	0.003284	0.002882	0.010526
Superscaffold1	47997381	48601559	0.066102	0.013164	0.009708	0.040649
Superscaffold1	48601755	49314816	0.062427	0.018306	0.013767	0.040202
Superscaffold1	49315213	49984618	0.060836	0.017177	0.013377	0.031244
Superscaffold1	49984644	50274167	0.507616	0.181503	0.115491	0.344018
Superscaffold1	50274178	50507730	-0.403573	-0.432494	-0.225561	-0.319162
Superscaffold1	50507851	50991732	0.059169	0.044333	0.029940	0.042593
Superscaffold1	50991733	51459068	-0.036524	-0.033484	-0.020956	-0.023906
Superscaffold2	245973	528495	-0.310937	-0.410597	-0.209557	-0.194218
Superscaffold2	528509	758006	-0.414203	-0.431670	-0.206084	-0.217752
Superscaffold2	758319	1052555	-0.506290	-0.324119	-0.199927	-0.372631
Superscaffold2	1052722	1292071	-0.233317	-0.166799	-0.102143	-0.142982
Superscaffold2	1292119	1578717	-0.471932	-0.361060	-0.216860	-0.366565
Superscaffold2	1578723	1879067	-0.618158	-0.459175	-0.246435	-0.414602
