chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	637535	1023266	-0.025431	-0.011611	-0.007336	-0.015848
Superscaffold1	1023487	1463215	0.137729	0.043600	0.031745	0.083986
Superscaffold1	1463309	1987893	0.220890	0.078388	0.046668	0.142745
Superscaffold1	1988285	2377305	0.045711	0.018450	0.010331	0.033380
Superscaffold1	2377409	2688510	0.022044	0.009812	0.006792	0.012920
Superscaffold1	2688534	2964369	0.078002	0.037640	0.023337	0.050800
Superscaffold1	2964411	3447971	0.114148	0.039097	0.026103	0.070163
Superscaffold1	3448042	3935181	0.193711	0.069464	0.043341	0.121389
Superscaffold1	3935539	4404904	0.043302	0.018883	0.011768	0.039665
Superscaffold1	4405015	4808694	-0.029858	-0.013970	-0.008423	-0.016178
Superscaffold1	4808768	5392330	0.401000	0.125421	0.086099	0.292304
Superscaffold1	5392375	5773629	0.033510	0.013508	0.008611	0.019997
Superscaffold1	5773631	6234895	0.051909	0.021187	0.014202	0.032086
Superscaffold1	6236712	6680510	0.246537	0.098784	0.066919	0.184958
Superscaffold1	6680535	7217320	0.291039	0.101487	0.066749	0.219694
Superscaffold1	7217470	7556134	0.054370	0.027398	0.016085	0.031911
Superscaffold1	7556190	8295777	0.195080	0.064031	0.043003	0.097345
Superscaffold1	8295797	9182864	0.178157	0.074788	0.045908	0.118497
Superscaffold1	9182888	10507453	0.124136	0.038402	0.027309	0.081624
Superscaffold1	10507677	10958715	0.076950	0.030127	0.019818	0.049861
Superscaffold1	10958751	11379787	0.242548	0.083212	0.055954	0.175381
Superscaffold1	11379797	11829537	0.111304	0.037346	0.024198	0.082068
Superscaffold1	11830593	12358629	0.170767	0.056585	0.038305	0.128213
Superscaffold1	12358633	12800124	-0.004513	-0.002059	-0.001218	-0.001481
Superscaffold1	12800130	13154882	0.257273	0.112230	0.065421	0.195824
Superscaffold1	13154988	13768354	0.411811	0.166343	0.087636	0.240423
Superscaffold1	13768355	14476528	0.095973	0.028395	0.017433	0.070700
Superscaffold1	14476571	14871106	0.105571	0.040912	0.025828	0.070905
Superscaffold1	14871197	15163498	0.383038	0.161758	0.105602	0.236329
Superscaffold1	15163546	15469299	0.572800	0.294281	0.192200	0.435306
Superscaffold1	15471333	15799926	0.027683	0.011993	0.007175	0.017050
Superscaffold1	15799944	16189582	0.139843	0.053626	0.033255	0.100180
Superscaffold1	16189719	16650583	0.184819	0.066278	0.042523	0.146402
Superscaffold1	16650781	17010990	-0.137445	-0.072527	-0.040957	-0.082724
Superscaffold1	17010993	17533317	0.007784	0.002535	0.001637	0.009804
Superscaffold1	17533712	18372647	0.173575	0.054036	0.034445	0.112002
Superscaffold1	18372736	18960567	-0.019706	-0.006792	-0.004403	-0.016247
Superscaffold1	18960640	19262766	-0.112607	-0.044626	-0.031677	-0.093840
Superscaffold1	19262984	19820736	0.319232	0.100812	0.074433	0.242107
Superscaffold1	19820745	20271896	0.233168	0.074428	0.050371	0.174607
Superscaffold1	20271900	21085088	0.161805	0.050792	0.031694	0.120927
Superscaffold1	21085158	21551391	0.230847	0.074836	0.046789	0.180393
Superscaffold1	21551462	22005328	0.087781	0.036159	0.023597	0.071668
Superscaffold1	22005346	22612547	-0.043546	-0.013219	-0.008915	-0.031840
Superscaffold1	22612706	23097826	-0.469437	-0.198273	-0.120363	-0.389846
Superscaffold1	23098058	23682587	0.285064	0.078634	0.046888	0.245444
Superscaffold1	23682625	24196962	0.029983	0.007659	0.005239	0.023641
Superscaffold1	24197119	24673914	0.400940	0.128150	0.083897	0.330789
Superscaffold1	24673987	25145455	0.093848	0.030426	0.019328	0.076148
Superscaffold1	25145474	25635195	-0.101512	-0.032253	-0.020192	-0.075551
Superscaffold1	25635651	26126955	0.084756	0.027925	0.019179	0.059421
Superscaffold1	26126984	26415970	0.248461	0.107837	0.060115	0.187940
Superscaffold1	26416030	27033252	0.102176	0.028504	0.018162	0.081433
Superscaffold1	27033259	27448744	0.134917	0.038488	0.023501	0.101037
Superscaffold1	27448748	27828091	0.146391	0.049603	0.031419	0.094841
Superscaffold1	27828101	28187243	-0.040892	-0.014434	-0.009130	-0.024079
Superscaffold1	28187287	28693676	0.299080	0.086507	0.063959	0.201775
Superscaffold1	28693806	29317018	-0.036760	-0.009099	-0.006058	-0.025353
Superscaffold1	29317121	29747951	0.018976	0.005514	0.003491	0.011701
Superscaffold1	29747993	30270523	-0.012888	-0.003721	-0.002303	-0.011991
Superscaffold1	30270548	30888394	0.115440	0.034970	0.023668	0.069131
Superscaffold1	30888399	31287130	-0.159863	-0.050388	-0.032618	-0.120629
Superscaffold1	31288421	32322784	0.042657	0.010010	0.006481	0.031481
Superscaffold1	32322976	32859863	0.360370	0.105061	0.070392	0.294290
Superscaffold1	32859882	33405532	0.237475	0.075878	0.050040	0.179526
Superscaffold1	33405671	33753093	0.001779	0.000694	0.000484	0.005033
Superscaffold1	33753155	34052650	0.107497	0.036651	0.026475	0.062705
Superscaffold1	34053569	34336569	0.513521	0.213017	0.137310	0.402657
Superscaffold1	34336590	34728335	-0.074356	-0.034867	-0.020254	-0.049584
Superscaffold1	34728357	35270568	0.294218	0.075463	0.055516	0.222319
Superscaffold1	35270690	36323472	0.281893	0.080372	0.058668	0.181638
Superscaffold1	36328208	37053999	0.074584	0.024635	0.016789	0.057552
Superscaffold1	37054690	37529711	0.198193	0.060007	0.041224	0.153263
Superscaffold1	37529755	38147430	0.318162	0.099209	0.071234	0.226557
Superscaffold1	38147504	38546032	0.092839	0.032979	0.021756	0.065465
