chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	54977	62366	-0.456479	-0.180781	-0.135080	-0.343332
Chr01	62390	70312	0.910704	0.357620	0.316834	0.768969
Chr01	70379	75874	0.066532	0.027313	0.020971	0.064616
Chr01	75947	82079	-0.765652	-0.549076	-0.309742	-0.657461
Chr01	82114	131083	-0.388526	-0.281118	-0.144407	-0.259462
Chr01	131130	149944	-0.431190	-0.574916	-0.198868	-0.236940
Chr01	149975	153828	-0.531577	-1.770337	-0.334120	-0.230005
Chr01	153861	166780	-0.239271	-0.363736	-0.138453	-0.121023
Chr01	166800	182072	-0.119580	-0.185496	-0.086607	-0.049926
Chr01	182076	184440	-0.092414	-0.453321	-0.117975	-0.037306
Chr01	184457	185849	0.125147	0.292365	0.129546	0.074108
Chr01	185865	188340	0.057312	0.126951	0.041136	0.024916
Chr01	188346	190522	-0.061150	-0.214820	-0.053222	-0.022913
Chr01	190524	195880	0.218950	0.390346	0.233762	0.099376
Chr01	195984	204320	0.237210	0.216341	0.142096	0.137943
Chr01	204352	207998	-0.035197	-0.029476	-0.016967	-0.058763
Chr01	208011	209632	0.064089	0.053635	0.033475	0.023456
Chr01	209652	213786	0.097655	0.061854	0.042410	0.046423
Chr01	213793	216261	-0.090519	-0.071508	-0.047747	-0.059472
Chr01	216299	218001	-0.057144	-0.053636	-0.031749	-0.041398
Chr01	218042	219810	-0.106879	-0.098915	-0.059975	-0.094674
Chr01	219815	222279	-0.043044	-0.044362	-0.026519	-0.026493
Chr01	222360	226007	-0.025919	-0.043465	-0.021810	-0.009398
Chr01	226008	230352	0.087574	0.114097	0.064244	0.032776
Chr01	230357	233924	0.105105	0.115433	0.066311	0.033548
Chr01	233963	237286	-0.146329	-0.161235	-0.091843	-0.069372
Chr01	237311	241981	-0.098728	-0.099873	-0.053662	-0.067563
Chr01	242091	247493	0.163290	0.118217	0.076897	0.051688
Chr01	247500	249818	0.087874	0.082972	0.054151	0.030602
Chr01	249847	252802	0.221542	0.236615	0.138308	0.102583
Chr01	252819	255024	0.011144	0.018588	0.008292	-0.011142
Chr01	255070	256957	-0.052501	-0.064544	-0.031380	-0.052367
Chr01	256968	261125	-0.488734	-0.530885	-0.223817	-0.275252
Chr01	261176	263036	-0.501954	-12.069452	-0.395622	-0.232848
Chr01	263044	264533	-0.229787	-0.540973	-0.191746	-0.121852
Chr01	264557	269471	-0.497441	-2.029789	-0.395280	-0.253618
Chr01	269492	273242	0.066573	0.074881	0.044497	0.024756
