chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	210576	399246	-0.034953	-0.023195	-0.015702	-0.024689
Chr01	269410	495078	-0.099660	-0.058231	-0.039283	-0.062603
Chr01	399384	620779	0.092884	0.043165	0.029284	0.053102
Chr01	495163	767464	0.171057	0.082124	0.052194	0.090328
Chr01	620841	932990	-0.236099	-0.117084	-0.070894	-0.131452
Chr01	767636	1088328	-0.227713	-0.068848	-0.046606	-0.149271
Chr01	933095	1207499	-0.086436	-0.020243	-0.014605	-0.061510
Chr01	1088395	1379350	-0.183964	-0.050780	-0.034821	-0.136484
Chr01	1207512	1481414	-0.110581	-0.042566	-0.026616	-0.081377
Chr01	1379354	1556085	-0.057178	-0.032107	-0.019666	-0.037137
Chr01	1481506	1690490	-0.340783	-0.170174	-0.102624	-0.251356
Chr01	1556110	1873551	-0.430770	-0.173433	-0.095565	-0.337349
Chr01	1690495	2048632	-0.447120	-0.181646	-0.096706	-0.350891
Chr01	1873652	2189252	-0.257423	-0.102582	-0.062279	-0.198476
Chr01	2048653	2265352	-0.032004	-0.012930	-0.008781	-0.019607
Chr01	2189285	2423041	-0.184281	-0.107582	-0.067973	-0.115121
Chr01	2265397	2502215	-0.189717	-0.128824	-0.078740	-0.118686
Chr01	2423162	2622473	-0.078762	-0.060282	-0.033396	-0.038241
Chr01	2502297	2690747	0.008497	0.007107	0.003717	0.006286
Chr01	2622480	2736066	-0.125340	-0.128722	-0.057246	-0.078780
Chr01	2690805	2820428	-0.330094	-0.309212	-0.140093	-0.208469
Chr01	2736085	2937675	-0.376656	-0.305021	-0.162427	-0.235801
Chr01	2820436	3061419	-0.120129	-0.071531	-0.044607	-0.073891
Chr01	2937738	3190518	0.055726	0.024111	0.016115	0.030839
Chr01	3061715	3369380	-0.045311	-0.016263	-0.010363	-0.027505
Chr01	3190524	3540363	-0.247293	-0.084522	-0.053649	-0.181233
Chr01	3369514	3788718	-0.047284	-0.014240	-0.009687	-0.042088
Chr01	3542713	3960732	-0.143764	-0.053468	-0.033460	-0.114028
Chr01	3788781	4105808	-0.413253	-0.170947	-0.102198	-0.278678
Chr01	3960738	4262828	-0.337257	-0.102733	-0.066809	-0.214719
Chr01	4105914	4380285	-0.492956	-0.242774	-0.139316	-0.346192
Chr01	4262930	4472493	-0.321908	-0.223863	-0.133809	-0.197557
Chr01	4380288	4626241	-0.096009	-0.036219	-0.025648	-0.060095
Chr01	4472556	4804873	-0.284241	-0.098346	-0.064828	-0.206097
Chr01	4626244	4960694	-0.267183	-0.097354	-0.064015	-0.197518
Chr01	4804987	5196564	-0.320255	-0.090470	-0.061229	-0.232496
Chr01	4960695	5500529	-0.259910	-0.074200	-0.048820	-0.186562
Chr01	5196614	5715156	0.018611	0.006010	0.004146	0.015495
Chr01	5500534	5875192	-0.077626	-0.026005	-0.017565	-0.051243
Chr01	5715170	6041989	-0.164436	-0.062241	-0.038406	-0.107553
Chr01	5875200	6245558	0.035343	0.010447	0.007150	0.026029
Chr01	6042270	6440723	-0.292815	-0.098320	-0.065838	-0.242358
Chr01	6245736	6882549	-0.453866	-0.120052	-0.081083	-0.346007
Chr01	6440757	7106068	-0.105245	-0.023004	-0.017295	-0.081740
Chr01	6882561	7306330	-0.252621	-0.089563	-0.062789	-0.195147
Chr01	7106173	7412254	-0.451211	-0.245868	-0.140028	-0.335818
Chr01	7306471	7616167	-0.309593	-0.115814	-0.070539	-0.226275
Chr01	7412296	7793504	-0.457008	-0.161307	-0.097080	-0.333062
