chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	165324	261740	0.019574	0.028014	0.011410	0.008506
Chr01	217944	328307	0.003721	0.004968	0.001895	0.001591
Chr01	261750	427605	0.024265	0.021541	0.011099	0.009721
Chr01	328327	487503	0.030241	0.038409	0.010989	0.010441
Chr01	427617	564180	0.129447	0.197296	0.053213	0.046906
Chr01	487602	652283	0.049741	0.059721	0.023129	0.024683
Chr01	564251	836909	-0.053738	-0.060944	-0.021114	-0.015115
Chr01	652296	943381	0.120476	0.095388	0.034763	0.043014
Chr01	837157	1037112	0.160180	0.111999	0.043891	0.044263
Chr01	943941	1149426	0.092863	0.052468	0.026980	0.023359
Chr01	1037119	1275883	0.027956	0.013467	0.007971	0.005721
Chr01	1149433	1377571	-0.066906	-0.039833	-0.021591	-0.019232
Chr01	1275893	1471965	-0.149602	-0.100371	-0.052813	-0.043465
Chr01	1377576	1541057	-0.017742	-0.011941	-0.006512	-0.008457
Chr01	1471972	1594832	0.166305	0.130515	0.065617	0.048497
Chr01	1541065	1686811	0.063036	0.044126	0.024244	0.017184
Chr01	1594854	1854713	0.015849	0.006665	0.004388	0.005518
Chr01	1686845	2029543	0.182826	0.069348	0.042941	0.076219
Chr01	1854738	2123614	0.235689	0.127255	0.065700	0.079632
Chr01	2029549	2221378	0.329497	0.212417	0.121635	0.150783
Chr01	2123628	2273725	0.257313	0.211828	0.116086	0.136185
Chr01	2221379	2425244	0.154514	0.139355	0.071874	0.080088
Chr01	2273743	2493271	0.161430	0.135842	0.071474	0.088036
Chr01	2425258	2578456	-0.022910	-0.029851	-0.012782	-0.011346
Chr01	2493277	2653739	-0.012812	-0.015385	-0.007059	-0.005541
Chr01	2578464	2714056	-0.036569	-0.035575	-0.017967	-0.013820
Chr01	2653749	2762214	-0.076219	-0.069170	-0.037065	-0.031853
Chr01	2714068	2825823	0.109087	0.087776	0.049684	0.053610
Chr01	2762251	2934205	0.084623	0.073791	0.037724	0.044278
Chr01	2825828	3020254	-0.167830	-0.182781	-0.086029	-0.076553
Chr01	2934464	3100030	-0.132807	-0.154843	-0.070593	-0.056115
Chr01	3020329	3209035	-0.054991	-0.050572	-0.023832	-0.018652
Chr01	3100114	3369514	-0.028613	-0.017765	-0.008609	-0.010663
Chr01	3209186	3509667	0.063540	0.036691	0.018278	0.025147
Chr01	3369518	3660690	-0.143138	-0.070566	-0.042551	-0.061963
Chr01	3509933	3793467	-0.154691	-0.074318	-0.048505	-0.072224
Chr01	3660725	3913276	0.030237	0.016922	0.010525	0.008364
Chr01	3793485	3998657	0.087134	0.049538	0.029905	0.022757
Chr01	3913363	4063412	0.021297	0.016687	0.009212	0.011599
Chr01	3998735	4147828	-0.089603	-0.105094	-0.038489	-0.031269
Chr01	4063472	4233632	0.075174	0.062996	0.028819	0.034299
Chr01	4147975	4312905	0.219695	0.165399	0.084493	0.093185
Chr01	4233674	4402083	0.235096	0.199050	0.105166	0.095624
Chr01	4312924	4450277	0.137646	0.152805	0.087848	0.059213
Chr01	4402101	4490728	-0.002196	-0.003178	-0.001431	-0.004386
Chr01	4450296	4574212	-0.031638	-0.041379	-0.018188	-0.013483
Chr01	4490746	4648219	-0.002395	-0.002730	-0.001166	0.001142
Chr01	4574247	4794677	0.053250	0.040022	0.021457	0.023820
Chr01	4648326	4906618	0.043893	0.030094	0.016331	0.022279
Chr01	4794877	5021834	-0.010317	-0.009020	-0.004170	0.000032
Chr01	4906637	5148770	0.132258	0.114001	0.054967	0.059911
Chr01	5021939	5260700	0.333493	0.288595	0.149455	0.164233
Chr01	5148780	5522219	0.267385	0.194693	0.113570	0.146346
Chr01	5260773	5624696	0.063134	0.048207	0.027040	0.027727
Chr01	5522414	5781858	0.106136	0.086289	0.041381	0.044768
Chr01	5624721	5878646	0.079752	0.063257	0.026984	0.033503
Chr01	5781912	5986497	0.077536	0.065089	0.028935	0.034996
Chr01	5878675	6079064	0.051646	0.034739	0.018073	0.016714
Chr01	5986504	6169285	-0.305835	-0.187691	-0.103656	-0.107512
Chr01	6079092	6247453	-0.511728	-0.538296	-0.213548	-0.270498
Chr01	6169398	6373183	-0.103101	-0.138891	-0.036495	-0.037835
Chr01	6247654	6655658	0.433641	0.294859	0.111895	0.196747
Chr01	6373200	6902525	0.620085	0.429681	0.191965	0.437452
Chr01	6655659	7007844	0.613267	0.519678	0.232758	0.438909
Chr01	6902574	7107596	0.290380	0.295008	0.107527	0.197862
Chr01	7007852	7281950	0.042442	0.036535	0.013503	0.022994
Chr01	7108469	7371108	-0.129267	-0.089793	-0.035879	-0.058547
Chr01	7281958	7483574	0.159030	0.117734	0.045406	0.073260
Chr01	7371117	7591326	0.460338	0.392940	0.137931	0.236670
Chr01	7483576	7726681	0.344422	0.223338	0.092586	0.153520
Chr01	7591342	7864771	0.156067	0.085985	0.042770	0.072297
Chr01	7726758	7998166	0.021075	0.011073	0.006097	0.011419
Chr01	7864804	8107875	-0.042376	-0.023355	-0.013765	-0.020106
Chr01	7998370	8264590	-0.000724	-0.000439	-0.000258	0.002630
Chr01	8107881	8470739	-0.015789	-0.008040	-0.004863	-0.003636
Chr01	8264603	8611912	0.016107	0.008367	0.004542	0.005035
Chr01	8470770	8737801	-0.020504	-0.011244	-0.006486	-0.006532
Chr01	8612190	8943114	-0.138243	-0.101781	-0.053115	-0.069923
Chr01	8737812	9254122	0.011112	0.009485	0.004994	0.001163
Chr01	8943116	9385763	0.197552	0.115358	0.075553	0.093636
Chr01	9254138	9507838	-0.072229	-0.025018	-0.016667	-0.019495
Chr01	9385769	9592913	-0.094795	-0.056538	-0.039378	-0.032472
Chr01	9507941	9738354	-0.066715	-0.069240	-0.042754	-0.028491
Chr01	9592980	9839665	-0.072086	-0.056117	-0.032356	-0.030205
Chr01	9738364	9903486	0.031316	0.028800	0.017611	0.017347
Chr01	9839677	9980634	0.078298	0.075893	0.043403	0.039240
Chr01	9903496	10052624	-0.008302	-0.008737	-0.004667	-0.004400
Chr01	9980656	10174647	-0.072248	-0.053553	-0.030723	-0.036113
Chr01	10052653	10286504	-0.012446	-0.008805	-0.004960	-0.001514
Chr01	10174725	10374021	0.038418	0.029433	0.017613	0.013750
Chr01	10286540	10454645	0.018485	0.012122	0.006788	0.005040
Chr01	10374022	10895846	0.016215	0.011663	0.006073	0.007480
Chr01	10454654	10984782	0.028008	0.019138	0.010316	0.010406
Chr01	10895849	11076387	0.066591	0.048399	0.020381	0.013900
Chr01	10984836	11224187	0.085624	0.055319	0.024439	0.019577
Chr01	11076409	11334778	0.055482	0.030828	0.017733	0.017993
Chr01	11224306	11401696	0.041994	0.035567	0.019395	0.015410
Chr01	11334802	11496140	0.107229	0.112489	0.050436	0.043866
Chr01	11401730	11576180	0.176434	0.153264	0.069896	0.079927
Chr01	11496184	11708755	0.019199	0.015114	0.007357	0.008449
Chr01	11576282	11802573	-0.083014	-0.062211	-0.033340	-0.032395
Chr01	11708772	12004511	0.215812	0.174467	0.101321	0.124618
Chr01	11802580	12091512	0.223364	0.202135	0.117021	0.150165
Chr01	12004549	12218151	-0.115724	-0.079703	-0.047773	-0.062529
Chr01	12091513	12388717	-0.093602	-0.043667	-0.026677	-0.034292
Chr01	12218164	12543911	0.069416	0.023721	0.015054	0.021932
Chr01	12388864	12740141	-0.371764	-0.207325	-0.103133	-0.150523
Chr01	12544144	13118085	-0.199442	-0.109347	-0.043896	-0.091253
Chr01	12740209	13287513	0.192569	0.070290	0.033713	0.078922
Chr01	13118089	13472481	-0.078314	-0.046253	-0.021189	-0.021871
Chr01	13288309	13689910	-0.056914	-0.028735	-0.013967	-0.015073
Chr01	13472816	13806591	0.031762	0.011966	0.006609	0.009380
Chr01	13689919	13972515	-0.057121	-0.028063	-0.014505	-0.018981
Chr01	13806594	14070212	-0.038156	-0.023433	-0.013056	-0.014982
Chr01	13972520	14182187	0.075984	0.051093	0.031350	0.032364
Chr01	14070217	14317099	-0.374808	-0.250884	-0.142758	-0.235522
Chr01	14182266	14418933	-0.727170	-0.462289	-0.255278	-0.567178
Chr01	14317505	14601759	-0.542796	-0.208204	-0.132900	-0.334665
Chr01	14419187	14713038	-0.273900	-0.105395	-0.060545	-0.125955
Chr01	14601789	14843124	-0.094866	-0.054541	-0.026688	-0.045460
Chr01	14713108	14952297	0.213507	0.106953	0.063413	0.103368
Chr01	14843177	15075398	0.224750	0.121351	0.064977	0.092769
Chr01	14952323	15172606	0.028111	0.014508	0.007694	0.010801
Chr01	15075438	15434223	0.121597	0.039721	0.026002	0.061322
Chr01	15172613	15572692	0.286068	0.096963	0.062378	0.151131
Chr01	15434245	15681735	0.201097	0.115881	0.064753	0.096166
Chr01	15572832	16008916	0.045233	0.032923	0.018675	0.019562
Chr01	15681771	16174187	0.020330	0.012555	0.007967	0.009439
Chr01	16008933	16329465	-0.049532	-0.025789	-0.016255	-0.021504
