chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214602	465993	0.485396	0.292343	0.219728	0.348984
Chr01	310040	597295	0.367433	0.196840	0.127837	0.214283
Chr01	466013	848108	0.247882	0.134787	0.082369	0.140096
Chr01	597351	1003990	0.245260	0.122132	0.080216	0.157919
Chr01	848162	1153850	0.365616	0.136450	0.096123	0.253856
Chr01	1004032	1330476	0.320493	0.120810	0.079591	0.247900
Chr01	1153906	1516409	0.304283	0.129555	0.083643	0.247449
Chr01	1330482	1666322	0.151589	0.064149	0.040883	0.106177
Chr01	1516536	1842537	0.090906	0.036352	0.020109	0.058843
Chr01	1666337	2044350	0.030333	0.010497	0.005579	0.024495
Chr01	1842542	2189250	-0.093679	-0.033147	-0.019516	-0.061694
Chr01	2044386	2290790	0.038175	0.016337	0.011261	0.018779
Chr01	2189251	2444596	0.011526	0.006755	0.004326	0.007506
Chr01	2290793	2531970	0.152172	0.096948	0.059798	0.087430
Chr01	2444651	2649813	0.284816	0.189271	0.116859	0.160534
Chr01	2532081	2717496	0.083357	0.060124	0.034448	0.049730
Chr01	2650445	2793584	-0.172028	-0.127007	-0.070018	-0.109225
Chr01	2717524	2912878	-0.204523	-0.150657	-0.085826	-0.122537
Chr01	2793591	3032450	-0.002560	-0.001803	-0.001028	-0.002797
Chr01	2912885	3183217	0.104277	0.057537	0.034823	0.051805
Chr01	3032459	3394944	-0.078499	-0.032015	-0.020487	-0.049089
Chr01	3183452	3544227	-0.089475	-0.036740	-0.023627	-0.059349
Chr01	3394953	3776520	0.175504	0.078985	0.050888	0.126851
Chr01	3544293	3942112	0.053721	0.027265	0.016324	0.041010
Chr01	3776534	4119813	-0.130063	-0.062792	-0.036884	-0.072852
Chr01	3942113	4278605	-0.178315	-0.076581	-0.045459	-0.112946
Chr01	4119981	4407379	-0.180050	-0.101832	-0.051938	-0.109433
Chr01	4278790	4479074	0.061329	0.042648	0.021989	0.037373
Chr01	4407419	4617352	-0.093399	-0.043649	-0.028899	-0.059788
Chr01	4479108	4822860	-0.192214	-0.072768	-0.044278	-0.138834
Chr01	4617952	4981610	-0.222100	-0.088260	-0.054859	-0.170882
Chr01	4822862	5214766	-0.236077	-0.076539	-0.049051	-0.178465
Chr01	4981618	5544023	-0.132875	-0.038258	-0.024756	-0.093425
Chr01	5214812	5750156	-0.020679	-0.007248	-0.004879	-0.012027
Chr01	5544191	5924831	-0.078293	-0.028641	-0.018327	-0.051034
Chr01	5750179	6055987	-0.135307	-0.055256	-0.033096	-0.085520
Chr01	5924838	6229284	0.028558	0.011275	0.006970	0.019957
Chr01	6056001	6541036	-0.164849	-0.062789	-0.036252	-0.122195
Chr01	6229386	6879641	0.312215	0.102154	0.067843	0.279127
Chr01	6541823	7140829	0.475377	0.146462	0.107626	0.426362
Chr01	6879774	7349403	-0.121844	-0.047131	-0.031572	-0.094309
Chr01	7140981	7546065	-0.239446	-0.100872	-0.064429	-0.178242
Chr01	7349455	7748569	-0.313853	-0.139326	-0.077224	-0.247739
Chr01	7546073	7909494	-0.322818	-0.135383	-0.075323	-0.250714
Chr01	7748637	8067026	-0.118108	-0.045255	-0.027281	-0.094371
Chr01	7909765	8317860	-0.151430	-0.039400	-0.025290	-0.112600
Chr01	8067041	8562323	-0.293907	-0.058198	-0.039382	-0.213206
Chr01	8317946	8718290	-0.135473	-0.038148	-0.024584	-0.101158
Chr01	8562368	8945949	-0.088481	-0.030038	-0.019126	-0.055685
Chr01	8718298	9348416	-0.256287	-0.080962	-0.052214	-0.158024
Chr01	8945950	9571583	-0.363301	-0.133073	-0.082005	-0.289369
Chr01	9348592	9823578	-0.208645	-0.083207	-0.051287	-0.170473
Chr01	9571595	9906480	0.066986	0.029865	0.019068	0.041757
Chr01	9823692	10025072	-0.112956	-0.058081	-0.037006	-0.058727
Chr01	9906840	10182938	-0.117758	-0.062524	-0.035952	-0.067729
Chr01	10025186	10363302	-0.044069	-0.018754	-0.011420	-0.024164
Chr01	10182944	10894740	-0.159675	-0.055267	-0.035437	-0.111955
Chr01	10363311	11002926	-0.378842	-0.178671	-0.105198	-0.295625
Chr01	10894790	11182051	-0.490574	-0.350745	-0.181340	-0.374110
Chr01	11002941	11365207	-0.340031	-0.145713	-0.087067	-0.251172
Chr01	11182076	11524877	-0.216259	-0.073916	-0.049473	-0.155895
Chr01	11365344	11654625	-0.375462	-0.181472	-0.115011	-0.270179
Chr01	11525006	11802629	-0.231272	-0.148948	-0.082369	-0.157677
Chr01	11654632	12068252	0.145117	0.079542	0.047995	0.097255
Chr01	11802682	12205499	0.007592	0.003980	0.002344	0.005820
Chr01	12068263	12395167	-0.276774	-0.132431	-0.067699	-0.209432
Chr01	12205530	12518614	-0.313150	-0.155537	-0.071095	-0.242357
Chr01	12395206	12793354	-0.450781	-0.176080	-0.090345	-0.359450
Chr01	12518686	13034123	-0.736166	-0.228790	-0.132717	-0.680065
