chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	210019	332564	-0.229457	-0.392438	-0.182970	-0.157745
Chr01	256142	451971	-0.059904	-0.069417	-0.035291	-0.038564
Chr01	332622	562257	0.271586	0.220626	0.107653	0.162730
Chr01	451978	662382	0.244008	0.146718	0.082845	0.120541
Chr01	562598	876179	0.146468	0.094762	0.053468	0.075559
Chr01	662536	995252	0.016544	0.014395	0.006629	0.013633
Chr01	876242	1117908	-0.087653	-0.060460	-0.029278	-0.040277
Chr01	995662	1208526	-0.109246	-0.067653	-0.033449	-0.054834
Chr01	1117946	1369879	-0.049513	-0.028147	-0.014725	-0.023138
Chr01	1209077	1474754	0.182704	0.112974	0.058295	0.102037
Chr01	1370020	1543346	0.185129	0.136242	0.072852	0.125662
Chr01	1474756	1634180	0.099776	0.066477	0.033592	0.057488
Chr01	1543382	1686333	0.246988	0.194225	0.089517	0.143009
Chr01	1634328	1794085	-0.043056	-0.047479	-0.016437	-0.027182
Chr01	1686342	1895710	-0.122479	-0.095448	-0.033185	-0.071617
Chr01	1794143	2017406	-0.092803	-0.063246	-0.023717	-0.045055
Chr01	1895797	2088998	-0.100398	-0.080999	-0.033088	-0.048054
Chr01	2017416	2182618	0.059897	0.057334	0.025984	0.029643
Chr01	2089042	2244545	-0.053145	-0.047739	-0.023122	-0.029125
Chr01	2182688	2309015	-0.089586	-0.089300	-0.046939	-0.052710
Chr01	2244886	2436271	-0.046970	-0.053155	-0.027736	-0.027884
Chr01	2309306	2501796	-0.082440	-0.090879	-0.044032	-0.045685
Chr01	2436314	2599666	-0.140935	-0.187701	-0.082784	-0.079902
Chr01	2501862	2659702	-0.030587	-0.040484	-0.018547	-0.013851
Chr01	2599672	2708663	0.059466	0.062016	0.033266	0.039764
Chr01	2659727	2750507	0.063092	0.067789	0.034596	0.042832
Chr01	2708710	2820554	-0.076367	-0.092881	-0.041058	-0.044114
Chr01	2750528	2918769	-0.111627	-0.123210	-0.057989	-0.057053
Chr01	2820559	3013421	0.020731	0.021918	0.010936	0.011743
Chr01	2918828	3086586	0.105427	0.112950	0.060280	0.060537
Chr01	3013511	3172259	0.138768	0.139961	0.071618	0.081859
Chr01	3086625	3271817	-0.000242	-0.000192	-0.000092	0.000873
Chr01	3172453	3372289	-0.003554	-0.002331	-0.001144	-0.000427
Chr01	3271879	3472854	0.130362	0.092714	0.042880	0.079186
Chr01	3372312	3557623	0.357340	0.256526	0.141297	0.236343
Chr01	3472943	3657180	0.521397	0.370889	0.228899	0.359892
Chr01	3557666	3774187	0.303777	0.229960	0.114625	0.186621
Chr01	3657225	3860939	0.069587	0.059680	0.025198	0.041532
Chr01	3774248	3984493	0.066636	0.061722	0.021603	0.039063
Chr01	3861005	4082547	-0.081151	-0.078155	-0.029157	-0.047949
Chr01	3984506	4214354	-0.061578	-0.054180	-0.024772	-0.045815
Chr01	4082905	4317090	-0.069211	-0.064097	-0.027434	-0.043199
