chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	223995	516799	-0.236525	-0.138454	-0.092496	-0.182834
Chr01	345085	650176	0.176274	0.098339	0.061772	0.123677
Chr01	517296	906915	0.094692	0.056386	0.031857	0.063807
Chr01	650206	1101685	0.028755	0.012163	0.007764	0.019175
Chr01	906930	1292897	0.017879	0.005733	0.003853	0.012796
Chr01	1102914	1491059	-0.264918	-0.101444	-0.064836	-0.229362
Chr01	1292930	1635728	-0.280834	-0.130080	-0.078666	-0.224079
Chr01	1491385	1741966	-0.190572	-0.087800	-0.049116	-0.129808
Chr01	1635796	1977717	-0.121288	-0.047516	-0.024230	-0.088654
Chr01	1741973	2095199	-0.096996	-0.036398	-0.019311	-0.068739
Chr01	1977825	2224843	-0.089050	-0.038024	-0.023981	-0.055623
Chr01	2095239	2316299	-0.091458	-0.052919	-0.032137	-0.058276
Chr01	2224926	2444653	-0.090421	-0.084845	-0.043385	-0.056867
Chr01	2316346	2527786	-0.083799	-0.076195	-0.039604	-0.046579
Chr01	2444716	2634532	-0.029047	-0.025628	-0.013458	-0.012402
Chr01	2527831	2702180	-0.055909	-0.048756	-0.025650	-0.030092
Chr01	2634890	2764495	0.082804	0.068038	0.036243	0.047062
Chr01	2702190	2846612	-0.156872	-0.137595	-0.073863	-0.101720
Chr01	2764644	2947291	-0.161467	-0.137527	-0.076704	-0.098360
Chr01	2846851	3078643	0.122638	0.076390	0.044952	0.057034
Chr01	2947326	3209314	0.054375	0.025732	0.015358	0.025278
Chr01	3078664	3403236	-0.207677	-0.086980	-0.051454	-0.128993
Chr01	3209355	3545365	-0.092823	-0.042844	-0.025958	-0.074459
Chr01	3403239	3759164	0.206619	0.104502	0.066561	0.163166
Chr01	3545458	3897297	0.101007	0.055964	0.032898	0.076176
Chr01	3759166	4057013	-0.219795	-0.150675	-0.074388	-0.141192
Chr01	3897300	4203053	-0.172391	-0.089160	-0.050220	-0.119540
Chr01	4057053	4320818	-0.058162	-0.029250	-0.017019	-0.036104
Chr01	4203060	4432967	-0.036761	-0.025528	-0.012480	-0.015411
Chr01	4320860	4491069	0.046648	0.044246	0.019818	0.026028
Chr01	4433118	4623311	-0.091790	-0.048407	-0.031041	-0.052931
Chr01	4491088	4806046	-0.105140	-0.042265	-0.025962	-0.072533
Chr01	4623418	4955506	-0.286034	-0.119860	-0.072653	-0.215832
Chr01	4806081	5201259	-0.350455	-0.105361	-0.067755	-0.250652
Chr01	4955557	5496181	-0.073282	-0.019753	-0.013252	-0.046461
Chr01	5201261	5708460	-0.098339	-0.036706	-0.023901	-0.068946
Chr01	5496259	5882913	-0.126602	-0.048022	-0.029681	-0.080122
Chr01	5708597	6015098	-0.044369	-0.017963	-0.010924	-0.024427
Chr01	5882925	6169477	0.072952	0.027494	0.017330	0.048181
Chr01	6015677	6379220	0.001523	0.000484	0.000318	0.000555
Chr01	6169548	6925563	-0.096442	-0.016737	-0.012049	-0.063587
Chr01	6379293	7153940	-0.021348	-0.004105	-0.003104	-0.019439
Chr01	6925568	7333857	-0.234229	-0.116256	-0.077881	-0.176414
Chr01	7154085	7480941	-0.325133	-0.181845	-0.109730	-0.234692
Chr01	7333936	7695306	-0.236140	-0.096601	-0.058736	-0.164767
Chr01	7481004	7881026	-0.204548	-0.067760	-0.042113	-0.140793
Chr01	7695630	8003010	-0.041351	-0.016545	-0.009995	-0.036334
Chr01	7881030	8188389	-0.053693	-0.018825	-0.011323	-0.039074
Chr01	8003036	8434136	-0.061508	-0.012411	-0.008832	-0.046389
Chr01	8188431	8622580	-0.031044	-0.007072	-0.004935	-0.025359
Chr01	8434519	8785435	-0.039220	-0.012875	-0.008164	-0.025370
Chr01	8622686	8967849	-0.058271	-0.023775	-0.014652	-0.031001
Chr01	8785537	9325112	-0.118736	-0.047608	-0.029075	-0.068192
Chr01	8967863	9495439	0.004682	0.001951	0.001152	0.004824
Chr01	9325154	9739363	0.172241	0.072366	0.043591	0.142953
Chr01	9495511	9845479	0.162464	0.075701	0.048497	0.124934
Chr01	9739489	9943325	0.010588	0.005540	0.003597	0.012072
Chr01	9845483	10052490	0.141447	0.057970	0.040091	0.089009
Chr01	9943345	10178132	0.045500	0.027063	0.014973	0.023561
Chr01	10052493	10347961	-0.094326	-0.046663	-0.026145	-0.061777
Chr01	10178137	10517712	-0.063748	-0.020426	-0.013383	-0.041637
Chr01	10348044	11001809	-0.373513	-0.159828	-0.095989	-0.296162
Chr01	10517743	11180228	-0.604386	-0.378243	-0.201500	-0.488463
Chr01	11001880	11334215	-0.252956	-0.113043	-0.067425	-0.198133
Chr01	11180274	11510181	-0.009402	-0.003289	-0.002220	-0.001719
Chr01	11334544	11597235	-0.238070	-0.104315	-0.070106	-0.169459
Chr01	11510315	11750926	-0.291000	-0.199228	-0.107242	-0.203414
Chr01	11597237	11862227	-0.046052	-0.035589	-0.017705	-0.031983
Chr01	11750977	12073848	0.066181	0.039663	0.024263	0.033939
Chr01	11862733	12201894	-0.137925	-0.070845	-0.041596	-0.082933
Chr01	12073945	12388840	-0.191264	-0.081939	-0.044465	-0.132474
Chr01	12202464	12486734	-0.106349	-0.046825	-0.022990	-0.064482
