chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	557613	718856	-0.198073	-0.235210	-0.121127	-0.120649
Superscaffold1	719029	862747	0.385593	0.402923	0.213745	0.254324
Superscaffold1	862756	1175973	0.241156	0.181971	0.098996	0.138752
Superscaffold1	1176085	1371774	0.124345	0.103800	0.056808	0.053111
Superscaffold1	1371842	1513343	0.127657	0.104890	0.052435	0.053045
Superscaffold1	1513577	1821879	0.261963	0.156588	0.090881	0.144981
Superscaffold1	1821885	1978376	0.121485	0.102228	0.041570	0.067907
Superscaffold1	1978452	2153213	0.256884	0.154181	0.065066	0.153755
Superscaffold1	2153265	2318109	0.245882	0.197389	0.110176	0.146912
Superscaffold1	2318116	2452339	0.024727	0.027607	0.014718	0.007143
Superscaffold1	2452374	2617225	-0.161755	-0.167023	-0.089466	-0.109130
Superscaffold1	2617314	2781830	-0.019942	-0.022623	-0.011620	-0.009906
Superscaffold1	2781863	2971816	0.013319	0.013548	0.005694	0.006548
Superscaffold1	2971821	3169546	0.032797	0.035276	0.018403	0.019079
Superscaffold1	3169585	3393231	0.158154	0.136782	0.068348	0.087012
Superscaffold1	3394870	3616902	0.165479	0.104720	0.058750	0.098088
Superscaffold1	3616936	3831460	0.238826	0.194348	0.087458	0.130741
Superscaffold1	3831464	4058479	0.088012	0.077827	0.033405	0.046736
Superscaffold1	4058555	4340078	0.206519	0.162506	0.089426	0.125578
Superscaffold1	4340415	4548351	0.226527	0.229338	0.110524	0.147228
Superscaffold1	4548405	4809009	0.248729	0.202756	0.108846	0.158491
Superscaffold1	4809010	5047545	0.130554	0.114609	0.062196	0.079862
Superscaffold1	5047623	5292050	0.402541	0.300499	0.159838	0.230732
Superscaffold1	5292051	5606885	0.149025	0.073883	0.046867	0.084960
Superscaffold1	5606888	5924681	0.131193	0.056518	0.037246	0.090365
Superscaffold1	5924698	6323607	-0.027042	-0.013332	-0.008244	-0.017327
Superscaffold1	6323698	6680689	0.187224	0.086336	0.057508	0.133558
Superscaffold1	6680992	7056574	-0.181562	-0.079623	-0.049774	-0.115908
Superscaffold1	7056597	7329045	-0.119935	-0.061647	-0.035936	-0.074552
Superscaffold1	7329051	7744728	0.005946	0.002831	0.001716	0.002535
Superscaffold1	7745082	8350802	0.203931	0.102129	0.057793	0.123865
Superscaffold1	8350875	8841263	0.042494	0.018477	0.011154	0.023956
Superscaffold1	8841275	9714145	0.140361	0.071513	0.045366	0.091853
Superscaffold1	9714160	10507099	0.001833	0.000961	0.000595	0.002061
Superscaffold1	10507450	10768244	-0.017898	-0.012188	-0.007119	-0.011942
