chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	205297	336393	-0.111640	-0.099328	-0.061199	-0.077540
Chr01	255862	455394	0.026396	0.017295	0.011113	0.016118
Chr01	336402	557519	-0.021404	-0.013054	-0.007559	-0.012305
Chr01	455479	654742	-0.055789	-0.030087	-0.017728	-0.031929
Chr01	557570	840838	-0.157523	-0.080257	-0.049295	-0.088009
Chr01	654796	954238	-0.348068	-0.171557	-0.103237	-0.215546
Chr01	840860	1086713	-0.202284	-0.069447	-0.045029	-0.133790
Chr01	954276	1188178	-0.153263	-0.044316	-0.029940	-0.110687
Chr01	1086721	1329981	-0.201659	-0.061470	-0.040426	-0.149593
Chr01	1188192	1458493	-0.175765	-0.071040	-0.043527	-0.126959
Chr01	1330029	1532514	-0.163900	-0.092513	-0.055272	-0.113615
Chr01	1458514	1601082	-0.142848	-0.090839	-0.052219	-0.100396
Chr01	1533068	1693599	-0.251887	-0.152398	-0.085453	-0.173720
Chr01	1604334	1866800	-0.390678	-0.172041	-0.090489	-0.278210
Chr01	1693693	2022540	-0.436171	-0.195389	-0.096840	-0.322879
Chr01	1867496	2115295	-0.263154	-0.128456	-0.067738	-0.186636
Chr01	2022573	2229745	-0.031994	-0.013523	-0.008911	-0.023669
Chr01	2115396	2294452	-0.165474	-0.085692	-0.057344	-0.105313
Chr01	2229775	2434326	-0.181517	-0.144316	-0.082148	-0.098608
Chr01	2294507	2508093	-0.191331	-0.164760	-0.089215	-0.109414
Chr01	2434330	2619177	-0.113765	-0.105414	-0.053411	-0.062219
Chr01	2508101	2677691	0.052470	0.051994	0.024911	0.032243
Chr01	2619220	2721500	-0.072921	-0.085192	-0.035601	-0.037011
Chr01	2677731	2784010	-0.226118	-0.270404	-0.103282	-0.130500
Chr01	2721524	2883993	-0.281708	-0.273239	-0.132997	-0.178157
Chr01	2784011	2962977	-0.104168	-0.088066	-0.049990	-0.069381
Chr01	2884052	3093656	-0.024457	-0.015222	-0.009477	-0.017323
Chr01	2963000	3230227	-0.112529	-0.050011	-0.030775	-0.066412
Chr01	3093666	3394222	-0.231403	-0.086814	-0.051424	-0.147729
Chr01	3230502	3530768	-0.404098	-0.142064	-0.088180	-0.275907
Chr01	3394235	3724929	-0.083329	-0.025889	-0.017600	-0.063353
Chr01	3531012	3867452	0.012508	0.004548	0.002937	0.001246
Chr01	3725178	4007304	-0.419577	-0.227597	-0.117008	-0.313716
Chr01	3867544	4110723	-0.329061	-0.146487	-0.084608	-0.214602
Chr01	4007319	4249984	-0.019295	-0.006327	-0.004194	-0.008289
Chr01	4110822	4354916	-0.196096	-0.083216	-0.052304	-0.123647
Chr01	4249989	4447854	-0.322519	-0.219841	-0.129814	-0.202184
Chr01	4355040	4510468	-0.261322	-0.218428	-0.125349	-0.151157
Chr01	4447859	4679557	-0.105707	-0.045829	-0.030414	-0.068209
Chr01	4510474	4846522	-0.233681	-0.079902	-0.051077	-0.169893
Chr01	4679626	4999092	-0.330467	-0.112413	-0.073949	-0.236764
Chr01	4846547	5193970	-0.342093	-0.096464	-0.066225	-0.233823
Chr01	4999109	5492236	-0.226632	-0.060740	-0.040092	-0.143043
Chr01	5193985	5629662	-0.132471	-0.056575	-0.035230	-0.085609
Chr01	5492271	5824343	-0.122387	-0.046892	-0.030202	-0.083576
Chr01	5630078	5938519	-0.009562	-0.003135	-0.002082	-0.002138
Chr01	5824846	6083294	0.056530	0.020188	0.012673	0.033701
Chr01	5938693	6263338	0.173423	0.048800	0.034679	0.129762
Chr01	6083328	6448879	-0.224816	-0.074726	-0.052279	-0.174618
Chr01	6263427	6906180	-0.440462	-0.101909	-0.072784	-0.285196
Chr01	6448937	7128811	0.002961	0.000536	0.000429	0.003407
Chr01	6906234	7306330	-0.120991	-0.039369	-0.029380	-0.084783
Chr01	7129062	7399364	-0.380326	-0.222726	-0.127444	-0.264939
Chr01	7306471	7563217	-0.323033	-0.117243	-0.078682	-0.214401
Chr01	7399366	7719759	-0.504720	-0.181568	-0.112322	-0.338187
Chr01	7563218	7884437	-0.565132	-0.223143	-0.131601	-0.407314
Chr01	7719907	7999758	-0.391347	-0.162102	-0.096849	-0.287015
Chr01	7884522	8174675	-0.266358	-0.094677	-0.058078	-0.185075
Chr01	7999802	8328856	-0.266125	-0.064830	-0.044228	-0.183332
Chr01	8174695	8473498	-0.439130	-0.125885	-0.083601	-0.327501
Chr01	8328997	8575624	-0.437680	-0.194581	-0.112939	-0.310476
