chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	123480	149900	-0.681893	-0.384322	-0.182449	-0.542206
Chr01	149975	163912	-0.718981	-0.851370	-0.288958	-0.479279
Chr01	164549	183904	-0.322734	-0.283535	-0.151754	-0.146311
Chr01	183954	189572	0.249572	0.213911	0.135356	0.120418
Chr01	189628	205577	0.039750	0.022412	0.014869	0.016009
Chr01	205581	212544	0.315562	0.199129	0.135745	0.211648
Chr01	212650	218757	0.427854	0.233061	0.164063	0.314884
Chr01	218798	228705	0.105792	0.063249	0.039713	0.074117
Chr01	228724	240828	-0.095435	-0.037198	-0.024563	-0.093988
Chr01	240984	250803	0.038517	0.017768	0.013125	0.032407
Chr01	250874	256642	-0.321187	-0.212045	-0.133289	-0.284475
Chr01	256672	264048	-0.696910	-0.518188	-0.256415	-0.621813
Chr01	264112	273316	-0.517788	-0.504495	-0.230427	-0.386574
Chr01	273954	289168	0.058170	0.028241	0.016908	0.052885
Chr01	289823	314389	-0.024236	-0.013422	-0.008503	-0.010102
Chr01	314620	338499	-0.309525	-0.151967	-0.102124	-0.207437
Chr01	338583	365691	0.427496	0.201963	0.147024	0.273484
Chr01	366364	400656	0.477917	0.230723	0.164509	0.272002
Chr01	401506	419008	0.476005	0.154020	0.111383	0.229762
Chr01	419053	432703	0.358502	0.141416	0.102068	0.234159
Chr01	432749	447258	-0.037510	-0.012520	-0.008272	-0.008563
Chr01	447260	459610	0.302579	0.122486	0.092853	0.154081
Chr01	463716	478465	-0.085094	-0.052064	-0.029697	-0.063798
Chr01	478473	488425	-0.058001	-0.037363	-0.019619	-0.049848
Chr01	488442	510331	-0.321045	-0.134580	-0.065915	-0.159844
Chr01	510992	521214	-0.547162	-0.347899	-0.176497	-0.267065
Chr01	521257	534442	-0.723723	-0.571280	-0.314646	-0.722459
Chr01	534728	560353	-0.763801	-0.508740	-0.216735	-0.645766
Chr01	560382	576137	0.162577	0.054106	0.041208	0.122414
Chr01	576211	605930	0.309035	0.121544	0.092832	0.247707
Chr01	605969	619197	0.419567	0.235864	0.177715	0.333117
Chr01	619338	632307	0.087872	0.070557	0.048787	0.073593
Chr01	632530	642075	0.343172	0.311227	0.248256	0.286899
Chr01	642114	657433	0.144256	0.140712	0.083044	0.116193
Chr01	657465	663822	0.100772	0.026013	0.022016	0.075121
Chr01	663961	683460	0.006706	0.004075	0.002424	0.013821
Chr01	683518	742301	-0.436838	-0.273307	-0.137657	-0.242639
Chr01	743879	818995	-0.132125	-0.070260	-0.039020	-0.076036
Chr01	819300	843059	-0.161311	-0.077305	-0.042096	-0.082962
Chr01	843121	860268	-0.476965	-0.327388	-0.100967	-0.279674
Chr01	860347	877723	0.224654	0.146890	0.064926	0.146981
Chr01	877733	897520	-0.114257	-0.082544	-0.051215	-0.065541
Chr01	897623	934094	-0.220379	-0.064640	-0.041722	-0.152437
Chr01	934759	954739	0.220951	0.051287	0.036576	0.071800
Chr01	954766	976382	0.438006	0.194030	0.094025	0.332365
Chr01	977182	997270	-0.241375	-0.054597	-0.040640	-0.198998
Chr01	997439	1029004	-0.258063	-0.043236	-0.029968	-0.192995
Chr01	1029912	1042489	0.085613	0.012118	0.008995	0.069437
Chr01	1042490	1066924	-0.485391	-0.112850	-0.073258	-0.362543
Chr01	1067029	1080103	-0.377999	-0.115016	-0.076306	-0.224167
Chr01	1080162	1099709	0.056130	0.028910	0.015130	0.036818
Chr01	1099782	1111568	-0.476577	-0.438059	-0.195640	-0.452671
Chr01	1111605	1134039	-0.325666	-0.294583	-0.145075	-0.252695
Chr01	1134061	1150414	0.222711	0.053219	0.039451	0.212156
Chr01	1150932	1164568	-0.327345	-0.077337	-0.057586	-0.300751
Chr01	1164579	1170724	0.034397	0.009820	0.008224	0.019164
Chr01	1170853	1183300	0.236034	0.056713	0.041894	0.178273
Chr01	1183426	1195855	0.013358	0.008039	0.004945	0.001517
Chr01	1195985	1208154	-0.131616	-0.050313	-0.024251	-0.122576
Chr01	1208521	1241126	-0.043232	-0.015914	-0.007115	-0.008203
Chr01	1243107	1293884	-0.063462	-0.021694	-0.009430	-0.014049
Chr01	1293938	1313363	0.029129	0.015625	0.008360	-0.002889
Chr01	1313429	1324389	-0.507707	-0.774811	-0.236417	-0.383557
Chr01	1325160	1364843	0.017634	0.007828	0.005156	0.024160
Chr01	1364858	1392976	0.172245	0.040838	0.021438	0.115521
Chr01	1393213	1408821	0.242510	0.073178	0.051939	0.133066
Chr01	1408899	1436610	0.359319	0.172637	0.106589	0.215030
Chr01	1436627	1452878	0.367268	0.229804	0.126125	0.320894
Chr01	1452880	1458234	0.007572	0.006434	0.003064	0.004356
Chr01	1458311	1464301	0.206970	0.169088	0.083774	0.196534
Chr01	1464342	1470961	0.118999	0.093128	0.050886	0.095409
Chr01	1471131	1477061	0.452810	0.343520	0.211205	0.397473
Chr01	1477077	1489071	-0.034335	-0.018154	-0.011441	-0.027509
Chr01	1489094	1507614	0.409481	0.184159	0.128113	0.389990
Chr01	1507645	1519710	0.082232	0.022372	0.016851	0.065745
Chr01	1519925	1535938	0.171421	0.051970	0.038146	0.098713
Chr01	1535944	1542308	-0.049641	-0.044241	-0.027297	-0.027212
Chr01	1542311	1556615	0.266010	0.080610	0.060130	0.209760
Chr01	1556862	1570189	-0.584607	-0.217536	-0.113844	-0.471150
Chr01	1570310	1576952	-0.432735	-0.194889	-0.091128	-0.357736
Chr01	1576957	1593651	0.715471	0.414776	0.197787	0.659800
Chr01	1593728	1627243	0.480995	0.162455	0.083563	0.442154
Chr01	1627282	1635312	-0.512775	-0.325727	-0.161559	-0.445504
Chr01	1635378	1646317	-0.574387	-0.398307	-0.174389	-0.496298
Chr01	1646436	1660523	-0.205871	-0.090251	-0.053064	-0.195247
Chr01	1660534	1672825	0.573915	0.218375	0.156359	0.462130
Chr01	1672844	1685570	0.057928	0.018240	0.011613	0.031146
Chr01	1685589	1689366	-0.134121	-0.136960	-0.076616	-0.062875
Chr01	1689383	1693585	-0.319860	-0.399142	-0.156686	-0.157364
Chr01	1693599	1710665	0.116365	0.038025	0.015341	0.041776
Chr01	1710688	1740804	-0.484628	-0.172255	-0.077376	-0.412492
Chr01	1740950	1758181	-0.689021	-0.386522	-0.147490	-0.562113
Chr01	1758310	1796208	-0.557004	-0.244128	-0.105305	-0.390012
Chr01	1796277	1811423	-0.170646	-0.080603	-0.031137	-0.165318
Chr01	1811774	1827174	-0.059872	-0.026227	-0.010251	-0.022369
Chr01	1827230	1851099	0.454814	0.184924	0.093311	0.431761
Chr01	1851329	1868406	-0.231231	-0.093991	-0.038545	-0.168981
Chr01	1868409	1881229	-0.624700	-0.560390	-0.183333	-0.522996
Chr01	1881287	1896145	-0.414057	-0.202353	-0.073610	-0.339432
Chr01	1896159	1909818	-0.712856	-0.385297	-0.141399	-0.669704
Chr01	1909828	1977367	-0.487736	-0.184431	-0.076436	-0.406273
Chr01	1977410	1994958	0.395084	0.134886	0.053565	0.233839
Chr01	1995151	2006966	0.120223	0.025157	0.015173	0.065995
Chr01	2007097	2019807	-0.303591	-0.121323	-0.052103	-0.201058
Chr01	2019834	2036693	0.036303	0.017221	0.009985	0.016067
Chr01	2036700	2051114	0.041965	0.019764	0.011720	0.017228
Chr01	2051177	2060252	-0.215364	-0.129747	-0.085173	-0.100460
Chr01	2060292	2075496	0.540911	0.300542	0.159802	0.371344
Chr01	2075792	2094579	0.169923	0.052015	0.035109	0.142143
Chr01	2094618	2115554	-0.213488	-0.074070	-0.033454	-0.170914
Chr01	2115587	2141523	-0.040274	-0.016314	-0.009980	-0.033479
Chr01	2141526	2170338	0.375665	0.131565	0.097764	0.225940
Chr01	2170352	2184661	0.649576	0.159442	0.132906	0.279479
Chr01	2184665	2201838	0.049585	0.015710	0.011110	0.038372
Chr01	2201867	2212221	0.163454	0.096987	0.062500	0.126954
Chr01	2212301	2223205	0.384298	0.293787	0.161405	0.321686
Chr01	2223217	2230630	0.251038	0.144179	0.091990	0.132004
Chr01	2230674	2240322	0.042482	0.023655	0.015355	0.010841
Chr01	2240339	2252361	0.087120	0.064495	0.036235	0.068290
Chr01	2252376	2257278	-0.008377	-0.014211	-0.006040	-0.002285
Chr01	2257375	2263463	0.156411	0.213863	0.128697	0.072287
Chr01	2263464	2271698	0.388823	0.230969	0.192926	0.246734
Chr01	2271709	2277846	0.570778	0.199422	0.179642	0.247858
Chr01	2277876	2306968	-0.045105	-0.011604	-0.007711	-0.033406
Chr01	2306984	2361349	-0.096073	-0.041105	-0.022596	-0.050658
Chr01	2361389	2383259	0.098992	0.041699	0.025357	0.077550
Chr01	2383310	2413917	0.477266	0.241061	0.152914	0.396404
Chr01	2413925	2425447	0.022428	0.011697	0.008169	0.017704
Chr01	2427099	2441581	0.330369	0.102462	0.078981	0.277021
Chr01	2441582	2454090	0.107260	0.067269	0.041208	0.078400
Chr01	2454093	2472156	0.263288	0.129375	0.086458	0.161047
Chr01	2472223	2482353	0.231942	0.103682	0.078274	0.181151
Chr01	2482949	2493969	-0.025820	-0.027770	-0.013980	-0.023504
