chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556001	750110	-0.117139	-0.084710	-0.050681	-0.074353
Superscaffold1	750115	952527	0.350960	0.241319	0.142663	0.193369
Superscaffold1	952841	1284932	0.292919	0.152484	0.100761	0.158172
Superscaffold1	1284942	1508377	0.310800	0.158799	0.098293	0.130562
Superscaffold1	1508704	1876285	0.212194	0.093119	0.056463	0.117637
Superscaffold1	1876545	2118560	0.109011	0.054720	0.026331	0.073855
Superscaffold1	2118562	2324869	0.019793	0.013214	0.007248	0.010992
Superscaffold1	2324881	2518402	-0.093558	-0.073972	-0.044269	-0.062587
Superscaffold1	2518484	2687456	0.073763	0.050679	0.031181	0.046577
Superscaffold1	2687459	2828648	0.077065	0.069633	0.037213	0.047685
Superscaffold1	2828743	3071775	-0.086331	-0.067198	-0.033967	-0.054934
Superscaffold1	3071796	3278035	-0.026852	-0.023518	-0.011903	-0.016744
Superscaffold1	3278248	3569355	0.109395	0.058699	0.033051	0.067311
Superscaffold1	3569403	3815044	0.295477	0.189141	0.102999	0.192965
Superscaffold1	3815088	4075389	0.125509	0.085070	0.040278	0.074320
Superscaffold1	4076335	4449758	0.109430	0.064439	0.038312	0.064627
Superscaffold1	4449870	4757688	0.214973	0.138811	0.081568	0.154983
Superscaffold1	4757749	4985490	0.152594	0.109247	0.066306	0.095710
Superscaffold1	4985496	5291229	0.443095	0.288623	0.164650	0.262535
Superscaffold1	5291255	5638704	0.083360	0.038825	0.025203	0.049897
Superscaffold1	5638717	5996154	0.253601	0.099962	0.070503	0.177434
Superscaffold1	5996428	6420675	-0.018390	-0.006945	-0.004752	-0.012779
Superscaffold1	6420749	6829215	0.160834	0.057398	0.039524	0.117511
Superscaffold1	6829230	7229593	-0.313087	-0.133958	-0.080714	-0.221988
Superscaffold1	7229631	7563050	-0.073139	-0.032658	-0.019952	-0.044239
Superscaffold1	7563092	8277980	0.142171	0.044462	0.030960	0.066923
Superscaffold1	8278010	8836741	0.130904	0.055867	0.034334	0.087776
Superscaffold1	8836819	9843077	0.053901	0.019033	0.013764	0.034073
Superscaffold1	9843098	10667924	-0.017051	-0.006127	-0.004351	-0.010091
Superscaffold1	10667925	10924233	0.145551	0.071134	0.043268	0.094199
Superscaffold1	10924241	11259514	-0.116542	-0.043063	-0.028543	-0.082034
Superscaffold1	11259708	11575944	-0.495140	-0.244906	-0.152029	-0.408571
Superscaffold1	11575958	11894424	0.017811	0.007630	0.004621	0.010203
Superscaffold1	11894436	12121253	0.169957	0.099993	0.065785	0.099336
Superscaffold1	12121320	12466392	0.104463	0.052654	0.032485	0.062587
Superscaffold1	12466408	12771831	-0.062747	-0.034812	-0.018690	-0.043115
Superscaffold1	12773272	13149419	0.176949	0.065930	0.040695	0.144799
Superscaffold1	13149515	13608822	0.462139	0.316240	0.153766	0.360004
Superscaffold1	13608828	14024947	-0.004267	-0.002124	-0.001145	-0.002886
Superscaffold1	14025095	14625042	-0.035778	-0.011660	-0.007582	-0.028223
Superscaffold1	14625577	14903420	0.030636	0.013155	0.008219	0.018713
Superscaffold1	14903492	15135746	0.172069	0.090123	0.054300	0.106664
Superscaffold1	15135767	15496053	-0.017690	-0.004848	-0.003402	-0.019379
Superscaffold1	15496055	15914939	-0.227165	-0.065597	-0.042790	-0.179874
Superscaffold1	15914989	16278024	0.066134	0.022166	0.014152	0.051557
Superscaffold1	16278054	16624297	0.038828	0.016271	0.009838	0.020255
Superscaffold1	16624430	16826854	0.101615	0.072601	0.039989	0.065852
Superscaffold1	16826881	17173972	0.034299	0.017191	0.009268	0.019542
Superscaffold1	17174056	17668256	0.091601	0.034373	0.021772	0.069328
Superscaffold1	17668431	18314661	-0.038807	-0.018956	-0.011236	-0.019744
Superscaffold1	18314695	18746989	-0.025377	-0.009373	-0.005780	-0.015434
Superscaffold1	18747751	19128392	-0.303346	-0.137269	-0.086199	-0.209994
Superscaffold1	19128454	19505677	0.267527	0.142754	0.098370	0.186658
Superscaffold1	19505794	19824700	0.379712	0.176388	0.123619	0.301246
Superscaffold1	19824753	20135428	-0.029532	-0.013009	-0.008088	-0.020622
Superscaffold1	20135758	20595277	0.044658	0.012171	0.008298	0.027093
Superscaffold1	20596394	21167155	-0.009529	-0.003722	-0.002188	-0.007351
Superscaffold1	21167228	21383625	0.367648	0.165808	0.098742	0.208194
Superscaffold1	21385145	21769402	-0.077203	-0.025671	-0.015717	-0.048839
Superscaffold1	21769429	22225114	-0.025129	-0.007898	-0.005399	-0.015490
Superscaffold1	22225244	22778153	0.422213	0.133322	0.083622	0.309989
Superscaffold1	22778179	23230110	0.442727	0.182641	0.106600	0.354678
Superscaffold1	23230131	23731016	-0.008578	-0.002267	-0.001374	-0.006411
Superscaffold1	23731063	24191308	-0.027168	-0.009237	-0.006012	-0.017929
Superscaffold1	24191371	24673367	0.190399	0.046293	0.033651	0.153817
Superscaffold1	24673422	25072477	0.070107	0.025066	0.015318	0.052529
Superscaffold1	25072478	25459882	0.088435	0.032895	0.020954	0.064262
Superscaffold1	25459987	25804190	-0.011592	-0.003452	-0.002419	-0.009308
Superscaffold1	25804225	26064107	0.088055	0.053517	0.032543	0.057550
Superscaffold1	26064108	26341787	-0.061499	-0.026555	-0.014874	-0.044061
Superscaffold1	26342160	26788341	0.210525	0.056794	0.039904	0.150485
Superscaffold1	26789660	27300619	-0.187706	-0.038771	-0.024405	-0.141568
Superscaffold1	27300690	27654279	-0.015485	-0.005330	-0.003292	-0.012783
Superscaffold1	27654300	27910328	-0.100432	-0.077140	-0.041956	-0.060778
Superscaffold1	27910342	28166397	-0.198935	-0.119072	-0.072743	-0.138484
