chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	563672	757103	-0.042469	-0.028695	-0.020416	-0.023834
Superscaffold1	757315	910487	0.111202	0.077978	0.047540	0.051517
Superscaffold1	910519	1259391	0.030966	0.017577	0.011941	0.012421
Superscaffold1	1259469	1442112	0.030139	0.024870	0.015032	0.011426
Superscaffold1	1442119	1788157	0.123378	0.075987	0.047909	0.060911
Superscaffold1	1788188	2156184	-0.089572	-0.033609	-0.019914	-0.046696
Superscaffold1	2156186	2393121	-0.065869	-0.039454	-0.026856	-0.033975
Superscaffold1	2393279	2656723	-0.124844	-0.084806	-0.054590	-0.081078
Superscaffold1	2656750	2839864	0.102177	0.091914	0.049580	0.049639
Superscaffold1	2840010	3107022	-0.087080	-0.065101	-0.035467	-0.050819
Superscaffold1	3107145	3423780	0.042509	0.028142	0.017442	0.019661
Superscaffold1	3424255	3766819	0.010623	0.006721	0.004269	0.007025
Superscaffold1	3767012	4159077	0.002447	0.001183	0.000745	-0.000270
Superscaffold1	4159170	4493384	0.062042	0.030389	0.020743	0.039432
Superscaffold1	4493442	4814082	0.014031	0.010694	0.006238	0.010439
Superscaffold1	4814128	5170331	-0.125983	-0.072271	-0.046449	-0.081281
Superscaffold1	5170402	5475495	-0.266229	-0.198283	-0.120785	-0.177181
Superscaffold1	5475626	5706768	-0.099599	-0.086797	-0.049038	-0.055547
Superscaffold1	5706832	5989317	-0.067377	-0.042286	-0.026396	-0.037935
Superscaffold1	5989367	6319592	-0.104932	-0.056850	-0.035520	-0.062633
Superscaffold1	6319738	6640053	-0.380218	-0.205887	-0.132931	-0.253209
Superscaffold1	6640065	7077757	-0.230494	-0.081879	-0.056646	-0.137070
Superscaffold1	7077791	7460924	-0.171139	-0.091130	-0.057861	-0.106442
Superscaffold1	7461019	7902638	0.023617	0.015936	0.010296	0.014552
Superscaffold1	7902953	8754169	0.034469	0.016005	0.011233	0.015873
Superscaffold1	8754193	9843627	0.073496	0.038004	0.026533	0.042536
Superscaffold1	9843698	10680786	0.054830	0.030345	0.019879	0.030752
Superscaffold1	10680791	10963843	0.027513	0.019614	0.011885	0.020072
