chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	555709	717245	-0.095311	-0.065791	-0.041218	-0.055482
Superscaffold1	717318	883109	0.149091	0.083787	0.048297	0.089462
Superscaffold1	883111	1229058	-0.095193	-0.045209	-0.028006	-0.042009
Superscaffold1	1229098	1463309	0.106707	0.027043	0.019511	0.060032
Superscaffold1	1463356	1830333	0.004048	0.001352	0.000878	0.001768
Superscaffold1	1830585	2172417	-0.339638	-0.132869	-0.071128	-0.252548
Superscaffold1	2172457	2399022	-0.054686	-0.029681	-0.018983	-0.038998
Superscaffold1	2399036	2577500	-0.053937	-0.035719	-0.022376	-0.035083
Superscaffold1	2577622	2770570	-0.022755	-0.025658	-0.012629	-0.011384
Superscaffold1	2770668	2950209	-0.250145	-0.239815	-0.109075	-0.134054
Superscaffold1	2950345	3196207	-0.090565	-0.058075	-0.033640	-0.054635
Superscaffold1	3196271	3542276	-0.038711	-0.015361	-0.009735	-0.018216
Superscaffold1	3542301	3960217	-0.181717	-0.057419	-0.034031	-0.106488
Superscaffold1	3960264	4240491	-0.117204	-0.067956	-0.036382	-0.070245
Superscaffold1	4240972	4595661	-0.072963	-0.028937	-0.018767	-0.040599
Superscaffold1	4598567	4917322	-0.215066	-0.102926	-0.066332	-0.129853
Superscaffold1	4917356	5346402	-0.098482	-0.029934	-0.020554	-0.063040
Superscaffold1	5346431	5732603	-0.075211	-0.020330	-0.014428	-0.039761
Superscaffold1	5732689	6107898	0.140049	0.051178	0.034523	0.086606
Superscaffold1	6107977	6541529	-0.044764	-0.013126	-0.008781	-0.025550
Superscaffold1	6541555	6867106	-0.135507	-0.049631	-0.033059	-0.086911
Superscaffold1	6867207	7267960	-0.373865	-0.177502	-0.099134	-0.248716
Superscaffold1	7267974	7641741	-0.198105	-0.082144	-0.052385	-0.141152
Superscaffold1	7641745	8336628	-0.172433	-0.065082	-0.041096	-0.091881
Superscaffold1	8336629	8635975	-0.164804	-0.096201	-0.048738	-0.097559
Superscaffold1	8636087	9777156	-0.034270	-0.010830	-0.007353	-0.017789
Superscaffold1	9777334	10662406	-0.016939	-0.006888	-0.004476	-0.008127
Superscaffold1	10662776	10961689	-0.127666	-0.053100	-0.033266	-0.071808
Superscaffold1	10962337	11341296	-0.153257	-0.051985	-0.034372	-0.110385
Superscaffold1	11341419	11625277	-0.512975	-0.249053	-0.145908	-0.391496
Superscaffold1	11625479	12036040	0.037397	0.013052	0.008714	0.024572
Superscaffold1	12036081	12344872	-0.053464	-0.025904	-0.014781	-0.028689
Superscaffold1	12345075	12594825	0.001204	0.000668	0.000430	-0.008358
Superscaffold1	12594847	12916677	-0.165454	-0.062062	-0.036605	-0.119972
Superscaffold1	12916780	13406875	-0.075289	-0.019536	-0.012347	-0.057914
Superscaffold1	13406879	14125240	0.050856	0.009774	0.006364	0.034457
Superscaffold1	14125361	14659774	0.033785	0.008164	0.005361	0.025369
Superscaffold1	14659965	14952409	0.095401	0.036540	0.023083	0.059614
Superscaffold1	14952576	15398621	-0.173616	-0.041836	-0.029030	-0.135236
Superscaffold1	15398625	15755768	-0.287215	-0.071471	-0.046016	-0.197660
Superscaffold1	15755773	16079308	0.013067	0.004258	0.002695	0.013927
Superscaffold1	16079310	16442228	-0.267081	-0.087120	-0.052661	-0.182812
Superscaffold1	16442253	16760458	0.026445	0.010794	0.006825	0.014322
Superscaffold1	16760497	17183068	0.068529	0.023164	0.013681	0.036567
Superscaffold1	17183251	17614008	-0.116646	-0.039890	-0.024741	-0.089539
Superscaffold1	17614019	18318620	-0.203278	-0.107693	-0.055862	-0.097938
Superscaffold1	18318647	18711708	-0.019543	-0.005291	-0.003476	-0.011188
Superscaffold1	18711733	19103837	-0.110940	-0.038460	-0.025180	-0.061977
Superscaffold1	19103886	19342581	-0.379348	-0.215261	-0.131340	-0.234201
Superscaffold1	19342619	19693302	-0.513686	-0.281958	-0.178811	-0.368671
Superscaffold1	19693359	20033970	-0.072316	-0.024320	-0.015654	-0.044205
Superscaffold1	20034129	20371325	0.046246	0.017581	0.010734	0.027447
Superscaffold1	20371327	21098847	-0.125314	-0.032795	-0.018826	-0.070405
Superscaffold1	21098896	21403101	-0.214223	-0.089724	-0.052276	-0.155946
Superscaffold1	21403226	21767937	-0.041190	-0.016399	-0.009131	-0.022354
Superscaffold1	21768125	22195700	-0.072560	-0.021690	-0.014411	-0.044238
Superscaffold1	22195707	22772704	0.092791	0.018233	0.011962	0.060977
Superscaffold1	22772711	23287931	-0.187674	-0.040717	-0.024940	-0.141828
Superscaffold1	23287932	23727478	-0.129876	-0.035315	-0.022006	-0.100409
Superscaffold1	23727535	24172348	-0.311798	-0.086047	-0.056489	-0.203299
Superscaffold1	24172363	24484886	-0.098198	-0.042309	-0.025038	-0.055506
Superscaffold1	24484901	24763248	-0.100266	-0.039580	-0.023776	-0.071182
Superscaffold1	24763305	25198536	-0.063389	-0.018711	-0.011772	-0.040087
Superscaffold1	25212363	25586290	-0.057330	-0.014651	-0.009440	-0.041142
Superscaffold1	25586351	25943400	-0.442670	-0.147422	-0.102889	-0.313165
Superscaffold1	25943408	26272422	-0.373660	-0.137864	-0.079844	-0.262049
Superscaffold1	26272439	26701537	-0.136838	-0.028973	-0.019840	-0.095826
Superscaffold1	26701626	27271454	0.117083	0.023611	0.014064	0.087606
Superscaffold1	27271499	27634885	-0.094834	-0.036713	-0.022303	-0.070141
Superscaffold1	27635017	27907039	-0.131332	-0.072677	-0.038902	-0.067612
Superscaffold1	27907060	28132596	-0.157487	-0.077196	-0.045417	-0.086778
Superscaffold1	28132599	28513719	0.056531	0.018936	0.012583	0.034684
Superscaffold1	28513752	28811677	-0.036926	-0.018497	-0.013386	-0.021939
Superscaffold1	28811795	29293935	-0.192956	-0.056843	-0.035738	-0.134822
Superscaffold1	29294527	29623369	-0.219328	-0.091553	-0.056177	-0.160717
Superscaffold1	29623387	29925127	-0.605900	-0.335148	-0.166636	-0.503949
Superscaffold1	29925298	30344195	-0.084817	-0.024135	-0.017053	-0.043528
Superscaffold1	30344238	31007562	-0.100442	-0.028607	-0.017782	-0.065700
Superscaffold1	31007604	31336040	0.048727	0.012777	0.008301	0.036396
Superscaffold1	31373767	32039182	-0.230766	-0.052870	-0.035897	-0.147268
Superscaffold1	32039254	32470105	-0.090153	-0.037816	-0.020015	-0.055347
Superscaffold1	32470180	32843943	0.169166	0.051915	0.032715	0.114405
Superscaffold1	32843969	33259207	-0.269190	-0.087099	-0.053944	-0.178282
Superscaffold1	33259357	33542944	-0.077692	-0.039511	-0.024914	-0.036058
Superscaffold1	33543049	33811682	-0.134861	-0.072253	-0.042106	-0.072356
Superscaffold1	33811737	34056646	-0.279279	-0.120457	-0.075557	-0.156914
Superscaffold1	34056700	34279772	-0.253909	-0.091237	-0.056609	-0.175726
Superscaffold1	34279882	34708335	-0.188242	-0.056823	-0.035508	-0.125682
Superscaffold1	34708461	35261716	0.052394	0.010571	0.007447	0.034744
Superscaffold1	35261722	35975237	-0.193986	-0.100746	-0.054036	-0.119731
Superscaffold1	35976102	36992053	0.072324	0.014299	0.009904	0.045437
Superscaffold1	36992081	37299801	-0.407066	-0.160257	-0.100335	-0.275345
Superscaffold1	37299876	37541582	-0.154382	-0.077917	-0.045027	-0.109802
Superscaffold1	37541692	38060349	-0.089078	-0.036543	-0.022088	-0.052626
Superscaffold1	38060538	38439833	0.055385	0.020401	0.012827	0.041204
Superscaffold1	38439879	38869770	0.008486	0.001780	0.001310	0.003706
Superscaffold1	38869929	39117526	-0.330525	-0.123531	-0.075390	-0.267959
Superscaffold1	39117546	39550976	-0.297385	-0.088331	-0.052290	-0.212949
Superscaffold1	39551137	39874602	-0.296295	-0.080835	-0.054989	-0.242087
Superscaffold1	39874622	40179919	0.194933	0.057694	0.039128	0.149278
Superscaffold1	40179921	40662034	0.053529	0.012795	0.008174	0.033965
Superscaffold1	40662075	41221094	0.192205	0.041357	0.025566	0.120459
Superscaffold1	41221119	41702083	0.012954	0.003166	0.001973	0.010828
Superscaffold1	41702136	42282330	-0.121289	-0.014070	-0.010357	-0.105264
Superscaffold1	42282333	43004146	0.107641	0.011771	0.008537	0.079207
Superscaffold1	43004153	43605843	0.068452	0.009744	0.006081	0.054439
Superscaffold1	43605963	43970592	0.328016	0.081242	0.052937	0.280085
Superscaffold1	43970606	44733910	-0.411475	-0.075777	-0.044409	-0.356912
Superscaffold1	44733939	45371156	0.056815	0.005206	0.003934	0.044018
Superscaffold1	45371241	45886119	-0.189780	-0.051111	-0.028513	-0.145410
Superscaffold1	45886146	46565257	-0.772569	-0.256060	-0.124370	-0.717586
Superscaffold1	46573558	47342143	0.145295	0.027746	0.016073	0.128180
Superscaffold1	47343434	48030989	0.147551	0.022405	0.014046	0.133018
Superscaffold1	48031148	48492905	0.564222	0.130739	0.081553	0.472853
Superscaffold1	48492991	48871575	0.399829	0.098419	0.058699	0.316009
Superscaffold1	48871639	49379812	-0.009532	-0.001519	-0.001010	-0.005762
Superscaffold1	49380022	49870033	-0.284563	-0.053249	-0.032752	-0.162345
Superscaffold1	49870042	50125353	-0.733819	-0.465159	-0.215796	-0.627604
Superscaffold1	50125419	50558040	0.125083	0.028187	0.020044	0.078891
Superscaffold1	50558161	51039531	0.086223	0.026477	0.019944	0.057045
Superscaffold1	51039560	51800584	0.084677	0.043746	0.025288	0.045252
Superscaffold2	425216	724889	-0.024030	-0.009772	-0.005848	-0.011304
Superscaffold2	724894	1222138	0.012460	0.002907	0.002064	0.008386
Superscaffold2	1222227	1596157	-0.100417	-0.032396	-0.021903	-0.053288
Superscaffold2	1596205	1982208	0.017030	0.004523	0.003177	0.013283
Superscaffold2	1982265	2381642	-0.000815	-0.000263	-0.000166	0.000169
Superscaffold2	2381645	2932523	0.124098	0.056337	0.032732	0.065253
Superscaffold2	2932606	3583912	-0.300120	-0.146516	-0.083791	-0.180193
Superscaffold2	3583924	3938142	-0.219721	-0.093930	-0.051550	-0.148317
Superscaffold2	3938170	4377637	-0.027368	-0.009851	-0.005719	-0.017005
Superscaffold2	4377788	4796578	-0.128461	-0.038249	-0.022494	-0.096562
Superscaffold2	4796600	5151001	-0.296855	-0.147710	-0.093322	-0.198118
Superscaffold2	5151883	5466801	0.029290	0.010731	0.006717	0.024954
Superscaffold2	5466852	5915443	-0.124902	-0.053449	-0.027328	-0.086080
Superscaffold2	5915456	6413384	0.237362	0.071093	0.046440	0.148317
Superscaffold2	6413443	6928694	-0.265471	-0.071062	-0.043856	-0.204593
Superscaffold2	6929952	7633723	-0.014525	-0.002594	-0.001690	-0.009435
Superscaffold2	7633739	8100767	-0.175947	-0.045218	-0.028593	-0.123537
Superscaffold2	8100840	8821456	0.016829	0.003153	0.002193	0.009563
Superscaffold2	8823439	9487340	-0.175525	-0.037399	-0.025586	-0.127065
Superscaffold2	9487959	9982196	-0.201304	-0.047624	-0.030165	-0.139649
Superscaffold2	9982205	10533128	-0.042707	-0.011300	-0.007346	-0.026208
Superscaffold2	10533162	10870253	-0.033338	-0.012800	-0.008150	-0.020600
Superscaffold2	10870314	11429282	-0.325938	-0.068791	-0.045561	-0.242196
Superscaffold2	11429288	12186366	-0.015320	-0.004065	-0.002459	-0.011507
Superscaffold2	12186420	12923821	-0.225087	-0.108728	-0.058002	-0.160756
Superscaffold2	12923825	13398281	-0.313435	-0.097475	-0.059847	-0.235990
Superscaffold2	13399112	13817536	-0.432882	-0.154432	-0.088135	-0.345388
Superscaffold2	13817659	14194419	0.218208	0.080272	0.050064	0.169567
Superscaffold2	14194423	14738706	0.027847	0.006580	0.004080	0.015813
Superscaffold2	14738713	15026016	-0.257082	-0.118744	-0.063090	-0.181913
Superscaffold2	15026516	16148202	-0.038376	-0.010941	-0.006425	-0.022226
Superscaffold2	16148287	16653058	0.106181	0.042097	0.025041	0.063827
Superscaffold2	16653566	16959557	-0.098019	-0.035787	-0.020109	-0.046827
Superscaffold2	16959626	17676187	-0.201081	-0.038469	-0.025946	-0.143412
Superscaffold2	17676195	18065941	-0.001651	-0.000542	-0.000312	-0.003092
Superscaffold2	18066359	18529434	-0.233615	-0.060690	-0.035324	-0.178308
Superscaffold2	18529489	19021779	-0.251227	-0.059952	-0.035097	-0.184492
Superscaffold2	19021896	19362593	0.086788	0.029894	0.017176	0.059368
Superscaffold2	19362629	19716932	0.269550	0.235938	0.127273	0.202144
Superscaffold2	19717044	20012502	-0.051975	-0.028053	-0.017068	-0.030953
Superscaffold2	20012667	20484427	-0.266459	-0.055541	-0.030519	-0.192842
Superscaffold2	20484482	20976143	0.139823	0.047083	0.031678	0.088784
Superscaffold2	20976191	21313866	0.073170	0.020436	0.013182	0.056747
Superscaffold2	21313972	21880399	-0.391741	-0.093356	-0.058748	-0.330243
Superscaffold2	21880403	22309779	-0.191135	-0.050516	-0.029045	-0.124724
Superscaffold2	22309804	22622706	-0.129605	-0.077835	-0.036759	-0.068431
Superscaffold2	22622751	22943532	-0.535696	-0.322157	-0.166718	-0.309646
Superscaffold2	22943653	23295615	-0.473894	-0.198673	-0.112855	-0.391643
Superscaffold2	23295763	23687369	-0.215226	-0.056395	-0.035370	-0.152314
Superscaffold2	23687633	24107020	-0.211305	-0.053997	-0.030976	-0.147334
Superscaffold2	24107047	24416517	0.132474	0.047673	0.027917	0.092558
Superscaffold2	24418963	24755706	-0.073500	-0.027401	-0.014862	-0.054606
Superscaffold2	24755784	25274033	0.148561	0.050599	0.029685	0.108623
Superscaffold2	25274134	25636309	0.101945	0.031492	0.018822	0.072593
Superscaffold2	25636498	26020542	0.163040	0.052134	0.031524	0.104394
Superscaffold2	26020555	26345206	0.217700	0.082050	0.050528	0.193617
Superscaffold2	26345236	26744726	-0.183956	-0.049487	-0.031391	-0.138554
Superscaffold2	26744752	27083473	-0.158721	-0.061382	-0.038016	-0.122368
Superscaffold2	27083520	27417412	-0.466250	-0.214428	-0.119651	-0.350574
Superscaffold2	27417460	27896804	-0.139754	-0.031606	-0.023302	-0.096490
Superscaffold2	27899420	28865505	-0.139932	-0.038483	-0.023068	-0.079760
