chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	251721	612808	-0.207908	-0.102461	-0.066678	-0.148736
Chr01	433077	882490	-0.162696	-0.087573	-0.053938	-0.127898
Chr01	612944	1123439	-0.019484	-0.007751	-0.005083	-0.017301
Chr01	882529	1335513	-0.169131	-0.054056	-0.035813	-0.128982
Chr01	1124006	1499370	-0.052050	-0.020991	-0.013080	-0.037258
Chr01	1335519	1662738	0.024107	0.010851	0.006583	0.020365
Chr01	1499513	1858559	-0.111200	-0.045048	-0.024529	-0.082201
Chr01	1663118	2053701	-0.231346	-0.093927	-0.045913	-0.162628
Chr01	1858861	2229095	-0.090739	-0.037269	-0.020582	-0.065382
Chr01	2053730	2398859	0.063413	0.029985	0.018444	0.038570
Chr01	2229542	2526479	0.087171	0.051744	0.033205	0.060330
Chr01	2398934	2662418	0.073753	0.043800	0.029158	0.060560
Chr01	2527633	2751601	0.010528	0.005514	0.003524	0.010116
Chr01	2662450	2866298	0.013565	0.007482	0.004691	0.009499
Chr01	2751604	3067774	0.081871	0.037774	0.025345	0.052056
Chr01	2866408	3237822	0.107692	0.036894	0.025063	0.064478
Chr01	3068493	3437380	-0.040626	-0.013306	-0.008478	-0.023914
Chr01	3238317	3692466	-0.042529	-0.012535	-0.008281	-0.034749
Chr01	3437443	3892461	-0.014701	-0.005036	-0.003133	-0.015006
Chr01	3692570	4118490	0.009768	0.004158	0.002363	0.009283
Chr01	3892621	4284366	0.028362	0.012232	0.006979	0.024264
Chr01	4118507	4437850	0.095918	0.053405	0.028054	0.066654
Chr01	4284375	4564605	0.122242	0.066210	0.039275	0.073094
Chr01	4437852	4716512	0.168124	0.079746	0.051046	0.107741
Chr01	4564704	4939102	0.180084	0.073955	0.046191	0.138732
Chr01	4716538	5135954	-0.122308	-0.048009	-0.029902	-0.093384
Chr01	4939120	5477316	-0.195165	-0.074413	-0.047112	-0.138666
Chr01	5135969	5632646	-0.114541	-0.051312	-0.031181	-0.078884
Chr01	5477323	5835912	-0.173005	-0.092409	-0.053589	-0.117313
Chr01	5632754	5953658	-0.082363	-0.045603	-0.026840	-0.047373
Chr01	5836021	6140890	0.177598	0.080512	0.049952	0.122157
Chr01	5953665	6320831	0.365938	0.138193	0.093052	0.288720
Chr01	6140996	6686780	-0.092767	-0.032523	-0.021980	-0.076016
Chr01	6321072	7049714	-0.196003	-0.042265	-0.031590	-0.158026
Chr01	6687039	7306127	-0.026443	-0.006085	-0.004662	-0.013994
Chr01	7049837	7469662	-0.074984	-0.031988	-0.020954	-0.050493
Chr01	7306135	7737330	0.072165	0.023607	0.015191	0.053613
Chr01	7469750	7899026	0.024773	0.007489	0.004869	0.015560
Chr01	7737344	8005100	-0.217350	-0.095044	-0.057259	-0.160028
Chr01	7899027	8147995	-0.101953	-0.054945	-0.031165	-0.072529
Chr01	8005139	8330383	0.228922	0.075388	0.051836	0.161477
Chr01	8148065	8472614	0.334996	0.114314	0.074385	0.246319
Chr01	8330718	8591436	0.425392	0.200168	0.113274	0.261147
Chr01	8472617	8786253	0.073386	0.030149	0.018353	0.047192
Chr01	8591443	9251265	-0.111605	-0.037767	-0.024963	-0.071393
Chr01	8787342	9449149	0.030057	0.009627	0.006010	0.029664
Chr01	9251629	9630001	-0.075272	-0.031268	-0.018795	-0.061905
Chr01	9449217	9835902	-0.313531	-0.157519	-0.099044	-0.260744
Chr01	9630015	9974089	-0.154326	-0.066254	-0.043737	-0.115860
Chr01	9835974	10087053	0.180790	0.076442	0.051431	0.129831
Chr01	9974241	10282859	0.046408	0.022959	0.013977	0.028693
Chr01	10087054	10429038	0.150261	0.065476	0.041327	0.093681
Chr01	10282959	10941630	0.207925	0.075677	0.048915	0.152109
Chr01	10430893	11168282	-0.165748	-0.063498	-0.038788	-0.126860
Chr01	10941667	11311582	-0.308415	-0.134914	-0.077984	-0.245215
Chr01	11168485	11494409	-0.116903	-0.044447	-0.028822	-0.083475
Chr01	11311584	11679168	0.057505	0.018886	0.013164	0.043623
Chr01	11494425	11984578	0.071728	0.026583	0.017116	0.047682
Chr01	11679186	12167647	0.070688	0.031814	0.019870	0.043547
Chr01	11984889	12319073	-0.069515	-0.036189	-0.018172	-0.045960
Chr01	12167748	12445413	-0.136859	-0.073638	-0.035506	-0.080180
Chr01	12319074	12579710	0.056782	0.030824	0.014818	0.044573
Chr01	12445428	12715278	0.348836	0.194706	0.095088	0.240046
Chr01	12579711	12904179	0.094872	0.046045	0.019261	0.059682
Chr01	12715279	13160105	-0.276251	-0.099933	-0.042164	-0.153785
Chr01	12904213	13398372	-0.040365	-0.014447	-0.007238	-0.019173
Chr01	13160140	13664625	-0.136616	-0.048118	-0.026519	-0.102530
Chr01	13398375	13849754	-0.392831	-0.155198	-0.085324	-0.318056
Chr01	13664653	14035393	-0.224888	-0.115563	-0.059618	-0.173829
Chr01	13849933	14154543	-0.091774	-0.049151	-0.026109	-0.059174
Chr01	14035595	14302732	-0.095288	-0.044760	-0.025919	-0.054864
Chr01	14154548	14449177	0.062959	0.022608	0.014589	0.051604
Chr01	14302733	14641540	0.123857	0.051748	0.029329	0.111507
Chr01	14449461	14789722	0.160858	0.069249	0.038246	0.137816
Chr01	14641582	14924806	0.062909	0.026610	0.015461	0.046300
Chr01	14789741	15082889	-0.068104	-0.029650	-0.016323	-0.040787
Chr01	14924832	15189337	-0.182926	-0.085794	-0.044497	-0.127053
Chr01	15082919	15360733	-0.324897	-0.190359	-0.080038	-0.219077
Chr01	15189339	15560780	-0.316993	-0.130230	-0.065856	-0.244927
Chr01	15360785	15870162	-0.207176	-0.079994	-0.045978	-0.165131
Chr01	15560782	16162133	0.010821	0.004390	0.002820	0.009262
Chr01	15870171	16372016	-0.069440	-0.029338	-0.017587	-0.044640
Chr01	16162219	16615813	-0.156603	-0.061552	-0.034323	-0.116554
Chr01	16372259	16827972	-0.062589	-0.023994	-0.014043	-0.047616
Chr01	16615814	17026118	0.009566	0.003743	0.002325	0.006384
Chr01	16828008	17271780	0.050690	0.016489	0.010187	0.036010
Chr01	17026132	17474866	0.071663	0.021572	0.013137	0.060321
Chr01	17271785	17623701	-0.002280	-0.000841	-0.000504	0.003028
Chr01	17474984	17859835	-0.218095	-0.089561	-0.052483	-0.155226
Chr01	17623771	18172982	-0.285722	-0.106449	-0.063030	-0.194527
Chr01	17860128	18322074	-0.361487	-0.148872	-0.086228	-0.264647
Chr01	18175505	18596020	0.057702	0.023866	0.013845	0.041902
Chr01	18322146	18780388	0.331407	0.108856	0.068756	0.269205
Chr01	18596032	18950874	0.166795	0.055386	0.037078	0.123343
Chr01	18780451	19224570	-0.115978	-0.036607	-0.022856	-0.088691
Chr01	18950883	19343405	-0.118316	-0.044059	-0.026903	-0.107883
Chr01	19224725	19641359	-0.017262	-0.005010	-0.002782	-0.018386
Chr01	19343451	19824448	-0.431250	-0.131082	-0.068776	-0.382549
Chr01	19641541	19956324	-0.128107	-0.064452	-0.037253	-0.114342
Chr01	19824452	20229509	0.221954	0.085570	0.047519	0.192648
Chr01	19956953	20415854	-0.031525	-0.011150	-0.006000	-0.023166
Chr01	20231973	20569135	0.020094	0.007846	0.004970	0.012233
Chr01	20415878	20695657	-0.069400	-0.030658	-0.018491	-0.048158
Chr01	20569196	20931654	0.070379	0.022976	0.014367	0.056124
Chr01	20695679	21196745	-0.218727	-0.066832	-0.042095	-0.181375
Chr01	20931687	21286811	-0.571247	-0.252274	-0.148562	-0.478646
Chr01	21196849	21407187	-0.818693	-1.030131	-0.400776	-0.733969
Chr01	21286863	21516893	-0.885620	-1.149097	-0.408447	-0.841189
Chr01	21407207	21673799	-0.458820	-0.244277	-0.118238	-0.401178
Chr01	21516910	21879403	0.119316	0.035320	0.020455	0.106556
Chr01	21673892	22076691	0.008582	0.002796	0.001583	0.014340
Chr01	21879441	22252254	-0.157845	-0.055938	-0.031185	-0.133316
Chr01	22079549	22471683	-0.332936	-0.114649	-0.068202	-0.281757
Chr01	22252499	22877118	-0.377168	-0.076587	-0.050359	-0.292985
Chr01	22471781	23062622	-0.227862	-0.045881	-0.029115	-0.176149
Chr01	22878397	23215944	-0.211163	-0.094912	-0.047985	-0.175789
Chr01	23062674	23457774	-0.257293	-0.111040	-0.057868	-0.213829
Chr01	23215979	23679946	-0.534809	-0.231755	-0.120049	-0.464520
Chr01	23457804	23850815	-0.640625	-0.296997	-0.160075	-0.548168
Chr01	23681862	24012806	-0.437716	-0.180886	-0.110205	-0.347428
Chr01	23850845	24230868	-0.464109	-0.225902	-0.123123	-0.378571
Chr01	24012922	24447023	-0.442983	-0.172677	-0.097215	-0.371259
Chr01	24230916	24585369	-0.226788	-0.081748	-0.049075	-0.191220
Chr01	24447180	24882238	-0.223785	-0.079448	-0.047223	-0.182565
Chr01	24585599	25188556	-0.464770	-0.117222	-0.074605	-0.374542
Chr01	24882245	25359786	-0.555595	-0.184873	-0.108403	-0.470839
Chr01	25188984	25604072	-0.104346	-0.043213	-0.027112	-0.093606
Chr01	25359806	25808794	-0.077366	-0.019069	-0.011891	-0.069205
Chr01	25604215	26068302	-0.447257	-0.114562	-0.064782	-0.356498
Chr01	25809056	26289271	-0.400828	-0.145495	-0.077163	-0.284200
Chr01	26068322	26458582	-0.064654	-0.028818	-0.015005	-0.044460
Chr01	26289569	26679925	-0.063622	-0.020116	-0.012031	-0.049762
Chr01	26459061	26750019	-0.371581	-0.146057	-0.081630	-0.286755
Chr01	26679926	26842952	-0.438911	-0.376728	-0.162859	-0.342741
Chr01	26750080	26977081	-0.313623	-0.177034	-0.092842	-0.233408
Chr01	26842973	27171563	0.066080	0.026774	0.017627	0.048494
Chr01	26984570	27348211	-0.000932	-0.000309	-0.000208	0.000248
Chr01	27171603	27732637	-0.224443	-0.054225	-0.036844	-0.162370
Chr01	27348215	27920191	-0.459692	-0.110334	-0.069335	-0.357329
Chr01	27732742	28114393	-0.489862	-0.153154	-0.088824	-0.403325
Chr01	27920197	28303970	-0.071589	-0.024689	-0.015800	-0.058277
Chr01	28114406	28469458	-0.084864	-0.034997	-0.020715	-0.073134
Chr01	28304101	28693808	-0.378560	-0.173471	-0.078259	-0.303055
Chr01	28469898	28994561	-0.457785	-0.138775	-0.078305	-0.356615
Chr01	28693862	29150467	-0.089995	-0.023807	-0.017625	-0.068052
Chr01	28994597	29360429	0.135077	0.042563	0.028891	0.105805
Chr01	29150517	29594452	-0.027893	-0.007490	-0.005286	-0.022036
Chr01	29360455	29743746	-0.260229	-0.071671	-0.048454	-0.219092
Chr01	29594471	29933256	-0.294438	-0.087402	-0.055409	-0.252609
Chr01	29743983	30140609	-0.281076	-0.087436	-0.054799	-0.240380
Chr01	29933396	30370730	-0.182592	-0.055547	-0.034977	-0.151027
Chr01	30140950	30584395	-0.016144	-0.004066	-0.002855	-0.013217
Chr01	30371520	30776026	-0.211989	-0.072204	-0.045003	-0.169186
Chr01	30584498	31004228	-0.287356	-0.112967	-0.060521	-0.214053
Chr01	30776055	31213102	-0.230792	-0.070260	-0.042415	-0.171391
Chr01	31004279	31365878	-0.131106	-0.040194	-0.026315	-0.096203
Chr01	31213208	31487238	-0.170419	-0.057640	-0.040257	-0.111887
Chr01	31365880	31593914	-0.266791	-0.107944	-0.072476	-0.165151
Chr01	31487880	31717340	-0.188487	-0.095873	-0.061631	-0.114632
Chr01	31593935	31856616	-0.192980	-0.069423	-0.048819	-0.125904
Chr01	31717373	32041313	0.157381	0.047425	0.031477	0.121034
Chr01	31857010	32240878	0.123446	0.035278	0.023134	0.088715
Chr01	32041327	32535807	-0.315692	-0.098451	-0.060175	-0.212757
Chr01	32240895	32802478	-0.524104	-0.186357	-0.109677	-0.434954
Chr01	32535837	33004141	-0.490803	-0.105187	-0.074580	-0.387733
Chr01	32802514	33194171	-0.182702	-0.039254	-0.027483	-0.130135
Chr01	33004154	33350023	-0.226651	-0.114309	-0.055620	-0.173179
Chr01	33194203	33538370	-0.155479	-0.079442	-0.038793	-0.106541
Chr01	33350029	33744172	0.070728	0.032796	0.017564	0.069361
Chr01	33538613	33988643	0.230789	0.085077	0.051913	0.183096
Chr01	33744323	34213327	0.149184	0.041270	0.027416	0.107243
Chr01	33988695	34376429	-0.048878	-0.012363	-0.008094	-0.031432
Chr01	34213362	34479809	0.338197	0.125601	0.081610	0.248642
Chr01	34376593	34663423	0.439059	0.198865	0.116529	0.346932
Chr01	34479813	34829701	-0.115362	-0.039984	-0.023511	-0.087728
Chr01	34663511	34909443	-0.614887	-0.305986	-0.175591	-0.530942
Chr01	34829721	35105343	-0.462175	-0.246765	-0.144559	-0.412029
Chr01	34909561	35258111	-0.261493	-0.103720	-0.067259	-0.222272
Chr01	35105376	35483734	-0.345144	-0.119753	-0.078333	-0.302740
Chr01	35258574	35651193	0.004161	0.001358	0.000867	0.007857
Chr01	35483782	35790747	0.097909	0.037872	0.023138	0.072079
Chr01	35651244	35871025	-0.167371	-0.086093	-0.050483	-0.100745
Chr01	35790758	36020127	-0.035854	-0.022283	-0.012206	-0.014424
Chr01	35871069	36261282	-0.232552	-0.102129	-0.059423	-0.183427
Chr01	36020144	36381089	-0.417678	-0.169235	-0.098849	-0.344421
Chr01	36261287	36523044	-0.526214	-0.244488	-0.138052	-0.415707
Chr01	36381098	36707713	-0.412989	-0.160292	-0.100967	-0.360919
Chr01	36523048	36817892	-0.234322	-0.079461	-0.050932	-0.216705
Chr01	36707729	37041403	-0.184892	-0.056497	-0.033871	-0.166886
Chr01	36817972	37235888	0.068994	0.019974	0.011498	0.063545
Chr01	37041631	37419486	0.186999	0.057005	0.034681	0.174283
Chr01	37235942	37614468	0.160662	0.058561	0.030338	0.158358
Chr01	37419720	37746363	-0.008332	-0.003504	-0.001812	0.003874
Chr01	37614515	37906666	-0.020977	-0.005873	-0.004265	-0.017876
Chr01	37746560	38146280	-0.297052	-0.090820	-0.054862	-0.241450
Chr01	37906667	38323336	-0.545725	-0.179285	-0.101385	-0.477597
Chr01	38146465	38667594	-0.228271	-0.054122	-0.034471	-0.178302
Chr01	38323350	38965860	-0.261999	-0.066553	-0.036224	-0.216103
Chr01	38669219	39188579	-0.460474	-0.128447	-0.069720	-0.400499
Chr01	38965914	39355245	-0.401024	-0.110262	-0.067813	-0.354917
Chr01	39188639	39505924	-0.379148	-0.162144	-0.086269	-0.361354
Chr01	39355246	39780859	-0.635093	-0.342346	-0.167701	-0.621584
Chr01	39505927	40359600	-0.516277	-0.109750	-0.068529	-0.490270
Chr01	39780977	40757565	-0.183219	-0.031481	-0.019972	-0.178308
Chr01	40359942	41021406	-0.390520	-0.132629	-0.066387	-0.371163
Chr01	40757570	41283365	-0.509276	-0.209259	-0.099384	-0.496028
Chr01	41021528	41534526	-0.491743	-0.179935	-0.100305	-0.475650
Chr01	41283394	41647249	-0.461506	-0.190310	-0.098163	-0.442722
Chr01	41534531	41915035	-0.646706	-0.317131	-0.124280	-0.617482
Chr01	41647288	42257077	-0.480015	-0.182568	-0.084625	-0.458412
Chr01	41915059	42338455	-0.267616	-0.095155	-0.050876	-0.245985
Chr01	42257103	42842158	-0.112930	-0.022272	-0.014872	-0.095840
Chr01	42338621	44213921	0.038079	0.003598	0.002725	0.039457
Chr01	42842251	46013745	0.029016	0.001904	0.001502	0.026000
Chr01	44214315	46695894	-0.170313	-0.014822	-0.011210	-0.137503
Chr01	46013860	47361898	-0.359527	-0.040658	-0.029908	-0.309143
Chr01	46695951	47742910	-0.062014	-0.010092	-0.005755	-0.031189
Chr01	47362386	48087144	0.175807	0.033496	0.017359	0.184158
Chr01	47743055	48455811	-0.047591	-0.004330	-0.003527	-0.042319
Chr01	48087160	48819236	0.059738	0.005553	0.004538	0.048004
Chr01	48456240	49038360	0.038563	0.004530	0.003384	0.030461
Chr01	48819251	49253858	0.244482	0.063698	0.031609	0.233672
Chr01	49038591	49402586	0.009540	0.004475	0.001948	0.027992
Chr01	49253928	49495371	-0.642615	-0.343027	-0.193581	-0.580601
